Category,Name,Address,ID
محاكم الاسرة,محكمة الاسرة - 6 اكتوبر,"7 أ, المجاورة 11, الحى السادس, السادس من اكتوبر, الجيزة.",280791
محاكم الاسرة,محكمة الاسرة - ابشواى,"ش المحكمة الشرعية, ابشواى, الفيوم.",283483
محاكم الاسرة,محكمة الاسرة - ابنوب,"ش الجمهورية - مجمع المحاكم, ابنوب, اسيوط.",283144
محاكم الاسرة,محكمة الاسرة - ابو المطامير,"., ابو المطامير, البحيرة.",281891
محاكم الاسرة,محكمة الاسرة - ابو تيج,"ش الجلاء, ابو تيج, اسيوط.",283149
محاكم الاسرة,محكمة الاسرة - ابو حماد,"ش ابو حماد البلد, ابو حماد, الشرقية.",282312
محاكم الاسرة,محكمة الاسرة - ابو حمص,"ش الكبير, ابو حمص, البحيرة.",281841
محاكم الاسرة,محكمة الاسرة - ابو سمبل,"ش كورنيش النيل, الكورنيش, اسوان.",283728
محاكم الاسرة,محكمة الاسرة - ابو طشت,"ش المحطة, ابو طشت, قنا.",283733
محاكم الاسرة,محكمة الاسرة - ابو قرقاص,"ش بورسعيد, ابو قرقاص, المنيا.",282774
محاكم الاسرة,محكمة الاسرة - ابو كبير,"ش مصطفى كامل - بندر ابو كبير, ابو كبير, الشرقية.",282315
محاكم الاسرة,محكمة الاسرة - اجا,"ش الجلاء, اجا, الدقهلية.",283450
محاكم الاسرة,محكمة الاسرة - اخميم,"طريق سوهاج اخميم, اخميم, سوهاج.",283470
محاكم الاسرة,محكمة الاسرة - ادفو,"ش مجلس المدينة, ادفو, اسوان.",283732
محاكم الاسرة,محكمة الاسرة - ادكو,"ش عزيز المصرى متفرع من ش بورسعيد, ادكو, البحيرة.",281855
محاكم الاسرة,محكمة الاسرة - ارمنت,"ش الترعة, ارمنت, الاقصر.",284431
محاكم الاسرة,محكمة الاسرة - اسنا,"ش نهر النيل, اسنا, الاقصر.",283740
محاكم الاسرة,محكمة الاسرة - اسوان,"ش كورنيش النيل, الكورنيش, اسوان.",283727
محاكم الاسرة,محكمة الاسرة - اشمون,"ش الزراعة, اشمون, المنوفية.",282960
محاكم الاسرة,محكمة الاسرة - اطسا,"ش عمر بن الخطاب, اطسا, الفيوم.",283479
محاكم الاسرة,محكمة الاسرة - الابراهيمية,"13 ش اللواء عبد العزيز متفرع من ش الحرية, الابراهيمية, الشرقية.",282309
محاكم الاسرة,محكمة الاسرة - الاربعين,"امتداد ش عمر مكرم, حى السويس, السويس.",283993
محاكم الاسرة,محكمة الاسرة - الازبكية,"5 ش جزيرة بدران, شبرا, القاهرة.",281638
محاكم الاسرة,محكمة الاسرة - الباجور,"ميدان الباجور, الباجور, المنوفية.",282973
محاكم الاسرة,محكمة الاسرة - البدارى,"ش الدواوين, البدارى, اسيوط.",283154
محاكم الاسرة,محكمة الاسرة - البدرشين,"ش المجمع الاسلامى, البدرشين, الجيزة.",280780
محاكم الاسرة,محكمة الاسرة - البساتين,"ميدان الكيت كات, الكيت كات, الجيزة.",281232
محاكم الاسرة,محكمة الاسرة - البلينا,"ش البحر الاعظم, البلينا, سوهاج.",283474
محاكم الاسرة,محكمة الاسرة - التل الكبير,"عمارات الاوقاف - ش عرابى, التل الكبير, الاسماعيلية.",283839
