Category,Name,Address,ID
مراكز علاج طبيعي,مركز فيزيو كير,"القطعة 31, الشيخ زايد, السادس من اكتوبر, الجيزة.",394028
مراكز علاج طبيعي,مركز د. ماضى للعلاج الطبيعى و السمنة,"ش المنيل, الدور 3, ميدان الباشا, المنيل, القاهرة.",437058
مراكز علاج طبيعي,مركز المصطفى للعلاج الطبيعى,"39 ش 270, المعادى الجديدة, المعادى, القاهرة.",225172
مراكز علاج طبيعي,مركز بلو سكاى سبا للمساج والعلاج الطبيعى,"21 برج العروبة ش محي الدين ابو العز, الدقى, الجيزة.",690427
مراكز علاج طبيعي,مركز القاهرة للعلاج الطبيعى والتأهيل د. محمد المهدى,"19 ش البطل احمد عبد العزيز, الدور 4, المهندسين, الجيزة.",266339
مراكز علاج طبيعي,جوينت كلينك,"7 ش جامعة الدول العربية, الدور 5, ميدان سفنكس, برج دهبية, المهندسين, الجيزة.",450896
مراكز علاج طبيعي,د. سامى رزق الله,"71 ش طومانباى, الزيتون, القاهرة.",590109
مراكز علاج طبيعي,مركز الامل للعلاج الطبيعى وتنسيق القوام - الترا كير,"22 ش سوريا, الدور 1, رشدى, الاسكندرية.",506453
مراكز علاج طبيعي,مركز النخبة للعلاج الطبيعى والسمنة وتنسيق القوام - د. احمد عبد الغنى,"42 ش المشير - برج سرايا المشير - الدور 2, سيدى جابر, الاسكندرية.",609216
مراكز علاج طبيعي,ابو سيفين للعلاج الطبيعى,"1 ش عبد العزيز يوسف, زهراء عين شمس, عين شمس, القاهرة.",649169
مراكز علاج طبيعي,ابيكس سنتر,"ش 26 يوليو, الشقة 1, برج كنوز - الدور الرابع, الزمالك, القاهرة.",693979
مراكز علاج طبيعي,اتش اند اس للعلاج الطبيعى,"8 ش السويدى, مصر القديمة, القاهرة.",519478
مراكز علاج طبيعي,احمد النحاس للعلاج الطبيعى,"39 ش الملك فيصل - الدور 1, الهرم, الجيزة.",396244
مراكز علاج طبيعي,ادفانس ميديكو كير,"18 ش المتحف الزراعى, العجوزة, الجيزة.",154583
مراكز علاج طبيعي,ارك للعلاج الطبيعى,"10 ش ابو بكر الصديق, ميدان المحكمة, مصر الجديدة, القاهرة.",586726
مراكز علاج طبيعي,استيو كير,"5 ش الشباب - الحى الثالث, الشيخ زايد, السادس من اكتوبر, الجيزة.",600115
مراكز علاج طبيعي,اكسبرتس للعلاج الطبيعى,"86 ش السيد الميرغنى, الشقة 10, الدور 5, مصر الجديدة, القاهرة.",668239
مراكز علاج طبيعي,الاوستيوباثى كلينك,"5 ش عبد الحميد ابو هيف, ميدان المحكمة, مصر الجديدة, القاهرة.",627824
مراكز علاج طبيعي,البتول للعلاج الطبيعى,"24 ش مراد, الجيزة, الجيزة.",444179
مراكز علاج طبيعي,الحمد للعلاج الطبيعى,"35 ش افريقيا, الشقة 702, الدور 7, الحى التاسع, مدينة نصر, القاهرة.",676587
مراكز علاج طبيعي,الحياة سنتر للعلاج الطبيعى,"21 ش نوبار, السيدة زينب, القاهرة.",414939
مراكز علاج طبيعي,الحياة مركز للعلاج الطبيعى,"5 ش محمد صدقى الشافعى متفرع من ش المنيل, المنيل, القاهرة.",389541
مراكز علاج طبيعي,الروان للعلاج الطبيعى,"43 ش احمد ماهر, قويسنا, المنوفية.",468134
مراكز علاج طبيعي,الزهراء للعلاج الطبيعى,"3 ش حمدى متولى - قرية بشتيل, اوسيم, الجيزة.",541538
مراكز علاج طبيعي,الزهور كلينيك,"المجاورة الاولى - الحى الاول, الشيخ زايد, السادس من اكتوبر, الجيزة.",619464
مراكز علاج طبيعي,الشروق للعلاج الطبيعى,"24 ش ترعة السواحل - وراق الحضر, الوراق, الجيزة.",595083
مراكز علاج طبيعي,الشفاء للعلاج الطبيعى,"11 ش عيد مصطفى, الشقة 2, الدور 3, تقاطع ش فيصل, برج بلازا الطبى, فيصل, الجيزة.",629297
مراكز علاج طبيعي,الصفا للعلاج الطبيعى,"190 ش ترعة الجندى تقسيم ارض الجمعية, حدائق القبة, القاهرة.",617876
