Category,Name,Address,ID
مدارس تجريبي,المدرسة التجريبية الرياضية,"ش خالد بن الوليد, الاقصر, الاقصر.",366226
مدارس تجريبي,المدرسة التجريبية لغات - فرنسى,"قرية الزناقطة, الاقصر, الاقصر.",366326
مدارس تجريبي,المدرسة الرسمية للغات,", المجاورة التاسعة, المشروع الامريكى, حلوان, القاهرة.",663793
مدارس تجريبي,المدرسة الفرنسية الرسمية لغات,"الطريق الدائرى, القطامية, القاهرة.",670015
مدارس تجريبي,امير البحر الاعدادية التجريبية لغات بنين,"11 ش مرسى محمود, محرم بك, الاسكندرية.",23906
مدارس تجريبي,مدارس الفيروز التجريبية للغات,"., هضبة ام السيد, شرم الشيخ.",164267
مدارس تجريبي,مدارس سموحة التجريبية للغات بنات,"21 ش حسن علام تقسيم ارض القضاة, سموحة, الاسكندرية.",361435
مدارس تجريبي,مدرسة ابن النفيس الرسمية للغات,"1 ش ابن النفيس, المنطقة السادسة, مدينة نصر, القاهرة.",235280
مدارس تجريبي,مدرسة ابن رشد التجريبية,"مساكن غرب النوبارية, العامرية, الاسكندرية.",367690
مدارس تجريبي,مدرسة ابن رشد الرسمية للغات,"مساكن الاميرية, الزيتون, القاهرة.",360933
مدارس تجريبي,مدرسة ابو بكر الثانوية الرياضية التجريبية بنين,"ميدان عبده باشا, عباسية, القاهرة.",363167
مدارس تجريبي,مدرسة ابو بكر الصديق الابتدائية التجريبية,"قرية اتميدة, ميت غمر, الدقهلية.",374851
مدارس تجريبي,مدرسة ابو بكر الصديق التجريبية الثانوية لغات,"ارض الجوهرة, حى الزهور, بور سعيد.",369910
مدارس تجريبي,مدرسة ابو بكر الصديق التجريبية لغات,"ش التليفزيون, الاقصر, الاقصر.",365969
مدارس تجريبي,مدرسة ابو مليحة التجريبية لغات,"., ابو كبير, الشرقية.",338889
مدارس تجريبي,مدرسة اتحاد الجمهوريات التجريبية للغات,"ش مسجد الحضرى, محرم بك, الاسكندرية.",25516
مدارس تجريبي,مدرسة اجا الاعدادية التجريبية بنين,"ش الجيش, كفر اللاوندى, اجا, الدقهلية.",339083
مدارس تجريبي,مدرسة احمد حسن الباقورى الابتدائية التجريبية,"ش صندوق الدعم, العوايد, الاسكندرية.",359880
مدارس تجريبي,مدرسة احمد حلمى الثانوية الرسمية لغات,"1 ش ارض الملعب, متفرع من ش احمد حلمى, الساحل, القاهرة.",338096
مدارس تجريبي,مدرسة احمد شوقى الرسمية للغات,"المجاورة 17 - السوق التجارى, مدينة 15 مايو, القاهرة.",235377
مدارس تجريبي,مدرسة احمد عصمت الرسمية للغات,"5 ش قمر, متفرع من ش عين شمس, عين شمس, القاهرة.",235331
مدارس تجريبي,مدرسة احمد فتحى سرور الاعدادية التجريبية,"ش الجراج, الرأس السوداء, الاسكندرية.",364946
مدارس تجريبي,مدرسة احمد لطفى السيد التجريبية,"ش الشيخ سليمان ميدان المرصد, الجمرك, الاسكندرية.",367650
مدارس تجريبي,مدرسة احمد لطفى السيد الرسمية للغات,"مدينة مبارك 1, فيصل, السويس.",365224
مدارس تجريبي,مدرسة احمد ماهر الرسمية للغات,"101 ش مصر والسودان, حدائق القبة, القاهرة.",235313
مدارس تجريبي,مدرسة احمد مجدى ابو زيد الابتدائية التجريبية,"ش مسجد النقلى التقسيم الجديد, ابو قير, الاسكندرية.",359797
مدارس تجريبي,مدرسة اسكندرية الثانوية بنات,"ش عبد الفتاح الحضرى متفرع من ش سعد زغلول, العطارين, الاسكندرية.",338159
مدارس تجريبي,مدرسة اسماء بنت ابى بكر الرسمية للغات,"مجمع المدارس - مدينة المستقبل 2, فيصل, السويس.",363801
مدارس تجريبي,مدرسة اسماعيل صبرى التجريبية,"ميدان ابراهيم الاول, رأس التين, الاسكندرية.",367651
مدارس تجريبي,مدرسة اسنا الرسمية لغات,"نجع العرب, اسنا, الاقصر.",365475
مدارس تجريبي,مدرسة اسيوط التجريبية لغات,"الوليدية القبلية, ابنوب, اسيوط.",338076
مدارس تجريبي,مدرسة الابطال الرسمية لغات,"كم 35 - طريق مصر اسماعيلية الصحراوى - مدينة المستقبل, مدينة الشروق, القاهرة.",235262
مدارس تجريبي,مدرسة الاخلاص الابتدائية التجريبية,"ش الامير لؤلؤ, القبارى, الاسكندرية.",367554
مدارس تجريبي,مدرسة الامام الشافعى التجريبية لغات,"ش النادى, طنطا, الغربية.",338428
مدارس تجريبي,مدرسة الانفوشى الرسمية لغات,"ش قصر الثقافة, الانفوشى, الاسكندرية.",235232
مدارس تجريبي,مدرسة الاورمان الثانوية التجريبية للغات,"ش المدارس, الدقى, الجيزة.",194879
مدارس تجريبي,مدرسة التجريبية الثانوية بنات,"8 ش محمد انيس, الزمالك, القاهرة.",362147
مدارس تجريبي,مدرسة التحرير التجريبية لغات,"ش محمد مكارم, اسيوط, اسيوط.",338413
مدارس تجريبي,مدرسة الترعة الرسمية لغات,"189 ش الترعة البولاقية, شبرا, القاهرة.",334408
مدارس تجريبي,مدرسة التنوير التجريبية,"ش الحنفية, البيطاش, الاسكندرية.",368238
مدارس تجريبي,مدرسة التونسى الرسمية للغات,"1 ش النعيم, الخليفة, القاهرة.",670016
مدارس تجريبي,مدرسة الثغر التجريبية لغات بنين,"14 ش فهمى ويصا, لوران, الاسكندرية.",359771
مدارس تجريبي,مدرسة الجبرتى الابتدائية التجريبية لغات,"9 ش كامل الكيلانى - ش ارسطو سابقا, باب شرق, الاسكندرية.",359761
مدارس تجريبي,مدرسة الجزيرة الثانوية الرسمية لغات,"6 ش احمد حشمت, الزمالك, القاهرة.",362150
مدارس تجريبي,مدرسة الجلاء الابتدائية التجريبية,"ش الجلاء, القرين, الشرقية.",338998
مدارس تجريبي,مدرسة الجلاء الرسمية لغات,"ش الظاهر, الوايلى, القاهرة.",360773
مدارس تجريبي,مدرسة الجليل الرسمية الثانوية لغات,"ش الجليل, متفرع من ش طومانباى, الزيتون, القاهرة.",360989
مدارس تجريبي,مدرسة الجمهورية الابتدائية التجريبية,"ش بورسعيد, اجا, الدقهلية.",339078
مدارس تجريبي,مدرسة الجيل الجديد الرسمية لغات,"6 ش اسماعيل كاظم, حمامات القبة, القاهرة.",195149
مدارس تجريبي,مدرسة الحرية التجريبية للغات,"ش العبد الجديد, مدينة السلام, القاهرة.",360743
مدارس تجريبي,مدرسة الحرية الرسمية لغات,"1 ش الزهار, الازبكية, القاهرة.",334078
