Category,Name,Address,ID
سوشى,جارنل سوشى اند بوك,"21 ش شمس الدين الذهبى, ارض الجولف, مصر الجديدة, القاهرة.",595632
سوشى,147 سوهو,"ش التسعين - الدور 2, التجمع الخامس, القاهرة الجديدة, القاهرة.",295646
سوشى,ابر ديك لاونج,"1089 كورنيش النيل, جاردن سيتى, القاهرة.",467661
سوشى,اتسومى سوشى بار,"4 ش الاعناب, المهندسين, الجيزة.",261374
سوشى,احمد سوشى,", اعمال حرة, القاهرة الجديدة, القاهرة.",614422
سوشى,اريجاتو,"22 ش طه حسين, الزمالك, القاهرة.",613032
سوشى,اشيا بار,"9 أ ش سراى الجزيرة, الزمالك, القاهرة.",130504
سوشى,اشيا هاوس,"5 ش عبد القادر حمزة متفرع من كورنيش النيل, جاردن سيتى, القاهرة.",19531
سوشى,اكا سوشى,"القطعة السادسة, الحى السابع, مدينة الشروق, القاهرة.",652499
سوشى,اكاتايو,"37 أ ش التسعين الشمالى, التجمع الخامس, القاهرة الجديدة, القاهرة.",507951
سوشى,الاباستر بار,"2005 ب ابراج نايل سيتى - كورنيش النيل, رملة بولاق, القاهرة.",289554
سوشى,السوشى,"ش الخمسين, زهراء المعادى, المعادى, القاهرة.",613838
سوشى,المطعم الاسيوى,"كم 11 - طريق الاحياء, منطقة الاحياء, الغردقة.",474936
سوشى,المطعم اليابانى,"ش المسبط, المسبط, دهب.",552923
سوشى,اما سوشى,"40 ش بغداد, الكوربة, مصر الجديدة, القاهرة.",621489
سوشى,اميزينج سوشى ايجيبت,"ش عبدالله النديم, الحى المتميز, السادس من اكتوبر, الجيزة.",670184
سوشى,انجل لونج,"9 ش محمد متولى الشعراوى, مساكن شيراتون, مصر الجديدة, القاهرة.",674591
سوشى,اوزاكى سوشى بار,"القطعة 294 ش التسعين, القطاع الثانى, التجمع الخامس, القاهرة الجديدة, القاهرة.",617315
سوشى,اوشى سوشى,"51 ش 263, المعادى الجديدة, المعادى, القاهرة.",584191
سوشى,اوشى سوشى,"43 أ ش ايران, الدقى, الجيزة.",620878
سوشى,اوك باى,"63 ش فؤاد, محطة الرمل, الاسكندرية.",598579
سوشى,ايزومى سوشى بار,"طريق الجيش - حدائق قصر المنتزة, المنتزة, المنتزه, الاسكندرية.",508667
سوشى,ايكا سوشى,"83 ش الحرية, الماظة, مصر الجديدة, القاهرة.",626281
