Category,Name,Address,ID
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - 15 مايو,", المجاورة 15, مدينة 15 مايو, القاهرة.",364116
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - 6 اكتوبر,"., الحى السادس, السادس من اكتوبر, الجيزة.",367097
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - ابشواى,"عزبة جبر, ابشواى, الفيوم.",365603
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - ابنوب,"عمارة بغدادى زكريا - - عزبة زناتى, ابنوب, اسيوط.",365933
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - ابو المطامير,"ش اسكندرية, ابو المطامير, البحيرة.",365367
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - ابو تيج,"1 المساكن الشعبية - - ارض السوق, ابو تيج, اسيوط.",365925
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - ابو حماد,"الحسينة, ابو حماد, الشرقية.",366862
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - ابو زنيمة,"الحى الثانى, جنوب سيناء, شرم الشيخ.",366479
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - ابو طشت,"., ابو طشت, قنا.",366717
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - ابو قرقاص,"ِش مبارك, ابو قرقاص, المنيا.",367115
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - ابو قير,"5 ش 5, متفرع من ش 45, العصافرة قبلى, الاسكندرية.",364241
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - ابو كبير,"ش الحرية, ابو كبير, الشرقية.",366864
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - اجا,"ش بنك مصر, اجا, الدقهلية.",366828
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - اخميم,"ش الشئون الاجتماعية, البلينا, سوهاج.",366596
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - ادفو,"عمارة يوسف ابو كنزى الجديدة - ِش كورنيش النيل, ادفو, اسوان.",366703
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - ارمنت الحيط,"ش الوحدة الصحية - ارمنت الحيط, ارمنت, الاقصر.",366517
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - اسنا,"ش ترعة اصفون, اسنا, الاقصر.",366516
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - اسوان,"عمارة نسيم واصف - ش البركة, وسط البلد, اسوان.",366702
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - اشمون,"ش ابو بكر الصديق متفرع من ش خالد بن الوليد, اشمون, المنوفية.",180639
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - اطسا,"ش عمر بن الخطاب, اطسا, الفيوم.",365619
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - الابراهيمية,"ش بورسعيد, الابراهيمية, الشرقية.",366859
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - الاخصاص,"قرية الاخصاص, منشية القناطر, الجيزة.",367104
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - الاسماعيلية,"3 ش المحلة, عرايشية مصر, الاسماعيلية.",183384
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - الاقصر,"عمارة الاوقاف - المساكن الشعبية - ش مدرسة الصنايع, الاقصر, الاقصر.",366512
مكاتب التأهيل الاجتماعى للمعاقين,مكتب التأهيل الاجتماعى للمعاقين - الباجور,"ش بورسعيد, الباجور, المنوفية.",180636
