Category,Name,Address,ID
اثاث منزلي ومكتبي واثاث حدائق,المصرية للاثاث,"69, المحور المركزى, الحى الثانى, السادس من اكتوبر, الجيزة.",620269
اثاث منزلي ومكتبي واثاث حدائق,نابلكو للاثاث والاجهزة المكتبية,"64 أ برج الرشيد ش الرشيد, الصحفيين, المهندسين, الجيزة.",4807
اثاث منزلي ومكتبي واثاث حدائق,ميتال ايجيبت للصناعات المعدنية,"القطعة E2, المنطقة الصناعية الثانية B2, العاشر من رمضان, الشرقية.",140425
اثاث منزلي ومكتبي واثاث حدائق,هانيمكس,"119/121 ش البنوك, امتداد ش التسعين, التجمع الخامس, القاهرة الجديدة, القاهرة.",475632
اثاث منزلي ومكتبي واثاث حدائق,الاندلس للاثاث المكتبى,"365, المجاورة الثانية - المحور المركزى, الحى الثانى, السادس من اكتوبر, الجيزة.",154222
اثاث منزلي ومكتبي واثاث حدائق,الفؤاد جروب,"58 ش الزهراء, متفرع من ش عمان, الدقى, الجيزة.",690828
اثاث منزلي ومكتبي واثاث حدائق,مصنع العزيزية للاثاث المعدنى والخشبى,"طريق المريوطية, العزيزية بدرشين, البدرشين, الجيزة.",540335
اثاث منزلي ومكتبي واثاث حدائق,مصنع الباهى لاثاث المطاعم والكافيهات والفنادق,"الطريق الدائرى، نزلة بهتيم، ش عمرو بن العاص, بهتيم, القليوبية.",637399
اثاث منزلي ومكتبي واثاث حدائق,ايليت لتشكيل المعادن,"مصنع رقم 178, منطقة ال 300 متر, السادس من اكتوبر, الجيزة.",683874
اثاث منزلي ومكتبي واثاث حدائق,خالد مراد للصناعات المعدنية والخشبية,"ش توكل, المنطقة الصناعية, جسر السويس, القاهرة.",4237
اثاث منزلي ومكتبي واثاث حدائق,سيلفا للاثاث المكتبى,"34 ش د. البطراوى, متفرع من ش عباس العقاد, مدينة نصر, القاهرة.",687728
اثاث منزلي ومكتبي واثاث حدائق,الصفوة للصناعة الهندسية,"الوحدة 26 - القطعة 10/167, مجمع CPC الصناعى, السادس من اكتوبر, الجيزة.",133588
اثاث منزلي ومكتبي واثاث حدائق,الشركة الفنية لصناعة الاثاث المعدنى والخشبي,", طريق القاهرة الاسكندرية الصحراوى, الجيزة.",693331
اثاث منزلي ومكتبي واثاث حدائق,روتيشن انتريورز,"6 ش عبد القوى احمد, متفرع من ش شهاب, المهندسين, الجيزة.",234936
اثاث منزلي ومكتبي واثاث حدائق,شركة الايطالى للاثاث المكتبى,"18 ش تونس متفرع من ش الجزائر, المعادى, القاهرة.",492230
اثاث منزلي ومكتبي واثاث حدائق,الشركة الفنية للمعادن - ام تى سى,"24 ش جامعة الدول العربية, المهندسين, الجيزة.",56570
اثاث منزلي ومكتبي واثاث حدائق,اليمنى للاثاث المكتبى والمعدنى المتكامل,"107 ش الملك فيصل, المريوطية, الهرم, الجيزة.",695175
اثاث منزلي ومكتبي واثاث حدائق,ديفانو للاثاث,"ش التسعين الجنوبى, التجمع الخامس, القاهرة الجديدة, القاهرة.",392097
اثاث منزلي ومكتبي واثاث حدائق,مصنع المدينة المنورة للصناعات الخشبية,"قطعة 221 ش ابو دومة, محور خدمى ثانى - المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",689694
اثاث منزلي ومكتبي واثاث حدائق,جازيبو للاعمال الخشبية,"كم 34 طريق الساحل الشمالى, سيدى كرير, الساحل الشمالى.",611897
اثاث منزلي ومكتبي واثاث حدائق,الرملاوى - وود اند جلاس,"4 ش الجلاء, ميدان عبد المنعم رياض, وسط البلد, القاهرة.",291921
اثاث منزلي ومكتبي واثاث حدائق,فيرنشينج سوليوشنز,"فيلا 34, البنفسج 7, التجمع الاول, القاهرة الجديدة, القاهرة.",690989
اثاث منزلي ومكتبي واثاث حدائق,الكارمة جروب لصناعة الاثاث والرتان,"12 ش المدينة المنورة, النزهة الجديدة, القاهرة.",693113
اثاث منزلي ومكتبي واثاث حدائق,ارت هوم للاثاث,"ش مسجد الزينى, متفرع من ش التروللى, بركة الحاج, المرج, القاهرة.",689656
اثاث منزلي ومكتبي واثاث حدائق,الرضوان سليب لصناعة المراتب والمفروشات العصرية,"برج الرضوان ش البحر, كوبرى السوق - حى مبارك, كفر صقر, الشرقية.",669213
اثاث منزلي ومكتبي واثاث حدائق,شركة الاخوة لتصنيع الاثاث - اولاد بطاطا,"11 ش محمد بدوى خلیل, المنطقة الصناعیه, الشرابية, القاهرة.",668333
اثاث منزلي ومكتبي واثاث حدائق,كادر للبراويز,"قطعة 5/54, المنطقة الصناعية الثالثة, مدينة بدر, القاهرة.",49904
اثاث منزلي ومكتبي واثاث حدائق,النور للتوريدات والاثاث المكتبى,"139 امتداد رمسيس, مدينة نصر, القاهرة.",577089
اثاث منزلي ومكتبي واثاث حدائق,سمارت فيرنيتشر,"القطعة 41, المنطقة الصناعية B3, العاشر من رمضان, الشرقية.",368440
اثاث منزلي ومكتبي واثاث حدائق,سبسيال للاثاث,"القطعة 51, المنطقة الصناعية - الروبيكى - جنوب غرب 6 أ, العاشر من رمضان, الشرقية.",689390
اثاث منزلي ومكتبي واثاث حدائق,شركة البرى للاثاث المكتبى,"بلوك 20011 ش 150, الامتداد الغربى, المنطقة الصناعية, مدينة العبور, القليوبية.",284298
اثاث منزلي ومكتبي واثاث حدائق,الامين للبلاستيك,"63 برج الامين ش المقريزى, منشية البكرى, مصر الجديدة, القاهرة.",11226
اثاث منزلي ومكتبي واثاث حدائق,اولاد محمود بدوى للخزائن والتوريدات,"3 ش شريف, باب اللوق, وسط البلد, القاهرة.",161689
اثاث منزلي ومكتبي واثاث حدائق,بلو لاين للتجارة,"قطعة 838 - - المنطقة الصناعية - 1000 مصنع, التجمع الخامس, القاهرة الجديدة, القاهرة.",580408
اثاث منزلي ومكتبي واثاث حدائق,ديزاين وورلد,"37 ش عباس العقاد, مدينة نصر, القاهرة.",336358
اثاث منزلي ومكتبي واثاث حدائق,على خليل للاثاث,"6 أ ش على خليل - المنطقة الصناعية , عباسية, القاهرة.",49372
