Category,Name,Address,ID
جامعات وكليات ومعاهد,جامعة المدينة بالقاهرة,"كم 46, مدينة هليوبوليس الجديدة - شمال الحى التاسع, طريق القاهرة السويس, القاهرة.",694273
جامعات وكليات ومعاهد,ادارة المنشأت - جامعة اسيوط,"ش الجامعة - نايلة خاتون, حى غرب, اسيوط.",349266
جامعات وكليات ومعاهد,اديو لينكس للتعليم ش.ذ.م.م,"فيلا 101 - متفرع من ش التسعين - المنطقة الاولى, التجمع الخامس, القاهرة الجديدة, القاهرة.",583063
جامعات وكليات ومعاهد,اديولنكس للتعليم,"فيلا 163 ش عبد الحكيم الرفاعى, شرق الاكاديمية, القاهرة الجديدة, القاهرة.",655889
جامعات وكليات ومعاهد,اكاديمية 6 اكتوبر التعليمية,"232 ش الهرم, برج رويال رمسيس, حسن محمد, الهرم, الجيزة.",110598
جامعات وكليات ومعاهد,اكاديمية اخبار اليوم,", المنطقة الصناعية الرابعة, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",126517
جامعات وكليات ومعاهد,اكاديمية اغاخان العلمية,"13 ابراج اغاخان, شبرا, القاهرة.",120366
جامعات وكليات ومعاهد,اكاديمية الجزيرة,"ش 9, المقطم, القاهرة.",187205
جامعات وكليات ومعاهد,اكاديمية الدراسات المتخصصة - الجامعة العمالية,"عزبة ناصر, الحضرة, الاسكندرية.",355866
جامعات وكليات ومعاهد,اكاديمية الدلتا للعلوم,"طريق المنصورة دمياط, طلخا, الدقهلية.",182633
جامعات وكليات ومعاهد,اكاديمية السادات للعلوم الادارية,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",64834
جامعات وكليات ومعاهد,اكاديمية السادات للعلوم الادارية,"14 ش رمسيس, وسط البلد, القاهرة.",383896
جامعات وكليات ومعاهد,اكاديمية الشرطة,"الطريق الدائرى, جنوب الاكاديمية, القاهرة الجديدة, القاهرة.",252354
جامعات وكليات ومعاهد,اكاديمية الشروق,"كم 8 طريق القاهرة السويس الصحراوى, ضاحية النخيل, الحى الخامس, مدينة الشروق, القاهرة.",58153
جامعات وكليات ومعاهد,اكاديمية العلوم الهندسية,"56 ش عبد المنعم سند, كامب شيزار, الاسكندرية.",695180
جامعات وكليات ومعاهد,اكاديمية الفراعنة,"طريق سقارة السياحى - شبرامنت, سقارة, الجيزة.",140390
جامعات وكليات ومعاهد,اكاديمية الفنون,"ش جمال الدين الافغانى متفرع من ش الهرم, الهرم, الجيزة.",99230
جامعات وكليات ومعاهد,اكاديمية المستقبل - المعهد العالى للدراسات التكنولوجية المتخصصة,"كم 32 -, طريق مصر الاسماعيلية الصحراوى, القاهرة.",127989
جامعات وكليات ومعاهد,اكاديمية المستقبل - المعهد العالى للدراسات النوعية,"154 ش الحجاز, ميدان الحجاز, مصر الجديدة, القاهرة.",128140
جامعات وكليات ومعاهد,اكاديمية المنصورة كولدج,"طريق المنصورة دمياط, المنصورة, الدقهلية.",541440
جامعات وكليات ومعاهد,اكاديمية النزهة الجديدة,"6 ش محمد السادات, متفرع من ش محمد السباعى, النزهة الجديدة, القاهرة.",518543
جامعات وكليات ومعاهد,اكاديمية النيل للعلوم,"طريق دمياط المنصورة, المنصورة, الدقهلية.",127411
جامعات وكليات ومعاهد,اكاديمية حلوان لنظم المعلومات,"61 ش عبد الرحمن, تقاطع ش رستم, حلوان, القاهرة.",385173
جامعات وكليات ومعاهد,اكاديمية رموز,"128 ش السودان, المهندسين, الجيزة.",663084
جامعات وكليات ومعاهد,اكاديمية وادى العلوم - اس فى ايه,"خط 8 شمال, مدينة العبور, القليوبية.",142033
جامعات وكليات ومعاهد,الادارة العامة للمدن الجامعية - جامعة المنصورة,"60 ش الجمهورية, المنصورة, الدقهلية.",403100
جامعات وكليات ومعاهد,الادارة العامة للمشتريات والمخازن المركزية - جامعة جنوب الوادى,"كم 6 -, طريق قنا سفاجا, قنا.",349716
جامعات وكليات ومعاهد,الاكاديمية الحديثة بالمعادى,"ش 304, المعادى الجديدة, المعادى, القاهرة.",65222
جامعات وكليات ومعاهد,الاكاديمية الدولية,"34 ش عماد الدين, وسط البلد, القاهرة.",376942
جامعات وكليات ومعاهد,الاكاديمية الدولية للعلوم البحرية - اى ام اس,"13 ش المتحف الزراعى, الدقى, الجيزة.",400689
جامعات وكليات ومعاهد,الاكاديمية الدولية للهندسة وعلوم الاعلام,"طريق الواحات, السادس من اكتوبر, الجيزة.",91163
جامعات وكليات ومعاهد,الاكاديمية السويسرية للسياحة والفنادق,"14 ش حسين كمال امتداد ش محيى الدين ابو العز, الدقى, الجيزة.",67758
جامعات وكليات ومعاهد,الاكاديمية العربية للعلوم والتكنولوجيا والنقل البحرى,"ش جمال عبد الناصر, تقاطع ش الاسكندر ابراهيم, ميامى, الاسكندرية.",76174
جامعات وكليات ومعاهد,الاكاديمية الكندية للاستشارات والتدريب,"1 ش محيى الدين ابو العز, الدقى, الجيزة.",251164
جامعات وكليات ومعاهد,الاكاديمية المصرية للهندسة والتكنولوجية المتقدمة,"كم 3 طريق القاهرة بلبيس الصحراوى, مدينة السلام, القاهرة.",644867
جامعات وكليات ومعاهد,الاكاديمية الوطنية للعلوم البحرية والتكنولوجيا,"ش مسجد الرحمن الرحيم متفرع من ش الابيض, كينج مريوط, الاسكندرية.",517362
جامعات وكليات ومعاهد,الامانة العامة المساعدة - جامعة الازهر,"منطقة الوليدية, اسيوط, اسيوط.",349230
جامعات وكليات ومعاهد,الجامعة الالمانية بالقاهرة - جى يو سى,"., التجمع الخامس, القاهرة الجديدة, القاهرة.",61466
جامعات وكليات ومعاهد,الجامعة الامريكية المفتوحة بالقاهرة,"ش المجلس الاسلامى, الحى العاشر, مدينة نصر, القاهرة.",474584
جامعات وكليات ومعاهد,الجامعة البريطانية فى مصر - بى يو اى,"كم 8، طريق القاهرة السويس الصحراوى الحى الخامس, مدينة الشروق, القاهرة.",62610
جامعات وكليات ومعاهد,الجامعة الدولية بأمريكا اللاتينية,"1 ش زاكر حسين, الحى السابع, مدينة نصر, القاهرة.",312009
جامعات وكليات ومعاهد,الجامعة العربية المفتوحة,"20 ش البحر الاعظم - الحى الثانى, مدينة الشروق, القاهرة.",62768
جامعات وكليات ومعاهد,الجامعة العمالية,"6 ش الطرابيشى ميدان الحلبى - العباسية الشرقية, الدراسة, القاهرة.",95562
جامعات وكليات ومعاهد,الجامعة الفرنسية فى مصر,"كم 21، طريق مصر اسماعيلية الصحراوى الحى السابع, مدينة الشروق, القاهرة.",57592
جامعات وكليات ومعاهد,الجامعة المصرية الروسية,"طريق القاهرة السويس الصحراوى، ميدان مصطفى كامل, مدينة بدر, القاهرة.",103461
جامعات وكليات ومعاهد,الجامعة المصرية الصينية,"ش جسر السويس, جسر السويس, القاهرة.",526591
جامعات وكليات ومعاهد,الجامعة المصرية اليابانية للعلوم والتكنولوجيا,"ش د. احمد زويل, المجاورة الرابعة, الحى الثالث, برج العرب الجديدة, الاسكندرية.",273319
جامعات وكليات ومعاهد,الجامعة المصرية للتعلم الالكترونى,"33 ش المساحة, الدقى, الجيزة.",135278
جامعات وكليات ومعاهد,الرابطة العالمية لخريجى الازهر - جامعة الازهر,"1 ش المخيم الدائم, مدينة نصر, القاهرة.",381416
جامعات وكليات ومعاهد,السادات لعلوم الحاسب الالى واللغات,"2 ش عمر الجارم, متفرع من ش عمر بن عبد العزيز, طنطا, الغربية.",142203
جامعات وكليات ومعاهد,السلام للتكنولوجيا والمعلومات,"41 ش ترسا, الهرم, الجيزة.",121345
جامعات وكليات ومعاهد,الكلية التكنولوجية - المطرية,"30 ش متحف المطرية, المطرية, القاهرة.",374272
جامعات وكليات ومعاهد,الكلية الحربية,"طريق العروبة, الماظة, مصر الجديدة, القاهرة.",355586
جامعات وكليات ومعاهد,الكلية الفنية العسكرية,"طريق صلاح سالم, عباسية, القاهرة.",253377
جامعات وكليات ومعاهد,الكلية الكندية الدولية,"القطعة السادسة ش طه حسين, منطقة الخدمات المركزية, التجمع الخامس, القاهرة الجديدة, القاهرة.",66409
جامعات وكليات ومعاهد,المؤتمر العلمى العاشر لكلية الصيدلة - جامعة القاهرة,"كورنيش النيل, وسط البلد, القاهرة.",638267
جامعات وكليات ومعاهد,المؤسسة الثقافية العالمية - الجامعة العمالية,"6 طريق النصر, مدينة نصر, القاهرة.",381966
جامعات وكليات ومعاهد,المتكامل للدراسات الحديثة,"13 ش رأفت الطهطاوى, جسر السويس, القاهرة.",141532
جامعات وكليات ومعاهد,المجلس الاعلى للجامعات,"ش جامعة القاهرة, الجيزة, الجيزة.",258695
جامعات وكليات ومعاهد,المدينة,"5 ش الشيمى, الطوابق, فيصل, الجيزة.",333126
جامعات وكليات ومعاهد,المركز الامريكى البريطانى,"36 ش مصطفى كامل, سموحة, الاسكندرية.",212115
جامعات وكليات ومعاهد,المركز العربى للسياحة والفنادق والحاسب الالى والسكرتارية,"40 ش محرم بك, محرم بك, الاسكندرية.",128344
جامعات وكليات ومعاهد,المعاهد العليا كينج مريوط,"كم 31 - طريق الكافورى متفرع من طريق اسكندرية القاهرة الصحراوى, كينج مريوط, الاسكندرية.",28237
جامعات وكليات ومعاهد,المعهد التكنولوجى العالى - اتش تى اى,"7 مربع 1227 - ش خالد طعيمة, مساكن شيراتون, مصر الجديدة, القاهرة.",138155
