Category,Name,Address,ID
حفر,مؤسسة خاطر مصر للمواسير السيملس,"طريق الطلمبات, الرهاوى, منشية القناطر, الجيزة.",694689
حفر,النور بايب,"الطريق الدولى, وسط البلد, كفر الشيخ.",692571
حفر,ان هاوس لحفر الابار,"طريق الرهاوى, منشية القناطر, الجيزة.",693140
حفر,اجرى بلانتس للتنمية الزراعية,"21 ش الاندلس, مصر الجديدة, القاهرة.",694755
حفر,روسكو موس صحارى,"القطعة 463 - 464, امتداد المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",269605
حفر,ابار جروب للمقاولات العامة وحفر الابار,", الشقة 3, الدور 1, المحلية السابعة - عمارة 250, التجمع الثالث, القاهرة الجديدة, القاهرة.",633227
حفر,صحارى باور,", الرهاوى - منشأة القناطر, منشية القناطر, الجيزة.",676290
حفر,النيل لحفر الابار,"327 ش شبرا, المظلات, شبرا, القاهرة.",380941
حفر,مصر العربية للتنمية والاستثمار الزراعى,"2, الدور 6, ميدان عمان, الدقى, الجيزة.",680984
حفر,مصنع الجزيرة لتصنيع مواسير حفر الابار,"ش حسن طه - الطريق البطئ, متفرع من ش النجولى, قليوب, القليوبية.",693489
حفر,شركة الفتح للتجارة والمقاولات,", الرهاوى - منشأة القناطر, منشية القناطر, الجيزة.",396138
حفر,ابادريل,"62 ش المنصورى, تقاطع ش السبتية, السبتية, القاهرة.",143771
حفر,احمد طلبه لمحركات الكاتربيلر,"ش الغاز متفرع من كورنيش النيل, الوراق, الجيزة.",346995
حفر,اكوا لخدمات الحفر,", المحور المركزى - المجاورة الاولى, عمارة 49, الحى الرابع, السادس من اكتوبر, الجيزة.",667089
حفر,الابتكارات لسوائل الحفر,"151 ش 27 - المنطقة الخامسة - برج الجولف, التجمع الخامس, القاهرة الجديدة, القاهرة.",563792
حفر,الاسراء للحفر والخدمات البترولية,"12 ش الصفا والمروه - الدور 1 شقة 1, الطوابق, فيصل, الجيزة.",421691
حفر,الجيزة لحفر الابار الجوفية,"12 ش محمد كمال, امتداد ش اولاد عوف, الهرم, الجيزة.",146738
حفر,الدلتا للاساسات,"27 ش عطية الخولى متفرع من ش خضر التونى - الدور 3 شقة 304, مدينة نصر, القاهرة.",429906
حفر,الدولية لحفر الابار,"كم 57 - , طريق القاهرة الاسكندرية الصحرا, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",456151
حفر,الرضا للمقاولات والاعمال المتكاملة,"طريق نكلا الرهاوى رقم 1, الرهاوى, امبابة, الجيزة.",468290
حفر,الرهاوى بايب,"طريق نكلا الرهاوى, منشية القناطر, الجيزة.",638769
حفر,الشركة الذهبية للحفر وصيانة الابار,"القطعة 463 - 464 - - امتداد المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",387715
حفر,الشركة السويسرية,"قرية بنبان الجديدة, دروه, اسوان.",564911
حفر,الشركة العالمية لحفر الابار,"88 عمارات الشركة السعودية -, حدائق القبة, القاهرة.",454320
حفر,الشركة العامة للابحاث والمياه الجوفية - ريجوا,"19 ش عماد الدين, وسط البلد, القاهرة.",55016
حفر,الشركة العربية لمعدات الحفر,"28 مبنى ب - ش الامام الغزالى من ش متولى الشعراوى - الدور 3 شقة 311, المريوطية, الهرم, الجيزة.",263608
حفر,الشركة العربية لمقاولات حفر الابار - ايه سى دى سى,"112 ب ش عمار بن ياسر, مصر الجديدة, القاهرة.",147539
