Category,Name,Address,ID
هيئة الاوقاف المصرية,ديوان عام هيئة الاوقاف المصرية,"109 ش التحرير, الدقى, الجيزة.",222272
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية,"109 ش التحرير ميدان الدقى, الدقى, الجيزة.",222242
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - اسوان,"76 عمارة الاوقاف - ش ابطال التحرير, وسط البلد, اسوان.",222698
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - اسيوط,"عمارة المجذوب - ميدان المجذوب - الدور 2, حى غرب, اسيوط.",222570
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - الاسكندرية,"28 ش الشهيد مصطفى حافظ - ش فرنسا سابقا, المنشية, الاسكندرية.",205777
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - الاسماعيلية,"عمارات الاوقاف - طريق المزارعة, التل الكبير, الاسماعيلية.",222499
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - الاقصر,"ش توت عنخ امون, الاقصر, الاقصر.",222695
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - البحر الاحمر,"عمارة الياسمين - - حى الامل, الدهار, الغردقة.",222356
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - البحيرة,"ش عبد السلام الشاذلى, دمنهور, البحيرة.",222291
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - الجيزة,"64 ش محمود حبيش متفرع من ش وادى النيل - ميت عقبة, المهندسين, الجيزة.",222282
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - الدقهلية,"1 عمارات الاوقاف - ش الدراسات - الدور 3, المنصورة, الدقهلية.",222338
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - السويس,"عمارة الاوقاف - - حى الامل - الدور 5, فيصل, السويس.",222541
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - الغربية,"ميدان الساعة , طنطا, الغربية.",222317
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - الفيوم,"عمارة الاوقاف - ش الحرية - الدور 6, وسط البلد, الفيوم.",222364
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - القاهرة,"7 أ ش يوسف نجيب ميدان العتبة, العتبة, القاهرة.",222264
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - القليوبية,"عمارات الاوقاف - ميدان سعد زغلول, بنها, القليوبية.",222347
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - المنوفية,"ش جمال عبد الناصر - شبين الكوم قبلى, شبين الكوم, المنوفية.",222323
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - المنيا,"عمارات الاوقاف - ش 6 اكتوبر, وسط البلد, المنيا.",222458
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - بنى سويف,"109 ش محمد حميدة, بنى سويف, بنى سويف.",222477
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - بورسعيد,"60 ش صفية زغلول, حى الشرق, بور سعيد.",222475
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - دمياط,"ب عمارة الاوقاف ش سعد زغلول, الدور 3, دمياط, دمياط.",222332
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - سوهاج,"ش احمد ماهر, حى شرق, سوهاج.",222485
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - قنا,"عمارة الاوقاف - ش رعاية الطفل - الدور 3, وسط البلد, قنا.",222523
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - كفر الشيخ,"7 طريق المحلة تقسيم الاوقاف, وسط البلد, كفر الشيخ.",222296
هيئة الاوقاف المصرية,هيئة الاوقاف المصرية - مرسى مطروح,"عمارات الاوقاف - ش بورسعيد, وسط البلد, مرسى مطروح.",222528
