Category,Name,Address,ID
تعبئة وتغليف,كرتونك لتصنيع وطباعة الكرتون والتعبئة والتغليف,", المنطقة الصناعية الرابعة - مجمع CPC الصناعى, السادس من اكتوبر, الجيزة.",583657
تعبئة وتغليف,نيو باك للطباعة والكرتون,"54 ب, الدور 3, المحور المركزى - مركز المدينة التجارى, المنطقة الصناعية الاولى, السادس من اكتوبر, الجيزة.",530471
تعبئة وتغليف,باك فور باك,"ش دايو, المنطقة الصناعية الاولى, السادس من اكتوبر, الجيزة.",687313
تعبئة وتغليف,ايجى رول,"كم 19 طريق اسكندرية القاهرة الصحراوى, مرغم, الاسكندرية.",209394
تعبئة وتغليف,نيو جولدن باك لصناعة الكرتون,"القطعة 448 ش 6, امتداد المنطقة الصناعية الثالثة, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",124264
تعبئة وتغليف,المشرق للتعبئة والتغليف,"16 ش عبد الحليم نويرة, النزهة الجديدة, القاهرة.",502725
تعبئة وتغليف,ايجى باليت لصناعة البالتات الخشبية,"طريق ترعة المنصورية, اول طريق كرداسة ابو رواش, كرداسة, الجيزة.",528170
تعبئة وتغليف,باك هاوس ايجيبت للصناعة والتجارة,"القطعة 104, المنطقة الصناعية A4, العاشر من رمضان, الشرقية.",636019
تعبئة وتغليف,جرين باك لتصنيع الكرتون,"114 ش حمادة امام, المنطقة الصناعية الثالثة, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",169127
تعبئة وتغليف,الشركة المصرية لتكنولوجيا البلاستيك,"القطعة 46 - كم 5 طريق بلبيس, المنطقة الصناعية الثانية, بلبيس, الشرقية.",161816
تعبئة وتغليف,الاهرام لصناعة الورق والكرتون,"القطعة 187,186, مجمع سى بى سى الصناعى - التوسعات الشمالية, السادس من اكتوبر, الجيزة.",695044
تعبئة وتغليف,المستقبل ستار باك للكرتون والتعبئة والتغليف,"القطعة 217 ش حمادة امام, المنطقة الصناعية الثانية, السادس من اكتوبر, الجيزة.",293167
تعبئة وتغليف,جرين باك,", العكرشة, ابو زعبل, القليوبية.",693612
تعبئة وتغليف,الشركة الدولية للصناعات الحديثة - يورباك مصر,"بلوك 12007 القطعة 8 ش 500, المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",143475
تعبئة وتغليف,الشركة الدولية للكرتون المضلع,"قطعة 20, محور خدمى ثان, المنطقة الصناعية الثانية, السادس من اكتوبر, الجيزة.",503613
تعبئة وتغليف,الفؤاد للتجارة والصناعة,"القطعة 4/92, المنطقة الصناعية الثالثة A3, العاشر من رمضان, الشرقية.",545801
تعبئة وتغليف,برنت هوم لطباعة مواد التعبئة والتغليف,", المنطقة الصناعية الثانية - مدينة مبارك الصناعية, قويسنا, المنوفية.",101599
تعبئة وتغليف,الافضل لتصنيع وطباعة الكرتون والتعبئة والتغليف,", المنطقة الصناعية الرابعة - مجمع CPC الصناعى, السادس من اكتوبر, الجيزة.",692257
تعبئة وتغليف,العبيدى للتجارة,"القطعة 105, المنطقة الصناعية الثالثة - المنطقة الصناعية A4, العاشر من رمضان, الشرقية.",690578
تعبئة وتغليف,تكنو رابد لصناعة الكرتون المضلع والحصيرة,", امتداد المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",449629
تعبئة وتغليف,شركة الاخلاص للصناعات البلاستيكية,"بلوك 19 - قطعة 7-8-27-28 ش البنزينة, المنطقة الصناعية الثالثة, برج العرب, الاسكندرية.",581309
تعبئة وتغليف,الشركة المصرية الايطالية - ايروباك,", المنطقة الصناعية الثالثة A3 - ارض الشريف, العاشر من رمضان, الشرقية.",133952
تعبئة وتغليف,يونيون باك للكرتون والمنتجات الورقية,", الاردنية, العاشر من رمضان, الشرقية.",580568
تعبئة وتغليف,ميجا بلاست لمواد التعبئة والتغليف,"طريق مصر اسكندرية الزراعى, كفر الدوار, البحيرة.",692612
تعبئة وتغليف,النصر لخراطة وتشكيل المعادن وتصنيع القوالب البلاستيك,"الكيلو 23 طريق اسكندرية القاهرة الصحراوى, مرغم, الاسكندرية.",689421
تعبئة وتغليف,بولى تريد للصناعة,"قطعة 188 G, المنطقة الصناعية الثالثة - منطقة 6 مليون, العاشر من رمضان, الشرقية.",626674
تعبئة وتغليف,باك هوم لصناعة الكرتون,"القطعة 100, المنطقة الصناعية جنوب غرب 6أ, العاشر من رمضان, الشرقية.",564026
تعبئة وتغليف,بلوباك للطباعة والكرتون,"القطعة 290 /291, المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",544976
تعبئة وتغليف,بروفيشنال برنت,"117 عمارات صقر قريش ش عبد الحميد بدوى, مساكن شيراتون, مصر الجديدة, القاهرة.",694275
تعبئة وتغليف,المملوك للسخانات الصناعية وماكينات البلاستيك,", مركز اجا, منيه سمنود, الدقهلية.",503590
تعبئة وتغليف,كواليتى ستيل للاعمال الهندسية,"ش الجوهرة, المنطقة الصناعية الثانية, برج العرب, الاسكندرية.",687174
تعبئة وتغليف,اندستريز بلاست,"وحدة 313, المنطقة الصناعية الثالثة مجمع جرين لاند, العاشر من رمضان, الشرقية.",688837
تعبئة وتغليف,باك فور يو,", المنطقة الصناعية الاولى, السادس من اكتوبر, الجيزة.",694014
تعبئة وتغليف,تكنو برنت للصناعات البلاستيكية,"69 ش النصر, مساكن شيراتون, مصر الجديدة, القاهرة.",694508
تعبئة وتغليف,بروديرما لعبوات مستحضرات التجميل المستوردة,"برج فيينا الطريق السريع, الدور 3, طنطا, الغربية.",670452
تعبئة وتغليف,يونايتد باك لصناعات التغليف,"ش سامى البيلى, متفرع من الطريق البطئ, قليوب, القليوبية.",565425
تعبئة وتغليف,ستاركو جروب,"القطعة ٦/٥/٣, المنطقة الصناعية A2, العاشر من رمضان, الشرقية.",112650
تعبئة وتغليف,العاشر للطباعة والنشر والتغليف - كارتبرس,"ش المدينة المنورة, المنطقة الصناعية C1, العاشر من رمضان, الشرقية.",44303
تعبئة وتغليف,اولتك الهندسية - مصر,"7 عمارات الفردوس, طريق المنصورية - غطاطى, الهرم, الجيزة.",120111
تعبئة وتغليف,ميكسى لصناعة الشنط والشكاير الورقية,"ك 17 طريق اسكندرية القاهرة الزراعى, طريق الاسكندرية القاهرة الزراعى, الاسكندرية.",693878
تعبئة وتغليف,باندا ميدل ايست للتوريد والتصدير,"ش المستقبل, الشيخ زايد, السادس من اكتوبر, الجيزة.",632389
تعبئة وتغليف,شركة الألمانية ماشين لصناعة ماكينات التعبئة والتغليف,"قطعة 298, مجمع الروبيكى الصناعى, العاشر من رمضان, الشرقية.",687840
تعبئة وتغليف,المتحدة بلاست,"ش ترعة المنصورية, زاوية ابو مسلم, الهرم, الجيزة.",584615
تعبئة وتغليف,العمرانية لحلول التغليف - او بى اس,"293 ش بورسعيد, سيدى جابر الشيخ, الاسكندرية.",151501
تعبئة وتغليف,ميرج للتغليف,"فيلا 23 ش الفحام, المجاورة 26, العاشر من رمضان, الشرقية.",691707
تعبئة وتغليف,شركة الرقية لماكينات التعبئة والتغليف,"قطعة 26, مدينة بدر, القاهرة.",680441
تعبئة وتغليف,الرحاب لزوايا الكرتون والاستيراد والتصدير,"طريق بنها الزقازيق, العزيزية, منيا القمح, الشرقية.",680019
تعبئة وتغليف,القائد للصناعات البلاستيكية,"القطعة 11/7, المنطقة الصناعية الثالثة A2, العاشر من رمضان, الشرقية.",47896
تعبئة وتغليف,اراب باك,"القطعة الرابعة - بلوك 27012 ش الشباب, المنطقة الصناعية ب، ج, مدينة العبور, القليوبية.",269058
تعبئة وتغليف,اسكندرية للصناعات المعدنية والتجارة,"75 ش قناة السويس, محرم بك, الاسكندرية.",133035
تعبئة وتغليف,الجوهرى لصناعة العبوات المعدنية,"كم 28 طريق القاهرة اسكندرية الصحراوى, ابو رواش, الجيزة.",137277
تعبئة وتغليف,داود باك لمواد التعبئة والتغليف,"القطعة 344, المنطقة الصناعية الثالثة - الروبيكى - جنوب غرب 6أ, العاشر من رمضان, الشرقية.",472586
تعبئة وتغليف,ابناء البحقيرى للبلاستيك,"قطعة 104 ش البحقيرى, المنطقة الصناعية, ابو رواش, الجيزة.",278632
تعبئة وتغليف,كريستال للنشا والاستيراد والتصدير والتوكيلات التجارية,"برج زقلط, الدور 6, منيا القمح, الشرقية.",694272
تعبئة وتغليف,حلوان لرقائق الالومنيوم,"طريق ميت حلفا الشرقاوية, قليوب, القليوبية.",126475
تعبئة وتغليف,مصنع الاتربى لانتاج الاسترتش الصناعى,"بلوك 20, المرحلة الاولى, المنطقة الصناعية, جمصة, الدقهلية.",649056
