Category,Name,Address,ID
محركات ديزل,مارين تك,"2 ش كامل يونس, متفرع من طريق الكيلو 26, ابو رواش, الجيزة.",51451
محركات ديزل,نجاتى للاستيراد وتأجير الاوناش والمولدات الكهربائية,"كم 26, طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",534528
محركات ديزل,المؤسسة المتحدة للاستيراد والتصدير,"2 ش ال يوسف, المريوطية, فيصل, الجيزة.",379246
محركات ديزل,الشركة العربية لخدمة الديزل - سفن ديزل - وديد فهمى,"14 ش المهدى, متفرع من ش الجمهورية, وسط البلد, القاهرة.",300206
محركات ديزل,شركة الاسكندرية للصيانة الميكانيكية,"كم 28 طريق اسكندرية القاهرة الصحراوى, نهاية ش بلال بن رباح, العامرية, الاسكندرية.",199450
محركات ديزل,الشركة المصرية العالمية للسيارات - تربوتشارجر,"طريق الاوتوستراد, اول الطريق الصاعد للمقطم, المقطم, القاهرة.",111829
محركات ديزل,الشناوى لاستيراد المعدات الثقيلة,"ك 26 طريق اسكندرية القاهرة الصحراوى, مرغم, الاسكندرية.",689931
محركات ديزل,الدولية للهندسة والتجارة,"برج نوبل - ش البحر الاعظم - جزيرة الدهب شقة 11, المنيب, الجيزة.",22071
محركات ديزل,شركة الديزل لقطع غيار محركات الديزل,"2, ميدان الخلفاوى متفرع من ش البشير, شبرا, القاهرة.",511345
محركات ديزل,ابناء انور بسطا للاستيراد والتصدير,"29 ش عماد الدين, وسط البلد, القاهرة.",14900
محركات ديزل,ابو دياب لقطع غيار الديزل,"99 ش جسر البحر, شبرا, القاهرة.",434083
محركات ديزل,احمد حشاش واولاده,"ش السنترال, الاردنية - مركز المدينة, العاشر من رمضان, الشرقية.",618909
محركات ديزل,احمد رشوان عبد العال,"6 ش على باشا مبارك متفرع من ش صلاح الدين, العطارين, الاسكندرية.",265486
محركات ديزل,اخوان مطر,"امتداد ش مسجد القبارى, القبارى, الاسكندرية.",27851
محركات ديزل,اس اتش لمحركات الديزل,", المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",651363
محركات ديزل,افريقيا متالوك,"ش 9 - عزبة العرب, بهتيم, القليوبية.",330231
محركات ديزل,اكسبريس,"8 عمارات الاتصالات - طريق الاوتوستراد, المعادى الجديدة, المعادى, القاهرة.",101415
محركات ديزل,الاخوة المتحدين,"طريق المريوطية - شبرامنت, المريوطية, الهرم, الجيزة.",347100
محركات ديزل,الامريكية باور للهندسة الميكانيكية,"10 ش ابو غابة متفرع من ش المنشية, الطوابق, فيصل, الجيزة.",483494
محركات ديزل,البدر,"ش الحرية, تلا, المنوفية.",318956
محركات ديزل,البطل لقطع غيار الديزل,"ش الجيش, الصف, الجيزة.",114978
محركات ديزل,الحمد للاستيراد والتجارة,"129 ج ش جسر البحر, شبرا, القاهرة.",48822
محركات ديزل,الدولية,"ش المطار, المعصرة, القاهرة.",379267
محركات ديزل,الرجاء,"45 ش الخشاب متفرع من ش البلينى, شبرا, القاهرة.",311501
محركات ديزل,الزهراء لقطع الغيار,"ش السنترال الاردنية, العاشر من رمضان, الشرقية.",635194
محركات ديزل,السنوسى لخدمة الديزل,"31 أ ش شامبليون تقاطع ش معروف, وسط البلد, القاهرة.",61104
محركات ديزل,السويدى لتأجير الديزل,"47 ش الامام عيد, الهرم, الجيزة.",168774
محركات ديزل,الشرق الهندسية للتجارة وخدمة الديزل,"35, 37 ش عماد الدين, وسط البلد, القاهرة.",45114
محركات ديزل,الشركة الحديثة للهندسة والتجارة,"7 ش الانصارى, المعادى الجديدة, المعادى, القاهرة.",17048
محركات ديزل,الشركة العالمية للديزل,"القطعة 594 - امتداد المنطقة الصناعية الثالثة, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",168780
محركات ديزل,الشركة العصرية للهندسة التجارية,"31 ش جمال عبد الناصر تقسيم عمرو بن العاص الثالث, فيصل, الجيزة.",135697
محركات ديزل,الشركة الفنية لخدمة الديزل,"5 ش البشير الخلفاوى, شبرا, القاهرة.",151361
