Category,Name,Address,ID
فول وطعمية,ابناء المحلة الكبرى,"ش جمال عبد الناصر, قلين, كفر الشيخ.",359302
فول وطعمية,ابناء الواحة,"عمارات صقر قريش -, المعادى, القاهرة.",386665
فول وطعمية,ابو النجا,"ش حسن ابو النجا, فيصل, الجيزة.",406935
فول وطعمية,ابو حسام,"12 ش اسامة ابو عميرة, فيصل, الجيزة.",245918
فول وطعمية,ابو حسن,"4 ش الجمهورية, حدائق المعادى, المعادى, القاهرة.",501466
فول وطعمية,ابو سما الشبراوى,"45 ش عبد الرحيم باشا صبرى متفرع من ش لطفى حسونة, الدقى, الجيزة.",596227
فول وطعمية,ابو شريف,"19 ش الطنانى متفرع من ش ترعة السواحل, امبابة, الجيزة.",262752
فول وطعمية,ابو عاصم,"1 ش عبد الروؤف, عزبة النخل, القاهرة.",179342
فول وطعمية,ابو على,"37 ش النهضة - عزبة النخل الشرقية, عزبة النخل, القاهرة.",472343
فول وطعمية,ابو عمرو,"2 ش مسجد حلاوة - المنيرة الشرقية, امبابة, الجيزة.",578447
فول وطعمية,ابو نور,"ش المركز, الحامول, كفر الشيخ.",349142
فول وطعمية,ارابياتا,"1 ش ذاكر حسين, الحى السابع, مدينة نصر, القاهرة.",173087
فول وطعمية,ارزاق,"21 ش الاسلام - مدينة الصفا, المرج, القاهرة.",563690
فول وطعمية,الاخلاص,"10 ش سويقة السباعين, السيدة زينب, القاهرة.",620751
فول وطعمية,الاخلاص,"ش نبيل طه, فيصل, الجيزة.",400788
فول وطعمية,الباشا,"ش احمد بدوى, ابو النمرس, الجيزة.",272147
فول وطعمية,البركة,"ش احمد لمعى, العرب, المعادى, القاهرة.",409800
فول وطعمية,الحرمين,"2 ش 25, شبرا الخيمة, القليوبية.",411529
فول وطعمية,الرحمة,"ش احمد حلمى مرزوق, الحادقة, الفيوم.",327852
فول وطعمية,الزعيم,"ش الخليفة المأمون, وسط البلد, كفر الشيخ.",340050
فول وطعمية,الشافعى,"ش حيدر, حلوان, القاهرة.",384996
فول وطعمية,الشبراوى,"12 عمارات حدائق رامو ش عمر بن الخطاب, مدينة نصر, القاهرة.",121417
فول وطعمية,الشبراوى,"21 ش 151 ميدان الحرية, المعادى, القاهرة.",148108
فول وطعمية,الشبراوى,"26 ش سمير عبد الرؤوف, امتداد ش مكرم عبيد, الحى الثامن, مدينة نصر, القاهرة.",73622
فول وطعمية,الشبراوى,"329 ش بورسعيد, السيدة زينب, القاهرة.",191784
فول وطعمية,الشبراوى,"53 ش جسر السويس, عمارات الفاروقية - عمارة 2 ب, جسر السويس, القاهرة.",179562
