Category,Name,Address,ID
اقسام الشرطة,قسم شرطة 15 مايو,", المجاورة الاولى, مدينة 15 مايو, القاهرة.",383125
اقسام الشرطة,قسم شرطة 6 اكتوبر اول,", منطقة خدمات الحى السابع, الحى السابع, السادس من اكتوبر, الجيزة.",383397
اقسام الشرطة,قسم شرطة 6 اكتوبر ثانى,"., السادس من اكتوبر, الجيزة.",383400
اقسام الشرطة,قسم شرطة اسوان,"ش ابطال التحرير, وسط البلد, اسوان.",383031
اقسام الشرطة,قسم شرطة اسيوط اول,"ش سعد زغلول, ميدان البندر, اسيوط, اسيوط.",350676
اقسام الشرطة,قسم شرطة اسيوط ثانى,"ش كورنيش النيل, اسيوط, اسيوط.",351416
اقسام الشرطة,قسم شرطة الازبكية,"ش الجلاء, الازبكية, القاهرة.",383232
اقسام الشرطة,قسم شرطة الاسماعيلية اول,"ش التحرير, وسط البلد, الاسماعيلية.",383411
اقسام الشرطة,قسم شرطة الاسماعيلية ثالث,"ش 7, الشيخ زايد, الاسماعيلية.",383416
اقسام الشرطة,قسم شرطة الاسماعيلية ثانى,"., حى السلام, الاسماعيلية.",383413
اقسام الشرطة,قسم شرطة الاقصر,"ش مديرية الامن, الاقصر, الاقصر.",385049
اقسام الشرطة,قسم شرطة الاهرام,"ش الهرم - المنطقة الاثرية, الهرم, الجيزة.",359110
اقسام الشرطة,قسم شرطة البساتين,"ش البساتين العمومى, المنطقة الصناعية, البساتين, القاهرة.",383135
اقسام الشرطة,قسم شرطة التبين,"., التبين, القاهرة.",383139
اقسام الشرطة,قسم شرطة الجمالية,"ش بيت القاضى, الجمالية, القاهرة.",383241
اقسام الشرطة,قسم شرطة الجمرك,"ش البحرية, تقاطع ش الجمرك القديم, الجمرك, الاسكندرية.",382966
اقسام الشرطة,قسم شرطة الجناين,", قرية عامر, الجناين, السويس.",385287
اقسام الشرطة,قسم شرطة الجيزة,"ش البحر الاعظم, الجيزة, الجيزة.",383388
اقسام الشرطة,قسم شرطة الحسنة,"., الحسنة, شمال سيناء.",385142
اقسام الشرطة,قسم شرطة الحمام,"ش القسم, حمامات كليوباترا, مرسى مطروح.",385064
اقسام الشرطة,قسم شرطة الخارجة,"., الخارجة, الوادى الجديد.",383317
اقسام الشرطة,قسم شرطة الخصوص,"ش المرج, الخصوص, القليوبية.",385012
اقسام الشرطة,قسم شرطة الخليفة,", ميدان صلاح الدين, الخليفة, القاهرة.",383142
اقسام الشرطة,قسم شرطة الدخيلة,"., الدخيلة, الاسكندرية.",382974
اقسام الشرطة,قسم شرطة الدرب الاحمر,", ميدان الحلمية الجديدة, الدرب الاحمر, القاهرة.",383242
اقسام الشرطة,قسم شرطة الدقى,"ش المساحة, ميدان الجلاء, الدقى, الجيزة.",383386
اقسام الشرطة,قسم شرطة الرحاب,"كم 24 طريق القاهرة السويس الصحراوى, مدينة الرحاب, القاهرة.",584742
اقسام الشرطة,قسم شرطة الرمل,"524 ش مصطفى كامل, سابا باشا, الاسكندرية.",382934
اقسام الشرطة,قسم شرطة الرمل ثانى,", مجمع المدارس, السيوف, الاسكندرية.",382935
اقسام الشرطة,قسم شرطة الزاوية الحمراء,"ش منشية الجمل, الزاوية الحمراء, القاهرة.",383199
اقسام الشرطة,قسم شرطة الزقازيق ثانى,"ش المركز, متفرع من ش الجلاء, الزقازيق, الشرقية.",385201
اقسام الشرطة,قسم شرطة الزهور,"مساكن عمر بن الخطاب, حى الزهور, بور سعيد.",385164
اقسام الشرطة,قسم شرطة الزيتون,"ش طومانباى, الزيتون, القاهرة.",383201
اقسام الشرطة,قسم شرطة الساحل,"ش شبرا, شبرا, القاهرة.",383205
اقسام الشرطة,قسم شرطة السلام,"ش السادات, مدينة السلام, القاهرة.",383152
اقسام الشرطة,قسم شرطة السلوم,"الطريق الرئيسى, السلوم, مرسى مطروح.",385066
اقسام الشرطة,قسم شرطة السويس,"ش طه الحكيم, ميدان المطافئ, حى السويس, السويس.",385283
اقسام الشرطة,قسم شرطة السيدة زينب,", ميدان السيدة زينب, السيدة زينب, القاهرة.",383145
اقسام الشرطة,قسم شرطة الشرابية,"ش الشركات, الشرابية, القاهرة.",383207
اقسام الشرطة,قسم شرطة الشرق,"ش رمسيس, تقاطع ش مصطفى كامل, حى الشرق, بور سعيد.",385153
اقسام الشرطة,قسم شرطة الشروق,"مساكن الشباب الاستثمارى, مدينة الشروق, القاهرة.",383164
