Category,Name,Address,ID
مطابخ,فاين للتجارة - معدات المطابخ والمغاسل,"85 عمارات الشركة السعودية ش العروبة, الشطر السابع, المعادى الجديدة, المعادى, القاهرة.",58493
مطابخ,تارجت للاستيراد والتصدير,", المنطقة الصناعية الاولى, القطامية, القاهرة.",685213
مطابخ,الفيروز للتجارة والهندسة ش. م. م,"33 ش احمد ابو العلا, الحى الثامن, مدينة نصر, القاهرة.",3436
مطابخ,ارت هوم للاثاث,"ش مسجد الزينى, متفرع من ش التروللى, بركة الحاج, المرج, القاهرة.",689656
مطابخ,التوحيد جى تى للمطابخ والالومنيوم يو بى فى سي,"برج فرج أول شارع عبد السلام عارف, أسواق على, المنصورة, الدقهلية.",689785
مطابخ,كيه اى اف,"القطعة 416, المنطقة الصناعية - منطقة 1000 مصنع, التجمع الثالث, القاهرة الجديدة, القاهرة.",687822
مطابخ,اتش ام للصناعات المعدنية,"القطعة 45, مجمع الصناعات الصغيرة - مجمع ج - المنطقة الجنوبية, العاشر من رمضان, الشرقية.",680849
مطابخ,المطبخ الاوروبى,"3 عمارات التعاونيات ش افريقيا, مدينة نصر, القاهرة.",597113
مطابخ,شركة ارك لاين,"6 ش معز الدولة, متفرع من ش مكرم عبيد, مدينة نصر, القاهرة.",602850
مطابخ,فيوتشر ديزاين,"373 المحور المركزى - المجاورة الثانية, السادس من اكتوبر, الجيزة.",452040
مطابخ,كيه اند بى,"6 ش كمال عمران, متفرع من ش دمشق, المهندسين, الجيزة.",55452
مطابخ,لايت بوينت للدعاية والاعلان,"6 ش كمال عمران متفرع من ش دمشق, المهندسين, الجيزة.",45173
مطابخ,مجموعة جولدن ابل للتجارة والصناعة والانشاءات,"بلوك 23 - قطعة 8 - - المنطقة الصناعية الرابعة, برج العرب, الاسكندرية.",598751
مطابخ,مصنع ريتش وود للاثاث,"قطعة 56 - بلوك 16, امتداد المنطقة الصناعية, دمياط الجديدة, دمياط.",600258
مطابخ,مطابخ جنة السورية,"اول ش الزهراء - العمرانية, الطالبية, الهرم, الجيزة.",603349
مطابخ,ابداع للمطابخ,"31 ش جمال عبد الناصر, فيكتوريا, الاسكندرية.",427765
مطابخ,ابو السعود للتصميمات والديكور,", محور الكفراوى - المجاورة السابعة, الحى الثانى, السادس من اكتوبر, الجيزة.",436838
مطابخ,ابو جبل,"ش ابراهيم المغازى, تقسيم 2, كفر الشيخ.",347225
مطابخ,ابو مازن لتجارة الاخشاب والديكور,"15 ش الورشة, عزبة الهجانة, مدينة نصر, القاهرة.",219601
مطابخ,اثمار للمطابخ,"ميدان الحصرى - المحور المركزى, الحى السابع, السادس من اكتوبر, الجيزة.",437388
مطابخ,اجاد للمطابخ,"ش باريس, تقاطع ش صبرى ابو علم, بجوار اديداس, شبين الكوم, المنوفية.",694966
مطابخ,ادم للمطابخ,"1 ش معز الدولة, مدينة نصر, القاهرة.",665567
مطابخ,ادم ميتال لاعمال الالوميتال,"ش الغشام, الزقازيق, الشرقية.",651245
مطابخ,ارت هاوس,"ش ايمن عبد التواب, مؤسسة الزكاة, المرج, القاهرة.",689455
مطابخ,ارتيست للمطابخ,"166 أ ش 5, حدائق الاهرام, الهرم, الجيزة.",531412
مطابخ,ارتيستيك كيتشن,"278 ش السودان, المهندسين, الجيزة.",580809
مطابخ,ارتينوفا للاثاث والمطابخ,"23 ش البطل احمد عبد العزيز, الدور 1, المهندسين, الجيزة.",428881
مطابخ,ارك انتيريور ديزاين,"37 ش شمس الدين الذهبى, ارض الجولف, مصر الجديدة, القاهرة.",469042
مطابخ,اروتك,"عمارات لاندمارك طريق كوبرى 14 مايو, سموحة, الاسكندرية.",196956
مطابخ,اروزان للمطابخ,"16 عمارات حدائق رامو طريق النصر, تقاطع ش عمر بن الخطاب, مدينة نصر, القاهرة.",125352
مطابخ,اس جروب ال سالم,"ش الثقافة, الحى التاسع, مدينة العبور, القليوبية.",671748
مطابخ,اس جى ديزاين,"156 الياسمين 8 - محور مصطفى كامل, التجمع الخامس, القاهرة الجديدة, القاهرة.",631758
مطابخ,اسامة الشاهد جروب,"36 ش جامعة الدول العربية, الدور 1, المهندسين, الجيزة.",43063
مطابخ,است وود,"5 ش مجدى, متفرع من محور طه حسين, النزهة الجديدة, القاهرة.",665810
مطابخ,افريكانو,"1 ش 19 شمال متفرع من ش 45, العصافرة قبلى, الاسكندرية.",469250
مطابخ,اكاسيا للاثاث,"أ6, الروبيكى - جنوب غرب 485, العاشر من رمضان, الشرقية.",583851
مطابخ,اكسينا يونايتد كيتشنز,"35 ش احمد حشمت, الزمالك, القاهرة.",274700
