Category,Name,Address,ID
مديريات الشئون الصحية,مديرية الشئون الصحية,"53 ش عبد الخالق ثروت, العتبة, القاهرة.",46723
مديريات الشئون الصحية,مديرية الشئون الصحية - 6 اكتوبر,"المجاورة الثانية - الحى 11, الشيخ زايد, السادس من اكتوبر, الجيزة.",245598
مديريات الشئون الصحية,مديرية الشئون الصحية - اسوان,"ش الغازات - بركة الدماس, وسط البلد, اسوان.",245630
مديريات الشئون الصحية,مديرية الشئون الصحية - اسيوط,"ش كوبرى الملك فيصل, اسيوط, اسيوط.",245594
مديريات الشئون الصحية,مديرية الشئون الصحية - الاسكندرية,"97 طريق الحرية, باب شرق, الاسكندرية.",57703
مديريات الشئون الصحية,مديرية الشئون الصحية - الاسماعيلية,"ش شبين, حى ثالث, الاسماعيلية.",245586
مديريات الشئون الصحية,مديرية الشئون الصحية - الاقصر,"ش نادى المدينة المنورة, الاقصر, الاقصر.",245597
مديريات الشئون الصحية,مديرية الشئون الصحية - البحر الاحمر,"., وسط البلد, الغردقة.",245632
مديريات الشئون الصحية,مديرية الشئون الصحية - البحيرة,"ش عبد السلام الشاذلى - مجمع المصالح الحكومية, دمنهور, البحيرة.",245585
مديريات الشئون الصحية,مديرية الشئون الصحية - الجيزة,"34 ش ربيع الجيزى - الدور 6, الجيزة, الجيزة.",245587
مديريات الشئون الصحية,مديرية الشئون الصحية - الدقهلية,"ش مساكن عثمان - مدينة السلام, المنصورة, الدقهلية.",245578
مديريات الشئون الصحية,مديرية الشئون الصحية - السويس,"ش البلدية متفرع من طريق الملاحة, حى السويس, السويس.",245576
مديريات الشئون الصحية,مديرية الشئون الصحية - الشرقية,"ش المدير, الزقازيق, الشرقية.",245579
مديريات الشئون الصحية,مديرية الشئون الصحية - الغربية,"ش عزيز فهمى, طنطا, الغربية.",245583
مديريات الشئون الصحية,مديرية الشئون الصحية - الفيوم,"ش النبوى المهندس, وسط البلد, الفيوم.",245591
مديريات الشئون الصحية,مديرية الشئون الصحية - القليوبية,"., بنها الجديدة, القليوبية.",245580
مديريات الشئون الصحية,مديرية الشئون الصحية - المنوفية,"ش سعد زغلول - البر الشرقى, شبين الكوم, المنوفية.",245584
مديريات الشئون الصحية,مديرية الشئون الصحية - المنيا,"ميدان صيدناوى, وسط البلد, المنيا.",245592
مديريات الشئون الصحية,مديرية الشئون الصحية - الوادى الجديد,"ش العدل ميدان البساتين, الخارجة, الوادى الجديد.",245969
مديريات الشئون الصحية,مديرية الشئون الصحية - بنى سويف,"ش سعد زغلول, بنى سويف, بنى سويف.",245590
مديريات الشئون الصحية,مديرية الشئون الصحية - بورسعيد,"ش النهضة, متفرع من ش محمد على, حى الشرق, بور سعيد.",245575
مديريات الشئون الصحية,مديرية الشئون الصحية - جنوب سيناء,"ش طابا, الطور, جنوب سيناء.",245637
مديريات الشئون الصحية,مديرية الشئون الصحية - حلوان,"ش 10 متفرع من ش فيضى, حلوان, القاهرة.",80142
مديريات الشئون الصحية,مديرية الشئون الصحية - دمياط,"ميدان سرور - مجمع المصالح الحكومية, دمياط, دمياط.",245577
مديريات الشئون الصحية,مديرية الشئون الصحية - سوهاج,"ش مصنع البيبسى - مدينة ناصر, سوهاج, سوهاج.",245595
مديريات الشئون الصحية,مديرية الشئون الصحية - شمال سيناء,"حى الريسة, العريش, شمال سيناء.",245635
مديريات الشئون الصحية,مديرية الشئون الصحية - قنا,"ش المستشفيات, وسط البلد, قنا.",245629
مديريات الشئون الصحية,مديرية الشئون الصحية - كفر الشيخ,"ش الجمهورية, وسط البلد, كفر الشيخ.",433916
مديريات الشئون الصحية,مديرية الشئون الصحية - مرسى مطروح,"20 ش ابو هارون - ش شكرى القواتلى سابقا, وسط البلد, مرسى مطروح.",245633
مديريات الشئون الصحية,مركز تدريب مديرية الشئون الصحية - اسيوط,"ش الجمهورية, حى شرق, اسيوط.",351408
