Category,Name,Address,ID
منظفات وصابون,كامينا برودكتس كوربوريشن,"طريق كفر طهرمس, الطالبية, فيصل, الجيزة.",49464
منظفات وصابون,جنرال كيم للتجارة,"كم 28 طريق مصر اسكندرية الصحراوى, المنطقة الصناعية - ابو رواش - ميدان الصليبة, ابو رواش, الجيزة.",597482
منظفات وصابون,بى دبليو تى انترناشيونال,"12 أبراج زهراء سموحة ش مسجد ناصر - 314 سابقا -, سموحة, الاسكندرية.",96616
منظفات وصابون,تارجت لصناعة وتجارة الكيماويات - أباظة جروب,"القطعة الرابعة - بلوك 27, المنطقة الصناعية الثانية, برج العرب الجديدة, الاسكندرية.",664472
منظفات وصابون,كريستال للكيماويات المتخصصة,"ابر اج سيدى جابر - برج نجمة سموحة, سموحة, الاسكندرية.",143001
منظفات وصابون,الشركة العربية للكيماويات والمنظفات - كلين واى,"36 برج كونتيننتال بالاس ش توت عنخ امون, سموحة, الاسكندرية.",487810
منظفات وصابون,يونايتد مصر للاستثمارات التجارية والصناعية - شنايدر,"93 ش حسن رضوان, طنطا, الغربية.",121856
منظفات وصابون,مصنع بيوتى ناتشورال لمستحضرات التجميل,"قطعة 119, المنطقة الصناعية 100 فدان, مدينة بدر, القاهرة.",693479
منظفات وصابون,هورايزون كيميكال للكيماويات المتخصصة,"10 مكرر ش مصطفى لطفى المنفلوطى, ستانلى, الاسكندرية.",456457
منظفات وصابون,نيرول للتجارة والصناعة,"208 ش الجيش, الظاهر, باب الشعرية, القاهرة.",15283
منظفات وصابون,الدولية للتجارة والتوريدات,"ش البترول, الطريق الدائري, سرياقوس, مسطرد, القليوبية.",685629
منظفات وصابون,العالمية للمنظفات - فايتر فلاش,"القطعة 198, المنطقة الصناعية الاولى, مدينة بدر, القاهرة.",624840
منظفات وصابون,شركة الصفوة للتجارة والتوكيلات والتوريدات العمومية,"مكتب رقم 333 مبنى ج, الدور 3, مجمع على الدين, السادس من اكتوبر, الجيزة.",405653
منظفات وصابون,نوبل واكس,"2 ش 15 مايو, متفرع من طريق بيجام, شبرا الخيمة, القليوبية.",70021
منظفات وصابون,مصنع فور ام لمستحضرات التجميل والمنظفات,"القطعة 399, امتداد المنطقة الصناعية الثالثة, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",627085
منظفات وصابون,الرواد لتوريد المنظفات,"2 ش سوهاج, متفرع من ش اسوان, ميدان المحكمة, مصر الجديدة, القاهرة.",689945
منظفات وصابون,شركة مدار جروب مصر,"بلوك 16, امتداد المنطقة الصناعية الرابعة, برج العرب, الاسكندرية.",395654
منظفات وصابون,الكيميائى للتجارة والتوكيلات التجارية,"كومباوند الندي الطريق الزراعي, سموحة, الاسكندرية.",626642
منظفات وصابون,لايف اروماتيك لمكسبات الرائحة والاستيراد والتصدير,", المنطقة الصناعية - المنطقة الثانية, قويسنا, المنوفية.",581591
منظفات وصابون,شركة الاخوة للزيوت والمنظفات - اويل تك,"القطعة 8, المنطقة الصناعية الثانية, مدينة السادات, المنوفية.",132214
منظفات وصابون,بورسعيد الوطنية للصناعات الكيميائية - سبارش للمنظفات,"القطعة 456, المنطقة الصناعية جنوب غرب 6أ - الروبيكى, العاشر من رمضان, الشرقية.",687238
منظفات وصابون,شركة سينا للمنظفات والكيمياويات,"القطعة 41/27, المنطقة الصناعية الاولى, دمياط الجديدة, دمياط.",637142
منظفات وصابون,مصنع النيل لمستحضرات التجميل,"82 ش الامام محمد عبده, الدور 4, توريل الجديدة, المنصورة, الدقهلية.",486296
منظفات وصابون,مصنع السنهورى للكيماويات والمنظفات الصناعية,"بلوك 10 - القطعة 9,10,17, جنوب المنطقة الصناعية الثالثة, برج العرب, الاسكندرية.",58264
منظفات وصابون,مؤسسة الهدى لصابون الفنادق,"59 ش الشيخ ريحان, عابدين, وسط البلد, القاهرة.",178304
منظفات وصابون,اتلنتس جروب للكيماويات,"بلوك 18 - القطعة 21 - - المنطقة الصناعية الثالثة, برج العرب الجديدة, الاسكندرية.",119607
منظفات وصابون,الامريكية للخدمات الفنية,"49 ش موسى بن نصير, الحى السابع, مدينة نصر, القاهرة.",51170
منظفات وصابون,الحرة لصناعة الصابون,"القطعة 54, محور خدمى ثانى, المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",426475
منظفات وصابون,رويال كلين للمنظفات والكيماويات,"عنبر 1 - وحدة 8,16, المنطقة الصناعية الثانية - مجمع الصناعات الصغيرة, برج العرب الجديدة, الاسكندرية.",429902
منظفات وصابون,شركة النيل للزيوت والمنظفات,"ش 6 اكتوبر متفرع من ش ترعة الاسماعيلية, مسطرد, القليوبية.",74895
منظفات وصابون,25 يناير,"ش اطلس, حلوان, القاهرة.",335868
منظفات وصابون,25 يناير,"ش السلخانة, المسلة, الفيوم.",334290
منظفات وصابون,6 اكتوبر للمنظفات الصناعية,"القطعة 244 - - المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",185341
منظفات وصابون,ابراهيم سعيد للمنظفات,"41 ش جسر المنوات, ام خنان, الحوامدية, الجيزة.",646940
منظفات وصابون,ابراهيم وحبيبة للمنظفات,"حارة سيد احمد, عين شمس الشرقية, القاهرة.",318251
منظفات وصابون,ابن البلد,"ش ابراهيم مدكور, ابو النمرس, الجيزة.",331221
منظفات وصابون,ابن البلد للمنظفات,"مساكن مشروع ناصر - بلوك 46 - ش وسط المساكن, حلوان, القاهرة.",511724
منظفات وصابون,ابن النيل لتجارة وتوريدات المنظفات,"9 ارض الاموال العامة, متفرع من ش 306, صقر قريس, المعادى, القاهرة.",629335
منظفات وصابون,ابناء الشريف للمنظفات,"36 ش مصطفى الشريف, عزبة النخل, القاهرة.",533024
منظفات وصابون,ابناء الوادى للمنظفات,"2 ش سيد النادى - عرب الطوايلة, عزبة النخل, القاهرة.",527987
منظفات وصابون,ابناء سوهاج,"74 ش عز الدين عمر, الطالبية, الهرم, الجيزة.",416118
منظفات وصابون,ابناء سوهاج للمنظفات,"2 ش سوق الخضار, طره, القاهرة.",489003
منظفات وصابون,ابو احمد,"ش السد العالى, عين شمس الشرقية, القاهرة.",320199
منظفات وصابون,ابو احمد للمنظفات,"ش الجمهورية, اوسيم, الجيزة.",350520
منظفات وصابون,ابو احمد للمنظفات,"36 ش كولدير - ساقية مكى, المنيب, الجيزة.",501969
منظفات وصابون,ابو احمد للمنظفات,"61 ش ابو على, البراجيل, الجيزة.",547193
منظفات وصابون,ابو احمد للمنظفات,"ش د. صلاح منصور - حى مبارك, كفر صقر, الشرقية.",584457
منظفات وصابون,ابو ادهم للمنظفات,"18 ش احمد لمعى, العرب, المعادى, القاهرة.",409728
منظفات وصابون,ابو اشرف للمنظفات,"القطعة 6324 ش الروضة, متفرع من ش الجامعة الحديثة, الحى الخامس, المقطم, القاهرة.",637620
منظفات وصابون,ابو العربى للمنظفات,"ش بورسعيد - سنتريس, اشمون, المنوفية.",323333
منظفات وصابون,ابو الفتوح شريف للمنظفات,"زمام ميت حبيش القبلية - نيفا, طنطا, الغربية.",185346
منظفات وصابون,ابو المجد للمنظفات,"ش مسجد البر والايمان, سيدى بشر قبلى, الاسكندرية.",118429
منظفات وصابون,ابو المعاطى,"ش الحميدى, العرب, بور سعيد.",379051
منظفات وصابون,ابو الهول للمنظفات الكيماوية,"14 ش الحسينية, الجمالية, القاهرة.",287299
منظفات وصابون,ابو امير للمنظفات,"10 ش محمد صبرى, المرج, القاهرة.",561795
منظفات وصابون,ابو اية,"28 ش ابراهيم حسين, البساتين, القاهرة.",370448
منظفات وصابون,ابو جنى وجودى للمنظفات,"10 ش المعهد الديني - قرية بشتيل, اوسيم, الجيزة.",541650
منظفات وصابون,ابو حمادة,"ش سعد مهران, البساتين, القاهرة.",371235
منظفات وصابون,ابو حمزة للمنظفات,"2 ش مكة, عرب جسر السويس, عين شمس الشرقية, القاهرة.",652094
منظفات وصابون,ابو حمزة للمنظفات,"15 ش المدينة المنورة, النزهة الجديدة, القاهرة.",624016
منظفات وصابون,ابو حمزة للمنظفات,"64 ش جمال عبد الناصر, مدينة الهدى, حدائق حلوان, القاهرة.",649185
منظفات وصابون,ابو حمزة للمنظفات,"17 ش الامام مالك, العطارين, الاسكندرية.",482997
منظفات وصابون,ابو خالد للمنظفات,"القطعة 8119 - ش 103 متفرع من ش 9, المقطم, القاهرة.",273119
منظفات وصابون,ابو خالد للمنظفات,"1 ش السوق الكبير, البدرشين, الجيزة.",606699
منظفات وصابون,ابو داوود للتوزيع,"كم 28 - القطعة الثالثة - طريق القاهرة اسكندرية الصحراوى - المنطقة الصناعية الثالثة, ابو رواش, الجيزة.",306630
منظفات وصابون,ابو دسوقى للمنظفات,"132 ش العروبة - عزبة المفتى, امبابة, الجيزة.",578117
منظفات وصابون,ابو زهرة,"ش سيدى منصور, منيا القمح, الشرقية.",323931
منظفات وصابون,ابو زيد,"ش سيدى فايد, شبين الكوم, المنوفية.",286329
منظفات وصابون,ابو سعد للمنظفات,"6 ش السيدة خديجة, البدرشين, الجيزة.",606208
منظفات وصابون,ابو سمرة,"ش زين الدين العابدين, حلوان, القاهرة.",292122
منظفات وصابون,ابو سمرة,"6 ش التوحيد, فيصل, الجيزة.",253011
منظفات وصابون,ابو سمرة للمنظفات,"1 ش رفعت الامير, حدائق المعادى, المعادى, القاهرة.",686055
منظفات وصابون,ابو سمرة للمنظفات,"ش القدس, الطوابق, فيصل, الجيزة.",332497
منظفات وصابون,ابو سمرة للمنظفات,"1 ش حسن مشير, امبابة, الجيزة.",262363
منظفات وصابون,ابو سمرة للمنظفات,"36 ش النصر - ارض الجمعية, امبابة, الجيزة.",571943
منظفات وصابون,ابو سيفين للمنظفات,"ش 30 متفرع من ش القاهرة, سيدى بشر قبلى, الاسكندرية.",223888
منظفات وصابون,ابو صالح,"ش بورسعيد, ابو حماد, الشرقية.",335758
منظفات وصابون,ابو صلاح,"مجمع الزهراء, الرياض, كفر الشيخ.",364638
منظفات وصابون,ابو عادل,"10 ش الحسنية, الجمالية, القاهرة.",324762
منظفات وصابون,ابو عبد الله,"ش العروبة, امبابة, الجيزة.",353407
منظفات وصابون,ابو عبده,"ش الجيش, ميت غمر, الدقهلية.",337294
منظفات وصابون,ابو على,"6 ش الدكتور خالد, الهرم, الجيزة.",418714
منظفات وصابون,ابو عمار للمنظفات,"56 ش خالد ابن الوليد, عرب جسر السويس, جسر السويس, القاهرة.",653347
منظفات وصابون,ابو عمار للمنظفات,"10 ش امين حمادة, عزبة النخل, القاهرة.",522557
منظفات وصابون,ابو عمر للمنظفات,"35 ش عين شمس, حلمية الزيتون, القاهرة.",204595
منظفات وصابون,ابو عوض للمنظفات,"4 ش القشلة, ابو زعبل, القليوبية.",517795
منظفات وصابون,ابو عيطة للمنظفات,"63 ش محمد فؤاد ابو هميلة, العياط, الجيزة.",612306
منظفات وصابون,ابو قتادة للمنظفات,"1 ش الاتحاد, المنيب, الجيزة.",485672
منظفات وصابون,ابو كامل,"ش مصطفى كامل, ههيا, الشرقية.",361656
منظفات وصابون,ابو كرم للمنظفات,"2 ش النصر - مدينة الامل, امبابة, الجيزة.",538502
منظفات وصابون,ابو كريم,"ش سعد عبد الله, الطالبية, الهرم, الجيزة.",415932
منظفات وصابون,ابو كريم للمنظفات,"بلوك 76 - مساكن دلتا 2 -, مدينة السلام, القاهرة.",283527
منظفات وصابون,ابو كريم للمنظفات,"1 ش محمد الليثى, البساتين, القاهرة.",684155
منظفات وصابون,ابو كريم للمنظفات,"43 ش جمال عبد الناصر, كفر شكر, القليوبية.",519769
منظفات وصابون,ابو لمعة للمنظفات,"محلية 6 - - الحى الاول, مدينة العبور, القليوبية.",526900
منظفات وصابون,ابو مؤمن للمنظفات,"ش ابراهيم امام, حدائق حلوان, القاهرة.",379388
منظفات وصابون,ابو ماهر للمنظفات,"9 ش جامع فلفل متفرع من ش بشتيل العمومى, امبابة, الجيزة.",265669
منظفات وصابون,ابو محمد للمنظفات,"17 ش مسجد علاء الدين, الخصوص, القليوبية.",498571
منظفات وصابون,ابو معاذ للمنظفات,"الشارع الرئيسى, وسط البلد, الفيوم.",325691
منظفات وصابون,ابو منة للمنظفات,"48 ش سيد حمادة, الخصوص, القليوبية.",493823
منظفات وصابون,ابو نعمة,"14 ش حنفى محمود, الكوم الاخضر, الهرم, الجيزة.",382594
منظفات وصابون,ابو هاجر للمنظفات,"5 ش محمد مدين, عين شمس الشرقية, القاهرة.",327240
منظفات وصابون,ابو ياسر,"ش صلاح عويس, امبابة, الجيزة.",353347
منظفات وصابون,ابو ياسين للمنظفات,"2 ش ناجح, المنيب, الجيزة.",660656
منظفات وصابون,ابو ياسين للمنظفات,"8 ش المطحن - السيالة, دمياط, دمياط.",510615
منظفات وصابون,ابو يوسف,"ش المهندس محمد رضا, حدائق المعادى, المعادى, القاهرة.",355799
منظفات وصابون,ابو يوسف,"76 ش الحسنية, الجمالية, القاهرة.",324907
منظفات وصابون,ابو يوسف,"ش احمد عبد ربه, طره, القاهرة.",404768
منظفات وصابون,ابو يوسف,"15 ش المدرس, الطالبية, الهرم, الجيزة.",416341
منظفات وصابون,ابو يوسف للمنظفات,"مساكن الجمهورية -, مدينة السلام, القاهرة.",389970
منظفات وصابون,ابو يوسف للمنظفات,"60 ش فرغلى حسانين, متفرع من ش الفريد, عزبة النخل الغربية, عزبة النخل, القاهرة.",658621
منظفات وصابون,ابو يوسف للمنظفات,"ش كامل صدقى, الفجالة, القاهرة.",584437
منظفات وصابون,ابو يوسف للمنظفات,"1 ش الجمهورية, المرج, القاهرة.",480959
منظفات وصابون,ابو يوسف للمنظفات,"ش شوادر, الابراهيمية, الشرقية.",363328
منظفات وصابون,ابيدوس,"33 ش القومية العربية, الوراق, الجيزة.",387317
منظفات وصابون,ابيض X ابيض,"131 ش الخليل ابراهيم متفرع من ش مصطفى حافظ, عين شمس, القاهرة.",276046
منظفات وصابون,اتش ام جروب,", المجاورة الثالثة, المنطقة السابعة - عمارة 21, مدينة الشروق, القاهرة.",642371
منظفات وصابون,اتشى للمنظفات,"الطريق الابيض, ارض اللواء, الجيزة.",269824
منظفات وصابون,اجروبلس للصناعات الكيماوية,"6 ش احمد تيسير, كلية البنات, مصر الجديدة, القاهرة.",580683
منظفات وصابون,اجمل بسمة للمنظفات,"1 ش الامام على, فيصل, الجيزة.",684110
منظفات وصابون,احمد عبد الفتاح للمنظفات,"3 ش احمد عبد الله, عين شمس, القاهرة.",206160
منظفات وصابون,احمد عوض,"ش السرجة, مصر القديمة, القاهرة.",408558
منظفات وصابون,احمد للمنظفات,"48 ش بدر الونائى, السيدة عائشة, القاهرة.",327861
منظفات وصابون,احمد وخالد للمنظفات,"7 ش الخلفاء, الجيزة, الجيزة.",684948
منظفات وصابون,اخر حاجة,"ش البحر, منية النصر, الدقهلية.",354366
منظفات وصابون,اخو زمزم للمنظفات,"23 ش الكفاح متفرع من ش على عبد العزيز, البساتين, القاهرة.",505050
منظفات وصابون,ادم,"13 مساكن ايجيكو -, مدينة السلام, القاهرة.",388932
منظفات وصابون,ادم للمنظفات,", المجاورة الثانية, مدينة المعراج, زهراء المعادى, المعادى, القاهرة.",463345
منظفات وصابون,ادم للمنظفات,"9 ش ابو مرجان, ارض اللواء, الجيزة.",551584
منظفات وصابون,ادهم للمنظفات,"ش 22 متفرع من ش جمال عبد الناصر, سيدى بشر, الاسكندرية.",236134
منظفات وصابون,ادهم للمنظفات,"5 ش الفكهانى متفرع من ش الرصافة, محرم بك, الاسكندرية.",482761
منظفات وصابون,ارزاق,"ش المنيسى, المسلة, الفيوم.",334295
منظفات وصابون,ارك للمنظفات,"13 ش صبرى عبد الجليل, الزيتون, القاهرة.",663339
منظفات وصابون,اريال,"ش دار الرماد الجديد, وسط البلد, الفيوم.",341583
منظفات وصابون,اس اند جى انترماركت,"5 ابراج سالى مول - ش عطية الصوالحى - الدور 8, الحى الثامن, مدينة نصر, القاهرة.",482270
منظفات وصابون,اسامة,"ش ترعة الخشاب, حدائق حلوان, القاهرة.",378521
منظفات وصابون,اسامة,"24 ش جامع السنية, الكوم الاخضر, فيصل, الجيزة.",372854
منظفات وصابون,اسامة خليل للمنظفات,"الشارع التجارى, الشيخ زايد, الاسماعيلية.",296196
منظفات وصابون,اسامة شاهين,"ش الجمهورية, السنطة, الغربية.",349628
منظفات وصابون,اسبريف,"26 ش سيد هلال متفرع من ش مراد على - مدينة الهدى - الدور 1, حدائق حلوان, القاهرة.",396967
منظفات وصابون,اسراء,"ش المركز, ابو المطامير, البحيرة.",373405
منظفات وصابون,اسراء للمنظفات,"3 ش مرسى محمود, ارض اللواء, الجيزة.",553436
منظفات وصابون,اسكندرية لصناعة الصابون,"المنطقة الصناعية الثانية, السادس من اكتوبر, الجيزة.",69999
منظفات وصابون,اسكندرية لصناعة الصابون وتعبئة الزيوت,"بلوك 15 - القطعة 13 - - المنطقة الرابعة, برج العرب الجديدة, الاسكندرية.",350430
منظفات وصابون,اسكندرية للزيوت والصابون,"76 ش قنال المحمودية, كرموز, الاسكندرية.",20273
منظفات وصابون,اسلام للمنظفات,"ش الوسط - عرب غنيم, حلوان, القاهرة.",291703
منظفات وصابون,اسلام للمنظفات,"21 ش فخر الدولة, البدرشين, الجيزة.",654266
منظفات وصابون,اسماء,"ش طه ابو النور متفرع من ش فيصل, فيصل, الجيزة.",321695
منظفات وصابون,اسواق البدر,"ش السوق, الحى السادس, مدينة نصر, القاهرة.",312411
منظفات وصابون,اسواق الزهور,"ش 118 متفرع من ش الاربعين, المطرية, القاهرة.",261444
منظفات وصابون,اسواق الفتح,"ش السيدة عائشة, السيدة عائشة, القاهرة.",327935
منظفات وصابون,اسواق الفضل,"ش بنى عقيل, سراى القبة, القاهرة.",300152
منظفات وصابون,اسواق الفضيل للمنظفات,"7 ش بنى عقيل, سراى القبة, القاهرة.",408108
منظفات وصابون,اسواق الفيروز للمنظفات,"81 ش الحرية, حدائق المعادى, المعادى, القاهرة.",677164
منظفات وصابون,اسواق الكيال للمنظفات,"ش النجاح - عزبة خير الله, مصر القديمة, القاهرة.",442653
منظفات وصابون,اسواق المدينة,"ش يحيى شيخون, فيصل, الجيزة.",333233
منظفات وصابون,اسواق المدينة,"ش المنشية, فيصل, الجيزة.",253816
منظفات وصابون,اسواق شريف,"69 ش ترسا, حسن محمد, الهرم, الجيزة.",196385
منظفات وصابون,اسواق مكة,", ارض المحلج, السنبلاوين, الدقهلية.",690482
منظفات وصابون,اسيل للمنظفات,"89 ش التحرير - مدينة الفردوس, الاميرية, القاهرة.",512407
منظفات وصابون,اشراقة للمنظفات,"الدلجمون, كفر الزيات, الغربية.",414091
منظفات وصابون,اشرف للمنظفات,"20 ش الكومى متفرع من ش السد, السيدة زينب, القاهرة.",223227
منظفات وصابون,اشرف مشطا للمنظفات,"55 ش 6 اكتوبر, المنيب, الجيزة.",658340
منظفات وصابون,اشرف وشطا,"55 ش ابو زارع, المنيب, الجيزة.",417297
منظفات وصابون,اشرقت للمنظفات,"ش الصفا والمروة, التعاون, فيصل, الجيزة.",407606
منظفات وصابون,اصل المنظفات,"122 ش التوفيق, مدينة نصر, القاهرة.",676081
منظفات وصابون,اضواء المدينة,"ش الداير الشرقى - حلوان البلد, حلوان, القاهرة.",326960
منظفات وصابون,افياب ايجيبت,"بلوك 31 - . - المنطقة الصناعية الرابعة, برج العرب الجديدة, الاسكندرية.",58616
منظفات وصابون,اكبريس,", الاردنية, العاشر من رمضان, الشرقية.",127368
منظفات وصابون,اكس للمنظفات,"16 ش المدينة المنورة, ابو النمرس, الجيزة.",647293
منظفات وصابون,اكسبريس كلين,"10 ش التكافل, فيصل, الجيزة.",409080
منظفات وصابون,اكوا اند صابونة,"20 ش على عبد العزيز, حدائق المعادى, المعادى, القاهرة.",506729
منظفات وصابون,ال ابو الفضل للتجارة العامة والتوريدات,"18 ش الجلاء, منشية السادات, دار السلام, القاهرة.",635657
منظفات وصابون,ال حسبو للمنظفات,"14 ش ابناء سوهاج, المرج, القاهرة.",563295
منظفات وصابون,ال طارق للمنظفات,"6 ش الثلاثى - عزبة الحفير, الخصوص, القليوبية.",500667
منظفات وصابون,ال عمران للمنظفات,"32 ش علوبة, فيصل, الجيزة.",394469
منظفات وصابون,ال مالك للمنظفات,"7 ش الشيخ سلامة حجازى, السيدة زينب, القاهرة.",530923
منظفات وصابون,ال يوسف للمنطفات,"1 ش ابراهيم عبد الرازق - النعام, عين شمس الشرقية, القاهرة.",479923
منظفات وصابون,الاء للمنظفات,"52 ش العلوايا, عين شمس الشرقية, القاهرة.",326534
منظفات وصابون,الابرار,"ش عبد الرحيم خلف الله, امبابة, الجيزة.",353437
منظفات وصابون,الاحلام,"ش ترعة الزمر, البراجيل, الجيزة.",348634
منظفات وصابون,الاحمد,"2 عمارات المحافظة - - كيمان فارس, وسط البلد, الفيوم.",316564
منظفات وصابون,الاخاء للمنظفات,"37 عمارات الشرطة -, طره, القاهرة.",446676
منظفات وصابون,الاخلاص,"2 ش عبد النبى على, حدائق المعادى, المعادى, القاهرة.",336861
منظفات وصابون,الاخلاص,"ش زكى, حلوان, القاهرة.",385013
منظفات وصابون,الاخلاص,"ش الحرية, الزاوية الحمراء, القاهرة.",297300
منظفات وصابون,الاخلاص,"ش المنشية, فيصل, الجيزة.",418035
منظفات وصابون,الاخلاص,"10 ش الفخرانى, المنيب, الجيزة.",412978
منظفات وصابون,الاخلاص,"ش محمود عباس, فيصل, الجيزة.",393448
منظفات وصابون,الاخلاص للمنظفات,"6 ش ماهر, متفرع من ش سليم الاول, الزيتون, القاهرة.",657039
منظفات وصابون,الاخلاص للمنظفات,"5 ش حامد سيد على, حدائق حلوان, القاهرة.",243892
منظفات وصابون,الاخلاص للمنظفات,"14 ش مصطفى نصار متفرع من ش العلوايا, عين شمس الشرقية, القاهرة.",479512
منظفات وصابون,الاخلاص للمنظفات,"41 ش المعهد الدينى, الباجور, المنوفية.",556449
منظفات وصابون,الاخلاص للمنظفات,"المجاورة الثانية, الحى 12, السادس من اكتوبر, الجيزة.",484237
