Category,Name,Address,ID
اسقف,يونيتك مصر لمواد البناء,"القطعة 235 أ, المحور الخدمى الثانى, المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",44916
اسقف,الظبى للاسقف المعلقة,"14 ش محمد مندور, المنطقة الاولى, مدينة نصر, القاهرة.",57549
اسقف,الذهبية لصناعة وتجارة الاسقف المعلقة,"القطعة 0/14 أ /1, جمعية المهندسين العرب - الزاومل, بلبيس, الشرقية.",684705
اسقف,الهدى للاسقف المعلقة,"7 ش النصر, النزهة الجديدة, القاهرة.",552138
اسقف,ايرا للتطوير والبناء,"وحدة 7, الدور 4, المحور المركزى, السادس من اكتوبر, الجيزة.",694221
اسقف,تبارك للديكور والاسقف المعلقة,"108 ش مؤسسة الزكاة, محطة المصلية, المرج, القاهرة.",565175
اسقف,ديكور سينس لتوريد خامات الاسقف المعلقة والقواطيع الجبسية,", محور الكفراوى, السادس من اكتوبر, الجيزة.",680761
اسقف,رويال للاسقف المعلقة والديكور,"15 برج ماس ش اللبينى, المريوطية, فيصل, الجيزة.",508763
اسقف,مؤسسة المستقبل للديكور,", الرابعة الناصرية - شرق سموحة, سموحة, الاسكندرية.",474985
اسقف,اركان للأسقف المعلقة,", مؤسسة الزكاة, المرج, القاهرة.",671716
اسقف,الشركة العالمية للديكور,"4 ش خليل ابراهيم, برج الوداد, جناكليس, الاسكندرية.",186082
اسقف,مؤسسة العدى لتشريح و تشكيل الصاج,"ش عبد البارى ابو هلال - الطريق البطئ, متفرع من ش ابو سنة, قليوب, القليوبية.",694070
اسقف,الروضة للأسقف المعلقة والديكور,"دائري المرج الجدیدة, المرج الجديدة, القاهرة.",674399
اسقف,جولدن ميتال للصناعات الهندسية,"القطعة 21 - مربع 12001, الامتداد الشمالى, المنطقة الصناعية, مدينة العبور, القليوبية.",167253
اسقف,مكتب المهندسين التخصصى - ليكسان ايجيبت,"2 ش د. يحيى شريف, النزهة الجديدة, القاهرة.",140799
اسقف,ابداع,"ش جمال عبد الناصر, العصافرة, الاسكندرية.",455555
اسقف,ابن سينا للاسقف المعلقة,"المجاورة الثانية, الحى الثالث, السادس من اكتوبر, الجيزة.",436664
اسقف,ابو السعود للاسقف والديكور,"اول طريق اسكندرية القاهرة الزراعى, خورشيد, الاسكندرية.",391277
اسقف,ابو ايمن,"7 ش غلاب عبود, فيصل, الجيزة.",405697
اسقف,ابو كريم للاسقف المعلقة,"5 ش حسن حسين - بشتيل, اوسيم, الجيزة.",540683
اسقف,ارت كوين للجبسن بورد,"ش 1, متفرع من محور 79, الحى الثالث, التجمع الخامس, القاهرة الجديدة, القاهرة.",666909
اسقف,اسامة اسماعيل للاسقف المعلقة,"50 ش محمد عباس, زهراء عين شمس, عين شمس, القاهرة.",661012
اسقف,اسدكو - الدار المصرية السعودية للتجارة والتسويق,"27 ش فيصل, المريوطية, فيصل, الجيزة.",7514
اسقف,اسقف فينوس للديكور,"10 ش عبد البصير محمد متفرع من ش عمر المختار, الاميرية, القاهرة.",143560
اسقف,اسقف نيو ديكوريشن,"5 ش حسين رياض, النزهة الجديدة, القاهرة.",164434
اسقف,اسلامكو للجبسن بورد,"10 مساكن الصعيد ش صبحى حسين, المقطم, القاهرة.",681817
اسقف,اطلس للتجارة والمقاولات,"13 ش موسى بن نصير متفرع من ش عبد الحميد بدوى - الدور 3 شقة 11, مصر الجديدة, القاهرة.",239341
اسقف,اعمار للاسقف المعلقة,"1 ش انور رضوان متفرع من ش محمد صلاح - كفر الشرفا, المرج, القاهرة.",565791
اسقف,افكو للمقاولات,"10 ش العيسوى احمد متفرع من ش اسماعيل غانم, النزهة الجديدة, القاهرة.",56782
اسقف,افنان للديكور,"23 ش البطل احمد عبد العزيز, المهندسين, الجيزة.",103100
اسقف,افينيو للتصميم الداخلى,"5 ابراج الصفوة - ش فوزى معاذ, سموحة, الاسكندرية.",571590
اسقف,الافريقية للاسقف المعلقة والحوائط الجبسية,"10 ش د. طارق عبد المنعم متفرع من ش الليبينى, المريوطية, الهرم, الجيزة.",472741
اسقف,الافق للاسقف المعلقة,"13 ش النصر, المطرية, القاهرة.",448005
اسقف,الامانى,"ش بورسعيد, ميت غمر, الدقهلية.",339497
اسقف,الامل للمقاولات العامة,"ش الخصوص العمومى, الخصوص, القليوبية.",589841
اسقف,الامير,"29 ش خالد بن الوليد - مدينة قباء, جسر السويس, القاهرة.",150980
اسقف,الاندلس لمستلزمات الديكور,"99 عمارات الشروق -, مدينة نصر, القاهرة.",386948
اسقف,الاندلسية,"العبد 700, مدينة السلام, القاهرة.",390684
اسقف,الباشا للاسقف المعلقة,"108 ش 10, حدائق المعادى, المعادى, القاهرة.",673660
اسقف,البركة للاستيراد,"8 عمارات المروة ش نبيل الوقاد, كلية البنات, مصر الجديدة, القاهرة.",22028
اسقف,البكر للديكور,"17 ش عمر بن الخطاب - مدينة الفردوس, مسطرد, القليوبية.",423116
اسقف,البيت المعمور للاسقف المعلقة والديكور,"84 ش جسر السويس, الدور 1, الزيتون, القاهرة.",291302
اسقف,التصميم لاعمال الجبسوم بورد,"39 ش عبد الحميد عوض, متفرع من ش مصطفى النحاس, الحى الثامن, مدينة نصر, القاهرة.",644854
اسقف,الحافظ للاسقف المعلقة والديكور والتشطيبات,"41 ش الانصارى, متفرع من ش الخمسين, زهراء المعادى, المعادى, القاهرة.",632718
اسقف,الحديثة,"76 ش طومانباى, الزيتون, القاهرة.",256628
اسقف,الحمد للديكور,"64 ش فاروق يونس, الزاوية الحمراء, القاهرة.",245356
اسقف,الرحاب للاسقف المعلقة,"السوق التجارى الجديد, السوق القديم, شرم الشيخ.",90045
اسقف,الرحاب للديكور,"20 ش رمسيس متفرع من ش العريش - الدور 1 شقة 2, الهرم, الجيزة.",103540
اسقف,الرواد للديكور,"64 ش الترعة التوفيقية, عزبة النخل, القاهرة.",527593
اسقف,الروان للاسقف,"55 ش سليمان نور الدين - صفط اللبن, بولاق الدكرور, الجيزة.",579199
اسقف,الروان للاسقف المعلقة والقواطيع الجبسية,"8 ش قوش, ميدان طرابلس, مدينة نصر, القاهرة.",143298
