Category,Name,Address,ID
مطاعم صالات طعام,قرية التمساح للمشويات والمأكولات البدوية,"كم 12.5 طريق الكافورى, برج العرب, الاسكندرية.",619893
مطاعم صالات طعام,توينتى فور سيفن لادارة المطاعم,"مول تيفولى دوم, سيدى جابر, الاسكندرية.",691443
مطاعم صالات طعام,مطعم هرم الحمام,"ش المشير - مول سيتى سكوير, سيدى جابر, الاسكندرية.",694169
مطاعم صالات طعام,مطعم نوح,"117 ش التسعين الشمالى, التجمع الخامس, القاهرة الجديدة, القاهرة.",690773
مطاعم صالات طعام,مطعم فايف روسترز فرايدتشكن,"ش مسجد حاتم, السوق التجارى, سموحة, الاسكندرية.",629053
مطاعم صالات طعام,اسماك المنشاوى,", عمارة 306 د, حدائق الاهرام, الهرم, الجيزة.",577520
مطاعم صالات طعام,امواج للماكولات البحرية,"5 ش محمد حسنين هيكل, مدينة نصر, القاهرة.",612768
مطاعم صالات طعام,ساكورا سوشى,"38 ش 231, دجلة, المعادى, القاهرة.",127658
مطاعم صالات طعام,سلسلة مطاعم الحاتى,"127 ش مصر والسودان, حدائق القبة, القاهرة.",99168
مطاعم صالات طعام,مطعم ابو العز السورى,"35 ش عباس العقاد, مدينة نصر, القاهرة.",451573
مطاعم صالات طعام,مطعم المحمدى بيت الكباب,"ش سكة سندوب ميدان الشيخ حسنين, المنصورة, الدقهلية.",290465
مطاعم صالات طعام,جارنل سوشى اند بوك,"21 ش شمس الدين الذهبى, ارض الجولف, مصر الجديدة, القاهرة.",595632
مطاعم صالات طعام,1 كفتة,"ش نعمان الاعصر, المحلة الكبرى, الغربية.",584158
مطاعم صالات طعام,10 بلدى,"74 ش حسن المأمون, الحى الثامن, مدينة نصر, القاهرة.",606423
مطاعم صالات طعام,10 منيت كوفى,"14 ش مصطفى صفوت, تقاطع ش صالح صبحى, حلوان, القاهرة.",587082
مطاعم صالات طعام,100 كرش,"ش الجمهورية, المنصورة, الدقهلية.",582053
مطاعم صالات طعام,1122 بار,"ش عبد الحميد بدوى, مساكن شيراتون, مصر الجديدة, القاهرة.",228138
مطاعم صالات طعام,139 لونج اند تراس,"6 ش الهرم, الهرم, الجيزة.",447696
مطاعم صالات طعام,147 سوهو,"ش التسعين - الدور 2, التجمع الخامس, القاهرة الجديدة, القاهرة.",295646
مطاعم صالات طعام,1902,"ش ابطال التحرير, وسط البلد, اسوان.",445278
مطاعم صالات طعام,23 يوليو,"ش 23 يوليو, بنى سويف, بنى سويف.",293014
مطاعم صالات طعام,3 شيفس,"ش ابو الهول السياحى, مشعل, الهرم, الجيزة.",612915
مطاعم صالات طعام,360 ستريت فود,"ش المجزر الالى, المريوطية, الهرم, الجيزة.",625291
مطاعم صالات طعام,4 ام كريب,"ش التسعين, القاهرة الجديدة, القاهرة.",583954
مطاعم صالات طعام,64 بار,"الممشى السياحى, خليج نعمة, شرم الشيخ.",198826
مطاعم صالات طعام,64 درب سعادة,", الرحاب 2 - السوق الشرقى, مدينة الرحاب, القاهرة.",622463
مطاعم صالات طعام,68 جيتس,"ش عصام حلمى تقاطع ش ادموند فيرمونت, سموحة, الاسكندرية.",614321
مطاعم صالات طعام,900 دجريز,"القطعة A ش التسعين الجنوبى, مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",540343
مطاعم صالات طعام,911,"13 ش حسان بن ثابت, طنطا, الغربية.",438085
مطاعم صالات طعام,اب تاون بوب,"الغرقانة, خليج نبق, شرم الشيخ.",198257
مطاعم صالات طعام,اب تاون كافيه,"33 ش طلعت حرب, وسط البلد, القاهرة.",486297
مطاعم صالات طعام,اب ستيرز ريستوران,"ش ايناس الدغيدى, وسط البلد, الجونة.",567196
مطاعم صالات طعام,اب ستيريز كافيه,"ش انور المفتى, المنطقة الاولى, مدينة نصر, القاهرة.",545906
مطاعم صالات طعام,اب نورمال,"15 ش الشهداء, الحى الاول, السادس من اكتوبر, الجيزة.",621989
مطاعم صالات طعام,اباتشى تشيكن,"116 ش الهرم, تقاطع ش سهل حمزة, المريوطية, الهرم, الجيزة.",669757
مطاعم صالات طعام,اباظة كافيه,"78 طريق الجيش, سبورتنج, الاسكندرية.",41331
مطاعم صالات طعام,ابر ديك لاونج,"1089 كورنيش النيل, جاردن سيتى, القاهرة.",467661
مطاعم صالات طعام,ابرو كافيه,"كم 6 - , طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",580986
