Category,Name,Address,ID
حمامات سباحة انشاء وكيماويات تطهير,اوليمبيك بولز للمقاولات,"1 عمارات الدفاع الوطنى, حدائق القبة, القاهرة.",678462
حمامات سباحة انشاء وكيماويات تطهير,بى دبليو تى انترناشيونال,"12 أبراج زهراء سموحة ش مسجد ناصر - 314 سابقا -, سموحة, الاسكندرية.",96616
حمامات سباحة انشاء وكيماويات تطهير,تويك لحمامات السباحة ومعالجة المياه,"131 ش التحرير, الدقى, الجيزة.",526264
حمامات سباحة انشاء وكيماويات تطهير,رويال لمقاولات حمامات السباحة,", الحى الثانى, السادس من اكتوبر, الجيزة.",652412
حمامات سباحة انشاء وكيماويات تطهير,اكسبرتك ادارة و تشغيل المنشآت و خدمات الصيانة,"15 / 5, محور 26 يوليو, السادس من اكتوبر, الجيزة.",584430
حمامات سباحة انشاء وكيماويات تطهير,المهدى لاغطية حمامات السباحة والمظلات والتند,"35, مجموعة 112, مدينة الرحاب, القاهرة.",694675
حمامات سباحة انشاء وكيماويات تطهير,جيفكو لاحواض السباحة,"95, الشقة 2, الدور 1, المنطقة السياحية الاولى, الحى المتميز, السادس من اكتوبر, الجيزة.",52546
حمامات سباحة انشاء وكيماويات تطهير,اس بى سى لصيانة وادارة المشروعات,"32 أ, الشيخ زايد, السادس من اكتوبر, الجيزة.",689095
حمامات سباحة انشاء وكيماويات تطهير,اوشن بولز لانشاء حمامات السباحة,"3 ش قاسم, ميدان المساحة, الدقى, الجيزة.",360573
حمامات سباحة انشاء وكيماويات تطهير,علام لمعدات حمامات السباحة,"طريق سقارة السياحى, المريوطية, الهرم, الجيزة.",694422
حمامات سباحة انشاء وكيماويات تطهير,الاهرام للفيبرجلاس,"كم 18 طريق مصر اسكندرية الزراعى, قلما, قليوب, القليوبية.",52544
حمامات سباحة انشاء وكيماويات تطهير,كوميت لحمامات السباحة,"2039 ش السنتر, مدينة المعراج, المعادى الجديدة, المعادى, القاهرة.",59952
حمامات سباحة انشاء وكيماويات تطهير,هاى تك للهندسة والمقاولات,"9 عمارات العبور طريق صلاح سالم, الشقة 1, الدور 8, مدينة نصر, القاهرة.",9020
حمامات سباحة انشاء وكيماويات تطهير,اكوا نايل لمعدات حمام السباحة,"ش د. احمد عكاشة, التجمع الاول, القاهرة الجديدة, القاهرة.",540862
حمامات سباحة انشاء وكيماويات تطهير,الرواد للمقاولات واعمال التشطيبات,"15 ش اللواء محمد سامى البارودى متفرع من ش عباس العقاد, مدينة نصر, القاهرة.",600076
حمامات سباحة انشاء وكيماويات تطهير,شركة هاميس لانشاء و صيانة حمامات السباحة ومعالجة المياه,"عمارة رقم 519 - , الجيزة, الجيزة.",315249
حمامات سباحة انشاء وكيماويات تطهير,ابداع اوت دوور لحمامات السباحة واللاندسكيب,"كم 4.5 - طريق القاهرة السويس - جاردينيا, مدينة نصر, القاهرة.",443018
حمامات سباحة انشاء وكيماويات تطهير,ابن النيل للمقاولات,"38 ش 108, المعادى, القاهرة.",505667
حمامات سباحة انشاء وكيماويات تطهير,ابيكس سويم - م. حاتم عبد الغفار,"6 /5 ش 221 - الدور 2 شقة 22, دجلة, المعادى, القاهرة.",369912
حمامات سباحة انشاء وكيماويات تطهير,اتش ايه كيه لحمامات السباحة,"ش عبد الرحمن نصر, حدائق الزيتون, القاهرة.",678178
حمامات سباحة انشاء وكيماويات تطهير,اتش تو او لحمامات السباحة,"38 ش المحكمة العسكرية, المرحلة الاولى, الحى العاشر, زهراء مدينة نصر, مدينة نصر, القاهرة.",582186
حمامات سباحة انشاء وكيماويات تطهير,اتش دى ام لإنشاء وصيانة حمامات السباحة,"ش محمد نجيب, سيدى بشر, الاسكندرية.",633674
حمامات سباحة انشاء وكيماويات تطهير,اجيسكو,"14 ش فؤاد بدوانى متفرع من ش مكرم عبيد - الدور 1 شقة 2, الحى الثامن, مدينة نصر, القاهرة.",64012
حمامات سباحة انشاء وكيماويات تطهير,اداره لحمامات السباحة,"5 ش عثمان بن عفان, المهندسين, الجيزة.",309570
حمامات سباحة انشاء وكيماويات تطهير,ارت بول لانشاء حمامات السباحة ومعالجة المياه,"15 ش اللواء يسرى متفرع من الطريق الدائرى - نزلة بهتيم - الدور 1, بهتيم, القليوبية.",576345
حمامات سباحة انشاء وكيماويات تطهير,ارت بوولز,"فيلا 1018 - - كمباوند حدائق زايد - الحى 16, الشيخ زايد, السادس من اكتوبر, الجيزة.",583220
حمامات سباحة انشاء وكيماويات تطهير,ارت لاين للمقاولات,"34 عمارات العبورصلاح سالم, مدينة نصر, القاهرة.",570198
حمامات سباحة انشاء وكيماويات تطهير,اركس ووتر,"31 ش ابراهيم مصطفى متفرع من ش المدينة المنورة, النزهة الجديدة, القاهرة.",454993
حمامات سباحة انشاء وكيماويات تطهير,أرميتاج مصر لحمامات السباحة واللاندسكيب,"كم 21 - ش شريف سلامة - شاطىء النخيل -اكتوبر, العجمى, الاسكندرية.",414767
حمامات سباحة انشاء وكيماويات تطهير,اس بى اس لحمامات السباحة,"44 ش البستان, الشيخ زايد, السادس من اكتوبر, الجيزة.",397277
حمامات سباحة انشاء وكيماويات تطهير,افريقيا لحمامات السباحة والشلالات والاند سكيب,"14 ش متولى الشعراوى نهاية ش مصطفى النحاس, الحى التاسع, مدينة نصر, القاهرة.",183145
حمامات سباحة انشاء وكيماويات تطهير,اكوا اوفيس,"9 ابراج المنيب -, المنيب, الجيزة.",44866
حمامات سباحة انشاء وكيماويات تطهير,اكوا بولز,", البنفسج, التجمع الاول, القاهرة الجديدة, القاهرة.",688877
حمامات سباحة انشاء وكيماويات تطهير,اكوا تركس لانظمة معالجة المياه,"القطعة 172, المنطقة الصناعية الاولى, مدينة بدر, القاهرة.",68066
حمامات سباحة انشاء وكيماويات تطهير,اكوا تريد,"1133 - زهراء مدينة نصر, مدينة نصر, القاهرة.",353979
حمامات سباحة انشاء وكيماويات تطهير,اكوا ستار,"12 عمارات الطابية - , سيدى بشر, الاسكندرية.",51476
حمامات سباحة انشاء وكيماويات تطهير,اكوا فليكس,"21 أ عمارات العبور - طريق صلاح سالم - الدور 15 شقة 5, مدينة نصر, القاهرة.",172697
حمامات سباحة انشاء وكيماويات تطهير,اكوا ماستر لخدمات حمامات السباحة,"1 شارع على ابراهيم، متفرع من شارع الكابلات, كوبرى القبة, القاهرة.",568096
حمامات سباحة انشاء وكيماويات تطهير,اكوا نايل لمعالجة المياه,"8 ش الوحدة الصحية - الدور 1, كفر طهرمس, فيصل, الجيزة.",60727
حمامات سباحة انشاء وكيماويات تطهير,اكواسويم ايجيبت,"33 ش الملك فيصل, فيصل, الجيزة.",302585
حمامات سباحة انشاء وكيماويات تطهير,الابراهيمية للتنمية - حمامات سباحة ومقاولات عامة,"7 ش النصر, النزهة الجديدة, القاهرة.",453753
حمامات سباحة انشاء وكيماويات تطهير,الاخوة لصيانة حمامات السباحة,"المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",213271
حمامات سباحة انشاء وكيماويات تطهير,البركة ستيل,"قطعة 143, المنطقة الصناعية السادسة - منظقة ال 300 متر, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",559547
حمامات سباحة انشاء وكيماويات تطهير,البشاير بول,"المحور المركزى - زايد 2000, الشيخ زايد, السادس من اكتوبر, الجيزة.",580619
حمامات سباحة انشاء وكيماويات تطهير,الترا,"1 عمارات مصر للتعمير - نهاية ش عبد الحميد بدوى - المنطقة 7 - الدور 1, مساكن شيراتون, مصر الجديدة, القاهرة.",265350
حمامات سباحة انشاء وكيماويات تطهير,الترا توب,"8 ش احمد السمان, متفرع من ش رياض شمس, الحى الثامن, مدينة نصر, القاهرة.",152913
حمامات سباحة انشاء وكيماويات تطهير,الحمد لصيانة حمامات السباحة,"27 ش الشيخ حفنى, كرداسة, الجيزة.",657731
حمامات سباحة انشاء وكيماويات تطهير,الخليل لعزل الاسطح وعزل حمامات السباحة,"427 برج الكرنك طريق الجيش, ش شعراوى, لوران, الاسكندرية.",687673
حمامات سباحة انشاء وكيماويات تطهير,الذهبية لحمامات السباحة,"4 عمارات الشرطة ش جسر السويس, مصر الجديدة, القاهرة.",54621
حمامات سباحة انشاء وكيماويات تطهير,الرحاب,"52 أ ش الجيش, العتبة, القاهرة.",267027
حمامات سباحة انشاء وكيماويات تطهير,الرحاب لحمامات السباحة,"4 ش السنترال, الطالبية, فيصل, الجيزة.",638368
حمامات سباحة انشاء وكيماويات تطهير,الرحاب للتوريدات ومعالجة المياة,"ش محمد نجيب, المرج, القاهرة.",414788
حمامات سباحة انشاء وكيماويات تطهير,الرواد لمعالجة المياه وحمامات السباحة,"35 ش خوفو, الهرم, الجيزة.",102400
حمامات سباحة انشاء وكيماويات تطهير,الرياض لحمامات السباحة,", الياسمين د, التجمع الخامس, القاهرة الجديدة, القاهرة.",567616
حمامات سباحة انشاء وكيماويات تطهير,الزمردة الدولية للانشاءات,"ش المحمدى حويدق - مجمع البنوك - عمارة 5 شقة 2, الكوثر, الغردقة.",577644
حمامات سباحة انشاء وكيماويات تطهير,الزمردة لحمامات السباحة,"ش 1, متفرع من محور 79, الحى الثالث, التجمع الخامس, القاهرة الجديدة, القاهرة.",666885
حمامات سباحة انشاء وكيماويات تطهير,الشركة الدولية للتجارة والتوريدات العمومية,"القطعة 3266 - - الهضبة الوسطى - الحى الثانى, المقطم, القاهرة.",577220
