Category,Name,Address,ID
صيدليات خدمة التوصيل للمنازل,صيدليات العزبى,", تقسيم اسماء فهمى, عمارة 6ج, ارض الجولف, مصر الجديدة, القاهرة.",99370
صيدليات خدمة التوصيل للمنازل,صيدليات دلمار وعطا الله,"9 ش عماد الدين, وسط البلد, القاهرة.",101291
صيدليات خدمة التوصيل للمنازل,الشركة المصرية لمستحضرات التجميل,"62 ش مكرم عبيد, الدور 3, المنطقة الاولى, مدينة نصر, القاهرة.",346267
صيدليات خدمة التوصيل للمنازل,الصيدلية,"2 عمارات الكهرباء ش 9, المقطم, القاهرة.",554157
صيدليات خدمة التوصيل للمنازل,امن,", صيدليات اونلاين, قصر العينى, القاهرة.",688106
صيدليات خدمة التوصيل للمنازل,اوبا,"طريق الجيش, الشاطبى, الاسكندرية.",651873
صيدليات خدمة التوصيل للمنازل,بى اتش ستور,", ., الهرم, الجيزة.",673431
صيدليات خدمة التوصيل للمنازل,د. حسين المسيرى,"38 ش منصور, حلوان, القاهرة.",586619
صيدليات خدمة التوصيل للمنازل,د. ريهام رجب احمد,"52 ش حموده, حدائق حلوان, القاهرة.",662522
صيدليات خدمة التوصيل للمنازل,دوايا دوت كوم,", خدمات طبية اونلاين, جاردن سيتى, القاهرة.",192229
صيدليات خدمة التوصيل للمنازل,صيدليات دوس,"17 ش بنى طى, حدائق الزيتون, القاهرة.",473118
صيدليات خدمة التوصيل للمنازل,صيدليات 360,"13 أ كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",636132
صيدليات خدمة التوصيل للمنازل,صيدليات 7 24,", المجاورة الاولى - الحى الاول - عمارة 28, الشيخ زايد, السادس من اكتوبر, الجيزة.",680851
صيدليات خدمة التوصيل للمنازل,صيدليات ابل,"3 ش اسماعيل بك, كوبرى القبة, القاهرة.",194596
صيدليات خدمة التوصيل للمنازل,صيدليات ابو خالد,"147 ش مصر والسودان, حدائق القبة, القاهرة.",16717
صيدليات خدمة التوصيل للمنازل,صيدليات ابو على,"اسكان الشباب 100 متر, المنطقة 13, الحى 11, السادس من اكتوبر, الجيزة.",189825
صيدليات خدمة التوصيل للمنازل,صيدليات البراوى,"ش فريد بك, كفر عبده, الاسكندرية.",579064
صيدليات خدمة التوصيل للمنازل,صيدليات البنا,"2 ش سليمان سالم, ميدان النافورة, الدواجن, حلوان, القاهرة.",391209
صيدليات خدمة التوصيل للمنازل,صيدليات البيسى,"25 طريق الجيش, الدور 2, برج قرطبة, كامب شيزار, الاسكندرية.",643674
صيدليات خدمة التوصيل للمنازل,صيدليات التمامى,", المنطقة المركزية, دمياط الجديدة, دمياط.",676419
صيدليات خدمة التوصيل للمنازل,صيدليات الجامعة العربية,"7 ش جامعة الدول العربية, المهندسين, الجيزة.",47291
صيدليات خدمة التوصيل للمنازل,صيدليات الحسينى,"156 ش عمان, متفرع من ش جسر السويس, عرب جسر السويس, عين شمس الشرقية, القاهرة.",652399
صيدليات خدمة التوصيل للمنازل,صيدليات السداوى,"7 ش ابن الوردى, مصر الجديدة, القاهرة.",1610
صيدليات خدمة التوصيل للمنازل,صيدليات الشفاء,"1 ش صعب صالح, متفرع من ش احمد عصمت, عين شمس الشرقية, القاهرة.",205300
صيدليات خدمة التوصيل للمنازل,صيدليات الصيدلى,"65 ش الدويدار, تقاطع ش مصر السودان, حدائق القبة, القاهرة.",256542
صيدليات خدمة التوصيل للمنازل,صيدليات الصيرفى,"11 ش د. المحروقى, متفرع من ميدان اسوان, العجوزة, الجيزة.",154021
صيدليات خدمة التوصيل للمنازل,صيدليات الفؤاد,"45 ش البطل احمد عبد العزيز, المهندسين, الجيزة.",440380
صيدليات خدمة التوصيل للمنازل,صيدليات الفا,"ش كورنيش النيل, الوراق, الجيزة.",654247
صيدليات خدمة التوصيل للمنازل,صيدليات القاهرة,"ش مؤسسة الزكاة, المرج, القاهرة.",632917
صيدليات خدمة التوصيل للمنازل,صيدليات القماح,"16 ش د. محمد على البقلى, متفرع من ش الحجاز, مصر الجديدة, القاهرة.",440099
صيدليات خدمة التوصيل للمنازل,صيدليات الليثى,"131 ش التحرير, الدقى, الجيزة.",75940
صيدليات خدمة التوصيل للمنازل,صيدليات المرام,"76 ش ممتاز باشا, تقاطع ش ملك حفنى, فيكتوريا, الاسكندرية.",219710
صيدليات خدمة التوصيل للمنازل,صيدليات المصطفى,"17 ش عين شمس, عين شمس الشرقية, القاهرة.",260873
صيدليات خدمة التوصيل للمنازل,صيدليات المغربى,"محلية 8 ش صالح سليم, الحى الاول - عمارة 112, مدينة العبور, القليوبية.",534344
صيدليات خدمة التوصيل للمنازل,صيدليات الندا,"10 ش د. محمد مندور, المنطقة الاولى, مدينة نصر, القاهرة.",9524
صيدليات خدمة التوصيل للمنازل,صيدليات النواوى,"1 ش مصطفى رفعت, مساكن شيراتون, مصر الجديدة, القاهرة.",192276
صيدليات خدمة التوصيل للمنازل,صيدليات الوليد,"113 ش الملك فيصل, المريوطية, فيصل, الجيزة.",173485
صيدليات خدمة التوصيل للمنازل,صيدليات ام ام,", الحى الثانى - المنطقة الخامسة, التجمع الخامس, القاهرة الجديدة, القاهرة.",631821
صيدليات خدمة التوصيل للمنازل,صيدليات امجد رسلان الكبرى,"1 ش السادات, مدينة السلام, القاهرة.",392681
صيدليات خدمة التوصيل للمنازل,صيدليات بى اتش,"ش التحرير, المجاورة الاولى, الحى الثامن, السادس من اكتوبر, الجيزة.",355867
صيدليات خدمة التوصيل للمنازل,صيدليات تامر والطويل,"القطعة 821 ش د. زكى حواس, حلوان, القاهرة.",655029
صيدليات خدمة التوصيل للمنازل,صيدليات تبارك,"127 ش عثمان بن عفان, ميدان الكلية الحربية, تريومف, مصر الجديدة, القاهرة.",130903
صيدليات خدمة التوصيل للمنازل,صيدليات تبارك,"ش ابو القاسم, اخميم, سوهاج.",689190
صيدليات خدمة التوصيل للمنازل,صيدليات جراند,"92 ش التحرير, برج ساريدار الطبى, الدقى, الجيزة.",452939
صيدليات خدمة التوصيل للمنازل,صيدليات جولد,"1 ش جمعة الجابرى, متفرع من ش اللبينى, المريوطية, الهرم, الجيزة.",677596
