Category,Name,Address,ID
مدارس فن,ارت سكوير اكاديمى,"5 ش الشهيد سيد عفيفى, متفرع من ش نبيل الوقاد, ارض الجولف, مصر الجديدة, القاهرة.",538089
مدارس فن,ارت فيجن,"ش شبين الكوم, برج الشيماء, وسط البلد, الاسماعيلية.",680841
مدارس فن,ارت كافيه,"10 ب ش 11, ثكنات المعادى, المعادى, القاهرة.",516448
مدارس فن,ارت مانيا اكاديمى,"8 ش عبد الواحد فهمى, متفرع من ش فريد سميكة, ميدان الحجاز, مصر الجديدة, القاهرة.",615251
مدارس فن,ارتى جانكى,"16 ش نصر الدين, نصر الدين, الهرم, الجيزة.",633803
مدارس فن,افانس ارت سكول,"9 ش ابن الوردى, متفرع من ش عمار بن ياسر, مصر الجديدة, القاهرة.",436514
مدارس فن,اكادمية نقوش للفنون اليدوية,"26 ش حسنين عبد القادر, الدور 1, المنطقة السادسة, مدينة نصر, القاهرة.",501312
مدارس فن,اكاديمية انامل للفنون,"5 ش الفالوجا, متفرع من ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",280971
مدارس فن,اكاديمية بايونيرز,", مدينة الرحاب, القاهرة.",455799
مدارس فن,اكاديمية تيمبو للموسيقى,"6 ش 4, المعادى, القاهرة.",625551
مدارس فن,اكاديمية عالم الفنون,"مجموعة 100, المرحلة الخامسة, مدينة الرحاب, القاهرة.",650572
مدارس فن,المدينة للفنون الادائية والرقمية,"6 ش فؤاد, العطارين, الاسكندرية.",491919
مدارس فن,المسرح الذهبى,"كم 28, طريق القاهرة الاسكندرية الصحرا, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",626356
مدارس فن,بدايات,"51 ش ابو بكر الصديق, مصر الجديدة, القاهرة.",587528
مدارس فن,بيهوفيتش ارت سبيس,"8 ش جمال الدين دويدار, الحى الثامن, مدينة نصر, القاهرة.",676969
مدارس فن,جمعية معهد الموسيقى العربية,"117 ش مسجد العطارين, المنشية, الاسكندرية.",31429
مدارس فن,جوانا للفنون,"7 ش قيصر, المسلة شرق, محطة الرمل, الاسكندرية.",583306
مدارس فن,دوم تاك,"10 ش محمود عزمى, الزمالك, القاهرة.",586748
مدارس فن,ستوديو عزة فهمى للتصميمات,"ش قصر الشمع, قرية الفخارين, مصر القديمة, القاهرة.",650822
مدارس فن,سمارت ارت,"5 ش الشركة السويسرية, متفرع من ش الجزائر, المعادى الجديدة, المعادى, القاهرة.",514484
مدارس فن,سنتر اوتار لتعليم الموسيقى,"18 ش عبد الله خير, متفرع من ش احمد عصمت, عين شمس, القاهرة.",671487
مدارس فن,سوما للفنون المرئية,"3, ميدان العادل ابو بكر, الزمالك, القاهرة.",535642
مدارس فن,سين ايجيبت,"القطعة 33, المجاورة السادسة, الحى الرابع, الشيخ زايد, السادس من اكتوبر, الجيزة.",499052
مدارس فن,فاجنون ارت سكول,"كم 12.5 طريق سقارة السياحى, ام هاشم, المريوطية, الهرم, الجيزة.",113211
مدارس فن,فاين ارتس اكاديمى,"28 ش عبد الله بن طاهر, متفرع من ش مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة.",540174
مدارس فن,فرى هاند ارت اكاديمى,"القطعة الخامسة - بلوك 31 ش المهندس ايهاب عزت, متفرع من ش مصطفى النحاس, الحى العاشر, مدينة نصر, القاهرة.",522710
مدارس فن,فن كاسل,"15 ش ذو الفقار, تقاطع ش ابو رفيع, كفر عبده, الاسكندرية.",534531
مدارس فن,فور فن,"14 ش الجولف, سرايات المعادى, المعادى, القاهرة.",457754
مدارس فن,فوكالايزر,"3 ش والى - الدور 1, كوبرى القبة, القاهرة.",421018
مدارس فن,كامبريدج ميوزيك سكول,"طريق طلعت مصطفى, مدينتى, القاهرة.",614927
مدارس فن,مؤسسة رزق الله للفنون,", محور نجيب محفوظ, كمباوند قطامية ريزدينس, التجمع الاول, القاهرة الجديدة, القاهرة.",577534
مدارس فن,مدرسة نيزك للرسوم المتحركة,"18 ش اسماء زغلول, مدينة نصر, القاهرة.",650575
مدارس فن,مركز افكا للفنون,"10 ش دمشق, تقاطع ش 15, المعادى, القاهرة.",565427
مدارس فن,مركز الصورة المعاصرة,"27 ش طلعت حرب, وسط البلد, القاهرة.",419209
مدارس فن,مركز الفيوم للفنون,", قرية تونس, ابشواى, الفيوم.",628795
مدارس فن,مركز اوتار لتعليم عزف الموسيقى,"21, امتداد ش ولى العهد, حدائق القبة, القاهرة.",545727
مدارس فن,مركز ايهاب للفنون,"14 ش محمد الخضر حسين, متفرع من ش نبيل الوقاد, ارض الجولف, مصر الجديدة, القاهرة.",535906
مدارس فن,مركز فن الرؤية,"17 ش امين زكى, مصر الجديدة, القاهرة.",540250
مدارس فن,مركز فنون مصر,", جاليرى 28 - سوق الفسطاط, مصر القديمة, القاهرة.",397121
مدارس فن,معهد الموسيقى العربية,"22 ش رمسيس, وسط البلد, القاهرة.",99221
مدارس فن,مكان الفنون,"25 ش عرابى, الدور 1, متفرع من ش بورسعيد, المعادى, القاهرة.",505409
مدارس فن,هيلين اوجريدى دراما اكاديمى,"القطعة 56, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",437555
