Category,Name,Address,ID
شركات استثمار,ارتك هولدنجز ليمتد,"6 أ ميدان اسوان, المهندسين, الجيزة.",154854
شركات استثمار,ارتوك جروب للاستثمار والتنمية,"7 ش حسن الاكبر, المقطم, القاهرة.",63656
شركات استثمار,استثمارات الشرق الاوسط,"10 أ ش حسين واصف, الدقى, الجيزة.",18170
شركات استثمار,اسكندرية للاستثمارات المالية والتنمية,"23 ش قصر النيل, وسط البلد, القاهرة.",135427
شركات استثمار,اكتس,"20 ش عائشة التيمورية - الدور 9, جاردن سيتى, القاهرة.",288555
شركات استثمار,اكيومن القابضة,"كم 38 - - كمباوند سوديك ويست - ذا بوليجون - مبنى 3 - الدور الخامس - مكتب 5C, طريق القاهرة الاسكندرية الصحرا, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",531377
شركات استثمار,الاندلس للاستثمار,"., المهندسين, الجيزة.",581592
شركات استثمار,الاهلى كابيتال القابضة,"57 ش مراد ميدان النهضة - برج الجامعة - الدور 7, الجيزة, الجيزة.",465378
شركات استثمار,الاهلى للاستثمارات,"6 ش دار الشفا, جاردن سيتى, القاهرة.",143247
شركات استثمار,الاهلى للتنمية والاستثمار,"7 ش النهضة, كورنيش المعادى, المعادى, القاهرة.",98839
شركات استثمار,الباحى للمقاولات والاستثمار العقارى,"3 ش المهندس صلاح, فيصل, الجيزة.",242201
شركات استثمار,الجوهرى جروب,"35 طريق 26 يوليو, بحرى, الاسكندرية.",670559
شركات استثمار,الدولية لخدمات الاستثمار - اى سى اى اس,"2 ش السبكى, روكسى, مصر الجديدة, القاهرة.",128034
شركات استثمار,الدولية للخدمات الاستثمارية,"8 ش البادية متفرع من ش الثورة , مصر الجديدة, القاهرة.",59764
شركات استثمار,الشركة السعودية المصرية للاستثمار,"2 عمارات المروة الجديدة - ش احمد تيسير - الدور 3, مصر الجديدة, القاهرة.",431414
شركات استثمار,الشركة السعودية المصرية للاستثمار والتمويل,"56 ش جامعة الدول العربية, المهندسين, الجيزة.",18983
شركات استثمار,الشركة السعودية المصرية للاستثمارات الصناعية,"9 ش عبد المنعم رياض متفرع من ش البطل احمد عبد العزيز, الدقى, الجيزة.",5796
شركات استثمار,الشركة السعودية للاستثمارات العربية,"7 ش السد العالى - الدور 3, الدقى, الجيزة.",125280
شركات استثمار,الشركة العربية للاستثمار,"21 ش الجيزة, الجيزة, الجيزة.",12663
شركات استثمار,الشركة القابضة المصرية الكويتية,"14 ش حسن محمد الرزاز - ش نوال سابقا, العجوزة, الجيزة.",60668
شركات استثمار,العطاس مصر للاستثمار,"106 ش النيل, العجوزة, الجيزة.",63388
شركات استثمار,القلعة للاستشارات المالية,"1089 كورنيش النيل, جاردن سيتى, القاهرة.",98864
شركات استثمار,المتحدة للاستثمار العقارى,"484 طريق الحرية - برج الفيروزة, بولكلى, الاسكندرية.",449896
شركات استثمار,المجموعة المتحدة للاستثمار,"13 ش الثمار, المهندسين, الجيزة.",123612
شركات استثمار,المجموعة المتكاملة للاستثمار,"8 ش محرم شوقى, الكوربة, مصر الجديدة, القاهرة.",98944
شركات استثمار,المدينة المنورة,"271 برج الشرطة - ش فيصل, فيصل, الجيزة.",242950
شركات استثمار,المركز الدولى لدراسات وخدمات المستثمرين,"4 ش د. زكى حسن, المنطقة الاولى, مدينة نصر, القاهرة.",144123
شركات استثمار,المصرية الاوربية للاستثمار الانمائى,"13 ش احمد عرابى - الدور 4 شقة 10, 11, المهندسين, الجيزة.",137512
شركات استثمار,المصطفى للاستثمار والتسويق,"1 ش 15 مايو, مسطرد, القليوبية.",283585
شركات استثمار,الملتقى العربى للاستثمارات,"7 أ برج دلة - كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",231772
شركات استثمار,المنتدى للاستثمار والتنمية,"1 ش عبد الله الكاتب, الدقى, الجيزة.",137797
شركات استثمار,النيل للاسثمار والتنمية السياحية,"7 ش السد العالى - الدور 3, الدقى, الجيزة.",436804
شركات استثمار,اموال الخليج للاستثمار التجارى,"1 ش الصالح ايوب, الزمالك, القاهرة.",124241
شركات استثمار,انفستيا لرأس المال المخاطر,"7 ش عبد الهادى صلاح, الجيزة, الجيزة.",63740
شركات استثمار,اى تى للاستثمار,"6 أ ش احمد شوقى متفرع من ش مراد, الجيزة, الجيزة.",48167
شركات استثمار,ايجوث - الشركة المصرية العامة للسياحة والفنادق,"4 ش امريكا اللاتينية, جاردن سيتى, القاهرة.",131263
شركات استثمار,ايجيبت كونسلت,"59 ش الملك فيصل, فيصل, الجيزة.",7558
شركات استثمار,ايسترن انفستمنت جروب - اى اى جى,"4 ش عبد الحميد بدوى الدور 3, مساكن شيراتون, مصر الجديدة, القاهرة.",628421
شركات استثمار,ايه سى اى ايجيبت سيرفيسز,"4 ش ابن كثير - الدور 5 شقة 1, الدقى, الجيزة.",257374
شركات استثمار,باور للاستثمارات التجارية,"92 ش التحرير, الدقى, الجيزة.",45711
شركات استثمار,بوابة الحلول المتكاملة,"19 ش احمد الصاوى متفرع من ش مكرم عبيد, الحى الثامن, مدينة نصر, القاهرة.",588079
شركات استثمار,بينشمارك كابيتال كورب - بى سى سى,"13 ش الثمار, المهندسين, الجيزة.",155023
شركات استثمار,تعمير للاستثمار العقارى والمقاولات,"31 ش احمد فهيم بيومى, تريومف, مصر الجديدة, القاهرة.",240758
شركات استثمار,تيمار كوروز للاستثمار,"14 عمارات العبور - طريق صلاح سالم - الدور 5 شقة 4, مدينة نصر, القاهرة.",203778
شركات استثمار,جمعية مستثمرى مدينة السادات,"28 ش ابو ذر الغفارى - المنطقة الاولى, مدينة السادات, المنوفية.",181791
شركات استثمار,جى جروب انترناشيونال,"43 ش 50, السادس من اكتوبر, الجيزة.",130384
شركات استثمار,دجلة لادارة المشروعات,"كم 22 -, طريق القاهرة الاسكندرية الصحرا, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",236624
شركات استثمار,روميبس,"عمارة رقم 155 - - منطقة الشرق للتأمين - الدور 2 شقة 4, التجمع الخامس, القاهرة الجديدة, القاهرة.",453077
شركات استثمار,ريفى,"ش 26 يوليو, العجوزة, الجيزة.",140642
شركات استثمار,زايد للاستثمار العقارى,"4 ش الشرفا, فيصل, الجيزة.",242224
شركات استثمار,زينيس اوبتميديا,"23 ش رمسيس متفرع من ش بغداد, الكوربة, مصر الجديدة, القاهرة.",292089
شركات استثمار,سامكريت للاستثمار,"8 طريق المنصورية - الدور 4, الهرم, الجيزة.",266722
شركات استثمار,سلوانا دايموند,"58 ش لبنان, المهندسين, الجيزة.",675100
شركات استثمار,سوفيكو,"37 ش طلعت حرب, وسط البلد, القاهرة.",8287
شركات استثمار,سى اى استس مانجمنت,"64 ش محيى الدين ابو العز, المهندسين, الجيزة.",469590
شركات استثمار,سى بى سى القابضة للاستثمارات,"ارض المتطورين - مجمع سى بى سى الصناعى - التوسعات الشمالية - الدور 1, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",446710
شركات استثمار,سياج للاستثمار العقارى,"2 عمارات اول مايو طريق النصر, الدور 1, مدينة نصر, القاهرة.",676804
