Category,Name,Address,ID
ورق,الاهرام لصناعة الورق والكرتون,"القطعة 187,186, مجمع سى بى سى الصناعى - التوسعات الشمالية, السادس من اكتوبر, الجيزة.",695044
ورق,يونيون باك للكرتون والمنتجات الورقية,", الاردنية, العاشر من رمضان, الشرقية.",580568
ورق,يونايتد مصر للاستثمارات التجارية والصناعية - شنايدر,"93 ش حسن رضوان, طنطا, الغربية.",121856
ورق,المصرية للصناعات الورقية,"كم 81 طريق اسكندرية القاهرة الصحراوى, المنطقة الصناعية الاولى, النوبارية, البحيرة.",462808
ورق,باك هوم لصناعة الكرتون,"القطعة 100, المنطقة الصناعية جنوب غرب 6أ, العاشر من رمضان, الشرقية.",564026
ورق,باك فور يو,", المنطقة الصناعية الاولى, السادس من اكتوبر, الجيزة.",694014
ورق,باندا ميدل ايست للتوريد والتصدير,"ش المستقبل, الشيخ زايد, السادس من اكتوبر, الجيزة.",632389
ورق,مصنع الجمل لصناعة زوايا الكرتون,"الطريق الزراعى, ابيس الثانية, ابيس, الاسكندرية.",209393
ورق,شركة البدر للمنتجات الورقية - هاواى,"ش مسجد الوفاء, ام زغيو, الاسكندرية.",183271
ورق,البحر المتوسط لصناعة الورق الصحى,"47 ش كليوباترا, من ميدان صلاح الدين, مصر الجديدة, القاهرة.",351573
ورق,شركة ورق,"القطعة 3/20, المنطقة الصناعية الثالثة A3, العاشر من رمضان, الشرقية.",687320
ورق,المروة باك لتصنيع الكرتون المضلع,"24 ش العريش, الهرم, الجيزة.",691975
ورق,سيدرا باك لصناعة الاكواب والعبوات الورقية,"القطعة 218 ب, منطقة 6 مليون متر, العاشر من رمضان, الشرقية.",692106
ورق,الفاروق لتصنيع الشكاير والمنتجات الورقية,"5 ش محمد العيسوى, الطريق الدائرى - نزلة بهتيم, مسطرد, القليوبية.",694838
ورق,النجار لتقطيع وتحويل الورق والكرتون,"كم21 طريق عبد القادر قبلى - ش الانصار, مرغم, الاسكندرية.",114879
ورق,اسبيرس للكرتون والتعبئة والتغليف,"24 ش محمد سعيد الحلوانى - طريق العروبة - ش صلاح سالم, مصر الجديدة, القاهرة.",575548
ورق,الخليج لصناعة الكرتون,"القطعة 97 - شارع 6 محور خدمى 2 - المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",183406
ورق,النيل للمعارض والمؤتمرات الدولية,"19 ش عبد الحميد لطفى, متفرع من ش سمير عبد الرؤوف, الدور 8 - شقة 802, مدينة نصر, القاهرة.",258975
ورق,شركة عبد العال احمد خليفة وشركاه - الفجر لتجارة الورق,"7 ش كاستينا, سيدى بشر, الاسكندرية.",599510
ورق,ابناء مرزوق التجارية,"35 أ ش احمد رجب, فيصل, الجيزة.",287071
ورق,ابو احمد,"ش صالح عابدين, دار السلام, القاهرة.",334697
ورق,ابو احمد,"طريق باسوس, باسوس, القليوبية.",301823
ورق,ابو اسلام,"., السادس من اكتوبر, الجيزة.",359052
ورق,ابو الدهب,"طريق القناطر الخيرية, القناطر الخيرية, القليوبية.",299729
ورق,ابو المسلم,"ش 6 اكتوبر, المحلة الكبرى, الغربية.",115601
ورق,ابو خالد للورق,"2 ش خميس عفيفى - مدينة الفتح, شبرا الخيمة, القليوبية.",476307
ورق,ابو سهل,"ش الجيش درب البرابرة, العتبة, القاهرة.",267049
ورق,ابو عبد الرحمن للورقيات,"ش جسر البحر, شبرا, القاهرة.",435262
ورق,ابو عسل,"ش 10, العصافرة قبلى, الاسكندرية.",251807
ورق,ابو نبوت للورقيات,"8 ش داير الناحية - صفط اللبن, بولاق الدكرور, الجيزة.",579103
ورق,ابو يوسف للمنتجات الورقية,"5 ش جسر البحر , شبرا, القاهرة.",202720
ورق,ابيت للورق,"ش الشبان المسلمين - سور جمعية الشبان المسلمين - محل 11, بنها الجديدة, القليوبية.",520460
ورق,اتدكو - الشركة المصرية للتجارة والتنمية,"86 ش فريد سميكة, ميدان الحجاز, مصر الجديدة, القاهرة.",233693
ورق,اتون الجديد للبرديات,"2 ش النخيل, الهرم, الجيزة.",51127
ورق,اجكو - الجلال للاستيراد والتصدير,"14 ش حفنى الترزى - الدور 1 شقة 2, المنيل, القاهرة.",63145
ورق,اجيال,"ش المعسكر, ابو رواش, الجيزة.",348273
ورق,احمد بلال للمنتجات الورقية,"62 ش حلوان, قصر العينى, القاهرة.",424030
ورق,احمد عقل للورقيات,"40 ش العطار, شبرا, القاهرة.",432565
ورق,احمد فاروق,"رستم, باسوس, القليوبية.",299843
ورق,احمد محمود دياب,"38 ش الشيخ على الليثى, العطارين, الاسكندرية.",24292
ورق,احمد وعمرو للورق,"10 ش الصحابة, الخصوص, القليوبية.",499116
ورق,ادفانسيد تكنولوجى,", المنطقة الصناعية السابعة, مدينة السادات, المنوفية.",641588
ورق,ادم,"34 ش ابراهيم الدسوقى, شبرا الخيمة, القليوبية.",410679
ورق,ار جى اس القابضة,"981 محور الكفراوى, الحى الثالث, السادس من اكتوبر, الجيزة.",650264
ورق,اراميك,"11 ش ضياء, الهرم, الجيزة.",418741
ورق,ارزاق,"ش العنبرى, الدرب الاحمر, القاهرة.",381532
ورق,ارزاق,"ش الطواشى, باب الشعرية, القاهرة.",325867
ورق,ارزاق,"طريق القناطر الخيرية, القناطر الخيرية, القليوبية.",299634
ورق,اروى للمنتجات الورقية,"ش الهانوفيل, الهانوفيل, الاسكندرية.",227908
ورق,اس بى اى - شوتمد للصناعات الورقية,"القطعة 156 - - المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",187568
ورق,اسكندرية الوطنية للصناعات الورقية,"المنطقة الصناعية الثانية, برج العرب الجديدة, الاسكندرية.",150558
ورق,اسلام,"ش النوبى متفرع من ش الجيش, العتبة, القاهرة.",266733
ورق,اسلام,"طريق القناطر الخيرية, القناطر الخيرية, القليوبية.",298870
ورق,اسلام للورق,"10 ش داير الناحية - الكنيسة, المنيب, الجيزة.",500724
ورق,اطلس للورق,"1 ش كاشف, الرمل الميرى, الاسكندرية.",22487
ورق,ال دياب,"طريق باسوس, باسوس, القليوبية.",299485
ورق,ال ضبعون للبلاستيك والورق,"431 أ - الحى الرابع - التجمع الخامس , القاهرة الجديدة, القاهرة.",205418
ورق,ال غنيم للتجارة,"8 ش محمود هريدى, الهرم, الجيزة.",320613
ورق,الاجلال لتجارة الورق,"ش السنترال, الاردنية, العاشر من رمضان, الشرقية.",620152
ورق,الاخلاص جروب,"قطعة رقم 12 بلوك 20027, الامتداد الغربى, مدينة العبور, القليوبية.",629467
ورق,الاخلاص للتجارة والاستيراد والتصدير,"8 ش مسجد الهدى المحمدى متفرع من ش احمد عرابى, عين شمس, القاهرة.",276573
ورق,الاخوة,"ش الثورة, وسط البلد, كفر الشيخ.",345021
ورق,الاخوة الثلاثة,"1 ش عبده خلف متفرع من ش الشيخ منصور, عزبة النخل, القاهرة.",528598
ورق,الاخوين للتجارة والتوزيع,"58 ش الاهوازى, الورديان, الاسكندرية.",392855
ورق,الاردنية للورق,"26 ش خضر التونى, المنطقة الاولى, مدينة نصر, القاهرة.",637982
ورق,الاركان للاستيراد والتصدير,"11 ش البورصة - الدور 3, طنطا, الغربية.",415617
ورق,الاستاذ,"ش بطل السلام, المسلة, الفيوم.",337661
ورق,الاستاذ,"ش سوق التجار, منية النصر, الدقهلية.",354398
ورق,الاسراء,"ش التحرير, ابو كبير, الشرقية.",329770
ورق,الاسلامية,"123 ش الجيش, باب الشعرية, القاهرة.",471775
ورق,الاسلامية,"ش ممدوح رضوان, فيصل, الجيزة.",406992
ورق,الاسماعيلية,"ش السنترال, الاردنية - مركز المدينة, العاشر من رمضان, الشرقية.",619182
ورق,الاشراف,"طريق القناطر الخيرية, القناطر الخيرية, القليوبية.",299626
ورق,الاشرف,"9 ش ابن رشد, المنشية, الاسكندرية.",30416
ورق,الاشقاء للمنتجات الورقية,"2 ش بدوى رفاعى - الشرقاوية الجديدة, شبرا الخيمة, القليوبية.",118074
ورق,الاصدقاء,"17 ش حسين زكى، متفرع من ش فرحات, جزيرة الذهب, الجيزة.",625128
ورق,الافاق للاستيراد والتصدير,"47 ش الهرم, الهرم, الجيزة.",451611
ورق,الاقصى,"2 ش الاقصى متفرع من ش الجمهورية, القلج, القليوبية.",423497
ورق,الاقصى لتجارة الورق,"32 ش الكريم, الزيتون, القاهرة.",257045
ورق,الامام,"9 ش السلطان شعبان, الفجالة, القاهرة.",188952
ورق,الامانة,"ش عشم الله, عين شمس الشرقية, القاهرة.",317103
ورق,الامانة لتجارة الورق,"80 ش كامل صدقى, باب الشعرية, القاهرة.",207521
ورق,الامل,"طريق القناطر الخيرية, القناطر الخيرية, القليوبية.",299695
ورق,الامير,"331 ش ترعة الجبل, الزيتون, القاهرة.",260813
ورق,الامير للبلاستيك,"125 ش شبرا, شبرا, القاهرة.",1050
ورق,الامير للورقيات,"93 ش محرم بك, محرم بك, الاسكندرية.",482591
ورق,الاميرة,"طريق باسوس, باسوس, القليوبية.",299350
ورق,الامين للتجارة,"4 ش عبد الغنى ابراهيم متفرع من ش ترعة زنين, بولاق الدكرور, الجيزة.",442368
ورق,الامين للورقيات,"., الحى 11, السادس من اكتوبر, الجيزة.",438062
ورق,الانوار المحمدية,"رستم, باسوس, القليوبية.",299800
ورق,الاهرام,"طريق باسوس, باسوس, القليوبية.",301797
ورق,الاهلية,"ش الجمهورية, الابراهيمية, الشرقية.",363315
ورق,الايمان,"17 ش عبد العظيم مسعود, عين شمس الشرقية, القاهرة.",327451
ورق,الايمان,"ش جمال عبد الناصر, فيصل, الجيزة.",405422
ورق,الايمان لتحويل الورق,"41 ش احمد عمران - مدينة الاشراف, الزاوية الحمراء, القاهرة.",114841
ورق,الايمان للورق,"71 ش الزهور, البساتين, القاهرة.",231578
ورق,الباشا لتجارة الورق,"1 ش العمار متفرع من ش الورشة, الخصوص, القليوبية.",500132
ورق,الباشا لتجارة الورق والكرتون,"10 ش المدبح, السادس من اكتوبر, الجيزة.",612026
ورق,الباهى لصناعة الورق والكرتون,"المنطقة الصناعية الرابعة, العاشر من رمضان, الشرقية.",148573
ورق,البحرين,"طريق باسوس, باسوس, القليوبية.",301826
ورق,البردى لصناعة الورق - فاين,", المنطقة الصناعية الرابعة, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",141
ورق,البردى للاستيراد وتجارة الورق,"المجاورة الاولى - عمارة 120, الحى الاول, السادس من اكتوبر, الجيزة.",478936
ورق,البرعى,"12 مساكن الجمهورية -, مدينة السلام, القاهرة.",389563
ورق,البركة لتحويل الورق,"القطعة 144 - بلوك 25 ش 31, المنطقة الصناعية الاولى, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",518610
ورق,البرنس,"طريق القناطر الخيرية, القناطر الخيرية, القليوبية.",299445
ورق,البرهان للصناعة والتجارة,"القطعة 8 - - المنطقة الصناعية الاولى, السادس من اكتوبر, الجيزة.",14834
ورق,البريطانية الدولية للتجارة والتوكيلات,"14 عمارات ميلسا -, ارض الجولف, مصر الجديدة, القاهرة.",437310
ورق,البطل,"122 مساكن الوادى الجديد -, مدينة السلام, القاهرة.",391917
ورق,البطل,"2 ش على بك النجار, شبرا, القاهرة.",463939
ورق,البطل,"ش د. عبد العزيز, فيصل, الجيزة.",406576
ورق,البطل لتجارة الورق,"ش منشية التحرير, عين شمس الشرقية, القاهرة.",322410
ورق,البهاء لتجارة الورق,"14 ش البكرى, بين السرايات, الجيزة.",241012
ورق,التاج الملكى للمنتجات الورقية,"كم 23 طريق العامرية, مرغم, الاسكندرية.",668254
ورق,التقوى للورق,"3 ش على حسن متفرع من ش الثلاثينى, العمرانية الغربية, الهرم, الجيزة.",489224
ورق,الثغر للاستيراد والتصدير,"متفرع من ش مصطفى كامل, المندره قبلى, الاسكندرية.",127213
