Category,Name,Address,ID
مطاعم,الصفوة للفحم النباتى,", عرب العليقات, الخانكة, القليوبية.",690184
مطاعم,اسماك شعبان,"برج الهنا طريق اسكندرية مطروح - كورنيش المكس, المكس, الاسكندرية.",30799
مطاعم,قرية التمساح للمشويات والمأكولات البدوية,"كم 12.5 طريق الكافورى, برج العرب, الاسكندرية.",619893
مطاعم,توينتى فور سيفن لادارة المطاعم,"مول تيفولى دوم, سيدى جابر, الاسكندرية.",691443
مطاعم,مطعم هرم الحمام,"ش المشير - مول سيتى سكوير, سيدى جابر, الاسكندرية.",694169
مطاعم,مطعم نوح,"117 ش التسعين الشمالى, التجمع الخامس, القاهرة الجديدة, القاهرة.",690773
مطاعم,مطعم فايف روسترز فرايدتشكن,"ش مسجد حاتم, السوق التجارى, سموحة, الاسكندرية.",629053
مطاعم,اسماك المنشاوى,", عمارة 306 د, حدائق الاهرام, الهرم, الجيزة.",577520
مطاعم,امواج للماكولات البحرية,"5 ش محمد حسنين هيكل, مدينة نصر, القاهرة.",612768
مطاعم,بيتزا باستا,"45 ش المطبعة, فيصل, الجيزة.",329661
مطاعم,ساكورا سوشى,"38 ش 231, دجلة, المعادى, القاهرة.",127658
مطاعم,سلسلة مطاعم الحاتى,"127 ش مصر والسودان, حدائق القبة, القاهرة.",99168
مطاعم,مطعم ابو العز السورى,"35 ش عباس العقاد, مدينة نصر, القاهرة.",451573
مطاعم,مطعم المحمدى بيت الكباب,"ش سكة سندوب ميدان الشيخ حسنين, المنصورة, الدقهلية.",290465
مطاعم,جارنل سوشى اند بوك,"21 ش شمس الدين الذهبى, ارض الجولف, مصر الجديدة, القاهرة.",595632
مطاعم,مطعم نور الصباح,"151 ش الفيوم, دار السلام, القاهرة.",217432
مطاعم,1 كفتة,"ش نعمان الاعصر, المحلة الكبرى, الغربية.",584158
مطاعم,10 بلدى,"74 ش حسن المأمون, الحى الثامن, مدينة نصر, القاهرة.",606423
مطاعم,10 منيت كوفى,"14 ش مصطفى صفوت, تقاطع ش صالح صبحى, حلوان, القاهرة.",587082
مطاعم,100 كرش,"ش الجمهورية, المنصورة, الدقهلية.",582053
مطاعم,101 كوفى شوب,"4 ش محمود خيرى, المنطقة الاولى, مدينة نصر, القاهرة.",686134
مطاعم,1122 بار,"ش عبد الحميد بدوى, مساكن شيراتون, مصر الجديدة, القاهرة.",228138
مطاعم,139 لونج اند تراس,"6 ش الهرم, الهرم, الجيزة.",447696
مطاعم,147 سوهو,"ش التسعين - الدور 2, التجمع الخامس, القاهرة الجديدة, القاهرة.",295646
مطاعم,1902,"ش ابطال التحرير, وسط البلد, اسوان.",445278
مطاعم,2 كبدة وسجق,"ش الفريق رضا حافظ, المحلة الكبرى, الغربية.",636480
مطاعم,23 يوليو,"ش 23 يوليو, بنى سويف, بنى سويف.",293014
مطاعم,24 دوجز,"62 ش 9, المعادى, القاهرة.",625182
مطاعم,3 شيفس,"ش ابو الهول السياحى, مشعل, الهرم, الجيزة.",612915
مطاعم,360 ستريت فود,"ش المجزر الالى, المريوطية, الهرم, الجيزة.",625291
مطاعم,4 ام كريب,"ش التسعين, القاهرة الجديدة, القاهرة.",583954
مطاعم,5 نجوم,"114 ش ترعة الزمر - ابو قتادة, فيصل, الجيزة.",329150
مطاعم,64 بار,"الممشى السياحى, خليج نعمة, شرم الشيخ.",198826
مطاعم,64 درب سعادة,", الرحاب 2 - السوق الشرقى, مدينة الرحاب, القاهرة.",622463
مطاعم,68 جيتس,"ش عصام حلمى تقاطع ش ادموند فيرمونت, سموحة, الاسكندرية.",614321
مطاعم,900 دجريز,"القطعة A ش التسعين الجنوبى, مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",540343
مطاعم,911,"13 ش حسان بن ثابت, طنطا, الغربية.",438085
مطاعم,اب تاون,"ش المحكمة الجديدة, الخانكة, القليوبية.",685315
مطاعم,اب تاون بوب,"الغرقانة, خليج نبق, شرم الشيخ.",198257
مطاعم,اب تاون كافيه,"33 ش طلعت حرب, وسط البلد, القاهرة.",486297
مطاعم,اب ستيرز ريستوران,"ش ايناس الدغيدى, وسط البلد, الجونة.",567196
مطاعم,اب ستيريز كافيه,"ش انور المفتى, المنطقة الاولى, مدينة نصر, القاهرة.",545906
مطاعم,اب نورمال,"15 ش الشهداء, الحى الاول, السادس من اكتوبر, الجيزة.",621989
مطاعم,اباتشى تشيكن,"116 ش الهرم, تقاطع ش سهل حمزة, المريوطية, الهرم, الجيزة.",669757
مطاعم,اباظة كافيه,"78 طريق الجيش, سبورتنج, الاسكندرية.",41331
مطاعم,ابر ديك لاونج,"1089 كورنيش النيل, جاردن سيتى, القاهرة.",467661
مطاعم,ابراهيم الشرقاوى,"27 ش فوزى عبد المقصود, المرج, القاهرة.",498657
مطاعم,ابراهيم حسن العربى,"ش المكاتب, الزقازيق, الشرقية.",286632
مطاعم,ابراهيم غريب,"120 طريق مصر حلوان الزراعى, دار السلام, القاهرة.",345350
مطاعم,ابرو كافيه,"كم 6 - , طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",580986
مطاعم,ابل بيز,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",429304
مطاعم,ابل كافيه,"420 د ش 9, المقطم, القاهرة.",591781
مطاعم,ابلز,"ش الصناعة متفرع من ش عباس العقاد, مدينة نصر, القاهرة.",416359
مطاعم,ابلز,"ش المعتصم, طنطا, الغربية.",178607
مطاعم,ابن البحر,"211 ش ترعة عبد العال 1 - صفط اللبن, بولاق الدكرور, الجيزة.",578569
مطاعم,ابن البلد,"27 ش الحافظية, شبرا, القاهرة.",378776
مطاعم,ابن البلد,"11 ش ارض شريف, عابدين, القاهرة.",372367
مطاعم,ابن البلد,"43 ش ابراهيم نوار, المنطقة السادسة, مدينة نصر, القاهرة.",349609
مطاعم,ابن البلد,"السوق التجارى, مدينة الرحاب, القاهرة.",388633
مطاعم,ابن البلد,"ش المستشفى, الزاوية الحمراء, القاهرة.",403521
مطاعم,ابن البلد,"ش الوحدة, شبرا الخيمة, القليوبية.",249475
مطاعم,ابن البلد تيك اواى,"8 ش الشريف متفرع من ش الجامع البحرى, بولاق الدكرور, الجيزة.",443474
مطاعم,ابن البلد للوجبات السريعة,"ش المشربة, المسبط, دهب.",449352
مطاعم,ابن الحتة,"22 ش صلاح الدين, روكسى, مصر الجديدة, القاهرة.",426438
مطاعم,ابن الحتة,"29 ش سليمان جوهر, الدقى, الجيزة.",270502
مطاعم,ابن العرب,"2 ش جعفر, الهرم, الجيزة.",198795
مطاعم,ابن القلج,"ش شرق السكة الحديد, ابو زعبل, القليوبية.",345189
مطاعم,ابن القليوبية,"78 ش العشرين - تقسيم الاباصيرى, عين شمس الشرقية, القاهرة.",318344
مطاعم,ابن حراز,"ش السكة الحديد ميدان المحطة, ابو زعبل, القليوبية.",421889
مطاعم,ابن حلال كوفى شوب,"77 ش الترعة التوفيقية, عزبة النخل, القاهرة.",524381
مطاعم,ابن حلب للمأكولات السورية,"3 ش فريد سميكة, ميدان الحجاز, مصر الجديدة, القاهرة.",667016
مطاعم,ابن حميدو,"56 ش جمال عبد الناصر, حدائق حلوان, القاهرة.",243856
مطاعم,ابن حميدو,"طريق الجيش, جليم, الاسكندرية.",579980
مطاعم,ابن حميدو القبطان,"15 ش البطراوى, المنطقة الاولى, مدينة نصر, القاهرة.",594564
مطاعم,ابن حميدو للاسماك,"57 ش عزيز فهمى - ش الزنانيرى سابقا, كليوباترا, الاسكندرية.",265571
مطاعم,ابن حميدو للماكولات البحرية,"174 ش العشرين, عين شمس الشرقية, القاهرة.",476385
مطاعم,ابن حميدو للمأكولات البحرية,"15 ش الجبرتى, متفرع من ش الخليفة المأمون, منشية البكرى, مصر الجديدة, القاهرة.",648780
مطاعم,ابن زهران,"ش الجمهورية, السنطة, الغربية.",349412
مطاعم,ابناء الشرقية,"36 ش عزبة الوالدة - عزبة الوالدة, حلوان, القاهرة.",385880
مطاعم,ابناء الشرقية,"51 ش السادات, كرداسة, الجيزة.",557983
مطاعم,ابناء الصعيد,"ش مهران, البساتين, القاهرة.",371802
مطاعم,ابناء المحلة,"ش الجيش, قطور, الغربية.",346400
مطاعم,ابناء المحلة الكبرى,"ش جمال عبد الناصر, قلين, كفر الشيخ.",359302
مطاعم,ابناء المليجى,"7 ش جواد حسنى, الكوم الاخضر, الهرم, الجيزة.",419385
مطاعم,ابناء الواحة,"عمارات صقر قريش -, المعادى, القاهرة.",386665
مطاعم,ابناء سوهاج,"ش الامام العبد, الزاوية الحمراء, القاهرة.",410119
مطاعم,ابناء سوهاج,"2 ش الفاتح, شبرا الخيمة, القليوبية.",412503
مطاعم,ابناء سوهاج,"7 ش طلعت حرب, شبين الكوم, المنوفية.",320774
مطاعم,ابناء سوهاج كوفى شوب,"37 ش ترعة بشتيل - المنيرة الغربية, امبابة, الجيزة.",538908
مطاعم,ابناء سوهاج للعصائر,"2 ش المدرسة , المنيب, الجيزة.",212406
مطاعم,ابناء سوهاج للعصائر,"67 ش د. محمد فؤاد سعيد, العمرانية الغربية, الهرم, الجيزة.",487627
مطاعم,ابناء فرغلى,"1 ش الاربعين, جسر السويس, القاهرة.",276434
مطاعم,ابو احمد,"1 ش فتح الله على, حدائق المعادى, المعادى, القاهرة.",421584
مطاعم,ابو احمد,"عمارات صقر قريش -, المعادى, القاهرة.",386559
مطاعم,ابو احمد,"ش ترعة القبة, حدائق القبة, القاهرة.",255070
مطاعم,ابو احمد,"81 ش احمد سعيد, عباسية, القاهرة.",276453
مطاعم,ابو احمد,"ش العراقى, قليوب, القليوبية.",363513
مطاعم,ابو احمد,"ش البحر, اولاد صقر, الشرقية.",366349
مطاعم,ابو ادهم للمشويات,"30 ش المدبح, العياط, الجيزة.",612121
مطاعم,ابو اسلام,"ش على ابو زيد, فيصل, الجيزة.",342081
مطاعم,ابو اسلام,"170 ش محمد سالم, الهرم, الجيزة.",323587
مطاعم,ابو اسلام,"ش عبد الفتاح جوهر, المهندسين, الجيزة.",383863
مطاعم,ابو اسلام,"61 ش المنشية, فيصل, الجيزة.",254594
مطاعم,ابو اسماء للوجبات السريعة,"15 ش عبد الرازق السنهورى, مدينة نصر, القاهرة.",665807
مطاعم,ابو اسماعيل,"32 ش ابو بكر الصديق, امبابة, الجيزة.",360759
مطاعم,ابو اسماعيل للمشويات,"53 ش سيدى جابر, كليوباترا حمامات, الاسكندرية.",265419
مطاعم,ابو اشرف,"ش العاشر من رمضان, الزاوية الحمراء, القاهرة.",402823
مطاعم,ابو اصف الدمشقى,"6 عمارات المبعوثين - ش حسن المأمون, المنطقة السادسة, مدينة نصر, القاهرة.",582387
مطاعم,ابو الحبايب,"24 ش شريف, حلوان, القاهرة.",242801
مطاعم,ابو الحسن,"ش التروللى, المرج, القاهرة.",332127
مطاعم,ابو الحسن,"47 ش الزهراء تقاطع ش يثرب, الدقى, الجيزة.",566913
مطاعم,ابو الخير,"308 أ ش الثروة المعدنية, حدائق الاهرام, الهرم, الجيزة.",612505
مطاعم,ابو الدهب,"117 ش العشرين, عين شمس الشرقية, القاهرة.",318243
مطاعم,ابو الدهب,"ش احمد عرابى, ميت غمر, الدقهلية.",340769
مطاعم,ابو الدهب,"18 ش الثلاثينى, الطالبية, الهرم, الجيزة.",307709
مطاعم,ابو الذهب,"سور نادى المؤسسة - ميدان المؤسسة, شبرا الخيمة, القليوبية.",248561
مطاعم,ابو السيد,"ش التحرير, ابو كبير, الشرقية.",329928
مطاعم,ابو الشام,"7 ش قدرى, السيدة زينب, القاهرة.",409387
مطاعم,ابو الشام,"السوق العمومى, رأس البر, دمياط.",352524
مطاعم,ابو الشام,"ابراج الاردنية - - الحى السابع , السادس من اكتوبر, الجيزة.",214243
مطاعم,ابو الشامية,"المجاورة الخامسة, الحى 12, السادس من اكتوبر, الجيزة.",359427
مطاعم,ابو الشهيد محمود,"ش الملكة, فيصل, الجيزة.",342862
مطاعم,ابو العربى,"10 ش زهنى, الظاهر, القاهرة.",354030
مطاعم,ابو العربى للمأكولات البحرية,"القطعة 100 ش مجمع البنوك, متفرع من ش التسعين, التجمع الخامس, القاهرة الجديدة, القاهرة.",635465
مطاعم,ابو العز,"117 ش بورسعيد, السيدة زينب, القاهرة.",61409
مطاعم,ابو العز,"ش الجمهورية, بور فؤاد, بور سعيد.",380172
مطاعم,ابو العلا,"ش سعد زغلول, ابو كبير, الشرقية.",332119
مطاعم,ابو الفتوح للمشويات,"ش الهانوفيل, الهانوفيل, الاسكندرية.",227939
مطاعم,ابو الفطاير,"ش 9, المقطم, القاهرة.",272987
مطاعم,ابو اللبن,"44 ش مكرم عبيد, مدينة نصر, القاهرة.",687657
مطاعم,ابو الليل,"ش المنزل متفرع من ش المنصورية, الهرم, الجيزة.",381471
مطاعم,ابو المراسى,"96 ش المنيل, المنيل, القاهرة.",502790
مطاعم,ابو المهدى,"17 ش على عبد العزيز متفرع من ش فايدة كامل, البساتين, القاهرة.",225800
مطاعم,ابو النجا,"ش حسن ابو النجا, فيصل, الجيزة.",406935
مطاعم,ابو الهنا نت كافيىة,"3 ش النور, الحوامدية, الجيزة.",604808
مطاعم,ابو اليزيد,"11 ش عسران عبد النعيم, متفرع من ش ترعة السواحل, امبابة, الجيزة.",128834
مطاعم,ابو امين,"ش الخلفاء الراشدين, سقالة, الغردقة.",246554
مطاعم,ابو ايمن,"ش على شيحة, فيصل, الجيزة.",399638
مطاعم,ابو اية,"ش ترعة الشابورى, شبرا الخيمة, القليوبية.",281449
مطاعم,ابو باسم,"ش السكة الحديد - عرب غنيم, حلوان, القاهرة.",291566
مطاعم,ابو بكر الصديق,"ش مؤسسة الزكاة, المرج, القاهرة.",341414
مطاعم,ابو بكر الصديق,"ش ابو بكر الصديق, الزاوية الحمراء, القاهرة.",402313
مطاعم,ابو بلاسى,"ش مصطفى كامل ميدان المحطة, ابو كبير, الشرقية.",332564
مطاعم,ابو جاد,"3 ش جامع عمرو بن العاص, مصر القديمة, القاهرة.",582953
مطاعم,ابو جاسر,"حارة حسنى بك, السيدة زينب, القاهرة.",414951
مطاعم,ابو جاسر,"33 ش الجيش, الجمالية, القاهرة.",324901
مطاعم,ابو جالى,"19 ش حسن محمد, حسن محمد, الهرم, الجيزة.",398927
مطاعم,ابو جامع,"ش 20 متفرع من ش 45, العصافرة قبلى, الاسكندرية.",252155
مطاعم,ابو جبريل تيك اواى,"55 ش جسر البحر, شبرا, القاهرة.",435347
مطاعم,ابو جبيل للعصائر,"137 ش ترعة الزمر, المنيب, الجيزة.",501710
مطاعم,ابو جمال,"64 ش الخصوص العمومى, الخصوص, القليوبية.",288926
مطاعم,ابو حازم للمشويات,"., ميدان الساعة, الاسكندرية.",301028
مطاعم,ابو حبيبة,"130 مساكن الدلتا 2 -, مدينة السلام, القاهرة.",391645
مطاعم,ابو حجاج,"بلوك 13 - مساكن الاسكندرية -, المقطم, القاهرة.",273845
مطاعم,ابو حربى,"52 كورنيش النيل, المعصرة, القاهرة.",454720
مطاعم,ابو حربى,"ابراج الامريكية، المحور المركزى, الحى الاول, السادس من اكتوبر, الجيزة.",622082
مطاعم,ابو حسام,"12 ش اسامة ابو عميرة, فيصل, الجيزة.",245918
مطاعم,ابو حسان,"61 ش مجلس الامة, السيدة زينب, القاهرة.",369867
مطاعم,ابو حسن,"4 ش الجمهورية, حدائق المعادى, المعادى, القاهرة.",501466
مطاعم,ابو حسن,"60 ش ترسا, الهرم, الجيزة.",323642
مطاعم,ابو حسن,"ش حمد ياسين, فيصل, الجيزة.",407178
مطاعم,ابو حسين الشرقاوى,"209 ش مؤسسة الزكاة, المرج, القاهرة.",304630
مطاعم,ابو حلا السورى,"115 عمارات تعاونيات سموحة - , سموحة, الاسكندرية.",582399
مطاعم,ابو حلاوة,"ش التحرير, ابو كبير, الشرقية.",329973
مطاعم,ابو حمادة,"الطريق الابيض, ارض اللواء, الجيزة.",269852
مطاعم,ابو حمامة,"121 ش ابراهيم عبد الرازق, عين شمس الشرقية, القاهرة.",472207
مطاعم,ابو حمزة,"ش المطبعة, شبرا الخيمة, القليوبية.",249423
مطاعم,ابو حمزة للبيتزا والفطائر,"26 ش سعد امام, الطالبية, الهرم, الجيزة.",639047
مطاعم,ابو حمزة للمشويات,"1155 ش هادى جوهر, الحى الاول, المقطم, القاهرة.",640720
مطاعم,ابو حميد,"5 ش 18, جسر السويس, القاهرة.",262009
مطاعم,ابو حنان للبيتزا والفطائر,"6 ش عمر بن الخطاب - المنيرة الغربية, امبابة, الجيزة.",573138
مطاعم,ابو حنفى,"6 ش جمعة عضيم, دار السلام, القاهرة.",330011
مطاعم,ابو حنفى الكبابجى,"عمارة 109مدينة عباد الرحمن, زهراء المعادى, المعادى, القاهرة.",624869
مطاعم,ابو حيدر,"13 ش ابراهيم اللقانى, روكسى, مصر الجديدة, القاهرة.",69384
مطاعم,ابو خالد الحريف,"12 ش جمال عبد الناصر ميدان فيكتوريا, سيدى بشر, الاسكندرية.",247372
مطاعم,ابو خليل,"1 ش جميلة بوحريد, فيكتوريا, الاسكندرية.",301942
مطاعم,ابو درش,"104 ش ترعة الزمر, العمرانية الغربية, الهرم, الجيزة.",306357
مطاعم,ابو دقة,"عمارات صقر قريش, مساكن شيراتون, مصر الجديدة, القاهرة.",575417
مطاعم,ابو دنيا تيك اواى,"30 ش ترعة الجلاد, الزاوية الحمراء, القاهرة.",566044
مطاعم,ابو رامز السورى,"16 ش محمد رضا, حدائق المعادى, المعادى, القاهرة.",673556
مطاعم,ابو رامى,"ش الشيخ مفتاح, البساتين, القاهرة.",371467
مطاعم,ابو راوية,"طريق العجمى الرئيسى, العجمى, الاسكندرية.",53883
مطاعم,ابو ربيع,"ش العاشر من رمضان, الزاوية الحمراء, القاهرة.",402832
مطاعم,ابو ربيع,"2 ش سيد عبد الرحمن, فيصل, الجيزة.",342845
مطاعم,ابو ربيع,"44 ش الجلاء, فيكتوريا, الاسكندرية.",246818
مطاعم,ابو ربيع السورى,"42 ش الارمن, ميامى, الاسكندرية.",616445
مطاعم,ابو رجيلة,"ش مسجد الرحمن, المعصرة, القاهرة.",326563
مطاعم,ابو رحمة,"القطعة 8121 -, المقطم, القاهرة.",272829
مطاعم,ابو رحمة,"46 المجاورة الخامسة, الحى 12, السادس من اكتوبر, الجيزة.",359434
مطاعم,ابو رحمة,"84 ش السودان, المهندسين, الجيزة.",392947
مطاعم,ابو ردة,"16 ش يثرب, الدقى, الجيزة.",507743
مطاعم,ابو رشدى,"6 ش رشدى متفرع من ش 9, حدائق المعادى, المعادى, القاهرة.",409592
مطاعم,ابو رضوى,"ش مدرسة البنات, بركة السبع, المنوفية.",317797
مطاعم,ابو رياض للمأكولات السورية,"2 ش عبدالله العربى امتداد ش الطيران, الحى السابع, مدينة نصر, القاهرة.",582502
مطاعم,ابو زياد,"ش ترعة الزمر - ابو قتادة, فيصل, الجيزة.",330546
مطاعم,ابو زياد,"ش 6 اكتوبر, العصافرة, الاسكندرية.",254417
مطاعم,ابو زياد الكبابجى,"27 ش المزرعة متفرع من الطريق الابيض, ارض اللواء, الجيزة.",269981
مطاعم,ابو زيد للمشويات,"24 ش الرياض, زيزينيا, الاسكندرية.",51063
مطاعم,ابو سارة,"طريق الشين, قطور, الغربية.",346639
مطاعم,ابو ساسا,"ش الجيش, كفر الزيات, الغربية.",344247
مطاعم,ابو سامح,"9 ش 26 يوليو, المهندسين, الجيزة.",382938
مطاعم,ابو سريع,"221 ش الجيش, باب الشعرية, القاهرة.",283880
مطاعم,ابو سعدة,"ش الجمهورية, الابراهيمية, الشرقية.",363892
مطاعم,ابو سعودى,"ش ابراهيم رضوان, دار السلام, القاهرة.",335323
مطاعم,ابو سعيد,"ش الوسط - عرب غنيم, حلوان, القاهرة.",291765
مطاعم,ابو سعيد الشرقاوى,"8 ش سكة الوايلى, حدائق القبة, القاهرة.",201793
مطاعم,ابو سلطان,"كم 34 - ش السنترال, سيدى كرير, الساحل الشمالى.",186539
مطاعم,ابو سليم,"الشارع الجديد - محطة الفيلا, شبرا الخيمة, القليوبية.",600234
مطاعم,ابو سما,"134 مساكن الدلتا المفارق -, المقطم, القاهرة.",273306
مطاعم,ابو سما الشبراوى,"45 ش عبد الرحيم باشا صبرى متفرع من ش لطفى حسونة, الدقى, الجيزة.",596227
مطاعم,ابو سما للمشويات,"2 ش احمد عبد الوهاب متفرع من ش محمد نجيب, المرج, القاهرة.",480663
مطاعم,ابو سماح,"25 ش العبد, مدينة السلام, القاهرة.",390687
مطاعم,ابو سماح,"ش ترسا العمومى, المنيب, الجيزة.",344381
مطاعم,ابو سمرة,"ش امتداد رمسيس، ميدان العباسية، ابراج الملتقى - برج 5أ, عباسية, القاهرة.",618675
مطاعم,ابو سمرة,"التقسيم السياحى, القناطر الخيرية, القليوبية.",302809
مطاعم,ابو سمرة تيك اواى,"46 ش قصر العينى, قصر العينى, القاهرة.",424611
مطاعم,ابو سمرة للمشويات,"7 ش ابو السعود, مصر القديمة, القاهرة.",518527
مطاعم,ابو سنة,"ش احمد ماهر, ميت غمر, الدقهلية.",337465
مطاعم,ابو سيد للفطير,"7 ش مسجد الصفا, الحوامدية, الجيزة.",603967
مطاعم,ابو شادى,"23 ش جميلة بوحريد, فيكتوريا, الاسكندرية.",301948
مطاعم,ابو شادى,"ش البحث الجنائى - الاردنية, العاشر من رمضان, الشرقية.",387887
مطاعم,ابو شادى كريب,"الاردنية, العاشر من رمضان, الشرقية.",468942
مطاعم,ابو شادى للمشويات,"146 ش طومانباى, الزيتون, القاهرة.",257242
مطاعم,ابو شامة,"9 كورنيش النيل, القناطر الخيرية, القليوبية.",302976
مطاعم,ابو شامة,"98 ش عمرو بن العاص, فيصل, الجيزة.",254235
مطاعم,ابو شريف,"ش جامع السهلى, كفر الزيات, الغربية.",342390
مطاعم,ابو شريف,"19 ش الطنانى متفرع من ش ترعة السواحل, امبابة, الجيزة.",262752
مطاعم,ابو شعبان,"ش بورسعيد, بلبيس, الشرقية.",328513
مطاعم,ابو شقرة,"82 ش الميرغنى, كلية البنات, مصر الجديدة, القاهرة.",74538
مطاعم,ابو شلبى,"ش طه ابو النور متفرع من ش فيصل, فيصل, الجيزة.",321702
مطاعم,ابو شنب,"232 ش فيصل, التعاون, فيصل, الجيزة.",173518
مطاعم,ابو شهاب,"8 ش السكرى, الهرم, الجيزة.",323630
مطاعم,ابو شهد,"ش سيدى جابر - ساقية مكى, المنيب, الجيزة.",312692
مطاعم,ابو شوشة كافيه,"91 ش خالد بن الوليد تقاطع ش محمد نجيب, سيدى بشر, الاسكندرية.",234179
مطاعم,ابو صابر,"كم 19.5 - طريق اسكندرية مطروح الصحراوى, ابو يوسف, الاسكندرية.",172906
مطاعم,ابو صالح,"ش سعد زغلول, الفشن, بنى سويف.",318741
مطاعم,ابو صفية,"ش بورسعيد, بلبيس, الشرقية.",326430
مطاعم,ابو صلاح السورى,"2 برج طه حسين - ش طه حسين - الدور 2, الزمالك, القاهرة.",444432
مطاعم,ابو ضيف,"ش محمد عبده, امبابة, الجيزة.",344095
مطاعم,ابو ضيف السوهاجى,"14 ش بلال, فيصل, الجيزة.",406174
مطاعم,ابو طاجن,"65 ., مدينة الرحاب, القاهرة.",455282
مطاعم,ابو طارق,"ش ترعة الهوارى - عزبة شلبى, المطرية, القاهرة.",378136
مطاعم,ابو طارق,"ش ابو بريك, العرب, المعادى, القاهرة.",374253
مطاعم,ابو طارق,"ش حمام المصبغة, الازهر, القاهرة.",384501
مطاعم,ابو طارق الكبابجى,"340 ش السودان, المهندسين, الجيزة.",463350
مطاعم,ابو طاقة للعصائر,"ش السلطان حسين, شبين الكوم, المنوفية.",286224
مطاعم,ابو طه,"55 ش المحولات, الهرم, الجيزة.",307733
مطاعم,ابو طه اورينتال,"السوق التجارى, مدينة الرحاب, القاهرة.",214771
مطاعم,ابو ظريفة,"3 عمارات رابعة الاستثمارى -, مدينة نصر, القاهرة.",489987
مطاعم,ابو عادل,"9 ش جامعة الدول العربية, المهندسين, الجيزة.",53896
مطاعم,ابو عادل,"25 - ارض اللواء, المهندسين, الجيزة.",269508
مطاعم,ابو عاصم,"1 ش عبد الروؤف, عزبة النخل, القاهرة.",179342
مطاعم,ابو عامر,"133 ش النزهة, سانت فاتيما, مصر الجديدة, القاهرة.",16332
مطاعم,ابو عامر,"1 ش محمود عبد اللطيف متفرع من ش بكرى عليوة - ارض الجمعية, ارض اللواء, الجيزة.",426153
مطاعم,ابو عامر,"ش كولدير تقاطع ش ابراهيم عاشور, جزيرة الذهب, الجيزة.",242917
مطاعم,ابو عبد الله,"71 ش بن الحكم, الزيتون, القاهرة.",256722
مطاعم,ابو عبده,"ش السلخانة, المسلة, الفيوم.",336393
مطاعم,ابو عبده,"2 ش حسن وهبة, الهرم, الجيزة.",325996
مطاعم,ابو عبده,"123 ش فيصل, فيصل, الجيزة.",393845
مطاعم,ابو عبده السورى,"51 ش ربيع الجيزى, الجيزة, الجيزة.",602474
مطاعم,ابو عبده تيك اواى,"23 ش ترعة الجلاد, الزاوية الحمراء, القاهرة.",566028
مطاعم,ابو عبده للمشويات,"109 ش احمد بدوى, ابو النمرس, الجيزة.",272072
مطاعم,ابو عبدو الدمشقى,"ش مكة المكرمة المجاورة الاولى, الحى السابع, السادس من اكتوبر, الجيزة.",595455
مطاعم,ابو عبدو السورى,"8 ش الدقى, الدقى, الجيزة.",463877
مطاعم,ابو عدنان,"1 ش المدينة المنورة متفرع من ش الملكة, فيصل, الجيزة.",158639
مطاعم,ابو عرب الدمشقى,"14 ش دار الصناعة, متفرع من ش الروضة, المنيل, القاهرة.",620876
مطاعم,ابو عزام,"ش مسجد عزام, حلوان, القاهرة.",386445
مطاعم,ابو عزب تيك اواى,"5 ش مسجد صلاح الدين, قرية بشتيل, اوسيم, الجيزة.",544824
مطاعم,ابو علاء,"5 ش الثلاثينى, الطالبية, الهرم, الجيزة.",307663
مطاعم,ابو علاء,"313 ش الهرم, الهرم, الجيزة.",405580
مطاعم,ابو علام,"1 ش الامام عبد الكريم متفرع من الشارع الجديد, البساتين, القاهرة.",231019
مطاعم,ابو على,"1 ش القدس متفرع من ش العشرين - زهراء عين شمس, عين شمس الشرقية, القاهرة.",420737
مطاعم,ابو على,"ش الزهور, الزاوية الحمراء, القاهرة.",411481
مطاعم,ابو على,"93 عمارات السويسرى, الحى العاشر, مدينة نصر, القاهرة.",311732
مطاعم,ابو على,"35 ش جسر السويس, جسر السويس, القاهرة.",295992
مطاعم,ابو على,"12 ش دار السلام, سراى القبة, القاهرة.",399848
مطاعم,ابو على,"37 ش النهضة - عزبة النخل الشرقية, عزبة النخل, القاهرة.",472343
مطاعم,ابو على,"21 ش محمد مظهر, الزمالك, القاهرة.",474858
مطاعم,ابو على,"ش بورسعيد, الزقازيق, الشرقية.",363257
مطاعم,ابو على,"7 ش حسن رمضان متفرع من ش الدقى, الدقى, الجيزة.",387835
مطاعم,ابو على,"5 ش محمود خليل النحاس, الكوم الاخضر, الهرم, الجيزة.",382666
مطاعم,ابو على,"54 عمارات ابو الوفا -, الحى السادس, السادس من اكتوبر, الجيزة.",438776
مطاعم,ابو على,"ش المحكمة الشرعية, ابشواى, الفيوم.",312825
مطاعم,ابو على الصعيدى للعصائر,"1 ش عبد المنعم الجمل, بهتيم, القليوبية.",484020
مطاعم,ابو على شيشة كافيه,"., شاركس باى, شرم الشيخ.",413333
مطاعم,ابو على كافيه,"طريق 14 مايو, سموحة, الاسكندرية.",129363
