Category,Name,Address,ID
جاكوزي وحمامات بخار,الحمام التركى,"., المسبط, دهب.",148991
جاكوزي وحمامات بخار,الحمام الدمشقى,"331 المحور المركزى, ميدان ماجدة, الحى السابع, السادس من اكتوبر, الجيزة.",666643
جاكوزي وحمامات بخار,المجموعة للتجارة والمقاولات,"9 بلوك 2, حى السفارات, مدينة نصر, القاهرة.",9793
جاكوزي وحمامات بخار,اليشمك سبا,"فيلا 70 ش سليمان الفارسى, الحى الاول, مدينة العبور, القليوبية.",666714
جاكوزي وحمامات بخار,بيا سبورتس,"4 ش رفعت, حدائق القبة, القاهرة.",694107
جاكوزي وحمامات بخار,حمام دار المغرب,"16 ش صلاح الدين مصطفى متفرع من ش البطل احمد عبد العزيز, المهندسين, الجيزة.",175774
جاكوزي وحمامات بخار,حمام كليوباترا,"32 ش زكى, حلوان, القاهرة.",246155
جاكوزي وحمامات بخار,حمام كليوباترا,"الغرقانة, خليج نعمة, شرم الشيخ.",394859
جاكوزي وحمامات بخار,ساونا سبورت,"14 ش العباسية ميدان الجيش, عباسية, القاهرة.",175649
جاكوزي وحمامات بخار,ما روز سبا,"105 ش فيصل, فيصل, الجيزة.",173474
جاكوزي وحمامات بخار,مركز مان,"39 أ ش خاتم المرسلين متفرع من ش الهرم, الهرم, الجيزة.",396472
جاكوزي وحمامات بخار,نيفرتارى,"ش سيد كرم, فيصل, الجيزة.",341369
