Category,Name,Address,ID
ارقام طوارئ,استعلامات التأمين الصحى,"., وسط البلد, القاهرة.",448407
ارقام طوارئ,استعلامات المطار,"طريق المطار, منطقة المطار, مصر الجديدة, القاهرة.",65617
ارقام طوارئ,استعلامات المكالمات الدولية,"., وسط البلد, القاهرة.",989
ارقام طوارئ,استعلامات المياه - الشرقية,"29 ش سعد زغلول, الزقازيق, الشرقية.",74952
ارقام طوارئ,استعلامات الهيئة المصرية العامة للتنشيط السياحى,"5 ش عدلى, وسط البلد, القاهرة.",91859
ارقام طوارئ,استعلامات فاتورة المكالمات الدولية,"., وسط البلد, القاهرة.",93185
ارقام طوارئ,الاستغاثة بالقوات المسلحة بالاسكندرية,"الخط الساخن, ابيس, الاسكندرية.",275402
ارقام طوارئ,الخط الساخن للاستفسار عن فيروس كورونا,"., لاظوغلى, القاهرة.",673195
ارقام طوارئ,الساعة الناطقة,"., وسط البلد, القاهرة.",992
ارقام طوارئ,الشبكة الوطنية للطوارئ والسلامة العامة,"., وسط البلد, القاهرة.",689114
ارقام طوارئ,الشرطة الدورية - اطفيح,"خدمة طوارئ, اطفيح, الجيزة.",298153
ارقام طوارئ,الشرطة الدورية - الازبكية,"خدمة طوارئ, الازبكية, القاهرة.",298093
ارقام طوارئ,الشرطة الدورية - الاميرية,"خدمة طوارئ, الاميرية, القاهرة.",296916
ارقام طوارئ,الشرطة الدورية - البساتين,"خدمة طوارئ, البساتين, القاهرة.",298125
ارقام طوارئ,الشرطة الدورية - التبين,"خدمة طوارئ, التبين, القاهرة.",298144
ارقام طوارئ,الشرطة الدورية - الجمالية,"خدمة طوارئ, الجمالية, القاهرة.",298113
ارقام طوارئ,الشرطة الدورية - الخليفة,"خدمة طوارئ, الخليفة, القاهرة.",298127
ارقام طوارئ,الشرطة الدورية - الدرب الاحمر,"خدمة طوارئ, الدرب الاحمر, القاهرة.",298114
ارقام طوارئ,الشرطة الدورية - الزاوية الحمراء,"خدمة طوارئ, الزاوية الحمراء, القاهرة.",298089
ارقام طوارئ,الشرطة الدورية - الزيتون,"خدمة طوارئ, الزيتون, القاهرة.",296915
ارقام طوارئ,الشرطة الدورية - الساحل,"خدمة طوارئ, الساحل, القاهرة.",298082
ارقام طوارئ,الشرطة الدورية - السيدة زينب,"خدمة طوارئ, السيدة زينب, القاهرة.",298110
