Category,Name,Address,ID
مكتبات عامة,الجمعية الجغرافية,"109 ش قصر العينى, قصر العينى, القاهرة.",65907
مكتبات عامة,الشرق للمكتبات,"2 و/3 ش محمد العريان تقسيم اللاسلكى, المعادى, القاهرة.",438531
مكتبات عامة,الصابرين,"2 ش هشام لبيب, مدينة نصر, القاهرة.",314703
مكتبات عامة,الكتبجية,"3 ش 256, المعادى, القاهرة.",422555
مكتبات عامة,المكتبة القومية الزراعية المصرية,"7 ش نادى الصيد, الدقى, الجيزة.",379969
مكتبات عامة,المكتبة المركزية - جامعة الاسكندرية,"163 طريق الحرية, الشاطبى, الاسكندرية.",26840
مكتبات عامة,المكتبة المصرية الزراعية القومية,"7 ش نادى الصيد, الدقى, الجيزة.",122930
مكتبات عامة,الهيئة المصرية العامة للكتاب,"ميدان الساعة, طنطا, الغربية.",142316
مكتبات عامة,بوتيك الشافعى,"4 ش التبانة , متفرع من ميدان سوق السلاح, الدرب الاحمر, القاهرة.",200619
مكتبات عامة,حديقة ومكتبة الطفل,"ش 14, ارض سلطان, المنيا.",117297
مكتبات عامة,دار الكتاب الصوفى,"1 ش مجلس الشعب, السيدة زينب, القاهرة.",407153
مكتبات عامة,سمارت بوك شوب,"2 ش اسوان, عمارات الشريف, ميدان الحجاز, مصر الجديدة, القاهرة.",623539
مكتبات عامة,فى اى بى سنتر,"96 ش ابراهيم عبد الرازق, عين شمس, القاهرة.",11580
مكتبات عامة,مدرسة الاسكندرية للدراسات المسيحية,"3 ش الفاطميين متفرع من ش عمر بن الخطاب, ميدان الاسماعيلية, مصر الجديدة, القاهرة.",577205
مكتبات عامة,مركز طلعت حرب الثقافى,"1 ش السيدة نفيسة, السيدة نفيسة, القاهرة.",117210
مكتبات عامة,مكتبة 6 اكتوبر العامة,"9 ش د. محمد شاهين, متفرع من ش نوال, العجوزة, الجيزة.",379685
مكتبات عامة,مكتبة 6 اكتوبر العامة,"حى 6 اكتوبر, حى المناخ, بور سعيد.",345268
مكتبات عامة,مكتبة ابراهيم حلمى العامة,"قرية البقاشين, كفر شكر, القليوبية.",345604
مكتبات عامة,مكتبة ابو الريش العامة,"قرية ابو الريش, وسط البلد, اسوان.",342323
مكتبات عامة,مكتبة ابو الغر العامة,"قرية ابو الغر, كفر الزيات, الغربية.",339184
