Category,Name,Address,ID
تأجير سيارات وليموزين,شركة فور هورس لخدمات رجال الاعمال,"30, المحور المركزى, الحى الرابع, السادس من اكتوبر, الجيزة.",689321
تأجير سيارات وليموزين,كايرو ليموزين,"26 ش نادى الرماية, الزهراء, مصر القديمة, القاهرة.",665663
تأجير سيارات وليموزين,الرضوان ترافيل لخدمات الليموزين والنقل السياحي,"130 تعاونيات سموحة, سموحة, الاسكندرية.",692847
تأجير سيارات وليموزين,جوبا لخدمات الليموزين,"8 ش عبد القادر الغرياني, محرم بك, الاسكندرية.",690831
تأجير سيارات وليموزين,ليموزين اليكس اون لاين,"ابراج ال شاكر - برج أ ش 277, متفرع من ش ذكى رجب, سموحة, الاسكندرية.",553758
تأجير سيارات وليموزين,ليموزين اسكندرية,"8 ابراج الوطنية طريق 14 مايو, سموحة, الاسكندرية.",582384
تأجير سيارات وليموزين,سمارت فيكل ترانسبورت,"عمارة 221, الشقة 3, الدور 1, غرب اربيلا, التجمع الخامس, القاهرة الجديدة, القاهرة.",606837
تأجير سيارات وليموزين,المجد جروب لخدمات النقل,"6 ابراج سيتي ستارز, السادس من اكتوبر, الجيزة.",625434
تأجير سيارات وليموزين,شركة الفهد لتأجير السيارات والمكاتب الادارية,"5 ز/2 ش شوقى عبد المنعم, متفرع من ش النصر - تقسيم اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",104853
تأجير سيارات وليموزين,كريزى كار,"24 ش الزهور, مساكن شيراتون, مصر الجديدة, القاهرة.",676430
تأجير سيارات وليموزين,ليموزين نصار,"4 ش عباس العقاد, مدينة نصر, القاهرة.",688000
تأجير سيارات وليموزين,شركة الصيرفى للخدمات السياحية,"الطريق الابيض, متفرع من الطريق الدائرى, برج زمزم, ارض اللواء, الجيزة.",610389
تأجير سيارات وليموزين,007 لخدمة الليموزين,"عمارات بنك الاسكان والتعمير - ش د. محمد عوض الله متفرع من طريق الجيش, العصافرة, الاسكندرية.",539435
تأجير سيارات وليموزين,123 تاكسى اند تورز,"ش ابو عشرة, تقسيم المركز السياحى, الكوثر, الغردقة.",694387
تأجير سيارات وليموزين,303 كار,"53 ش التروللى, المطرية, القاهرة.",311941
تأجير سيارات وليموزين,90 اوتو,"136 ش مصطفى امين متفرع من ش التسعين الشمالى, التجمع الخامس, القاهرة الجديدة, القاهرة.",524357
تأجير سيارات وليموزين,911 موتورز لتأجير السيارات,"1 ش شركة المياه ميدان المندرة, المندرة, الاسكندرية.",161300
تأجير سيارات وليموزين,99 للنقل,"27 ش التحرير, الدقى, الجيزة.",552493
تأجير سيارات وليموزين,اب تو ديت لايجار السيارات,"38 ش عبد الحى حجازى, متفرع من ش مصطفى النحاس, الحى الثامن, مدينة نصر, القاهرة.",254911
