Category,Name,Address,ID
حلوى وسكريات,شركة مينا فودز للصناعات الغذائية ش. م. م.,"كم 82 طريق القاهرة الاسكندرية الزراعى, طنطا, الغربية.",163478
حلوى وسكريات,الفا للصناعات الغذائية,", الروبيكى - الميناء الجاف, العاشر من رمضان, الشرقية.",694414
حلوى وسكريات,الامان لصناعة ماكينات الشيكولاتة - اتش بى اس,"القطعة 288, المنطقة الصناعية A6, العاشر من رمضان, الشرقية.",172202
حلوى وسكريات,ادرس مصر,"67 ش محمد المقريفى, متفرع من ش حسن المأمون, مدينة نصر, القاهرة.",657148
حلوى وسكريات,سولو صوص,", المنطقة الصناعية ب ج, مدينة العبور, القليوبية.",687306
حلوى وسكريات,الوفاء للصناعات الغذائية,"القطعة 17 - بلوك 20017, المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",366722
حلوى وسكريات,شركة الفردوس لمواد الصناعات الغذائية - فيمكوبيز,"بلوك 2, جنوب المنطقة الصناعية الاولى, برج العرب, الاسكندرية.",28255
حلوى وسكريات,فيينا للحلويات والشيكولاتة,"بلوك 5, المنطقة الصناعية الثالثة, برج العرب, الاسكندرية.",367890
حلوى وسكريات,الشركة المصرية الهندسية - مرقص,"القطعة 23, المنطقة الصناعية B4, العاشر من رمضان, الشرقية.",526
حلوى وسكريات,شركة المنصور للحلويات والصناعات الغذائية المتكاملة,"10 /10 مكرر بلوك ج, المرحلة الثانية, مدينة جمصة الصناعية, جمصة, الدقهلية.",515003
حلوى وسكريات,ماجيكل فليفرز للصناعات الغذائية,"بلوك 7 - قطعة 20015, المنطقة الصناعية الاولى - الامتداد الغربى, مدينة العبور, القليوبية.",600165
حلوى وسكريات,40,"طريق النصر, مساكن شيراتون, مصر الجديدة, القاهرة.",442716
حلوى وسكريات,ابو النجا,"ش سعد زغلول, ميت غمر, الدقهلية.",360007
حلوى وسكريات,ابو جودة,"ش البحر, اولاد صقر, الشرقية.",366340
حلوى وسكريات,ابو رشيد,"151 ش شبرا, شبرا, القاهرة.",190103
حلوى وسكريات,ابوعمرة للتجارة والتوزيع,"30 ش علام عبد الله متفرع من ش ابو الفرج, روض الفرج, القاهرة.",613183
حلوى وسكريات,احمد حسن الفحام,"25 ش النصر, المنشية, الاسكندرية.",29365
حلوى وسكريات,احمد زينهم,"ش الثورة, حدائق المعادى, المعادى, القاهرة.",411700
حلوى وسكريات,احمد عوض,"ش جمال عبد الناصر, ادكو, البحيرة.",177594
حلوى وسكريات,احمد فراج,"96 ش محمد فريد, وسط البلد, القاهرة.",114820
حلوى وسكريات,استاذ قصب,"امتداد محور 26 يوليو, الشيخ زايد, السادس من اكتوبر, الجيزة.",464108
حلوى وسكريات,افا للاستيراد والتصدير والتوكيلات التجارية,"1 ابراج الشرطة - , مدينة نصر, القاهرة.",137192
حلوى وسكريات,ال يعقوب للحلويات والشوكولاتة,"ش الصوامعة, طهطا, سوهاج.",583021
حلوى وسكريات,الاتحاد,"34 ش الجامع العباسى, وسط البلد, الاسماعيلية.",161499
