Category,Name,Address,ID
حدائق حيوانات,اكسوتيك لاند,"3 ش عامر طلبة, ابو رواش, الجيزة.",661320
حدائق حيوانات,الغردقة جراند اكواريوم,"كم 12 طريق الغردقة سفاجا, طريق القرى, الغردقة.",429651
حدائق حيوانات,انور للطيور,"28 ش عزت باشا, المطرية, القاهرة.",447847
حدائق حيوانات,انيمنيا زوو,"منيل شيحة, ابو النمرس, الجيزة.",315294
حدائق حيوانات,حديقة حيوان الاسكندرية,"ش البرت, ميدان عزبة سعد, سموحة, الاسكندرية.",47011
حدائق حيوانات,حديقة حيوان الجيزة,"ش مراد , الجيزة, الجيزة.",47010
حدائق حيوانات,حديقة حيوان الشرقية,"., الزقازيق, الشرقية.",47028
حدائق حيوانات,حديقة حيوان العريش,"ضاحية الريسة, العريش, شمال سيناء.",47029
حدائق حيوانات,حديقة حيوان الفيوم,"ش سعد زغلول, دلة, الفيوم.",47012
حدائق حيوانات,حديقة حيوان بنى سويف,"ش صلاح سالم, المرماح, بنى سويف.",47013
حدائق حيوانات,حديقة حيوان طنطا,"ش الجيش, طنطا, الغربية.",47016
حدائق حيوانات,قرية الاسد,"كم 59 طريق اسكندرية القاهرة الصحراوى, ابو المطامير, البحيرة.",21735
