Category,Name,Address,ID
مدارس حكومية,مدرسة جرين فالى,"ش موسى بن نصير, متفرع من محور السادات, الحى الاول, مدينة العبور, القليوبية.",101421
مدارس حكومية,اتحاد الفتيات,"12 ش كانوب, كامب شيزار, الاسكندرية.",111010
مدارس حكومية,اكاديمية جيمس الاسكندرية,"كم 13 - طريق اسكندرية القاهرة الزراعى, ابيس, الاسكندرية.",494309
مدارس حكومية,السعرانية الابتدائية المشتركة,"ش البحر, كفر الدوار, البحيرة.",338571
مدارس حكومية,المدرسة الاسلامية الاعدادية بنات,"المنطقة الخامسة, حى المناخ, بور سعيد.",369751
مدارس حكومية,المدرسة الاعدادية الحديثة بنين,"ش سعد زغلول, بنى سويف, بنى سويف.",338036
مدارس حكومية,المدرسة الاعدادية المهنية,"ش قوت القلوب, العياط, الجيزة.",495559
مدارس حكومية,المدرسة الثانوية الفنية,"طريق مصر اسيوط الزراعى, العياط, الجيزة.",495563
مدارس حكومية,المدرسة الثانوية الفنية للتعليم والتدريب,"ش بين المدارس, السيدة زينب, القاهرة.",362325
مدارس حكومية,المدرسة الثانوية الفنية للتعليم والتدريب,"3 ش المدارس, مصر القديمة, القاهرة.",362454
مدارس حكومية,المدرسة العباسية الثانوية العسكرية بنين,"11 ش نبيل محمود - ش جرين سابقا, محرم بك, الاسكندرية.",23845
مدارس حكومية,الوحدة العربية الابتدائية,"ش الاصلاح الزراعى, دسوق, كفر الشيخ.",338577
مدارس حكومية,بلبيس الثانوية العسكرية بنين,"ش ابو بكر الصديق, بلبيس, الشرقية.",338946
مدارس حكومية,جرجا الاعدادية بنات,"ش المستشفى, جرجا, سوهاج.",338458
مدارس حكومية,حضانة احمس الجديدة,"الكرنك القديم, الاقصر, الاقصر.",365836
مدارس حكومية,كلية النصر للبنات,"15 ش احمد حسنين, الشاطبى, الاسكندرية.",41293
مدارس حكومية,مجمع مدارس الاقبال,"القرية العاشرة, ابيس, الاسكندرية.",68761
مدارس حكومية,مجمع مدارس على سليمان,"منطقة السيدة خديجة, حى الضواحى, بور سعيد.",369890
مدارس حكومية,مدارس الفاروق عمر,"10 ش الجسر الغربى, الخصوص, القليوبية.",498472
مدارس حكومية,مدارس جمال عبد الناصر الثانوية بنات,"2 ش الفيوم, دار السلام, القاهرة.",174183
مدارس حكومية,مدرسة 23 ديسمبر الابتدائية,"ش مصعب بن عمير - الملاحات, بور فؤاد, بور سعيد.",370385
مدارس حكومية,مدرسة 23 يوليو الابتدائية المشتركة,"ش كمال حجاب, مدينة السلام, القاهرة.",661860
مدارس حكومية,مدرسة 24 اكتوبر الابتدائية,"مدينة 24 اكتوبر, مدينة 24 اكتوبر, السويس.",365182
مدارس حكومية,مدرسة 24 اكتوبر الاعدادية,"ش زيد بن حارثة, مدينة 24 اكتوبر, السويس.",362963
مدارس حكومية,مدرسة 25 يناير,"المجاورة الرابعة - الحى الرابع, دمياط الجديدة, دمياط.",372478
مدارس حكومية,مدرسة 25 يناير الابتدائية بنين,"ش السكة الجديدة, دمياط, دمياط.",371948
مدارس حكومية,مدرسة 25 يناير الثانوية بنات,"ش شبين الكوم, الشيخ زايد, الاسماعيلية.",338063
مدارس حكومية,مدرسة 6 اكتوبر,"ش ناهيا, بولاق الدكرور, الجيزة.",493367
مدارس حكومية,مدرسة 6 اكتوبر الابتدائية,"الطريق الزراعى - عزبة الشيخ, ابيس, الاسكندرية.",364071
مدارس حكومية,مدرسة 6 اكتوبر الابتدائية,"وادى اسلا وعريق, الطور, جنوب سيناء.",369250
مدارس حكومية,مدرسة 6 اكتوبر الابتدائية,"مساكن الصفا -, حى الزهور, بور سعيد.",369824
مدارس حكومية,مدرسة 6 اكتوبر الابتدائية,"ش البحر - الاعصر, دمياط, دمياط.",370442
مدارس حكومية,مدرسة 6 اكتوبر الابتدائية,"ش النصر, دكرنس, الدقهلية.",376668
مدارس حكومية,مدرسة 6 اكتوبر الابتدائية المشتركة,"مساكن عين شمس ش المطافى, عين شمس, القاهرة.",237379
مدارس حكومية,مدرسة 6 اكتوبر الاعدادية المشتركة,"ش عمر بن الخطاب المجاورة الاولى, الحى السابع, السادس من اكتوبر, الجيزة.",330148
مدارس حكومية,مدرسة 6 اكتوبر الاعدادية بنات,"10 ش الجمهورية, مساكن عين شمس, عين شمس, القاهرة.",663938
مدارس حكومية,مدرسة 6 اكتوبر الثانوية بنات,"ش عبد الهادى الحديدى, حى المناخ, بور سعيد.",338773
مدارس حكومية,مدرسة 6 اكتوبر الثانوية بنات,"ش عمر بن الخطاب المجاورة الاولى, الحى السابع, السادس من اكتوبر, الجيزة.",330155
مدارس حكومية,مدرسة 6 اكتوبر الثانوية بنين,"مدينة السلام, عتاقة, السويس.",363040
مدارس حكومية,مدرسة اباظة الجديدة,", كفر اباظة, الزقازيق, الشرقية.",502845
مدارس حكومية,مدرسة ابراهيم الحناوى,"ديمشلت, دكرنس, الدقهلية.",376669
مدارس حكومية,مدرسة ابراهيم الريس الابتدائية,"عزبة عتيبة, الزرقا, دمياط.",372514
مدارس حكومية,مدرسة ابراهيم خضر الابتدائية,"طريق النهضة, العامرية, الاسكندرية.",367689
مدارس حكومية,مدرسة ابراهيم سعيد,"سنفا, ميت غمر, الدقهلية.",374838
مدارس حكومية,مدرسة ابراهيم سليمان,"عزبة الجامع, فارسكور, دمياط.",372293
مدارس حكومية,مدرسة ابراهيم شرف الدين الاعدادية,", البستان, فارسكور, دمياط.",370897
مدارس حكومية,مدرسة ابراهيم محمد احمد,"قرية اولاد عابدين, فاقوس, الشرقية.",502846
مدارس حكومية,مدرسة ابراهيم محمد السعدى,", قرية دهشور, البدرشين, الجيزة.",495550
مدارس حكومية,مدرسة ابراهيم محمد عيسى الاعدادية,"كفر المياسرة, الزرقا, دمياط.",371919
مدارس حكومية,مدرسة ابراهيم ناجى الابتدائية المشتركة,"كفر العرب, طلخا, الدقهلية.",360631
مدارس حكومية,مدرسة ابراهيم نجيب الابتدائية,"5 ش ابراهيم باشا نجيب, كرموز, الاسكندرية.",367553
مدارس حكومية,مدرسة ابشواى الاعدادية بنين,"., ابشواى, الفيوم.",338769
مدارس حكومية,مدرسة ابطال العبور الابتدائية المشتركة,"48 ش لطفى النجار, متفرع من ش الترلى, ارض الشركة, المطرية, القاهرة.",359841
مدارس حكومية,مدرسة ابطال بورسعيد الابتدائية المشتركة,"ش عبد الرحمن شكرى, الزاوية الحمراء, القاهرة.",667773
مدارس حكومية,مدرسة ابطال سيناء الابتدائية,"قرية الشموت, بنها, القليوبية.",360635
مدارس حكومية,مدرسة ابن الجراح الابتدائية,"الاقالتة, الاقصر, الاقصر.",366351
مدارس حكومية,مدرسة ابن النفيس الابتدائية,"., المعمورة البلد, الاسكندرية.",359900
مدارس حكومية,مدرسة ابن الوليد الابتدائية,"ش خالد بن الوليد, السنبلاوين, الدقهلية.",339104
مدارس حكومية,مدرسة ابن خلدون الابتدائية المشتركة,"4 ش ابادير, الزيتون, القاهرة.",364128
مدارس حكومية,مدرسة ابن خلدون الابتدائية المشتركة,"15 ش د. الحوفى, العجوزة, الجيزة.",330110
مدارس حكومية,مدرسة ابن خلدون الابتدائية بنين,"ش الجلاء, دمياط, دمياط.",370443
مدارس حكومية,مدرسة ابن خلدون الاعدادية بنات,"9 ش النخيل ميدان الساعة, المنتزة, المنتزه, الاسكندرية.",338128
مدارس حكومية,مدرسة ابن خلدون الاعدادية بنين,"امتداد ش اسوان واحمد رخا, العرب, بور سعيد.",369746
مدارس حكومية,مدرسة ابن خلدون الثانوية العسكرية بنين,", ميدان النعام, عين شمس, القاهرة.",663953
مدارس حكومية,مدرسة ابن خلدون والفقى,"ش ابراهيم مدكور, ابو النمرس, الجيزة.",330278
مدارس حكومية,مدرسة ابن دقيق العيد الابتدائية,"., قوص, قنا.",338830
مدارس حكومية,مدرسة ابن رشد الاعدادية بنات,"مساكن الاميرية, الزيتون, القاهرة.",662335
مدارس حكومية,مدرسة ابن زهرون الابتدائية,"17 ش ابن زهرون, محرم بك, الاسكندرية.",367048
مدارس حكومية,مدرسة ابن سينا الابتدائية,"ش الشركة العربية, السيوف شماعة, الاسكندرية.",361021
