Category,Name,Address,ID
اغذية ومعالجة ومعدات,شركة مينا فودز للصناعات الغذائية ش. م. م.,"كم 82 طريق القاهرة الاسكندرية الزراعى, طنطا, الغربية.",163478
اغذية ومعالجة ومعدات,مزرعتنا للانتاج الحيوانى,"16 كومبوند حدائق السراية بوابة 2 حدائق السراية ش مدرسة الريادة, سموحة, الاسكندرية.",688770
اغذية ومعالجة ومعدات,كريستال للكيماويات المتخصصة,"ابر اج سيدى جابر - برج نجمة سموحة, سموحة, الاسكندرية.",143001
اغذية ومعالجة ومعدات,الاوائل للصناعات الغذائية,"القطعة 180, المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",348674
اغذية ومعالجة ومعدات,نوتركسيا لتصنيع المكملات الغذائية,"3 ب ش الحجاز, المريلاند, مصر الجديدة, القاهرة.",689730
اغذية ومعالجة ومعدات,يونايتد مصر للاستثمارات التجارية والصناعية - شنايدر,"93 ش حسن رضوان, طنطا, الغربية.",121856
اغذية ومعالجة ومعدات,الفا للصناعات الغذائية,", الروبيكى - الميناء الجاف, العاشر من رمضان, الشرقية.",694414
اغذية ومعالجة ومعدات,الندى للصناعات الغذائية,"القطعة 15 - بلوك 15, المنطقة الصناعية الثانية, دمياط الجديدة, دمياط.",466734
اغذية ومعالجة ومعدات,شركة الدلتا للحلويات والصناعات الغذائية,", المنطقة الصناعية الثالثة A2, العاشر من رمضان, الشرقية.",623822
اغذية ومعالجة ومعدات,الشركة الهندسية للتركيبات الميكانيكية,"القطعة 655, مخازن الشباب - منطقة 300 متر - امتداد المنطقة الصناعية السادسة, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",654975
اغذية ومعالجة ومعدات,الهندسية لتصنيع و توريد الماكينات الغذائية وجميع اعمال الاستانلس,"سى 2, المنطقة الصناعية, العاشر من رمضان, الشرقية.",638526
اغذية ومعالجة ومعدات,شركة جحا لالات عصر الزيتون,"ش 12, المنطقة الحرة, العامرية, الاسكندرية.",581527
اغذية ومعالجة ومعدات,شركة التكامل للصناعات الغذائية,"قطعة 7114/5/6, المنطقة الصناعية السابعة, مدينة السادات, المنوفية.",687332
اغذية ومعالجة ومعدات,جولدن بيف للصناعات الغذائية,"بلوك J, المرحلة الاولى, القطعة 2, 21, جمصة, الدقهلية.",397299
اغذية ومعالجة ومعدات,الصادق لاستيراد وتصدير المواد الغذائية,", سوق العبور, مدينة العبور, القليوبية.",690804
اغذية ومعالجة ومعدات,الامان لصناعة ماكينات الشيكولاتة - اتش بى اس,"القطعة 288, المنطقة الصناعية A6, العاشر من رمضان, الشرقية.",172202
اغذية ومعالجة ومعدات,تراست للتجارة والصناعة,"القطعة 32 , 10, المنطقة الصناعية الاولى, دمياط الجديدة, دمياط.",618079
اغذية ومعالجة ومعدات,الشركة البورسعيدية للصناعات الغذائية,"3 أ/10 عمارة مصر للتعمير, حى السفارات, مدينة نصر, القاهرة.",656161
اغذية ومعالجة ومعدات,الماوردى للصناعات الغذائية,"كم 84 طريق اسكندرية القاهرة الصحراوى, وادى النطرون, البحيرة.",690982
اغذية ومعالجة ومعدات,الاقصى للتعبئة والتغليف,"106 الطريق الدائرى, عزبة ابو زيد - القرية العاشرة, ابيس, الاسكندرية.",439170
اغذية ومعالجة ومعدات,الميرا فودز,"قطعة VIIIG, المنطقة الصناعية B1, العاشر من رمضان, الشرقية.",667275
اغذية ومعالجة ومعدات,جريت فوودز اوريجينال للصناعات الغذائية,"القطعة 295 أ, العاشر من رمضان, الشرقية.",348186
اغذية ومعالجة ومعدات,لاكورفا,", المنطقة الصناعية, التجمع الثالث, القاهرة الجديدة, القاهرة.",693544
اغذية ومعالجة ومعدات,ادرس مصر,"67 ش محمد المقريفى, متفرع من ش حسن المأمون, مدينة نصر, القاهرة.",657148
اغذية ومعالجة ومعدات,دريم فودز لتعبئة المواد الغذائية,", المجاورة 60, المنطقة الصناعية C8, العاشر من رمضان, الشرقية.",627296
اغذية ومعالجة ومعدات,سولو صوص,", المنطقة الصناعية ب ج, مدينة العبور, القليوبية.",687306
اغذية ومعالجة ومعدات,الوفاء للصناعات الغذائية,"القطعة 17 - بلوك 20017, المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",366722
اغذية ومعالجة ومعدات,شركة الفردوس لمواد الصناعات الغذائية - فيمكوبيز,"بلوك 2, جنوب المنطقة الصناعية الاولى, برج العرب, الاسكندرية.",28255
اغذية ومعالجة ومعدات,البدر للاستثمارات - فروزينا,"كم 27 طريق القاهرة اسكندرية الصحراوى, بارك افينيو, الشيخ زايد, السادس من اكتوبر, الجيزة.",162668
اغذية ومعالجة ومعدات,الشركة المصرية الهندسية - مرقص,"القطعة 23, المنطقة الصناعية B4, العاشر من رمضان, الشرقية.",526
اغذية ومعالجة ومعدات,اورجانيك للاستيراد والتصدير والتوكيلات التجارية و التوريدات,"ش مصطفى كاملابراج بانوراما النيل - مدخل 3، الدور 4, شبين الكوم, المنوفية.",616509
