Category,Name,Address,ID
مطاعم فرنسية,1902,"ش ابطال التحرير, وسط البلد, اسوان.",445278
مطاعم فرنسية,اب ستيرز ريستوران,"ش ايناس الدغيدى, وسط البلد, الجونة.",567196
مطاعم فرنسية,ال ريتروفو,"9 أ ش سراى الجزيرة, الزمالك, القاهرة.",66277
مطاعم فرنسية,المطعم الدوار,"كورنيش النيل - جزيرة الروضة, جاردن سيتى, القاهرة.",64593
مطاعم فرنسية,المطعم الفرنسى,"ش التسعين, التجمع الخامس, القاهرة الجديدة, القاهرة.",495827
مطاعم فرنسية,المطعم الفرنسى,"كم 17 - طريق الغردقة سفاجا, طريق القرى, الغردقة.",559494
مطاعم فرنسية,اليكساندرز,"طريق يوسف عفيفى - الممشى السياحى, طريق القرى, الغردقة.",137910
مطاعم فرنسية,انديجو,"الياسمين جرين لاند, القرية السياحية الثانية, السادس من اكتوبر, الجيزة.",383377
مطاعم فرنسية,او بيتيت بيسترو,"8 ش عبد الرحمن الرافعى, الدقى, الجيزة.",187863
مطاعم فرنسية,اورانج ريستوران اند لونج,"الطريق الدائرى, التجمع الاول, القاهرة الجديدة, القاهرة.",483876
مطاعم فرنسية,باب 28,"28 ش شجرة الدر, الزمالك, القاهرة.",17467
مطاعم فرنسية,بليه دوريه,", السوق التجارى الشرقى, مدينة الرحاب, القاهرة.",628985
مطاعم فرنسية,بوم دى بان,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",444077
مطاعم فرنسية,بيتزا بينو,"2 ش 23 يوليو , تقاطع ش الجمهورية - ميدان القواقع, برج اللوتس, حى الشرق, بور سعيد.",168778
مطاعم فرنسية,بيسترو دو كوان,"كم 18 -, طريق القاهرة الاسكندرية الصحرا, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",434058
مطاعم فرنسية,تاماراى,"2005 ج ابراج نايل سيتى - البرج الشمالى - كورنيش النيل - الدور 3, رملة بولاق, القاهرة.",193851
مطاعم فرنسية,تريانون,"54 ش سعد زغلول, محطة الرمل, الاسكندرية.",20591
مطاعم فرنسية,ذا جريل,"11511 كورنيش النيل, جاردن سيتى, القاهرة.",20035
مطاعم فرنسية,ذا كوكرى كو,"كم 126 - , طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",590329
مطاعم فرنسية,روز فيل,"40 محور 26 يوليو, الشيخ زايد, السادس من اكتوبر, الجيزة.",463768
مطاعم فرنسية,ساشو بيسترو,"6 ج ش العادل ابو بكر متفرع من ش الملك الافضل, الزمالك, القاهرة.",403376
مطاعم فرنسية,سرايا جاليرى,"16 ش سراى الجزيرة, الزمالك, القاهرة.",297348
مطاعم فرنسية,سولت,"مربع 1258ف - طريق الاوتوستراد, مساكن شيراتون, مصر الجديدة, القاهرة.",379477
مطاعم فرنسية,فينومينا بلوز,"60 ش النيل, الجيزة, الجيزة.",5257
مطاعم فرنسية,كافيه لافورشيت,"51 عمارات المركز الرئيسى ش الملكة فريدة, المعراج العلوى, زهراء المعادى, المعادى, القاهرة.",633564
مطاعم فرنسية,كافيه ومطعم اولد ستريت,"18 ش الغرفة التجارية, محطة الرمل, الاسكندرية.",627809
مطاعم فرنسية,كريب شاتو,"663 طريق الجيش, ميامى, الاسكندرية.",156803
مطاعم فرنسية,كريفيت,"99 ش الميرغنى, مصر الجديدة, القاهرة.",471691
مطاعم فرنسية,كوت دى ازور,"., شاركس باى, شرم الشيخ.",546071
مطاعم فرنسية,لا تيراس,"22 ش طه حسين, الزمالك, القاهرة.",66231
مطاعم فرنسية,لا جورمانديز,"35 ش الجيزة - ش مراد سابقا, الجيزة, الجيزة.",12382
مطاعم فرنسية,لا روتيسيرى,"الجولف , وسط البلد, الجونة.",107068
مطاعم فرنسية,لا فلير,"العوامية, الاقصر, الاقصر.",130864
مطاعم فرنسية,لا كوزين,"ش التسعين, التجمع الخامس, القاهرة الجديدة, القاهرة.",428198
مطاعم فرنسية,لا موسكاد مطعم وكافيه,", بفرلى هيلز - منطقة الخدمات - عمارة 20, الشيخ زايد, السادس من اكتوبر, الجيزة.",506515
مطاعم فرنسية,لافى كافيه اند ريستوران,"4 ش محمد حافظ متفرع من ش عبد المنعم رياض, المهندسين, الجيزة.",466575
مطاعم فرنسية,لاميزون بلانش,"35 ش الجيزة - الدور 2, الجيزة, الجيزة.",189761
مطاعم فرنسية,لو باليه,"1 عمارات السعادة - ش السعادة تقاطع ش الحجاز, روكسى, مصر الجديدة, القاهرة.",62030
مطاعم فرنسية,لو بيسترو,"8 ش هدى شعراوى, باب اللوق, القاهرة.",163868
مطاعم فرنسية,لو دوفيل,"مارينا القديمة, ابو تيج مارينا, الجونة.",188108
مطاعم فرنسية,لو رومانتيك,"., خليج باشا, شرم الشيخ.",248342
مطاعم فرنسية,لو ستيك,"4 ش سراى الجزيرة, الزمالك, القاهرة.",61078
مطاعم فرنسية,لو شمبيليون,"ش كورنيش النيل, الاقصر, الاقصر.",235479
مطاعم فرنسية,لو فلامبويان,"ش كورنيش النيل, الاقصر, الاقصر.",235480
مطاعم فرنسية,لوسيا اند لوسيانا,"67 ش فؤاد, محطة الرمل, الاسكندرية.",586696
مطاعم فرنسية,ماتيجو هوكا لونج,"الطريق الدائرى, التجمع الاول, القاهرة الجديدة, القاهرة.",431301
مطاعم فرنسية,مطعم 1886,"ش كورنيش النيل, الاقصر, الاقصر.",108276
مطاعم فرنسية,مطعم الفاروق,"حدائق قصر المنتزة, المنتزة, المنتزه, الاسكندرية.",101448
مطاعم فرنسية,مطعم بلو بلو,"مارينا 2, ابو تيج مارينا, الجونة.",184051
مطاعم فرنسية,مطعم بيرل,"ش عبد العزيز الشناوى, متفرع من طريق النصر, مدينة نصر, القاهرة.",548637
مطاعم فرنسية,مطعم تشيز جان كلود,"القطعة التاسعة - ش محمد نجيب - منطقة المستثمرين الشمالية, التجمع الاول, القاهرة الجديدة, القاهرة.",461528
مطاعم فرنسية,مطعم دلتا,"14 ش شامبليون, الازاريطة, الاسكندرية.",108726
مطاعم فرنسية,مطعم ديموندو,"ش النقل والهندسة, سموحة, الاسكندرية.",448266
مطاعم فرنسية,مطعم فرساى,"52 ش سعد زغلول, محطة الرمل, الاسكندرية.",229927
مطاعم فرنسية,مطعم فروماج,"ميدان جهينة, السادس من اكتوبر, الجيزة.",447326
مطاعم فرنسية,مطعم فلور دو لى,"., شاركس باى, شرم الشيخ.",245474
مطاعم فرنسية,مطعم كرستينا,"1 ش شانزليزيه, العجمى, الاسكندرية.",99449
مطاعم فرنسية,مطعم لا فوندو,"الغرقانة, خليج نبق, شرم الشيخ.",106677
مطاعم فرنسية,مطعم لوتس,"1 ش ابن ثعلب, وسط البلد, القاهرة.",280528
مطاعم فرنسية,مطعم ليه امباسدور,"52 ش سعد زغلول, محطة الرمل, الاسكندرية.",131800
مطاعم فرنسية,مطعم ناينتيين توينتى فايف,"كورنيش النيل - ابراج نايل سيتى - البرج الشمالى - الدور 3, رملة بولاق, القاهرة.",506456
مطاعم فرنسية,مطعم و كافيه فاين تاتش,"25 طريق مصر حلوان الزراعى, برج الزينى, المعادى, القاهرة.",18748
مطاعم فرنسية,مطعم وبار ستارلايت,"8 ش حسن صادق, متفرع من ش العروبة, مصر الجديدة, القاهرة.",105896
مطاعم فرنسية,مطعم وسط البلد,"13 ش سيزوستريس متفرع من ش صلاح سالم, محطة الرمل, الاسكندرية.",461985
