Category,Name,Address,ID
كنائس واديرة,البطريركية المارونية,"50 ش بيروت, ميدان الجامع, مصر الجديدة, القاهرة.",65398
كنائس واديرة,البطريركية اليونانية الارثوذكسية بالاسكندرية,"ش الاسقفية, المنشية الصغرى, الاسكندرية.",164782
كنائس واديرة,الكاتدرائية المرقسية,"19 ش كنيسة الاقباط, محطة الرمل, الاسكندرية.",102355
كنائس واديرة,الكنيسة الانجيلية,"45 ش ابو داوود الظاهرى, متفرع من ش مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة.",225923
كنائس واديرة,الكنيسة الانجيلية,"23 ش احمد عصمت, عين شمس الشرقية, القاهرة.",478234
كنائس واديرة,الكنيسة الانجيلية,"35 ش الاقبال, السرايا, الاسكندرية.",39672
كنائس واديرة,الكنيسة الانجيلية,"6 ش محمد ابو العطا متفرع من ش فيصل, الطوابق, فيصل, الجيزة.",420109
كنائس واديرة,الكنيسة الانجيلية بقصر الدوبارة,"7 ش الشيخ ريحان, جاردن سيتى, القاهرة.",60283
كنائس واديرة,الكنيسة الانجيلية بمصر الجديدة,"18 ش كليوباترا, الكوربة, مصر الجديدة, القاهرة.",67331
كنائس واديرة,الكنيسة الخمسينية للاقباط الانجيليين,"3 أ ش نشاطى, متفرع من ش شبرا, شبرا, القاهرة.",464423
كنائس واديرة,الكنيسة القبطية,"1 ش ابراهيم غالى, متفرع من ش البلسم, المطرية, القاهرة.",460655
كنائس واديرة,الكنيسة الكورية,"45 ش بورسعيد تقاطع ش 17, المعادى, القاهرة.",101036
كنائس واديرة,الكنيسة المعلقة,"5 ش مار جرجس, مصر القديمة, القاهرة.",47966
كنائس واديرة,الكنيسة المعمدانية الانجيلية,"29 ش جرين, محرم بك, الاسكندرية.",482726
كنائس واديرة,النيابة الرسولية,"10 ش سيدى المتولى, اللبان, الاسكندرية.",34288
كنائس واديرة,بطريركية الاقباط الكاثوليك,"34 ش ابن سندر, كوبرى القبة, القاهرة.",118821
كنائس واديرة,بطريركية الروم المالكيين الكاثوليك,"16 ش الظاهر, الظاهر, القاهرة.",97016
كنائس واديرة,دير الاباء,"70 ش السبع بنات, المنشية, الاسكندرية.",31225
كنائس واديرة,دير الانبا بيشوى,"برية شيهيت, وادى النطرون, البحيرة.",47980
كنائس واديرة,دير الراهبات,"25 ش البترول, عزبة النخل, القاهرة.",528184
كنائس واديرة,دير السريان,"1 ش كلوت بك درب الجنينة - عطفة العزبة, الازبكية, القاهرة.",485044
كنائس واديرة,دير السيدة العذراء البراموس,"برية شيهيت, وادى النطرون, البحيرة.",355925
كنائس واديرة,دير السيدة العذراء البرموس,"25 ش الكنيسة المرقسية متفرع من ش كلوت بك, وسط البلد, القاهرة.",323948
كنائس واديرة,دير الشهيد مينا العجايبى,"4 ش حسن فخرى - زهراء مصر القديمة, مصر القديمة, القاهرة.",544491
كنائس واديرة,دير القديس الانبا مقار,"كم 92 - طريق القاهرة اسكندرية الصحراوى, مدينة السادات, المنوفية.",252986
كنائس واديرة,دير القديس سمعان الخراز,"الزبالين, منشية ناصر, القاهرة.",164781
كنائس واديرة,دير سانت كاترين,"قرية كاترين, سانت كاترين, شرم الشيخ.",47984
كنائس واديرة,دير قزمان داميان,"56 ش مسجد السيدة شيحة, منيل شيحة, الجيزة.",647751
