Category,Name,Address,ID
مطاعم صينية,اسيا,"كم 30 - طريق سفاجا الغردقة, مكادى باى, الغردقة.",204401
مطاعم صينية,اسياتيك,"كم 15 - طريق سفاجا الغردقة, طريق القرى, الغردقة.",198391
مطاعم صينية,اشيا,"كم 20 - طريق الغردقة سفاجا, طريق القرى, الغردقة.",196564
مطاعم صينية,اشيا بوتيك,"22 ش رفاعة, ميدان المساحة, الدقى, الجيزة.",156817
مطاعم صينية,اشيا هاوس,"طريق الجيش - حدائق قصر المنتزة, المنتزة, المنتزه, الاسكندرية.",119799
مطاعم صينية,اشيان رستوران,"كم 35 - طريق سفاجا الغردقة, مكادى باى, الغردقة.",560555
مطاعم صينية,التنين الذهبى,"21 ش المعهد السويسرى ميدان صدقى, الزمالك, القاهرة.",258478
مطاعم صينية,الركن الصينى,"طريق المطار, خليج نبق, شرم الشيخ.",247602
مطاعم صينية,الركن الصينى,"كم 13 - طريق الغردقة الجونة, منطقة الاحياء, الغردقة.",449647
مطاعم صينية,المطعم الاسيوى,"ش التسعين, التجمع الخامس, القاهرة الجديدة, القاهرة.",495826
مطاعم صينية,المطعم الاسيوى,"كم 11 - طريق الاحياء, منطقة الاحياء, الغردقة.",474936
مطاعم صينية,المطعم الاسيوى,"كم 12 - طريق الاحياء, منطقة الاحياء, الغردقة.",465014
مطاعم صينية,المطعم الصينى,"كم 17 - طريق الغردقة سفاجا, طريق القرى, الغردقة.",449688
مطاعم صينية,المطعم الصينى,"ش طلعت حرب, شبين الكوم, المنوفية.",612303
مطاعم صينية,المطعم الصينى,"امتداد محور 26 يوليو, الحى المتميز, السادس من اكتوبر, الجيزة.",439645
مطاعم صينية,المطعم الصينى,"ش الشيخ زايد, شاركس باى, شرم الشيخ.",557083
مطاعم صينية,اندوشين,"طريق المطار, منطقة المطار, مصر الجديدة, القاهرة.",446472
مطاعم صينية,باكسيز,"ش 26 يوليو ميدان سفنكس, المهندسين, الجيزة.",6585
مطاعم صينية,باندا هاوس اكسبرس,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",250095
مطاعم صينية,بكين,"17 ش حدائق الاهرام متفرع من ميدان الرماية, الهرم, الجيزة.",464981
مطاعم صينية,بكين ريستورنز,"29 ش 257, المعادى الجديدة, المعادى, القاهرة.",60465
مطاعم صينية,بلو جينجر,"1 طريق ريتز كارلتون متفرع من ش الفنار, هضبة ام السيد, شرم الشيخ.",66647
مطاعم صينية,تانج يانج,"الغرقانة, خليج نبق, شرم الشيخ.",246284
مطاعم صينية,تاون هاوس,"., وسط البلد, الجونة.",567510
مطاعم صينية,تشاينا تاون,"كم 17 طريق سهل حشيش, طريق القرى, الغردقة.",286508
مطاعم صينية,تشاينا هاوس,"12 ش محمد احمد عفيفى, سان استيفانو, الاسكندرية.",173935
مطاعم صينية,تشينيس هاوس,"1 ابراج المصرى - ش الجزيرة الوسطى - الدور 1, الزمالك, القاهرة.",391622
مطاعم صينية,تمبيورا,"ش الفنار, هضبة ام السيد, شرم الشيخ.",439849
مطاعم صينية,تنكو,"8 ش 263, المعادى الجديدة, المعادى, القاهرة.",202454
مطاعم صينية,جنكيس خان,"فيلا 5 ش 208, دجلة, المعادى, القاهرة.",443789
مطاعم صينية,جو بار,"ش سراى الجزيرة, الزمالك, القاهرة.",465231
مطاعم صينية,جوانزو,"17 ش حدائق الاهرام متفرع من ميدان الرماية, الهرم, الجيزة.",464983
مطاعم صينية,جوى لاك تشاينيز ريستوران,"13 ش 233, دجلة, المعادى, القاهرة.",199011
مطاعم صينية,جيو,"47 أ ش ابو الفدا, الزمالك, القاهرة.",427849
مطاعم صينية,دراجون لاند,", السوق التجارى الشرقى, مدينة الرحاب, القاهرة.",632305
مطاعم صينية,دراجون هاوس,"84 ش 9, المعادى, القاهرة.",64805
مطاعم صينية,دراجونيرا,"ش السلطان قابوس, خليج نعمة, شرم الشيخ.",254309
مطاعم صينية,رويال ووك,"طريق السلام, شاركس باى, شرم الشيخ.",248230
مطاعم صينية,رينا هاوس,"ش الجمهورية, حى الشرق, بور سعيد.",315810
مطاعم صينية,زمرة فود,", اعمال حرة, ارض الجولف, مصر الجديدة, القاهرة.",632327
مطاعم صينية,زو,"القطعة A ش التسعين, مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",238525
مطاعم صينية,زينترو ريستوران اند لونج,"كم 45 - - سيدى حنيش, طريق مطروح اسكندرية الصحراوى, الساحل الشمالى.",513187
مطاعم صينية,سان مارينو,"29 ش 263 متفرع من ش النصر, المعادى الجديدة, المعادى, القاهرة.",51541
مطاعم صينية,سمرقان نودلز,"1 ج ش 199 متفرع من ش 233, دجلة, المعادى, القاهرة.",583101
مطاعم صينية,سوشى كويا,"القطعة 33 - المجاورة السادسة - الحى الرابع, الشيخ زايد, السادس من اكتوبر, الجيزة.",407238
مطاعم صينية,سوكى سو,"ش الشهيد عاطف السادات, بور فؤاد, بور سعيد.",627057
مطاعم صينية,سول باربيكيو,"25 ش 263, المعادى الجديدة, المعادى, القاهرة.",105110
مطاعم صينية,سيلك رود,"13 ش الكرنك الجديد, الاقصر, الاقصر.",175927
مطاعم صينية,شانجهاى,"17 ش حدائق الاهرام متفرع من ميدان الرماية, الهرم, الجيزة.",464985
مطاعم صينية,شاينيز كورنر,"ش الشيراتون, سقالة, الغردقة.",194321
مطاعم صينية,شنجهاى,"الغرقانة, خليج نبق, شرم الشيخ.",106399
مطاعم صينية,شوبستكس,"23 ب ش سوريا, المهندسين, الجيزة.",4893
مطاعم صينية,شينوا,"الطريق الدائرى تقاطع طريق القاهرة السويس - ميراج سيتى, التجمع الاول, القاهرة الجديدة, القاهرة.",427846
مطاعم صينية,فور سيزون,"5 ش محمد عبد المجيد البطران - ش المجزر الالى سابقا متفرع من ش متولى الشعراوى, المريوطية, الهرم, الجيزة.",238700
مطاعم صينية,فينج شوى,"الغرقانة, خليج نبق, شرم الشيخ.",449018
مطاعم صينية,لا سياتك,"كم 17 - طريق الغردقة سفاجا, طريق القرى, سفاجا.",244856
مطاعم صينية,لاسياتيكو,"كم 17 - طريق سفاجا الغردقة, طريق القرى, الغردقة.",228731
مطاعم صينية,ليمون جراس,"الطريق الدائرى تقاطع طريق القاهرة السويس - ميراج سيتى, التجمع الاول, القاهرة الجديدة, القاهرة.",182687
مطاعم صينية,ماكاى توكاى,"كم 32 طريق الغردقة سفاجا, مكادى باى, الغردقة.",106935
مطاعم صينية,ماكاى توكاى,"., خليج نبق, شرم الشيخ.",417294
مطاعم صينية,ماندارين,"طريق الغردقة سفاجا, سهل حشيش, الغردقة.",246601
مطاعم صينية,مانشو واك,"الطريق الدائرى, مدينة المعراج, زهراء المعادى, المعادى, القاهرة.",166610
مطاعم صينية,محارة,"الممشى السياحى, طريق القرى, الغردقة.",210396
مطاعم صينية,مستر ووك,"122 ش 26 يوليو, الزمالك, القاهرة.",382393
مطاعم صينية,مطعم اوشا,"كم 105 - - مارينا 3, مارينا, الساحل الشمالى.",323233
مطاعم صينية,مطعم ايت,"1089 كورنيش النيل, جاردن سيتى, القاهرة.",391270
مطاعم صينية,مطعم ايجى ووك,"القطعة 6475 ش الروضة, متفرع من ش الجامعة الحديثة, الهضبة الوسطى, المقطم, القاهرة.",636400
مطاعم صينية,مطعم بامبو شوت,"كم 45 - طريق الغردقة سفاجا, سومة باى, سفاجا.",229084
مطاعم صينية,مطعم باوباو الصينى,"طريق المنصورية, نزلة السمان, الهرم, الجيزة.",622163
مطاعم صينية,مطعم ترياكى,"25 ش عماد الدين كامل, متفرع من ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",486757
مطاعم صينية,مطعم تشاينا تاون,"ش الشيراتون, سقالة, الغردقة.",116399
مطاعم صينية,مطعم جايا,"41 ش 218, دجلة, المعادى, القاهرة.",47231
مطاعم صينية,مطعم جراند الاقصر,"ش خالد بن الوليد - العوامية, الاقصر, الاقصر.",42638
مطاعم صينية,مطعم جنكيز خان,"3 ش 233 تقاطع ش 199, دجلة, المعادى, القاهرة.",567306
مطاعم صينية,مطعم جينزا لونج,"ش نادى الرياضات البحرية, هضبة ام السيد, شرم الشيخ.",449366
مطاعم صينية,مطعم دراجون,"9 ش البطراوى متفرع من ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",618867
مطاعم صينية,مطعم ذا كيتشين,"ش المسبط, المسبط, دهب.",292243
مطاعم صينية,مطعم ذا مندارين,"ش الملكة فريدة, نزلة السمان, الهرم, الجيزة.",278531
مطاعم صينية,مطعم رد دراجون,"طريق الاحياء, جزيرة الفراعنة, طابا.",531548
مطاعم صينية,مطعم زين,"سوهو سكوير, خليج الفارس الابيض, شرم الشيخ.",196718
مطاعم صينية,مطعم سيلك رود,"طريق السلام, شاركس باى, شرم الشيخ.",110031
مطاعم صينية,مطعم سيوان دامبلينج,"10 أ ش 233, دجلة, المعادى, القاهرة.",502581
مطاعم صينية,مطعم شانجهاى,"الغرقانة, خليج نبق, شرم الشيخ.",246565
مطاعم صينية,مطعم شنجهاى,"كم 7 - طريق نبق السياحى, خليج نبق, شرم الشيخ.",206202
مطاعم صينية,مطعم فى,"ش التحرير, لاجونا, دهب.",201639
مطاعم صينية,مطعم فيوجن,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",123820
مطاعم صينية,مطعم لان يوان,"84 ش 9, المعادى, القاهرة.",7250
مطاعم صينية,مطعم لان يوان,"84 ش 9, الدور 1, المعادى, القاهرة.",684245
مطاعم صينية,مطعم ماندرين,"كم 17 - طريق سفاجا الغردقة, طريق القرى, الغردقة.",144517
مطاعم صينية,مطعم ماندرين,"طريق السلام, ام مريخة, شرم الشيخ.",105820
مطاعم صينية,مطعم مستر وان,"3 عمارات الشرق للتأمين - ش محمود ابراهيم, مدينة نصر, القاهرة.",602939
مطاعم صينية,مطعم مسلم الصينى,"ش احمد سعيد, عباسية, القاهرة.",382904
مطاعم صينية,مطعم مكاى توكاى,"كم 32 - طريق الغردقة سفاجا, مكادى باى, الغردقة.",562875
مطاعم صينية,مطعم مى تشى,"طريق المطار القديم, منطقة المطار, مصر الجديدة, القاهرة.",244317
مطاعم صينية,مطعم هان كانج,"., طريق المزرعة, نويبع.",105518
مطاعم صينية,مطعم هونج كونج,"ش النصر, المعادى الجديدة, المعادى, القاهرة.",584282
مطاعم صينية,مطعم وبار بامبو ايلاند,"ش الشيراتون ميدان المحمدى - الممشى السياحى, الهضبة, الغردقة.",132539
مطاعم صينية,مطعم ولونج سايجون,"2005 ب ابراج نايل سيتى - كورنيش النيل, رملة بولاق, القاهرة.",226997
مطاعم صينية,مطعم ولونج نسايا,"كم 20 - طريق الغردقة سفاجا, طريق القرى, الغردقة.",545904
مطاعم صينية,مطعم ووترفول,"., شاركس باى, شرم الشيخ.",413326
مطاعم صينية,مطعم ينج اند يانج,"طريق الغردقة سفاجا, سهل حشيش, الغردقة.",458770
مطاعم صينية,مطعم يو جى يو سوشى,"ش 48, الحى الثالث, التجمع الخامس, القاهرة الجديدة, القاهرة.",666962
مطاعم صينية,مطعم يوان شان,"171 ش المريوطية, فيصل, الجيزة.",509292
مطاعم صينية,مهراجا اند زين زين - الشرق الاقصى,"45 ش النصر, ميدان الجزائر, المعادى الجديدة, المعادى, القاهرة.",130480
مطاعم صينية,نوبل هاوس,"1 ش الشهيد سيد زكريا متفرع من طريق العروبة, مساكن شيراتون, مصر الجديدة, القاهرة.",226977
مطاعم صينية,هاكامارو,"25 ش الاهرام, الكوربة, مصر الجديدة, القاهرة.",475512
مطاعم صينية,هونج كونج,"17 ش حدائق الاهرام متفرع من ميدان الرماية, الهرم, الجيزة.",464984
مطاعم صينية,واك اند وافلز,"6 ش الجزيرة الوسطى متفرع من ش اسماعيل محمد, الزمالك, القاهرة.",555216
