Category,Name,Address,ID
عطور,كامينا برودكتس كوربوريشن,"طريق كفر طهرمس, الطالبية, فيصل, الجيزة.",49464
عطور,جنرال كيم للتجارة,"كم 28 طريق مصر اسكندرية الصحراوى, المنطقة الصناعية - ابو رواش - ميدان الصليبة, ابو رواش, الجيزة.",597482
عطور,مصنع دكتورز للعطور ومستحضرات التجميل,"74 عمارات البارون ش البرت الاول, سموحة, الاسكندرية.",687885
عطور,سقارة للزيوت العطرية,"طريق سقارة السياحى, ابوصير, المريوطية, الهرم, الجيزة.",507000
عطور,جيفودان مصر للعطور ش.م.م,"46 ش الثورة, مصر الجديدة, القاهرة.",439851
عطور,مصنع بيوتى ناتشورال لمستحضرات التجميل,"قطعة 119, المنطقة الصناعية 100 فدان, مدينة بدر, القاهرة.",693479
عطور,لايف اروماتيك لمكسبات الرائحة والاستيراد والتصدير,", المنطقة الصناعية - المنطقة الثانية, قويسنا, المنوفية.",581591
عطور,الوطنية للشموع,"قطعة 8732 ش د. تيمور, متفرع من ش 9, المقطم, القاهرة.",693074
عطور,كايرو اسنس برفيوم,", المنطقة الصناعية الثالثة - مجمع مبارك, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",163040
عطور,212 للعطور,"ش حسن رضوان, طنطا, الغربية.",410399
عطور,ابراهيم القرشى,"طريق الجيش, سان استيفانو, الاسكندرية.",154174
عطور,ابو البنات للعطور,"86 ش متحف المطرية, عين شمس الشرقية, القاهرة.",662834
عطور,ابو الدهب,"ش غلاب بن زيدان, دار السلام, القاهرة.",334482
عطور,ابو حمزة,"ش الرشاح البحرى - كفر غطاطى, الهرم, الجيزة.",348459
عطور,ابو زيد للعطور,", العدوة, المنيا.",636762
عطور,ابو على,"ش 6 اكتوبر, عين شمس, القاهرة.",275497
عطور,ابو على,"ش احمد حلمى مرزوق, الحادقة, الفيوم.",327857
عطور,ابو على للعطور,"116 ش مصر, حى الافرنج, الاسماعيلية.",289619
عطور,ابو عمار للعطور,"1 ش الكمال, متفرع من ش ترعة السواحل, المهندسين, الجيزة.",640320
عطور,ابو عوض للعطور,"30 ش النقراشى, دمياط, دمياط.",505468
عطور,ابو مازن للعطور,"150 ش السد, السيدة زينب, القاهرة.",414958
عطور,ابو معاذ للعطور,"2 ش الفاروق عمر - الفلاحة, المرج, القاهرة.",487375
عطور,ابو يوسف,"ش المنزل متفرع من ش المنصورية, الهرم, الجيزة.",381482
عطور,ابو يوسف للعطور,"ش سلاح المهندسين - الدواجن, حلوان, القاهرة.",293772
عطور,اتاك للعطور,"1 ش سوريا, رشدى, الاسكندرية.",212081
عطور,اتراكشن للعطور,"ش عطية الصوالحى, امتداد ش مكرم عبيد, الحى الثامن, مدينة نصر, القاهرة.",686071
عطور,اترنتى للعطور,"7 ش عبده حفناوى - المنيرة الغربية, امبابة, الجيزة.",539479
عطور,اتش,"ش مراد, الكيت كات, الجيزة.",346663
عطور,اتش اند ام للعطور,"6 ش عباد الصالحين, متفرع من ش عثمان محرم, الكنيسة, المنيب, الجيزة.",500894
عطور,اتش جى للعطور,"ش ابو النجا, البساتين, القاهرة.",638225
عطور,اتش للعطور,"70 ش الميرغنى, مصر الجديدة, القاهرة.",293331
عطور,اتش للعطور,"23 ش عبد الفتاح ابو عميرة - قرية المعتمدية, كرداسة, الجيزة.",556508
عطور,اتش.ار للعطور,"ميدان الحصرى - المحور المركزى, الحى السابع, السادس من اكتوبر, الجيزة.",437433
عطور,احلى الاوقات,"ش الجمهورية, القلج, القليوبية.",279123
عطور,احمد الشبراويشى للعطور ومستحضرات التجميل,"6 عمارات 26 مارس, فيصل, الجيزة.",521170
عطور,احمد سيكو للعطور,"50 ش ترعة زنين - زنين, بولاق الدكرور, الجيزة.",589818
عطور,احمد عطا الله للاستيراد والتصدير,"ابراج عثمان - برج 4 - - الدور 23, كورنيش المعادى, المعادى, القاهرة.",456754
عطور,احمد فيانسيه للعطور,"34 ش عبد الله باشا, عين شمس الغربية, القاهرة.",535061
عطور,احمر شفايف,"7 ش بشتيل, امبابة, الجيزة.",367451
عطور,اخر شقاوة للعطور,"13 ش معهد الابحاث البحرى - وراق الحضر, الوراق, الجيزة.",596014
عطور,اخر فرصة للعطور,"6 ش النصر - ارض الجمعية, امبابة, الجيزة.",572192
عطور,اخوان الزواوى,"1 حارة الجباس - درب البرابرة, الموسكى, القاهرة.",267171
عطور,اخوان فهمى,"5 ميدان التحرير, المنشية, الاسكندرية.",33835
عطور,ادم للعطور,"67 ش مسجد الرحمة, شبرا, القاهرة.",435554
عطور,ادم للعطور,"85 ش باتا, كرداسة, الجيزة.",558190
عطور,ادم وحواء,"38 ش سليم الاول, الزيتون, القاهرة.",420511
عطور,ارابيان نايت,"الغرقانة, خليج نبق, شرم الشيخ.",260867
عطور,ارابيان نايتس بالاس,"., سقالة, الغردقة.",246584
عطور,ارض الحرم,"ش صلاح سالم, طوخ, القليوبية.",333073
عطور,ارقى الطيب للعطور,"1 ش خليل رضوان, متفرع من ش المطرية, حدائق الزيتون, القاهرة.",259919
عطور,ارقى العطور,"4 ش 15, المعصرة, القاهرة.",456954
عطور,اروسنت لمكسبات الرائحة,"كم 26 - طريق اسكندرية القاهرة الصحراوى, مرغم, الاسكندرية.",605579
عطور,اروما فلور,"7 ش ايجام, النزهة الجديدة, القاهرة.",61557
عطور,اريج,"ش المحكمة, بلقاس, الدقهلية.",363713
عطور,اريج,"ش الدرديرى, كفر الزيات, الغربية.",341958
عطور,اريج الشرق,"., الحى السابع, السادس من اكتوبر, الجيزة.",473707
عطور,اريج المسك,"41 ش البيطاش, البيطاش, الاسكندرية.",430442
عطور,اريج للعطور,"1 ش الامام محمد عبده, شبرا الخيمة, القليوبية.",248428
عطور,ازهار لصناعة الفواحات,"ابراج سيتى لايت برج 3 ش مصطفى كامل, الدور 8, السيوف, الاسكندرية.",634193
عطور,اس اند ايه بيرفيوم ميكر,"ش 9, المعادى, القاهرة.",667788
عطور,اسامة خليل للعطور,"102 ش احمد عرابى, عرب جسر السويس, جسر السويس, القاهرة.",657284
عطور,اسراء للعطور,"., السوق القديم, شرم الشيخ.",258960
عطور,اسرار الجمال للعطور,"ش مكة المكرمة المجاورة الاولى, الحى السابع, السادس من اكتوبر, الجيزة.",619167
عطور,اسرار العطور,"20 ش فلسطين, عرب جسر السويس, جسر السويس, القاهرة.",660125
عطور,اسكادا للعطور,"33 /18 ش حسب الله الكفراوى المجاورة الثالثة - الحى الثانى, دمياط الجديدة, دمياط.",528851
عطور,اسلام,"18 ش السروجية, الدرب الاحمر, القاهرة.",378531
عطور,اسما للعطور,"169 ش الجيش, الباجور, المنوفية.",559346
عطور,اسو للعطور,"88 ش الدويدار, حدائق القبة, القاهرة.",419725
عطور,اشكندالى للعطور,"ش القنطرة, محرم بك, الاسكندرية.",259380
عطور,اصالة للعطور,"52 ش معهد الابحاث البحرى - وراق الحضر, الوراق, الجيزة.",596021
عطور,اصايل العطور,"13 ش العريش, فيصل, الجيزة.",646226
عطور,اصايل للعطور,"1 ش اسماعيل الفنجرى, الالف مسكن, جسر السويس, القاهرة.",664071
عطور,اصايل للعطور,"34 ش محمد سيد احمد, حلوان, القاهرة.",642113
عطور,اصفهان,"ش الساحة, كفر صقر, الشرقية.",351767
عطور,اصفهان للعطور,"ش رفاعة الطهطاوى متفرع من ش الحجاز , مصر الجديدة, القاهرة.",59710
عطور,اطيب للعطور,"63 ش المقريزى, منشية البكرى, مصر الجديدة, القاهرة.",210663
عطور,افريكانو,"ش مصطفى كامل, فيكتوريا, الاسكندرية.",301964
عطور,افندينا,"ش المحكمة, بنها, القليوبية.",303117
عطور,اكت للعطور,"10 ش ميراموان, الازاريطة, الاسكندرية.",393276
عطور,اكس بلورا,"ش خالد بن الوليد, فيصل, الجيزة.",406293
عطور,اكس واى,"5 ش توفيق جرجس, عين شمس الشرقية, القاهرة.",321608
عطور,اكوا للعطور,"115 ش محمود محروس, متفرع من ش احمد عرابى, زهراء عين شمس, عين شمس الشرقية, القاهرة.",204001
عطور,اكوا للعطور,"49 ش احمد حشاد, الزاوية الحمراء, القاهرة.",568110
عطور,الابتسام للاستيراد والتصدير والتوكيلات التجارية,"4 ش ابن بسام متفرع من ش عمار بن ياسر - الدور 1 شقة 4, ميدان الحجاز, مصر الجديدة, القاهرة.",148065
عطور,الاخوة للعطور,"14 ش د. عبد الوهاب, شبرا, القاهرة.",431439
عطور,الارقم للعطور,"ش احمد عرابى, دمنهور, البحيرة.",617067
عطور,الاسراء,"ش الرشاح, المعصرة, القاهرة.",336945
عطور,الاسراء للعطور,"55 ش اثار سقارة, البدرشين, الجيزة.",206490
عطور,الاسكندرانى للعطور,"9 ش التجارى, دمياط, دمياط.",505162
عطور,الاسلامية,"ش محمد عبد الدائم - منشية البكارى, فيصل, الجيزة.",381221
عطور,الاصفهانى للعطور,"4 ش نصر الدين محمد متفرع من ش حسن رضوان, حدائق القبة, القاهرة.",188570
عطور,الاصلى,"120 ش الجسر البرانى, دار السلام, القاهرة.",329236
عطور,الافوكاتو للعطور,"28 ش المعهد الدينى - وراق العرب, الوراق, الجيزة.",594650
عطور,الاقصى,"ش ترعة الخشاب, المعصرة, القاهرة.",380768
عطور,الاقصى,"ش احمد عرابى, دمنهور, البحيرة.",356921
عطور,الاقصى,"ش بورسعيد, ايتاى البارود, البحيرة.",370707
عطور,الاقصى,"ش المدارس, مدينة بدر, البحيرة.",370729
عطور,الاقصى,"حارة الاهرام, كوم حمادة, البحيرة.",371534
عطور,الاقصى,"ش الجمهورية, ايتاى البارود, البحيرة.",386037
عطور,الاقصى,"42 ش مرسى محمود, ارض اللواء, الجيزة.",270210
عطور,الاقصى لاستيراد العطور,"ش الهانوفيل, الهانوفيل, الاسكندرية.",227909
عطور,الاقصى للعطور,"ش بورسعيد, شبراخيت, البحيرة.",368083
عطور,الامراء,"ش عبد المنعم رياض, بركة السبع, المنوفية.",319752
عطور,الامل,"كورنيش النيل - برطس, اوسيم, الجيزة.",350602
عطور,الامل للعطور,"13 ش الملك المظفر, المنيل, القاهرة.",503742
عطور,الامل للعطور,"21 طريق اوسيم - برطس, اوسيم, الجيزة.",592326
عطور,الامير للعطور,"ش العشرين, جسر السويس, القاهرة.",260545
عطور,الامير للعطور,"محلة ابو على, المحلة الكبرى, الغربية.",157013
عطور,الاميرة بدور للعطور,"16 ش الجامع الاحمر درب عبد الخالق, العتبة, القاهرة.",188470
عطور,الاميرة للعطور,"59 ش المدرسة, المنيب, الجيزة.",485361
عطور,الامين للعطور,"29 ش سليمان الحلبى, العصافرة بحرى, الاسكندرية.",254348
