Category,Name,Address,ID
فضة ومصنعون فضة,ابراهيم علام,"35 ش الدرب الاحمر, الازهر, القاهرة.",184695
فضة ومصنعون فضة,ابن النيل,"., السوق القديم, شرم الشيخ.",196999
فضة ومصنعون فضة,ابناء التمامى,"5 ش التجارى, دمياط, دمياط.",505472
فضة ومصنعون فضة,ابو الدهب,"1 مساكن النيل B -, مدينة السلام, القاهرة.",392574
فضة ومصنعون فضة,ابو الهنا لبيع وشراء الفضة,"9 ش الحوفى متفرع من طريق مصر حلوان الزراعى, طره, القاهرة.",289128
فضة ومصنعون فضة,ابو دنيا للمشغولات الفضية,"7 ش كوبرى القبة, كوبرى القبة, القاهرة.",246876
فضة ومصنعون فضة,ابو شادى للفضيات,"28 حارة البهلوان, السيدة زينب, القاهرة.",223490
فضة ومصنعون فضة,ابو عكاشة,"ش مجلس المدينة, اولاد صقر, الشرقية.",366194
فضة ومصنعون فضة,ابو ملك,"ش الشهيد فارس, فيصل, الجيزة.",357483
فضة ومصنعون فضة,ابو وائل,"ش بنها متفرع من ش الجمهورية, حى الشرق, بور سعيد.",316250
فضة ومصنعون فضة,اتش ام اى للفضيات,"130 ش خلوصى, شبرا, القاهرة.",431246
فضة ومصنعون فضة,اتش اند ار,"ش الجميزة, الحضرة, الاسكندرية.",260250
فضة ومصنعون فضة,احلى الاوقات,"30 ش طلعت حرب, وسط البلد, القاهرة.",137462
فضة ومصنعون فضة,احمد فتحى للفضيات,"35 ش سيدى عواض, قليوب, القليوبية.",526369
فضة ومصنعون فضة,ادهم كوليه,"طريق 14 مايو, سموحة, الاسكندرية.",201436
فضة ومصنعون فضة,ارت اند كرافت,"ش عمر بن الخطاب, الدور 4, مدينة نصر, القاهرة.",275839
فضة ومصنعون فضة,ارجينتو,"17 ش محمد حسنين هيكل, المنطقة السادسة, مدينة نصر, القاهرة.",137439
فضة ومصنعون فضة,ارجينتو للفضيات,"14 ش الاربعين, عين شمس الغربية, القاهرة.",659682
فضة ومصنعون فضة,ارزاق,"295 ش فيصل, فيصل, الجيزة.",396690
فضة ومصنعون فضة,اكوا مارين للفضيات,"84 ش 9, المعادى, القاهرة.",167780
فضة ومصنعون فضة,ال الريان,"7 ش مجمع المدارس, دار السلام, القاهرة.",461754
فضة ومصنعون فضة,ال على للفضيات,"6 ش كمال حلمى متفرع من ش فوزى عبد المقصود, المرج, القاهرة.",498551
فضة ومصنعون فضة,ال فؤاد,"2 ش طلعت حرب, امبابة, الجيزة.",377280
فضة ومصنعون فضة,الاخلاص,"3 ش مراد على تقسيم فريد زكى, حدائق حلوان, القاهرة.",445202
فضة ومصنعون فضة,الاخوة للاستيراد والتصدير,"273 ش ترعة الجندى تقسيم الجمعية, حدائق القبة, القاهرة.",271020
فضة ومصنعون فضة,الاسلامية جولد,"ش السنترال, مدينة السلام, القاهرة.",389303
فضة ومصنعون فضة,الاصدقاء للفضيات,"10 ش عبد السلام عارف, جليم, الاسكندرية.",429667
فضة ومصنعون فضة,الامانة للفضيات,"ش الجلاء, اجا, الدقهلية.",350381
فضة ومصنعون فضة,الامل للفضيات,"55 ش ترعة جزيرة بدران, شبرا, القاهرة.",434619
فضة ومصنعون فضة,الامير,"ش السكة الجديدة, اجا, الدقهلية.",350312
فضة ومصنعون فضة,الامير للفضيات,"65 ش صلاح سالم, الجيزة, الجيزة.",196836
فضة ومصنعون فضة,الامير للفضيات,"65 ش ربيع الجيزى, الجيزة, الجيزة.",681563
