Category,Name,Address,ID
سيارات مستعملة,الهلالى موتورز,"39, ميدان فيكتور عمانويل, برج المستشار الهلالى, سموحة, الاسكندرية.",26630
سيارات مستعملة,ابناء ابراهيم عبد المتجلى,"طريق بنها الزراعى, طنطا, الغربية.",188797
سيارات مستعملة,ابو السعود جروب,"7 ش الزهراء, الدقى, الجيزة.",173978
سيارات مستعملة,ابو الورد,"ش طرح البحر, الجمهورية, بور سعيد.",326019
سيارات مستعملة,ابو جريشة لتجارة السيارات,"6 عمارات الشركة السعودية ش النزهة, ارض الجولف, مصر الجديدة, القاهرة.",434898
سيارات مستعملة,ابو قورة موتورز,"., حى الزهور, بور سعيد.",139184
سيارات مستعملة,ابو مصطفى كار,"الطريق السريع, طلخا, الدقهلية.",286825
سيارات مستعملة,ابو يوسف للسيارات,"عمارات الاسكان والتعمير - ش لطيف متفرع من ش رايل, حلوان, القاهرة.",255738
سيارات مستعملة,ابو يوسف موتورز,"48 ش شامبليون, وسط البلد, القاهرة.",124934
سيارات مستعملة,اتومبيل بوبه,"241 ش ترعة الجبل, حدائق القبة, القاهرة.",418994
سيارات مستعملة,اتوموبيل المالكى,"177 ش تانيس, سبورتنج, الاسكندرية.",41236
سيارات مستعملة,اتوميرو,"65 ش الميرغنى, مصر الجديدة, القاهرة.",56100
سيارات مستعملة,احمد موتورز,"16 ش البكباشى العيسوى, سيدى بشر, الاسكندرية.",142895
سيارات مستعملة,اركتك اوتو,"37 ش محمد الصيرافى متفرع من ش خالد بن الوليد, ميامى, الاسكندرية.",151997
سيارات مستعملة,افكت اوتوموتيف,"8 ش احمد النحاس, متفرع من جمال الدين البنا, فيصل, الجيزة.",654560
سيارات مستعملة,ال خميس الفخرانى للسيارات,"323 طريق الحرية, سيدى جابر, الاسكندرية.",57313
سيارات مستعملة,الاخوة المتحدون لتجارة السيارات,"20 ش ترعة الخشاب متفرع من ش جمال عبد الناصر, حدائق حلوان, القاهرة.",244883
سيارات مستعملة,الاسلام للسيارات,"317 ش السودان, المهندسين, الجيزة.",6198
سيارات مستعملة,الاشراف,"123 ش يوسف صبرى ابو طالب, الحرفيين, القاهرة.",372309
سيارات مستعملة,الاصدقاء تريد,"9 مساكن بحرى الاستاد -, عرايشية مصر, الاسماعيلية.",140483
