Category,Name,Address,ID
مراكز تسوق,السورية لصناعة القوالب البلاستيكية للاحذية - موفى للنعال,"مصنع 27/1, منطقة الصناعات الصغيرة, التجمع الثالث, القاهرة الجديدة, القاهرة.",551954
مراكز تسوق,اسواق المرشدى,", ميدان المرشدى, الحى العاشر, السادس من اكتوبر, الجيزة.",228116
مراكز تسوق,اكشن للملابس,"65 ش الجمهورية, الحوامدية, الجيزة.",603760
مراكز تسوق,التركى للاحذية,"75 ش محمد محسن حمد, اشمون, المنوفية.",566797
مراكز تسوق,التوحيد والنور,"13 ش باب اللوق, باب اللوق, القاهرة.",8224
مراكز تسوق,النصر,"36 ش محيى الدين ابو العز, الدقى, الجيزة.",340428
مراكز تسوق,اول دوت سوق,"ش مشروع اسكندرية, حلوان, القاهرة.",671519
مراكز تسوق,اولز شوب,", ., المعادى, القاهرة.",671323
مراكز تسوق,ايجى هوم,", ميدان المحطة, برج المدينة, الزقازيق, الشرقية.",668421
مراكز تسوق,ايمو للملابس,"52 ش الشهيد امين بيومى, ابو النمرس, الجيزة.",603272
مراكز تسوق,باى باى اونلاين,", ., وسط البلد, القاهرة.",673414
مراكز تسوق,برونتو شوز,"8 ش عثمان امين, متفرع من محور طه حسين, النزهة الجديدة, القاهرة.",519325
مراكز تسوق,بنزايون - شركة الازياء الحديثة,"3 ش ابراهيم, الكوربة, مصر الجديدة, القاهرة.",163995
مراكز تسوق,بيتس لادارة المشروعات,", المحور المركزى, السادس من اكتوبر, الجيزة.",694000
مراكز تسوق,بيع المصنوعات المصرية,"5 ش الباب البحرى, الازبكية, القاهرة.",63953
مراكز تسوق,جبهالى دوت كوم,"22 ش المنتزه, مصر الجديدة, القاهرة.",527577
مراكز تسوق,جحا اكسبريس,", ., ميامى, الاسكندرية.",672271
مراكز تسوق,جنة ستور,", ., الكوم الاخضر, الهرم, الجيزة.",648468
مراكز تسوق,حبيبة مول للتسوق,", ., الزقازيق, الشرقية.",677018
مراكز تسوق,داون تاون للتجارة والتوزيع,"10 ش الجمعية الزراعية, قرية العباسة, ابو حماد, الشرقية.",655266
مراكز تسوق,دولفين ستور,", ., الشهداء, المنوفية.",637085
مراكز تسوق,ذا بيست ديلز,"ش ابن سينا, متفرع من ش عبد السلام عارف, المنصورة, الدقهلية.",672978
مراكز تسوق,ريتيلاك,"8 ش 218, المعادى, القاهرة.",534393
مراكز تسوق,زوى ثرى,"ابراج بيت العز, برج أ - الدور الادارى - مكتب 310, المطرية, القاهرة.",677102
مراكز تسوق,سبورتى ستايل,", ., المعادى, القاهرة.",677703
مراكز تسوق,ستار هاوس مول,"القطعة 1، 2 - بلوك 12010, مدينة العبور, القليوبية.",355536
مراكز تسوق,سمارت شوب,", ., السادس من اكتوبر, الجيزة.",671192
مراكز تسوق,سوق المعز,"المجاورة الثانية - الحى 12, الشيخ زايد, السادس من اكتوبر, الجيزة.",377722
مراكز تسوق,صيدناوى,"117 ش مسجد العطارين, المنشية, الاسكندرية.",33297
مراكز تسوق,صيدناوى مول,"1 ش سعد زغلول ميدان صيدناوى, اشمون, المنوفية.",468818
مراكز تسوق,عرفة,", ميدان طلعت حرب, وسط البلد, القاهرة.",350334
مراكز تسوق,عمر افندى,"25 ش عدلى, وسط البلد, القاهرة.",8647
مراكز تسوق,عيد لبيب,"40 ش متحف المطرية, النعام, عين شمس الشرقية, القاهرة.",62706
مراكز تسوق,فالكون ستور,", المجاورة الرابعة, الحى الاول, السادس من اكتوبر, الجيزة.",670265
مراكز تسوق,فالواى شوب,", ., جليم, الاسكندرية.",681856
مراكز تسوق,كاشاتى,", ., طريق القاهرة السويس, القاهرة.",670135
مراكز تسوق,كيو نت,", ., الشاطبى, الاسكندرية.",624521
مراكز تسوق,ماجيكو للملابس,"17 ش البوستة, ابو النمرس, الجيزة.",602909
مراكز تسوق,ماركيتكو هوم,"25, ., المجاورة 62, العاشر من رمضان, الشرقية.",654213
مراكز تسوق,مجموعة الشوا التجارية,"ش العباسى, المنصورة, الدقهلية.",264122
مراكز تسوق,مركز الهدى والانوار,"5 ش احمد الزمر, الحى العاشر, مدينة نصر, القاهرة.",446374
مراكز تسوق,مصر للتسويق الالكترونى,", ., حدائق القبة, القاهرة.",668928
مراكز تسوق,مقبس دوت كوم,"10 ب ش 11, سرايات المعادى, المعادى, القاهرة.",682072
مراكز تسوق,مكة سنتر,"4 ش طه حسين, النزهة الجديدة, القاهرة.",623598
مراكز تسوق,مول المحلة,"كم 3 طريق المحلة طنطا, المحلة الكبرى, الغربية.",590164
مراكز تسوق,مول رياض الصالحين,"ش صلاح سالم - برج التحرير, وسط البلد, كفر الشيخ.",595500
مراكز تسوق,مول طوسون,"35 و, حدائق الاهرام, الهرم, الجيزة.",693473
مراكز تسوق,مينى سو,"2 ابراج دلتا ش مكرم عبيد, الدور 9, تقاطع طريق النصر, مدينة نصر, القاهرة.",586873
مراكز تسوق,هشترى دوت كوم,"القطعة 7101 - مساكن المقطم, الاباجية, المقطم, القاهرة.",692960
مراكز تسوق,يور ستور,"ش الاستاد, بنها, القليوبية.",669451
