Category,Name,Address,ID
خيام وتند ومظلات,قرطبة لانظمة التظليل,"2 ش ابو بكر الصديق, متفرع من ش الاورمان, المرج الجديدة, القاهرة.",688357
خيام وتند ومظلات,دغش للخيام والتند والمظلات,"الطريق الدائرى, قرية 23 يوليو, المرج الجديدة, القاهرة.",11298
خيام وتند ومظلات,المهدى لاغطية حمامات السباحة والمظلات والتند,"35, مجموعة 112, مدينة الرحاب, القاهرة.",694675
خيام وتند ومظلات,الرواد للخيام العربية,"2 ش سوهاج, متفرع من ش اسوان, ميدان المحكمة, مصر الجديدة, القاهرة.",689947
خيام وتند ومظلات,تند ايطالى وفرنسى ومظلات سيارات,"59 عمارات اطلس, الحى العاشر, مدينة نصر, القاهرة.",650049
خيام وتند ومظلات,جولدن تند,"24 ش العمدة احمد سلامة, متفرع من ش مؤسسة الزكاة, المرج, القاهرة.",221822
خيام وتند ومظلات,توب شادو للتند والمظلات,"40 عمارات الشركة الكويتية, المرحلة الاولى, المعادى الجديدة, المعادى, القاهرة.",62660
خيام وتند ومظلات,روتا ايجيبت,"الطريق الدائرى, شيل اوت, كايرو فيستيفال, القاهرة الجديدة, القاهرة.",694268
خيام وتند ومظلات,يو اس اف للتند والخيام,"9 مساكن العبد 540, مدينة النهضة, مدينة السلام, القاهرة.",214952
خيام وتند ومظلات,شركة دريم للخيام والتند والشماسى,"1 ش نور عبد المغنى, متفرع من ش محمد نجيب, المرج, القاهرة.",581915
خيام وتند ومظلات,الفاروق ايجيبت للتند والخيام,"ش التسعين, قطاع 3, التجمع الخامس, القاهرة الجديدة, القاهرة.",527084
خيام وتند ومظلات,دريم هاوس,"الطريق الدائرى, المنطقة الصناعية, القلج, القليوبية.",694893
خيام وتند ومظلات,اسكندرية للتند والالومنيوم - اليوتند,"18 ش بهاء الدين, فيكتوريا, الاسكندرية.",137560
خيام وتند ومظلات,عابدين للخيام والتند,", القلج, القليوبية.",686991
خيام وتند ومظلات,شركة القمة,"361 ش بورسعيد, باب الخلق, وسط البلد, القاهرة.",161082
خيام وتند ومظلات,ام اس اس للتجارة,"15 ش القلعة, قلعة, القاهرة.",685543
خيام وتند ومظلات,المؤسسة المصرية للتند الايطالية,"5 ش محمد اسماعيل, اخر ش الاربعين, جسر السويس, القاهرة.",685252
خيام وتند ومظلات,الاتحاد للتند,"8 ش الاسكندرية, متفرع من ش التروللى, جسر السويس, القاهرة.",483848
خيام وتند ومظلات,ابداع للديكور واعمال البروجولات الخشبية,"261 عمارات صقر قريش, المعادى الجديدة, المعادى, القاهرة.",692229
خيام وتند ومظلات,ابراهيم الجزار للفراشة,"20 مساكن اطلس -, مدينة السلام, القاهرة.",389178
خيام وتند ومظلات,ابراهيم الدادامونى,"ش احمد عرابى, الابراهيمية, الشرقية.",363397
خيام وتند ومظلات,ابن البلد,"1 ش الاتحاد متفرع من ش الامام العبد, الزاوية الحمراء, القاهرة.",410118
خيام وتند ومظلات,ابن سندر,"1 ش طومانباى, سراى القبة, القاهرة.",419049
خيام وتند ومظلات,ابناء السمبو,"ش النبوى المهندس, المندره قبلى, الاسكندرية.",253903
خيام وتند ومظلات,ابناء اندراوس بيشاى,"3 ش جامع السنانية, بولاق, القاهرة.",13807
خيام وتند ومظلات,ابو العابدين,"41 ش العطار متفرع من ش احمد اسماعيل, عين شمس الشرقية, القاهرة.",319952
خيام وتند ومظلات,ابو اليزيد,"ش مسجد الرحمة متفرع من طريق كعبيش, الطوابق, فيصل, الجيزة.",217183
خيام وتند ومظلات,ابو حمادة وهند,"12 ش احمد زكى, حدائق المعادى, المعادى, القاهرة.",335270
خيام وتند ومظلات,ابو رياض للفراشة,"ش زين الدين العابدين, حلوان, القاهرة.",292165
خيام وتند ومظلات,ابو سعدة,"8 ش خالد درويش, المطرية, القاهرة.",311285
خيام وتند ومظلات,ابو سعيد,"ش ابو صياد, الطالبية, الهرم, الجيزة.",308051
خيام وتند ومظلات,ابو شريف,"10 ش جسر السويس, سراى القبة, القاهرة.",419061
خيام وتند ومظلات,ابو عبد الله,"8 ش عابدين مدين, عين شمس الشرقية, القاهرة.",323592
خيام وتند ومظلات,ابو منة للفراشة,"26 ش العلوايا, عين شمس الشرقية, القاهرة.",326638
خيام وتند ومظلات,اتراكتف للتندات والمظلات,"2149 عمارات الضباط, الالفينات, زهراء مدينة نصر, مدينة نصر, القاهرة.",624927
خيام وتند ومظلات,احمد,"ش محمد على خضر, حدائق المعادى, المعادى, القاهرة.",411658
خيام وتند ومظلات,احمد البراملجى ايفنتس,"حي 16، بيفرلى هيلز - مول فورميكس, الشيخ زايد, السادس من اكتوبر, الجيزة.",131983
خيام وتند ومظلات,احمد جبرة,"ش مرسى محمود, ارض اللواء, الجيزة.",269810
خيام وتند ومظلات,احمد عويس,"147 الشارع التجارى, الشيخ زايد, الاسماعيلية.",296199
خيام وتند ومظلات,احمد مبروك,"ش البستان, حدائق حلوان, القاهرة.",378955
خيام وتند ومظلات,احمد متولى السيد عز الدين,"40 امام ش الشيخ بيرم, محرم بك, الاسكندرية.",23261
خيام وتند ومظلات,احمد محمد هندى,"247 ش رمسيس, غمره, القاهرة.",174666
خيام وتند ومظلات,احمد يسرى,"ش الخيامية, الدرب الاحمر, القاهرة.",384885
خيام وتند ومظلات,اسطول,"ش العروبة, امبابة, الجيزة.",265337
خيام وتند ومظلات,اسلام عيسى,"ش الجناين, كفر العلو, القاهرة.",299159
خيام وتند ومظلات,اضواء التيسير,"200 ش التحرير, وسط البلد, القاهرة.",298861
خيام وتند ومظلات,اضواء الفن الحديث,"ش الجامع متفرع من ش 26 يوليو, المهندسين, الجيزة.",382876
خيام وتند ومظلات,اضواء الكوثر,"49 ش الحجاز, عين شمس, القاهرة.",417789
خيام وتند ومظلات,اضواء المدينة,"ش المنشية, فيصل, الجيزة.",156548
خيام وتند ومظلات,اضواء المدينة,"35 ش الانوار, المنيب, الجيزة.",295185
خيام وتند ومظلات,اف تى اتش للمظلات والتند,"القطعة 243, امتداد المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",385720
خيام وتند ومظلات,اكتس للمظلات,"طريق عين شمس الخانكة, القلج, القليوبية.",641081
خيام وتند ومظلات,الاخلاص,"5 ش المنجدين, الازهر, القاهرة.",382426
خيام وتند ومظلات,الاخوة,"منشأة عبد الله, وسط البلد, الفيوم.",325577
خيام وتند ومظلات,الارزاق بالله,"ش محمد على خضر, حدائق المعادى, المعادى, القاهرة.",411670
خيام وتند ومظلات,الاصدقاء,"ش زكى حواس المجاورة السادسة - المشروع الامريكى, حلوان, القاهرة.",336329
خيام وتند ومظلات,الاصدقاء,"2 ش كامل يونس, الطالبية, الهرم, الجيزة.",415309
خيام وتند ومظلات,الاضاءة الحديثة,"74 ش الجمهورية, الحوامدية, الجيزة.",199989
خيام وتند ومظلات,الاقصى,"ش فرج الله, عين شمس الشرقية, القاهرة.",317625
خيام وتند ومظلات,الامبراطور,"33 ش على عابدين, الهرم, الجيزة.",326025
خيام وتند ومظلات,الامير للبرجولات,", ميت كنانة, طوخ, القليوبية.",668964
خيام وتند ومظلات,الامين,"35 ش احمد الوكيل, دار السلام, القاهرة.",172818
خيام وتند ومظلات,الاندلسية,"110 ش ناهيا, بولاق الدكرور, الجيزة.",197685
خيام وتند ومظلات,الانوار المحمدية,"11 ش بدر متفرع من ش شجرة الدر, محرم بك, الاسكندرية.",22405
خيام وتند ومظلات,الايطالية,"130 ش الجمهورية, القلج, القليوبية.",419066
خيام وتند ومظلات,الايطالية للتند,"19 ش سامى البارودى, المعادى, القاهرة.",583201
خيام وتند ومظلات,الايمان,"ش فجر الاسلام متفرع من ش الريحانى, فيصل, الجيزة.",339393
خيام وتند ومظلات,الايمان,"ش مكة المكرمة المجاورة الاولى, الحى السابع, السادس من اكتوبر, الجيزة.",472290
خيام وتند ومظلات,البادية,"ش جمال عبد الناصر, الحرفيين, القاهرة.",370997
خيام وتند ومظلات,الباشا,"ش الداير الشرقى - حلوان البلد, حلوان, القاهرة.",326967
خيام وتند ومظلات,الباشا,"ش 15, المعصرة, القاهرة.",380233
خيام وتند ومظلات,البحيرى للتند,"12 ش محمد عبد الرحمن, متفرع من ش مسجد الرضا, عين شمس الشرقية, القاهرة.",653748
خيام وتند ومظلات,البربرى,"طريق باسوس, باسوس, القليوبية.",299383
خيام وتند ومظلات,البربرى واولاده,"7 ش مليكة, حدائق القبة, القاهرة.",11473
خيام وتند ومظلات,البركة,"ش عبد المنعم الجندى, البساتين, القاهرة.",337396
خيام وتند ومظلات,التابعى,"1 ش ابو العلا, العمرانية الغربية, الهرم, الجيزة.",415103
خيام وتند ومظلات,التحرير,"5 ش ابن زهير, الابراهيمية, الاسكندرية.",470586
خيام وتند ومظلات,التوفيقية الحديث,"80 ش التوفيقية, كوم الشقافة, الاسكندرية.",268569
خيام وتند ومظلات,الثعلب جروب,"6 عمارات الامداد والتموين, مدينة نصر, القاهرة.",161092
خيام وتند ومظلات,الجالى,"كم 40 - - قرية السراب, طريق مطروح اسكندرية الصحراوى, الساحل الشمالى.",397514
خيام وتند ومظلات,الجمهورية,"105 ش مصر والسودان, حدائق القبة, القاهرة.",180254
خيام وتند ومظلات,الجهاد,"كم 18 - طريق اسكندرية مطروح الصحراوى, ابو يوسف, الاسكندرية.",226796
خيام وتند ومظلات,الجهاد للفراشة,"22 ش حسن العربى - صفط اللبن, بولاق الدكرور, الجيزة.",587531
خيام وتند ومظلات,الجوكر,"ش سكة عبد الرازق, البساتين, القاهرة.",372559
