Category,Name,Address,ID
دكتور عيون,عساف للعيون والليزك,"52 ش ابو العتاهية, امتداد ش عباس العقاد, مدينة نصر, القاهرة.",396846
دكتور عيون,د. ايمن الغنيمى - استشارى عيون الاطفال والحول,"8 ش 153, ميدان الحرية, المعادى, القاهرة.",435895
دكتور عيون,مركز عناية العيون,"1 ش دمشق, متفرع من ميدان سوارس, المعادى, القاهرة.",96410
دكتور عيون,عيادة د. اسامة فاروق للعيون,"2 ش شعراوى تقاطع ش ابو قير, لوران, الاسكندرية.",213498
دكتور عيون,عيادة د. كرم كليم نجيب,"115 ش شبرا - الدور 2 شقة 5, شبرا, القاهرة.",591050
دكتور عيون,عيادة د. هالة على ابو غريب استشارى طب و جراحة العيون,"عمارة ج ش احمد شوقى, الدور 1, المدينة الطبية, مصطفى كامل, الاسكندرية.",236477
دكتور عيون,مستشفى دنيا العيون - د. ايهاب سعد عثمان,"6 ش التحرير, الدقى, الجيزة.",130431
دكتور عيون,احمد حسام عبد الله,"22 ش الغرفة التجارية, محطة الرمل, الاسكندرية.",29471
دكتور عيون,احمد سالم,"187 ش ملك حفنى, سيدى بشر, الاسكندرية.",35513
دكتور عيون,الحوفى كلينيك,"103 برج بانوراما الشرق - ش سيدى جابر - الدور 3, سيدى جابر الشيخ, الاسكندرية.",265163
دكتور عيون,الدولية للعدسات,"40 ش 265, المعادى الجديدة, المعادى, القاهرة.",114743
دكتور عيون,الرحاب كلينك للعيون والليزك,"المنطقة الادارية, مدينة الرحاب, القاهرة.",544994
دكتور عيون,العين كلينيك,"ميدان الجيزة, الجيزة, الجيزة.",591839
دكتور عيون,المجموعة المصرية للعيون,"1, الشقة 902, الدور 9, ميدان الحجاز, برج الصفا الطبى, المهندسين, الجيزة.",84556
دكتور عيون,المرزوق,"المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",623526
دكتور عيون,المركز الاستشارى للعيون وجراحات الشبكية والليزر - د. احمد لبيب,"القطعة 82 ش اخناتون, الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",358465
دكتور عيون,المركز التخصصى الدولى للعيون,"8 برج مراد الإدارى ش مراد, الدور 14,, الجيزة, الجيزة.",623204
دكتور عيون,المركز الدولى,"1 ميدان المطرية, الزيتون, القاهرة.",512292
دكتور عيون,المركز الدولى لطب العيون,"125 ش عبد العزيز فهمى, ميدان عثمان بن عفان, مصر الجديدة, القاهرة.",99167
دكتور عيون,المركز السويسرى للعيون,"اول ش شكور, داخل مول مصر - الدور الثالث - امام مطعم محمد احمد, محطة الرمل, الاسكندرية.",627086
دكتور عيون,المركز العربى للعيون,"21 ش المعهد الاشتراكى, روكسى, مصر الجديدة, القاهرة.",668400
دكتور عيون,المركز المصري للعيون,"14 عمارات حدائق رامو طريق النصر, الدور 2, تقاطع ش عمر بن الخطاب, مدينة نصر, القاهرة.",675321
دكتور عيون,المركز الملكى للعيون والليزك,"6 أ ش السباق, متفرع من ش الحجاز, مصر الجديدة, القاهرة.",389932
دكتور عيون,المستشفى الوطنى للعيون,", امتداد ش الثورة, الماظة, مصر الجديدة, القاهرة.",544675
