Category,Name,Address,ID
اتصالات ومعدات اتصال وخدمات,انظمة الاتصال المتقدمة - دى بى,"237 ش رمسيس, غمره, القاهرة.",16785
اتصالات ومعدات اتصال وخدمات,جا دبليو فريم للشبكات,"15 ش محمد مصطفى حمام, الشقة 8, الدور 3, مدينة نصر, القاهرة.",464543
اتصالات ومعدات اتصال وخدمات,الانظمة الذكية المؤمنة,"54 ش احمد فخرى, مدينة نصر, القاهرة.",134834
اتصالات ومعدات اتصال وخدمات,اليكوم,"582 طريق الحرية, الشقة 2, الدور 1, جليم, الاسكندرية.",186161
اتصالات ومعدات اتصال وخدمات,الشرق الاوسط للتجارة,"53 عمارات الفاروقية - عمارة ج3 ش جسر السويس, الشقة 20, النزهة, جسر السويس, القاهرة.",239876
اتصالات ومعدات اتصال وخدمات,جاما تيلكوم,"1 ش 258, المعادى الجديدة, المعادى, القاهرة.",413078
اتصالات ومعدات اتصال وخدمات,النور اتش بى ايجيبت للاحبار والطابعات,"21 ش ادريس راغب, متفرع من ش رمسيس, الظاهر, القاهرة.",145210
اتصالات ومعدات اتصال وخدمات,فيم للمقاولات وعموم التجارة,"6 ش المتحف الزراعى, الشقة 13, الدور 1, العجوزة, الجيزة.",69104
اتصالات ومعدات اتصال وخدمات,الدولية لانظمة التحكم,"8 ش محمود عصمت, متفرع من ش احمد اسماعيل, مساكن شيراتون, مصر الجديدة, القاهرة.",9305
اتصالات ومعدات اتصال وخدمات,الشركة الهندسية للنظم الكهربائية - الكتروسيس,"برج الملكة ش الفيومى, متفرع من شارع محمد فريد, بولكلى, الاسكندرية.",60902
اتصالات ومعدات اتصال وخدمات,راديو مصر للتجارة والهندسة,"91 عمارات الشباب الجنوبى , ميدان الشباب, التجمع الاول, القاهرة الجديدة, القاهرة.",174276
اتصالات ومعدات اتصال وخدمات,اكتوبس للحلول المتكاملة,"13 ش محطة شدس - الدور 6, زيزينيا, الاسكندرية.",582443
اتصالات ومعدات اتصال وخدمات,الحضارة للهندسة الالكترونية,"32 عمارات المهمات - ش امتداد رمسيس محطة المهمات - مدينة الصفا, مدينة نصر, القاهرة.",65643
اتصالات ومعدات اتصال وخدمات,الدولية للاتصالات اللاسلكية والانظمة الامنية,"2 عمارات المروة - , حلوان, القاهرة.",110961
اتصالات ومعدات اتصال وخدمات,الشركة المصرية للاجهزة المكتبية - وجدى عجيب,"72 مكرر ش الناصر, كوبرى القبة, القاهرة.",57462
اتصالات ومعدات اتصال وخدمات,الماسة للصيانة والاتصالات - باناسونيك,"خلف 58 ش جمال عبد الناصر, فيكتوريا, الاسكندرية.",584605
اتصالات ومعدات اتصال وخدمات,سمارت سيفتى,"111 ش المستشفى متفرع من ش فيصل, فيصل, الجيزة.",602701
اتصالات ومعدات اتصال وخدمات,فاير وول للمقاولات وانظمة الحريق,"49 ش نوبار, الشقة 604, الدور 6, باب اللوق, القاهرة.",567584
اتصالات ومعدات اتصال وخدمات,كريتيف انفورميشن تكنولوجى,"100 عمارات امتداد الامل طريق الاوتوستراد, المعادى, القاهرة.",603117
اتصالات ومعدات اتصال وخدمات,كورتك للانظمة الامنية,"16 د ش ولى العهد, حدائق القبة, القاهرة.",531285
اتصالات ومعدات اتصال وخدمات,مدى القابضة,"55 ش الاشجار - القطعة 8058, المقطم, القاهرة.",515906
اتصالات ومعدات اتصال وخدمات,011 للاتصالات,"بلوك 124 - مساكن دلتا 2 - ميدان الاسكندرية, مدينة السلام, القاهرة.",284073
اتصالات ومعدات اتصال وخدمات,25 يناير,"ش فتحى الموان, الطوابق, فيصل, الجيزة.",335610
اتصالات ومعدات اتصال وخدمات,3دبليو نتوركس مصر,"62 ش هارون الرشيد, مصر الجديدة, القاهرة.",239846
اتصالات ومعدات اتصال وخدمات,5 ستارز,"ش حسن البصرى, امبابة, الجيزة.",353378
اتصالات ومعدات اتصال وخدمات,ابانوب للاتصلات,"11 ش فاطمة الزهراء, المرج, القاهرة.",148980
