Category,Name,Address,ID
ستوديوهات تسجيل,100 كوبيز ميوزك سبيس,"5 ش قصر النيل, وسط البلد, القاهرة.",438516
ستوديوهات تسجيل,احمد كامل لتنفيذ الاعلان التليفزيونى وتنفيذ الفيلم التسجيلى,"7 عمارات الامداد والتموين - طريق النصر - الدور 5 شقة 54, مدينة نصر, القاهرة.",44048
ستوديوهات تسجيل,الجذور سنتر,"164 ِش 26 يوليو ميدان سفنكس, المهندسين, الجيزة.",196265
ستوديوهات تسجيل,الحكيم,"34 عمارات منتصر - ش فيصل, الطالبية, فيصل, الجيزة.",419493
ستوديوهات تسجيل,المدينة المنورة,"ش سعد زغلول, كفر الزيات, الغربية.",341675
ستوديوهات تسجيل,اليفن ميديا برودكشن,"111 ش306 - صقر قريش, المعادى الجديدة, المعادى, القاهرة.",544046
ستوديوهات تسجيل,اليفين ستوديو,"111 عمارات صقر قريش - ش 306, المعادى الجديدة, المعادى, القاهرة.",459109
ستوديوهات تسجيل,ام ساوند ستوديو,"6 ش على فهمى الزناتى, متفرع من ش هارون الرشيد, ميدان هليوبوليس, مصر الجديدة, القاهرة.",192700
ستوديوهات تسجيل,اووتس,"1 ش عبد الله بن عباس متفرع من ش الطيران, الحى السابع, مدينة نصر, القاهرة.",502976
ستوديوهات تسجيل,ايقاع للخدمات الموسيقية,"8 ش ذكى ابو السعود, العجوزة, الجيزة.",534152
ستوديوهات تسجيل,بلاتوه - المصرية العربية للاستديوهات,"6 ش محمد عزت, ارض الجولف, مصر الجديدة, القاهرة.",146715
ستوديوهات تسجيل,بلو ستوديو,"2 ب بلوك 81 - ش زكريا عثمان متفرع من ش ذاكر حسين, الحى الثامن, مدينة نصر, القاهرة.",582748
ستوديوهات تسجيل,بلو مانجو ستوديوز,"18 ش الشهيد محمد جمال الفقى, مصر الجديدة, القاهرة.",560004
ستوديوهات تسجيل,جراند ريكوردز,"4 ب برج الجوهرة - ش عبد الله - الدور 3, حلوان, القاهرة.",357090
ستوديوهات تسجيل,جود نيوز فور ستوديوز اند برودكشن,"30 ش هارون, الدقى, الجيزة.",66919
ستوديوهات تسجيل,جولدن كاسيت,"196 ش السودان, المهندسين, الجيزة.",56547
ستوديوهات تسجيل,دايمنشن مالتى ميديا,"فيلا 236 - - ارض المزاد, هضبة ام السيد, شرم الشيخ.",118013
ستوديوهات تسجيل,ديجيتال ساوند,"28 ش عدنان المدنى متفرع من ش احمد عرابى, المهندسين, الجيزة.",579153
ستوديوهات تسجيل,ديجيتال ماستر,"30 ش عدنان المدنى, المهندسين, الجيزة.",151049
ستوديوهات تسجيل,ديسبل للاجهزة والتجهيزات الصوتية والمرئية والاضاءة,"31 ش اسراء المعلمين، ميدان لبنان, المهندسين, الجيزة.",116130
ستوديوهات تسجيل,ذا جراج ساوند ستوديو,"22 ش محمد كامل مرسى متفرع من ش البطل احمد عبد العزيز - الدور 5 شقة 7, المهندسين, الجيزة.",586512
ستوديوهات تسجيل,ريل تايم,"18 ش معمل السكر, جاردن سيتى, القاهرة.",129891
ستوديوهات تسجيل,ساجد ستوديو,"18 ش المحمدى حويدق, الكوثر, الغردقة.",483862
ستوديوهات تسجيل,سبايس تايم ستوديو,"179 ش الحجاز, ميدان الحجاز, مصر الجديدة, القاهرة.",649607
ستوديوهات تسجيل,ستوديو ابراهيم رجب,"., الرياض, كفر الشيخ.",552265
ستوديوهات تسجيل,ستوديو اذاعة,"1 ش الطيار جاد الله - زنين, بولاق الدكرور, الجيزة.",589277
ستوديوهات تسجيل,ستوديو انصح شاب,"ش الجهاز, برج العرب, الاسكندرية.",656603
ستوديوهات تسجيل,ستوديو تيمة,"3 ش والى - الدور 1, كوبرى القبة, القاهرة.",217586
