Category,Name,Address,ID
لحام,المجموعة الفنية لتطوير الصناعات,"20 ش الجابرى, متفرع من ش ناصر الثورة, الهرم, الجيزة.",260492
لحام,مودرن تريدينج,"ش محمد حافظ, الاردنية, العاشر من رمضان, الشرقية.",580579
لحام,الرواد للتوريدات الصناعية واللحام - م. اميمة ايوب,"412 برج العدل ش جمال عبد الناصر, الدور 4, المندرة, الاسكندرية.",295765
لحام,سمارت تولز لتجارة العدد وقطع الغيار وادوات اللحام,"14 ش عرابى, التوفيقية, وسط البلد, القاهرة.",490360
لحام,مجموعة شركات سالم منطاوي للاستيراد والتوريدات,"الطريق البطئ, ميت حلفا, قليوب, القليوبية.",64189
لحام,مؤسسة توب ستارز,"9 ش دكرنس, ميدان تريومف, تريومف, مصر الجديدة, القاهرة.",577982
لحام,الشركة القومية الكترو - ارك,"9 ش سوق الحطب, بولاق, القاهرة.",13526
لحام,شركة وينر لمهمات اللحام,"6 ش نجيب الريحانى, وسط البلد, القاهرة.",470113
لحام,الشركة المصرية السويدية لاسلاك اللحام,"كم 23, طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",132394
لحام,مانومتريك لمعدات اللحام والمواد الاستهلاكية,"58 ش نجيب الريحانى, وسط البلد, القاهرة.",58052
لحام,الحسين للمعدات,"103 ش الجمهورية -, ميدان رمسيس, وسط البلد, القاهرة.",120390
لحام,مصنع الجندى للاسلاك - سعيد الجندى,"., طريق اسكندرية الزراعى, دمنهور, البحيرة.",603979
لحام,ادكو انترناشونال,"ش مصطفى كامل, المعمورة, الاسكندرية.",145015
لحام,مكتب المتوكل للتوريدات,"ش عرابى, وسط البلد, القاهرة.",695203
لحام,العربية للخراطة الميكانيكية وتشغيل وتشكيل المعادن,"14 ش مختار اباظة, المنطقة الصناعية, جسر السويس, القاهرة.",688496
لحام,الدقھلیة للصناعات الھندسیة,", المنطقة الصناعیة الثالثة A2, العاشر من رمضان, الشرقية.",672530
لحام,اتيك انترناشونال للخدمات البترولية ش.م.م,"49 عمارات المركز الرئيسى, الشقة 3, الدور 1, مدينة المعراج, زهراء المعادى, المعادى, القاهرة.",584968
