Category,Name,Address,ID
كاميرات مراقبة وانظمة امنية,انظمة الاتصال المتقدمة - دى بى,"237 ش رمسيس, غمره, القاهرة.",16785
كاميرات مراقبة وانظمة امنية,ايجلز انترناشيونال للانظمة الدفاعية,"القطعة السادسة - بلوك ب, المنطقة الحرة, ميناء ادبية, السويس.",450877
كاميرات مراقبة وانظمة امنية,هوم سكيور لمقاولات التيار الخفيف والحريق,"5 عمارات مصر للتعمير ش صلاح الدين, الهضبه الوسطى, المقطم, القاهرة.",621094
كاميرات مراقبة وانظمة امنية,الانظمة الذكية المؤمنة,"54 ش احمد فخرى, مدينة نصر, القاهرة.",134834
كاميرات مراقبة وانظمة امنية,الكوثر الخليج مصر,"10 ش محمد حسن بدران, متفرع من ش عباس العقاد, مدينة نصر, القاهرة.",489694
كاميرات مراقبة وانظمة امنية,الفاماتيك ابواب اوتوماتيكية,"15 ش احمد فهيم بيومى, مصر الجديدة, القاهرة.",341801
كاميرات مراقبة وانظمة امنية,فى اى بى لتكنولوجيا المعلومات وانظمة الامن,", مدينة السادات, المنوفية.",538293
كاميرات مراقبة وانظمة امنية,جولدن تكنولوجى - افايا,"ش الميثاق, برج الصفوة, زهراء مدينة نصر, مدينة نصر, القاهرة.",685996
كاميرات مراقبة وانظمة امنية,سما المعادى للامن وشئون البيئة,"16 عمارات العرائس, المعادى الجديدة, المعادى, القاهرة.",606481
كاميرات مراقبة وانظمة امنية,اليكوم,"582 طريق الحرية, الشقة 2, الدور 1, جليم, الاسكندرية.",186161
كاميرات مراقبة وانظمة امنية,باور للحلول الامنية - بى اس اس,"ش 14, القناطر الخيرية, القليوبية.",617257
كاميرات مراقبة وانظمة امنية,ال اس ايجيبت,"12 ش الربيع, المنطقة الاولى, مدينة نصر, القاهرة.",347888
كاميرات مراقبة وانظمة امنية,جى اس اس للخدمات الامنية,"43 شارع اسماعيل سرى, سموحة, الاسكندرية.",540943
كاميرات مراقبة وانظمة امنية,ان برووف,"54 ش المنتزه, مصر الجديدة, القاهرة.",689528
كاميرات مراقبة وانظمة امنية,تو ايه تكنولوجى للانظمة الامنية والتحكم الالى,"46 ش مسجد الهدايا, بولكلى, الاسكندرية.",687937
كاميرات مراقبة وانظمة امنية,نيوتك,"48 ش 9, الدور 1, ميدان النافورة, المقطم, القاهرة.",584324
كاميرات مراقبة وانظمة امنية,بلانت إكس,"2 ش احمد حشمت, الزمالك, القاهرة.",688532
كاميرات مراقبة وانظمة امنية,ميمكو - المصرية للاعمال الكهروميكانيكية والهندسية,"2 ش التسعين الشمالى, ووتر واى, التجمع الخامس, القاهرة الجديدة, القاهرة.",694386
كاميرات مراقبة وانظمة امنية,الرواد لانظمة المراقبة,"عمارة ب, الدور 1, الاردنية, العاشر من رمضان, الشرقية.",620702
كاميرات مراقبة وانظمة امنية,جارديان للانظمة الامنية,"برج الحرية ش 153, الشقة 125, الدور 12, ميدان الحرية, المعادى, القاهرة.",188289
كاميرات مراقبة وانظمة امنية,الدولية لانظمة التحكم,"8 ش محمود عصمت, متفرع من ش احمد اسماعيل, مساكن شيراتون, مصر الجديدة, القاهرة.",9305
كاميرات مراقبة وانظمة امنية,انجوم,"43 ش امين ابو زيد, الشقة 3, تقسيم الجمعية التعاونية, جسر السويس, القاهرة.",675368
كاميرات مراقبة وانظمة امنية,اليكس سيرفيس للأمن وخدمات الحراسة,"17 برج الشيماء ش دنشواى, سيدى جابر, الاسكندرية.",260069
كاميرات مراقبة وانظمة امنية,الشركة الهندسية للنظم الكهربائية - الكتروسيس,"برج الملكة ش الفيومى, متفرع من شارع محمد فريد, بولكلى, الاسكندرية.",60902
كاميرات مراقبة وانظمة امنية,راديو مصر للتجارة والهندسة,"91 عمارات الشباب الجنوبى , ميدان الشباب, التجمع الاول, القاهرة الجديدة, القاهرة.",174276
كاميرات مراقبة وانظمة امنية,هاى تكنولوجى اليكس,"20 ش ابراهيم نصير, متفرع من ش شعراوى, لوران, الاسكندرية.",627701
كاميرات مراقبة وانظمة امنية,الحضارة للهندسة الالكترونية,"32 عمارات المهمات - ش امتداد رمسيس محطة المهمات - مدينة الصفا, مدينة نصر, القاهرة.",65643
كاميرات مراقبة وانظمة امنية,الحياة سمارت هووم,"8 ش خالد بن يزيد متفرع من طريق الكورنيش, كليوباترا, الاسكندرية.",609219
كاميرات مراقبة وانظمة امنية,الماسة للصيانة والاتصالات - باناسونيك,"خلف 58 ش جمال عبد الناصر, فيكتوريا, الاسكندرية.",584605
كاميرات مراقبة وانظمة امنية,الهاشمية سيفتى ماكس,", الاردنية, العاشر من رمضان, الشرقية.",447449
كاميرات مراقبة وانظمة امنية,سمارت سيفتى,"111 ش المستشفى متفرع من ش فيصل, فيصل, الجيزة.",602701
كاميرات مراقبة وانظمة امنية,سيكيوريتى انوفيشن - اس اى,"54 ش المنتزه, مصر الجديدة, القاهرة.",586984
كاميرات مراقبة وانظمة امنية,شركة الفضل للتجارة والتوريدات العمومية,"القطعة 1155, الهضبة الوسطى - الحى الاول, المقطم, القاهرة.",598545
كاميرات مراقبة وانظمة امنية,شركة انظمة,"34 أ ش عبد الرحمن نصر, الزيتون, القاهرة.",475450
كاميرات مراقبة وانظمة امنية,شركة فايف ستارز سيرفيس للامن والحراسة ش . م . م,"242 ش الفتح, جناكليس, الاسكندرية.",113227
كاميرات مراقبة وانظمة امنية,فاير تك,"22 ش محمد المهدى, متفرع من ش عبيد, روض الفرج - كورنيش النيل, شبرا, القاهرة.",554175
كاميرات مراقبة وانظمة امنية,فاير وول للمقاولات وانظمة الحريق,"49 ش نوبار, الشقة 604, الدور 6, باب اللوق, القاهرة.",567584
كاميرات مراقبة وانظمة امنية,كريتيف انفورميشن تكنولوجى,"100 عمارات امتداد الامل طريق الاوتوستراد, المعادى, القاهرة.",603117
كاميرات مراقبة وانظمة امنية,كورتك للانظمة الامنية,"16 د ش ولى العهد, حدائق القبة, القاهرة.",531285
كاميرات مراقبة وانظمة امنية,كونتراك اف ام - ش.م.م.,"2005 كورنيش النيل, الدور 4, ابراج نايل سيتى - البرج الجنوبى, رملة بولاق, القاهرة.",181277
كاميرات مراقبة وانظمة امنية,24 سيفتى,", الحى الاول, مدينة العبور, القليوبية.",691933
كاميرات مراقبة وانظمة امنية,اب تريند ايجيبت,"244 - الاسكان العائلى 2, زيزينيا, القاهرة الجديدة, القاهرة.",583424
كاميرات مراقبة وانظمة امنية,ابانوب للكمبيوتر ونظم الحماية,"40 ش خالد بن الوليد متفرع من ش الجمهورية, اسيوط, اسيوط.",468590
كاميرات مراقبة وانظمة امنية,ابداع للانظمة الامنية,"ش الخمسين, جسر السويس, القاهرة.",456604
كاميرات مراقبة وانظمة امنية,ابليونا مصر لادارة المنشات,"7 أ برج دلة, كورنيش المعادى, المعادى, القاهرة.",171788
كاميرات مراقبة وانظمة امنية,ابناء عبد الفتاح خليل,"7 ش العباسية, عباسية, القاهرة.",217121
كاميرات مراقبة وانظمة امنية,ابو كامل للانظمة الامنية,"ش المطرى, ميدان سرور, دمياط, دمياط.",635591
كاميرات مراقبة وانظمة امنية,ابو يوسف لكاميرات المراقبة,"4 ش عبد الله امين, المنيب, الجيزة.",660509
كاميرات مراقبة وانظمة امنية,اتابكو سيرفيس,"37 عمارات مجلس الدفاع الوطنى -, كوبرى القبة, القاهرة.",2174
كاميرات مراقبة وانظمة امنية,اتش اس فيجن,"23 ش عبد السلام عارف, باب اللوق, القاهرة.",618328
كاميرات مراقبة وانظمة امنية,اتش ام جروب لكاميرات المراقبة وأنظمة الحماية,"23 ش محمد ابراهيم - الدور 1, المطبعة, فيصل, الجيزة.",606435
كاميرات مراقبة وانظمة امنية,اتش اى ايه لنظم المراقبة الرقمية,"5 ش نصر الدين - حى الاشجار, المنصورة, الدقهلية.",456776
كاميرات مراقبة وانظمة امنية,اتش دى للكاميرات,"29 ش 23 يوليو, الباجور, المنوفية.",556264
كاميرات مراقبة وانظمة امنية,اتش لوجيك,"4 ش ابو الفوارس, متفرع من ش الطيران, الحى السابع, مدينة نصر, القاهرة.",385795
كاميرات مراقبة وانظمة امنية,اتش لوجيك للامن الصناعى,"4 ش ابو الفوارس, متفرع من ش جعفر الصادق, الحى السابع, مدينة نصر, القاهرة.",350039
كاميرات مراقبة وانظمة امنية,اتش ليد,"ش نقابة المحاميين الجديدة متفرع من ش احمد عرابى, دمنهور, البحيرة.",311288
كاميرات مراقبة وانظمة امنية,اتقان لحلول الاعمال,"20 ش حلمى حسن على, متفرع من ش مصطفى النحاس, الحى الثامن, مدينة نصر, القاهرة.",294679
كاميرات مراقبة وانظمة امنية,اجهزة اتصالات العالمية - اى تى سى,"96 ش جسر السويس, روكسى, مصر الجديدة, القاهرة.",11017
كاميرات مراقبة وانظمة امنية,اجيتك - مصر للتجارة والخدمات الفنية,"2 ش الياسمين متفرع من طريق الصعيد الزراعى, البدرشين, الجيزة.",338584
كاميرات مراقبة وانظمة امنية,احد سرفيس,"4 ش لبنان, المهندسين, الجيزة.",58984
كاميرات مراقبة وانظمة امنية,احمس للتوريدات,"1 ش مصر والسودان, غمره, القاهرة.",402645
كاميرات مراقبة وانظمة امنية,اداء للانظمة الامنية,"طريق المريس ارمنط, قرية المريس, ارمنت, الاقصر.",634788
كاميرات مراقبة وانظمة امنية,ادس للانظمة الامنية وكاميرات المراقبة,"57 ش التعاون, الهرم, الجيزة.",577782
كاميرات مراقبة وانظمة امنية,ادم لكاميرات المراقية,"1 ش بدر, حدائق حلوان, القاهرة.",644741
كاميرات مراقبة وانظمة امنية,ادم للتوريدات,"ش الجسر البرانى, دار السلام, القاهرة.",670234
كاميرات مراقبة وانظمة امنية,ار تى ام تكنولوجى,"22 ش مصدق, الدقى, الجيزة.",614701
كاميرات مراقبة وانظمة امنية,ار جى بى,"ش حنا النميرى متفرع من ش المترو, عين شمس الشرقية, القاهرة.",618764
كاميرات مراقبة وانظمة امنية,اراباك - العربية لادارة العقارات,"54 ش محيى الدين ابو العز, الدقى, الجيزة.",155258
كاميرات مراقبة وانظمة امنية,ارت تكنولوجى,"9 ش على غيطة, الزيتون, القاهرة.",472418
كاميرات مراقبة وانظمة امنية,ارك ميك,"9 ش على بن ابى طالب, عين شمس الغربية, القاهرة.",540659
كاميرات مراقبة وانظمة امنية,ارميديا,"7 ش متولى نور - من ش الطيران , المنطقة الاولى, مدينة نصر, القاهرة.",190480
كاميرات مراقبة وانظمة امنية,أس -سمارت للانظمة الامنيه,"113 برج المحمود ش الملك فيصل, الدور 1, فيصل, الجيزة.",352431
كاميرات مراقبة وانظمة امنية,اس ام اس للامن,"13 ش البرازيل, الزمالك, القاهرة.",127836
كاميرات مراقبة وانظمة امنية,أس اى اس ايجيبت,"32 ش مصطفى النحاس, مدينة نصر, القاهرة.",688110
كاميرات مراقبة وانظمة امنية,اس اى اس للانظمة الالكترونية,"ش السنترال, الاردنية, العاشر من رمضان, الشرقية.",634759
كاميرات مراقبة وانظمة امنية,اس اى تك,"11 ش عبد الحميد عواد، موازى ش مكرم عبيد, مدينة نصر, القاهرة.",624526
كاميرات مراقبة وانظمة امنية,إس ايه إنترناشونال سرفيس,"2 ش صديق جاد, الطوابق, فيصل, الجيزة.",489868
كاميرات مراقبة وانظمة امنية,اس يو اس للحلول الامنية,"19 ش عبد السلام عارف, متفرع من ش باب اللوق, باب اللوق, القاهرة.",660993
كاميرات مراقبة وانظمة امنية,اساس للتوكيلات التجارية والتجارة العامة,"1 ش عين جالوت, مدينة نصر, القاهرة.",337707
كاميرات مراقبة وانظمة امنية,اساس للخدمات الامنية,"مساكن صقر قريش - عمارة رقم 55 - - الدور 1 شقة 3, المعادى الجديدة, المعادى, القاهرة.",406148
كاميرات مراقبة وانظمة امنية,استرايك فورث للامن والخدمات,"5 ب ش غرناطة, روكسى, مصر الجديدة, القاهرة.",349952
كاميرات مراقبة وانظمة امنية,اسراء للامن والحراسة,"3 ابراج المحمودية - ش ترعة الزمر - الدور 3, العمرانية الغربية, الهرم, الجيزة.",318432
كاميرات مراقبة وانظمة امنية,اسراء للامن والحراسة والخدمات المتكاملة,"ش الثلاثينى, الهرم, الجيزة.",149860
كاميرات مراقبة وانظمة امنية,اسكندرية الدولية لخدمات رجال الاعمال,"ش الشيخ ياسين, المنتزة, المنتزه, الاسكندرية.",442206
كاميرات مراقبة وانظمة امنية,اسكندرية للخدمات,"ميدان المساجد - المجمع الادارى, بحرى, الاسكندرية.",135106
كاميرات مراقبة وانظمة امنية,اسكوربيون لخدمات الامن والحراسة,"11 ش حسب النبى, متفرع من ش احمد كامل, الهرم, الجيزة.",59207
كاميرات مراقبة وانظمة امنية,اسكورت للامن والحراسة,"برج دريم بلس طريق سقارة السياحى, الشقة 14, الحرانية, الهرم, الجيزة.",385111
كاميرات مراقبة وانظمة امنية,اسلام لينك,"ش حسنى مبارك, نجع حمادى, قنا.",431770
كاميرات مراقبة وانظمة امنية,اسماعيلية سيرفيس للخدمات وتوريدات,"برج جندول السلام 2 - ش شبين الكوم, حى السلام, الاسماعيلية.",156197
كاميرات مراقبة وانظمة امنية,اسنت,"192 ش نصر الدين, بجوار نفق الجيزة, الهرم, الجيزة.",566533
كاميرات مراقبة وانظمة امنية,اسيت سيكيورتى,"3 ش ابراهيم ابو النجا امتداد ش عباس العقاد, الحى الثامن, مدينة نصر, القاهرة.",351396
كاميرات مراقبة وانظمة امنية,اسيكو مصر - الهندسية للانظمة المتقدمة,"ش ترعة كشمير - ابو زعبل, الخانكة, القليوبية.",517810
كاميرات مراقبة وانظمة امنية,افريكان هيلز,"16 ش يحيى شاهين, التعاون, الهرم, الجيزة.",643121
كاميرات مراقبة وانظمة امنية,اقرأ للانظمة الامنية,"ش الهوارى, متفرع من ش جيهان, المنصورة, الدقهلية.",673420
كاميرات مراقبة وانظمة امنية,اكاديمية امان مصر,"12 برج الشمس - ش سليم, فيصل, الجيزة.",436632
كاميرات مراقبة وانظمة امنية,اكتيف سيكيورتى,"7 مساكن ايجيكو, الشقة 44, الدور 5, القطامية, القاهرة.",580732
كاميرات مراقبة وانظمة امنية,اكتيف للاستيراد والتجارة,"3 ش منصور دياب, السبتية, القاهرة.",155931
كاميرات مراقبة وانظمة امنية,اكس او,"3 ش المرجان، ميدان العتبة, العتبة, القاهرة.",619960
كاميرات مراقبة وانظمة امنية,اكس ايجيبت,", كورنيش النيل, الوراق, الجيزة.",651903
كاميرات مراقبة وانظمة امنية,اكس تكنولوجى,"117 ش جمال عبد الناصر, سيدى بشر, الاسكندرية.",564013
كاميرات مراقبة وانظمة امنية,اكس زون,", ميدان شلبى, برج الاندلس, ارض شلبى, المنيا.",636615
كاميرات مراقبة وانظمة امنية,اكس سيكيورتى,"59 ش لبنان ميدان لبنان - الدور 1, المهندسين, الجيزة.",388668
كاميرات مراقبة وانظمة امنية,اكس ميشن,"ش الجلاء متفرع من ش كورنيش النيل, دمياط, دمياط.",219003
كاميرات مراقبة وانظمة امنية,اكسا للانظمة المتكاملة,"22 ش فيصل, المريوطية, فيصل, الجيزة.",582002
كاميرات مراقبة وانظمة امنية,اكسبرت اون كول للانظمة الامنية,"ش على مبارك, توريل, المنصورة, الدقهلية.",501276
كاميرات مراقبة وانظمة امنية,اكسبريس,"192 ميدان الاميرية, الاميرية, القاهرة.",534953
كاميرات مراقبة وانظمة امنية,اكسبريس ستورز,"18 ش البستان, باب اللوق, القاهرة.",559746
كاميرات مراقبة وانظمة امنية,اكسبريس لاين,"17 ش الشيخ فؤاد, تلا, المنوفية.",367790
كاميرات مراقبة وانظمة امنية,اكسبو ايجيبت,"17 ش الزهراء متفرع من ش السودان, الدقى, الجيزة.",19088
كاميرات مراقبة وانظمة امنية,اكيوريت للانظمة,"3 /6 الشطر السابع - متفرع من ش العروبة, المعادى الجديدة, المعادى, القاهرة.",463190
كاميرات مراقبة وانظمة امنية,ال سى اس للانظمة الامنية,", قرية سبك الضحاك, الباجور, المنوفية.",667600
كاميرات مراقبة وانظمة امنية,ال فاروق للانظمة الامنية,"45 ش بهاء الدين الغتورى, سموحة, الاسكندرية.",655304
كاميرات مراقبة وانظمة امنية,ال وجيه للشبكات والانظمة,"12 ش محمود سامى متفرع من ش الجلاء, المنصورة, الدقهلية.",130148
كاميرات مراقبة وانظمة امنية,ال يوسف,"16 ش عبد الحميد السيد, دار السلام, القاهرة.",456361
كاميرات مراقبة وانظمة امنية,الابرار لكاميرات المراقبة,"91 ش ناهيا - قرية المعتمدية, كرداسة, الجيزة.",556789
كاميرات مراقبة وانظمة امنية,الابيض كومب فوريو,"فيلا 175 - - حى البنفسج 7, التجمع الاول, القاهرة الجديدة, القاهرة.",117876
كاميرات مراقبة وانظمة امنية,الاتحاد الدولى للاتصالات,"8 ش مصطفى منصور متفرع من ش عبد المجيد سليم, كوبرى القبة, القاهرة.",449076
كاميرات مراقبة وانظمة امنية,الاتحاد للامن والحراسة,"82 ش مرتضى - برج الزراعيين - الدور 1, جناكليس, الاسكندرية.",455063
كاميرات مراقبة وانظمة امنية,الاخوة للامن والحراسة,"6, الشقة 9, الدور 1, حى الزهور, قويسنا, المنوفية.",445213
كاميرات مراقبة وانظمة امنية,الادهم للامن والحراسة,"12 ش على ادهم, مساكن شيراتون, مصر الجديدة, القاهرة.",409271
