Category,Name,Address,ID
صمامات ومحابس,بيترو للمواسير ومستلزماتها,"16 - 20 ش باغوش بك يوسف, متفرع من ش ابو الدردار, اللبان, الاسكندرية.",387295
صمامات ومحابس,شركة مكة ستيل,", مجمع الامل, السادس من اكتوبر, الجيزة.",693141
صمامات ومحابس,شركة الخليل للتوريدات,", المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",138161
صمامات ومحابس,الدلتا جروب للهندسة والتوكيلات,"26 أ برج المهندسين ش احمد حلمى, الشقة 701, الدور 8, شبرا, القاهرة.",57950
صمامات ومحابس,الوطنية للخدمات الصناعية والبترولية,"8 ش نجيب الريحانى, وسط البلد, القاهرة.",569302
صمامات ومحابس,راكتوس ايجيبت للخدمات الملاحية والهندسية,"عمارة بانوراما سموحة 1 ش 324 - تعاونيات سموحه - طريق المحمودية, سموحة, الاسكندرية.",585435
صمامات ومحابس,المؤسسة الدولية للتجارة والتوريدات - م. ايهاب احمد الجمال,"33 ش عرابى, الازبكية, وسط البلد, القاهرة.",649569
صمامات ومحابس,العامة لمهمات المصانع,"31 ش عرابى -, متفرع من ش رمسيس, وسط البلد, القاهرة.",295076
صمامات ومحابس,جابتيك للهندسة والتوريدات,"177 ش سامح جادو, الشقة 2, المنطقة السياحية السادسة, السادس من اكتوبر, الجيزة.",430213
صمامات ومحابس,المجد للخدمات الصناعية والبترولية,"83 ش رمسيس, التوفيقية, وسط البلد, القاهرة.",690505
صمامات ومحابس,تراينجل ايجيبت,"16 ش العراق, متفرع من ش شهاب, المهندسين, الجيزة.",65728
صمامات ومحابس,الاندلس بيمكس,"31 ش الفريق على عامر, متفرع من ش مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة.",3022
صمامات ومحابس,شركة المشروعات الهندسية - ابكو,"3 عمارات اطلس, مدينة نصر, القاهرة.",55225
صمامات ومحابس,حجازى للهندسة وتجارة الادوات الصحية,"34 ش لوساكا, متفرع من ش احمد فخرى, مدينة نصر, القاهرة.",61565
صمامات ومحابس,الشركة الهندسية للصمامات - فى اى سى,"القطعة 104, منطقة 800 فدان - الروبيكى - المنطقة الحرفية, مدينة بدر, القاهرة.",693615
صمامات ومحابس,شركة يونيكون الوكيل الحصرى لطلمبات ستاندرت ومحابس زيرن,"30 د ابراج سما الطريق الدائرى, المعادى, القاهرة.",394117
صمامات ومحابس,انترناشيونال للتجارة والتوريدات,"46, 44 ش السبتية, السبتية, القاهرة.",695045
صمامات ومحابس,كيان للمسبوكات المعدنية,", منطقة ابو زعبل الصناعية - منطقة العكرشة, ابو زعبل, القليوبية.",688784
صمامات ومحابس,شركة الصفا للتجارة,"613 ب طريق الحرية, زيزينيا, الاسكندرية.",20841
صمامات ومحابس,امداد للعمليات الصناعية,"28 ش احمد فخرى, مدينة نصر, القاهرة.",3343
صمامات ومحابس,تاسك افييشن,"61 ش ابو داوود الظاهرى, الشقة 9, الدور 5, متفرع من ش مكرم عبيد, مدينة نصر, القاهرة.",48705
صمامات ومحابس,شركة المستقبل للتجارة والتوريدات العمومية,"41 ش متولى عويس, السبتية, القاهرة.",694556
صمامات ومحابس,ار فى كيه لمحابس الزهر المرن,"113 ش السبتية, ميدان سيدى سعيد, السبتية, القاهرة.",693298
صمامات ومحابس,العالمية للكهروميكانيكا,"طريق القناطر الخيرية, القناطر الخيرية, القليوبية.",385594
صمامات ومحابس,ابو رواش للتجارة,"3 حارة شرف, السبتية, القاهرة.",424622
صمامات ومحابس,اتقان للتوريدات الكهربائية والميكانيكية,"المحور المركزى, المجاورة 12 - ميدان ليلة القدر, الحى السادس, السادس من اكتوبر, الجيزة.",531828
صمامات ومحابس,اجياد للتجارة,"40 ش السبتية, السبتية, القاهرة.",95750
صمامات ومحابس,اكسبيرت للاعمال الكهروميكانيكية,"5 ابراج صن رايز, حى السفارات, مدينة نصر, القاهرة.",688329
صمامات ومحابس,الاتحاد للتجارة,"28 ش جعفر, السبتية, القاهرة.",423403
صمامات ومحابس,الاتحاد للتجارة والتوريدات,"الحى 12, الحى 12, السادس من اكتوبر, الجيزة.",631674
صمامات ومحابس,الادهم للتجارة والتوريدات العمومية,"50 ش السبتية - مجمع المصريين, السبتية, القاهرة.",424543
صمامات ومحابس,الاسكندرية للهندسة والزراعة,"16 ش عمان, متفرع من ش محيى الدين ابو العز, الدقى, الجيزة.",159028
صمامات ومحابس,الاقصي للتجارة والتوريدات,"56 برج الشبراويشى ش السبتية, السبتية, القاهرة.",631675
صمامات ومحابس,الاهرام لمهمات المصانع,"58 ش السبتية, السبتية, القاهرة.",13378
صمامات ومحابس,الراعى للاستيراد والتصدير - اى جى,"34 ش الزهارالقللى, السبتية, القاهرة.",579260
صمامات ومحابس,الرى الحديث للتجارة والاستشارات,"3 ش ابن القاسم - الدور 1, رشدى, الاسكندرية.",285798
صمامات ومحابس,الريم للاستيراد والتصدير,"36 ش نجيب الريحانى, وسط البلد, القاهرة.",155924
صمامات ومحابس,الشرق الاوسط لتجارة المواسير والمحابس,"17 ش عزب القللى, السبتية, القاهرة.",178299
صمامات ومحابس,الشركة العربية للمحابس,"7 ش مهدى عبد المنعم, متفرع من ش الطيران, مدينة نصر, القاهرة.",9214
صمامات ومحابس,الشركة المصرية للعدد والقوالب - ايجى مولد,", المنطقة الصناعية الثالثة, العاشر من رمضان, الشرقية.",630987
صمامات ومحابس,الشركة الهندسية لتصنيع الكاوتشوك والتوريدات,"17 ب كم 28 - طريق القاهرة اسكندرية الصحراوى - المنطقة الصناعية, ابو رواش, الجيزة.",443965
صمامات ومحابس,الشندى لتصنيع محابس البوتاجاز,"طريق القبارى السريع - المنطقة الصناعية, المنشية الجديدة, الاسكندرية.",122931
صمامات ومحابس,الصفوة جروب,"27 ش ابن الحكم, حلمية الزيتون, القاهرة.",174009
صمامات ومحابس,الصناعات الهندسية للسباكة وتشغيل المعادن,"4 ش عبد الغنى رفاعى اول طريق القناطر الخيرية - الشرقاوية, شبرا الخيمة, القليوبية.",353405
صمامات ومحابس,العالمية للتجارة الداخلية,"28 ش حنا خليل, السبتية, القاهرة.",54878
صمامات ومحابس,العالمية للتوريدات العمومية والتوكيلات التجارية,"18 ش الشهيد صبحى فهمى, ارض الجولف, مصر الجديدة, القاهرة.",556805
صمامات ومحابس,المؤسسة الاهلية للتجارة والتوريدات,"30 ش عماد الدين, وسط البلد, القاهرة.",155607
صمامات ومحابس,المحبة لتجارة المحابس,"39 ش الزهار, السبتية, القاهرة.",628529
صمامات ومحابس,المستقبل لتجارة الفلانشات ومستلزمات الرى,", السبتية, القاهرة.",660688
صمامات ومحابس,المصرية لتجارة المحابس والمواسير,"3 ش عزب متفرع من ش المنصورى - القللى, السبتية, القاهرة.",186276
صمامات ومحابس,المصرية للنظم الهندسية - E. E. S,"13 ش بدر, متفرع من ش اديب معقد, السيوف شماعة, الاسكندرية.",631552
صمامات ومحابس,الملاك للاستيراد والتوريدات,"3 ش عزب متفرع من ش المنصورى - القللى, السبتية, القاهرة.",238022
صمامات ومحابس,ام سى اس العاشر من رمضان,"4 ش محمد حسن الجمل متفرع من ش عباس العقاد, المنطقة السادسة, مدينة نصر, القاهرة.",3067
صمامات ومحابس,انتراكونسلت,"22 ش الامام على متفرع من ميدان الاسماعيلية, ميدان الاسماعيلية, مصر الجديدة, القاهرة.",162102
