Category,Name,Address,ID
زهور صناعية,رامز تريدنج للورد والشجر الصناعى,"1 ش شريف, متفرع من ش المدينة المنورة, برج الزهراء, النزهة الجديدة, القاهرة.",627103
زهور صناعية,ابن وادى النيل للزهور الصناعية,"81 ش طوسون, شبرا, القاهرة.",431698
زهور صناعية,اتش فلاور,"10 ش بطرس غالى, روكسى, مصر الجديدة, القاهرة.",426096
زهور صناعية,الاسراء للورد,"2 حارة النشواتى, دمياط, دمياط.",505275
زهور صناعية,البيت بيتك,"., الدلنجات, البحيرة.",374643
زهور صناعية,الربوة للنباتات,"12 عمارات رئاسة الجمهورية - ش سوزان مبارك, الاميرية, القاهرة.",512840
زهور صناعية,السنى للزهور الصناعية,"67 ش المدرسة - عرب العيايدة, القلج, القليوبية.",515161
زهور صناعية,الشايب,"38 ش الجيش, قليوب, القليوبية.",477943
زهور صناعية,الشيخ للزهور الصناعية,"2 ش عبد الفتاح الحصاد - صفط اللبن, بولاق الدكرور, الجيزة.",587789
زهور صناعية,الشيماء,"ش المنشار, الرياض, كفر الشيخ.",365415
زهور صناعية,الفراعنة للزهور الصناعية,"17 ش الصفا والمروة, العياط, الجيزة.",614023
زهور صناعية,الفرسان للزهور الصناعية,"13, حارة المزين, العتبة, القاهرة.",208758
زهور صناعية,النخلة للاستيراد والتصدير,"ش شريف, متفرع من ش المدينة المنورة, مصر الجديدة, القاهرة.",689971
زهور صناعية,النزهة للزهور,"50 ش النزهة - العزبة الغربية, الحوامدية, الجيزة.",605278
زهور صناعية,الياسمين,"ش الطيار فكرى, امبابة, الجيزة.",377222
زهور صناعية,ام اف تريدنج,"84 ش مصدق, المهندسين, الجيزة.",451598
زهور صناعية,اوان الورد للزهور,"102 ش بورسعيد, الشهداء, المنوفية.",550352
زهور صناعية,اوت سايد ان,"2 عمارات الشركة السعودية ش النزهة, ارض الجولف, مصر الجديدة, القاهرة.",349015
زهور صناعية,بانش لمستلزمات الزهور,"برج زهرة يثرب, سموحة, الاسكندرية.",160321
زهور صناعية,بسملة,"ش سليم البشرى, دمنهور, البحيرة.",382438
زهور صناعية,تفاحة للزهور الصناعية,"5 ش جمال عبد الناصر, المنيب, الجيزة.",413847
زهور صناعية,جعوان,"ش سليم البشرى, دمنهور, البحيرة.",382049
زهور صناعية,جنة الزهور,"ش الاحرار, كوم حمادة, البحيرة.",371557
زهور صناعية,جنة الزهور,"40 ش الصناديلى, الجيزة, الجيزة.",459672
زهور صناعية,جو فلاور,"18 ش احمد حلمى, شبرا, القاهرة.",435085
زهور صناعية,جوليا فلاورز,"ش الجمهورية, بيلا, كفر الشيخ.",362856
زهور صناعية,حبيبة للزهور الصناعية,"1 ش السيد العبادى, الخصوص, القليوبية.",494321
زهور صناعية,حسام,"ش بورسعيد, ايتاى البارود, البحيرة.",370685
زهور صناعية,خضر للزهور الصناعية,"16 ش البيطاش, البيطاش, الاسكندرية.",430478
زهور صناعية,داى لوف,"3 أ ش حموده تقسيم فريد زكى, حدائق حلوان, القاهرة.",445090
زهور صناعية,دايزى للورود,"., الحى المتميز, السادس من اكتوبر, الجيزة.",439673
زهور صناعية,دهب للزهور الصناعية,"50 ش حسين رشدى, شبين القناطر, القليوبية.",517884
زهور صناعية,رؤى للزهور الصناعية,"1 ش المجلس متفرع من ش بورسعيد - سنتريس, اشمون, المنوفية.",569355
زهور صناعية,زهور الربيع,"37 ش جمال عبد الناصر - قرية المعتمدية, كرداسة, الجيزة.",553651
زهور صناعية,زهور السكرى,"18 ش هارون الرشيد, ميدان الجامع, مصر الجديدة, القاهرة.",680551
زهور صناعية,زهور العروسة للزهور الصناعية,"154 ش الخليل ابراهيم, عرب جسر السويس, جسر السويس, القاهرة.",657150
زهور صناعية,زهور تايلاند,"8 عمارات شباب المهندسين - طريق النصر, مدينة نصر, القاهرة.",462748
زهور صناعية,زهور حبيبة,"ش السوق, الرياض, كفر الشيخ.",365791
زهور صناعية,زهور فلة,"9 ش تقسيم البترول متفرع من ش النميس, اسيوط, اسيوط.",536806
زهور صناعية,زهور لوجين,"72 مساكن ساقية مكى - ش 6 اكتوبر, المنيب, الجيزة.",501772
زهور صناعية,سوق الامام,"ش عبد الجواد العشرى, كوم حمادة, البحيرة.",372122
زهور صناعية,سيد وشمس,"ش الامام العبد, الزاوية الحمراء, القاهرة.",410140
زهور صناعية,سيدار,"سوق المدينة, البدرشين, الجيزة.",583195
زهور صناعية,فرانكشتاين,"43 ش المراغى تقاطع ش راغب, حلوان, القاهرة.",384454
زهور صناعية,فكرتى فلاور,"2 كورنيش النيل - وراق الحضر, الوراق, الجيزة.",598607
زهور صناعية,فلورى للزهور والاشجار الصناعية,"21 ش اسكندرية, ميدان الجامع, مصر الجديدة, القاهرة.",655272
زهور صناعية,كرنفال رحمة للزهور,"., الحى السادس, السادس من اكتوبر, الجيزة.",437631
زهور صناعية,لا فى,"45 ش متحف المطرية - النعام, عين شمس الشرقية, القاهرة.",540792
زهور صناعية,لاروز,"45 ش لبنان, المهندسين, الجيزة.",4594
زهور صناعية,لو بوكيه,"المرحلة الثالثة, مدينة الرحاب, القاهرة.",165769
زهور صناعية,مشتل الشافعى,"3 ميدان الملكة زبيدة, المهندسين, الجيزة.",463780
زهور صناعية,مكة للزهور الصناعية,"42 ش عطية, شبرا, القاهرة.",100143
زهور صناعية,موكا فلاورز,"2 ش مسجد التوحيد, فيصل, الجيزة.",684004
زهور صناعية,وعد,"ش الصحافة, الحوامدية, الجيزة.",373938
