Category,Name,Address,ID
ادارات المرور,ادارة المرور - 6 اكتوبر,"المحور المركزى - ميدان فودافون, الحى السادس, السادس من اكتوبر, الجيزة.",225202
ادارات المرور,ادارة المرور - 6 اكتوبر,"كم 21 -, العجمى, الاسكندرية.",225887
ادارات المرور,ادارة المرور - ابشواى,"ش ابو جنشو, ابشواى, الفيوم.",239879
ادارات المرور,ادارة المرور - ابو تيج,"ش النيل, ابو تيج, اسيوط.",239890
ادارات المرور,ادارة المرور - ابو حماد,"قرية العزازى, ابو حماد, الشرقية.",239760
ادارات المرور,ادارة المرور - ابو رديس,"ابو رديس, جنوب سيناء, شرم الشيخ.",239904
ادارات المرور,ادارة المرور - ابو قرقاص,"امتداد ش الجمهورية, ابو قرقاص, المنيا.",239887
ادارات المرور,ادارة المرور - ابو كبير,"منشية صالح, ابو كبير, الشرقية.",389859
ادارات المرور,ادارة المرور - ادفو,"ش السلايمة, ادفو, اسوان.",239897
ادارات المرور,ادارة المرور - اسنا,"قرية الدير, اسنا, الاقصر.",389863
ادارات المرور,ادارة المرور - اسوان,"ش السيل, السيل شرق, اسوان.",239896
ادارات المرور,ادارة المرور - اسيوط,"., اسيوط, اسيوط.",239888
ادارات المرور,ادارة المرور - اشمون,"ش عبد المنعم رياض, اشمون, المنوفية.",239549
ادارات المرور,ادارة المرور - اطسا,"ش عمر بن الخطاب, اطسا, الفيوم.",389989
ادارات المرور,ادارة المرور - الاسكندرية,"ش 14 مايو, سموحة, الاسكندرية.",225638
ادارات المرور,ادارة المرور - الاسماعيلية,"., الشيخ زايد, الاسماعيلية.",239828
ادارات المرور,ادارة المرور - الاقصر,", نجع الخطبة, الاقصر, الاقصر.",389862
ادارات المرور,ادارة المرور - الباجور,"ش النجيلة, الباجور, المنوفية.",239541
ادارات المرور,ادارة المرور - البساتين,"طريق الاوتوستراد, البساتين, القاهرة.",390876
ادارات المرور,ادارة المرور - التبين,"., التبين, القاهرة.",390878
ادارات المرور,ادارة المرور - التل الكبير 1,"., التل الكبير, الاسماعيلية.",239843
ادارات المرور,ادارة المرور - الجزيرة,"كورنيش النيل, رملة بولاق, القاهرة.",390887
ادارات المرور,ادارة المرور - الجمارك,"., منطقة المطار, مصر الجديدة, القاهرة.",225170
ادارات المرور,ادارة المرور - الحامول,"ش المرور, الحامول, كفر الشيخ.",239586
ادارات المرور,ادارة المرور - الحسينية,"منشية بشارة, الحسينية, الشرقية.",389843
ادارات المرور,ادارة المرور - الحمام,"ش امن الدولة, الحمام, الساحل الشمالى.",239576
ادارات المرور,ادارة المرور - الخارجة,"ش جمال عبد الناصر, الخارجة, الوادى الجديد.",239893
ادارات المرور,ادارة المرور - الخانكة,"ش المرور متفرع من ش المستشفى المركزى, الخانكة, القليوبية.",225405
ادارات المرور,ادارة المرور - الداخلة,"., الداخلة, الوادى الجديد.",239894
ادارات المرور,ادارة المرور - الدراسة,"ش المرور, الدراسة, القاهرة.",120793
ادارات المرور,ادارة المرور - الدقى,"طريق الواحات, السادس من اكتوبر, الجيزة.",225178
ادارات المرور,ادارة المرور - الزقازيق,"ش النقراشى, الزقازيق, الشرقية.",239751
ادارات المرور,ادارة المرور - السلوم,"., السلوم, مرسى مطروح.",239572
ادارات المرور,ادارة المرور - السنبلاوين,"ش السلخانة, السنبلاوين, الدقهلية.",239737
ادارات المرور,ادارة المرور - السويس,"ش 24 اكتوبر, مدينة 24 اكتوبر, السويس.",239822
ادارات المرور,ادارة المرور - الصف,"زرزارة, الصف, الجيزة.",225398
ادارات المرور,ادارة المرور - الطور,"., الطور, جنوب سيناء.",239903
ادارات المرور,ادارة المرور - العاشر من رمضان,"المجاورة 13, العاشر من رمضان, الشرقية.",239759
ادارات المرور,ادارة المرور - العتبة,"ش على الكسار, الازبكية, القاهرة.",225057
ادارات المرور,ادارة المرور - العجوزة,"ش السودان, المهندسين, الجيزة.",225201
ادارات المرور,ادارة المرور - العريش,", ضاحية السلام, العريش, شمال سيناء.",239844
ادارات المرور,ادارة المرور - العوايد,"ش جميلة بوحريد, العوايد, الاسكندرية.",225893
ادارات المرور,ادارة المرور - الغردقة,"., الدهار, الغردقة.",239899
ادارات المرور,ادارة المرور - الفرافرة,"., الفرافرة, الوادى الجديد.",239895
ادارات المرور,ادارة المرور - القصير,"حى الامل, وسط البلد, القصير.",239901
ادارات المرور,ادارة المرور - القطاع العام,"ش جمال سالم, امتدا ش عبد العربى, الحى السابع, مدينة نصر, القاهرة.",390879
ادارات المرور,ادارة المرور - القناطر الخيرية,"شلقان, القناطر الخيرية, القليوبية.",225816
ادارات المرور,ادارة المرور - القوات المسلحة,"كم 4.5 -, طريق القاهرة السويس, القاهرة.",436162
ادارات المرور,ادارة المرور - القوصية,"ش المستشفى, القوصية, اسيوط.",239889
ادارات المرور,ادارة المرور - الكوثر,"., الكوثر, سوهاج.",239892
ادارات المرور,ادارة المرور - المحلة الكبرى,"منشية مبارك, المحلة الكبرى, الغربية.",239522
ادارات المرور,ادارة المرور - المنزلة,"ش المرور, المنزلة, الدقهلية.",239595
ادارات المرور,ادارة المرور - المنصورة,"ش عبد السلام عارف, المنصورة, الدقهلية.",239591
ادارات المرور,ادارة المرور - المنيا,"., المنيا الجديدة, المنيا.",390618
ادارات المرور,ادارة المرور - النزهة,"امتداد ش عبد الحميد بدوى, مساكن شيراتون, مصر الجديدة, القاهرة.",257204
ادارات المرور,ادارة المرور - النقل العام,"ش بورسعيد, الزاوية الحمراء, القاهرة.",390885
ادارات المرور,ادارة المرور - الوايلى,"ميدان العباسية, عباسية, القاهرة.",225056
ادارات المرور,ادارة المرور - الوسطى,"ش المستشفى العام, الوسطى, بنى سويف.",239882
ادارات المرور,ادارة المرور - اهناسيا,"ش المرور, اهناسيا المدينة, بنى سويف.",239883
ادارات المرور,ادارة المرور - بئر العبد,"ش مجلس المدينة, بئر العبد, شمال سيناء.",239857
ادارات المرور,ادارة المرور - ببا,"ش الابراهيمية, ببا, بنى سويف.",389972
ادارات المرور,ادارة المرور - بركة السبع,"., بركة السبع, المنوفية.",239552
ادارات المرور,ادارة المرور - بلبيس,"ش الهويس, بلبيس, الشرقية.",239756
ادارات المرور,ادارة المرور - بلقاس,"ش ابو رجيلة, بلقاس, الدقهلية.",239742
ادارات المرور,ادارة المرور - بنها,"ش ادارة المرور متفرع من ش الشهيد فريد ندا - كفر السراى, بنها, القليوبية.",225208
ادارات المرور,ادارة المرور - بنى سويف,", قرية بياض العرب, بنى سويف, بنى سويف.",239881
ادارات المرور,ادارة المرور - بنى مزار,"., بنى مزار, المنيا.",390620
ادارات المرور,ادارة المرور - بور فؤاد,"ش العباس بن عبد المطلب متفرع من ش الشعراوى, بور فؤاد, بور سعيد.",239817
ادارات المرور,ادارة المرور - بورسعيد,"ش 23 ديسمبر, حى الزهور, بور سعيد.",239814
ادارات المرور,ادارة المرور - بولاق,"., بولاق, القاهرة.",225062
ادارات المرور,ادارة المرور - جرجا,"ش اسيوط سوهاج, جرجا, سوهاج.",389982
ادارات المرور,ادارة المرور - حدائق القبة,"ميدان الحدائق, حدائق القبة, القاهرة.",225811
ادارات المرور,ادارة المرور - حلوان,"ش عمر بن عبد العزيز - عرب راشد, حلوان, القاهرة.",390886
ادارات المرور,ادارة المرور - خدمات الشرطة,"ش المرور, الدراسة, القاهرة.",390894
ادارات المرور,ادارة المرور - دسوق,"طريق فوه, دسوق, كفر الشيخ.",239589
ادارات المرور,ادارة المرور - دكرنس,", عزبة ابو سليمان, دكرنس, الدقهلية.",239730
ادارات المرور,ادارة المرور - دمنهور,"مدينة النصر, دمنهور, البحيرة.",239555
ادارات المرور,ادارة المرور - دمياط,"الاعصر, دمياط, دمياط.",239577
ادارات المرور,ادارة المرور - دمياط الجديدة,"المنطقة الصناعية, دمياط الجديدة, دمياط.",239578
ادارات المرور,ادارة المرور - ديرب نجم,"ش المرور, ديرب نجم, الشرقية.",239767
ادارات المرور,ادارة المرور - رأس غارب,"., رأس غارب, البحر الاحمر.",389975
ادارات المرور,ادارة المرور - رشيد,", ميدان الجمهورية, رشيد(روسيتا), البحيرة.",239563
ادارات المرور,ادارة المرور - رفح,"طريق رفح العام, رفح, شمال سيناء.",239855
ادارات المرور,ادارة المرور - زفتا,"ش الجيش, زفتى, الغربية.",239532
ادارات المرور,ادارة المرور - ساملوط,"طريق شوشة, سمالوط, المنيا.",239886
ادارات المرور,ادارة المرور - سفاجا,"., جزيرة سفاجا, سفاجا.",239900
ادارات المرور,ادارة المرور - سنورس,"., سنورس, الفيوم.",389987
ادارات المرور,ادارة المرور - سوهاج,"ش المخبز الالى, سوهاج, سوهاج.",389980
ادارات المرور,ادارة المرور - سيدى سالم,"منشية على, سيدى سالم, كفر الشيخ.",390559
ادارات المرور,ادارة المرور - شبرا,"., شبرا, القاهرة.",225058
ادارات المرور,ادارة المرور - شبرا الخيمة,"ش ابو الخير - دمنهور, شبرا الخيمة, القليوبية.",225400
ادارات المرور,ادارة المرور - شبين القناطر,"مساكن الوكلاء -, شبين القناطر, القليوبية.",225805
ادارات المرور,ادارة المرور - شبين الكوم,"ش طلعت حرب, شبين الكوم, المنوفية.",239529
ادارات المرور,ادارة المرور - شربين,"ش مجلس المدينة, شربين, الدقهلية.",239748
ادارات المرور,ادارة المرور - طابا,"., وسط البلد, طابا.",390703
ادارات المرور,ادارة المرور - طامية,"72 طريق مصر الفيوم, طامية, الفيوم.",239880
ادارات المرور,ادارة المرور - طنطا,", سبرباى, طنطا, الغربية.",239516
ادارات المرور,ادارة المرور - طهطا,"ش الجيش, طهطا, سوهاج.",239891
ادارات المرور,ادارة المرور - طوخ,"., طوخ, القليوبية.",225408
ادارات المرور,ادارة المرور - عين الصيرة,"ش صلاح سالم, عين الصيرة, القاهرة.",225060
ادارات المرور,ادارة المرور - فاقوس,"كوبرى الوحدة, فاقوس, الشرقية.",239763
ادارات المرور,ادارة المرور - فايد,"طريق اسماعيلية السويس الصحراوى, فايد, الاسماعيلية.",239839
