Category,Name,Address,ID
مديريات الطب البيطري,الادارة البيطرية - القاهرة الجديدة,"2 عمارات المستقبل 1 -, التجمع الثالث, القاهرة الجديدة, القاهرة.",314983
مديريات الطب البيطري,الادارة البيطرية - القوصية,"طريق مصر اسيوط, القوصية, اسيوط.",356147
مديريات الطب البيطري,الادارة البيطرية - قليوب,"ش الوحدة الزراعية, قليوب, القليوبية.",67608
مديريات الطب البيطري,مديرية الطب البيطرى - 6 اكتوبر,"3 ش ترعة الزمر نصر الدين, الهرم, الجيزة.",230306
مديريات الطب البيطري,مديرية الطب البيطرى - اسوان,"ش السماد, وسط البلد, اسوان.",234687
مديريات الطب البيطري,مديرية الطب البيطرى - اسيوط,"ش الجلاء - منطقة شركة فريال, حى شرق, اسيوط.",234545
مديريات الطب البيطري,مديرية الطب البيطرى - الاسكندرية,"1 ش حسين فهمى ميدان الشهداء, العطارين, الاسكندرية.",230299
مديريات الطب البيطري,مديرية الطب البيطرى - الاسماعيلية,"ش صلاح سالم - معسكر الجلاء, حى الافرنج, الاسماعيلية.",234540
مديريات الطب البيطري,مديرية الطب البيطرى - الاقصر,"ش خالد بن الوليد - العوامية, الاقصر, الاقصر.",234555
مديريات الطب البيطري,مديرية الطب البيطرى - البحر الاحمر,"ش المصالح الحكومية, وسط البلد, الغردقة.",234688
مديريات الطب البيطري,مديرية الطب البيطرى - البحيرة,"طريق القاهرة اسكندرية الزراعى, دمنهور, البحيرة.",234539
مديريات الطب البيطري,مديرية الطب البيطرى - الجيزة,"3 ش ترعة الزمر نصر الدين, الهرم, الجيزة.",230302
مديريات الطب البيطري,مديرية الطب البيطرى - الدقهلية,"ش الجمهورية, المنصورة, الدقهلية.",234532
مديريات الطب البيطري,مديرية الطب البيطرى - السويس,"مساكن الغريب - ش الخضر, بور توفيق, السويس.",234530
مديريات الطب البيطري,مديرية الطب البيطرى - الشرقية,"ش اللواء عبد العزيز على, الزقازيق, الشرقية.",234533
مديريات الطب البيطري,مديرية الطب البيطرى - الغربية,"الطريق السريع, طنطا, الغربية.",234535
مديريات الطب البيطري,مديرية الطب البيطرى - الفيوم,"., دلة, الفيوم.",234543
مديريات الطب البيطري,مديرية الطب البيطرى - القاهرة,"2 ش جبرة ظريفة, عين الصيرة, القاهرة.",230296
مديريات الطب البيطري,مديرية الطب البيطرى - القليوبية,"حى الزهور, بنها, القليوبية.",230301
مديريات الطب البيطري,مديرية الطب البيطرى - المنوفية,"ش حسنى مبارك - البر الشرقى, شبين الكوم, المنوفية.",234537
مديريات الطب البيطري,مديرية الطب البيطرى - المنيا,"الطريق الزراعى, وسط البلد, المنيا.",234544
مديريات الطب البيطري,مديرية الطب البيطرى - الوادى الجديد,"ش الفندق, الخارجة, الوادى الجديد.",234550
مديريات الطب البيطري,مديرية الطب البيطرى - بنى سويف,"ش بورسعيد, بنى سويف, بنى سويف.",234541
مديريات الطب البيطري,مديرية الطب البيطرى - بورسعيد,"ش محمد على, حى المناخ, بور سعيد.",234527
مديريات الطب البيطري,مديرية الطب البيطرى - جنوب سيناء,"ش الازهر, الطور, جنوب سيناء.",234690
مديريات الطب البيطري,مديرية الطب البيطرى - حلوان,"77 ش جمال عبد الناصر, حدائق حلوان, القاهرة.",230308
مديريات الطب البيطري,مديرية الطب البيطرى - دمياط,"غيط النصارى, دمياط, دمياط.",234531
مديريات الطب البيطري,مديرية الطب البيطرى - سوهاج,"ش الارقم, حى شرق, سوهاج.",234546
مديريات الطب البيطري,مديرية الطب البيطرى - شمال سيناء,"., العريش, شمال سيناء.",234553
مديريات الطب البيطري,مديرية الطب البيطرى - قنا,"ش الشيخ محسن , وسط البلد, قنا.",234547
مديريات الطب البيطري,مديرية الطب البيطرى - كفر الشيخ,"ش صنعاء, وسط البلد, كفر الشيخ.",234534
مديريات الطب البيطري,مديرية الطب البيطرى - مرسى مطروح,"ش الريفية, وسط البلد, مرسى مطروح.",234552
