Category,Name,Address,ID
محلات فراخ,25 يناير,"ش بين المزارع, البساتين, القاهرة.",372248
محلات فراخ,ابانوب لتجارة البيض,"100 ش العشرين, عين شمس الشرقية, القاهرة.",623058
محلات فراخ,ابن البلد,"10 ش عين شمس - النعام, عين شمس, القاهرة.",478483
محلات فراخ,ابن الحتة,"32 ش الخليفة, السيدة زينب, القاهرة.",407755
محلات فراخ,ابن سينا للدواجن,"ش 23 يوليو, بسيون, الغربية.",347671
محلات فراخ,ابناء الصف,"ش فايدة كامل, البساتين, القاهرة.",337158
محلات فراخ,ابناء سوهاج,"25 مساكن اطلس -, مدينة السلام, القاهرة.",389244
محلات فراخ,ابناء سوهاج لتجارة الطيور,"9 ش حبشى منصور, متفرع من ش احمد عصمت, عين شمس الشرقية, القاهرة.",651857
محلات فراخ,ابو ابراهيم للدواجن,"41 ش عبد العظيم مسعود, زهراء عين شمس, عين شمس, القاهرة.",650402
محلات فراخ,ابو احمد لتجارة البيض,"ش سيد محمد عبد الله, العمرانية الغربية, الهرم, الجيزة.",306915
محلات فراخ,ابو اسلام للدواجن,"ش منشية السلام, دكرنس, الدقهلية.",671483
محلات فراخ,ابو السعد,"., الحى 11, السادس من اكتوبر, الجيزة.",358082
محلات فراخ,ابو انس,"ش المحكمة, كفر الزيات, الغربية.",343564
محلات فراخ,ابو ايه للدواجن,"ش مكة المكرمة المجاورة الاولى, الحى السابع, السادس من اكتوبر, الجيزة.",438400
محلات فراخ,ابو اية للطيور,"المجاورة الرابعة, الحى المتميز, السادس من اكتوبر, الجيزة.",485746
محلات فراخ,ابو جلال,"ش ابو بكر الصديق, طوخ, القليوبية.",316176
محلات فراخ,ابو جمال البيطار,"ش محمد فريد متفرع من ش سعد زغلول, كفر الزيات, الغربية.",342447
محلات فراخ,ابو حبيبة,"ش خالد بن الوليد, عزبة الهجانة, مدينة نصر, القاهرة.",309659
محلات فراخ,ابو حنين للطيور,"ش ترعة زنين, بولاق الدكرور, الجيزة.",442309
محلات فراخ,ابو زكريا للطيور,"57 ش شهداء الثورة, مدينة نصر, القاهرة.",443040
محلات فراخ,ابو سيف,"33 ش ابراهيم الدسوقى, شبرا الخيمة, القليوبية.",410691
محلات فراخ,ابو شهد الفيومى,"ش فتحى الموان, الطوابق, فيصل, الجيزة.",335561
محلات فراخ,ابو عبد الرحمن,"62 مساكن الجيزة -, القطامية, القاهرة.",328975
محلات فراخ,ابو عمار,"ش رشاح عبد اللاه, كرداسة, الجيزة.",301720
محلات فراخ,ابو غالى للدواجن,"19 ش منية السرج, شبرا, القاهرة.",231103
محلات فراخ,ابو فارس,"ش الثورة, بيلا, كفر الشيخ.",364026
محلات فراخ,ابو فرح,"50 ش السوق, القطامية, القاهرة.",328325
محلات فراخ,ابو كلوب,"ش رأفت الطهطاوى, الحرفيين, القاهرة.",373987
محلات فراخ,ابو ماهر للدواجن,"96 ش ترعة عبد العال 1 - صفط اللبن, بولاق الدكرور, الجيزة.",578922
محلات فراخ,ابو محمد الفيومى,"., الحى الاول, السادس من اكتوبر, الجيزة.",357157
محلات فراخ,ابو محمد للطيور,"ش جامع فلفل, امبابة, الجيزة.",387677
محلات فراخ,ابو ياسين,"ش العنبرى, الدرب الاحمر, القاهرة.",381535
محلات فراخ,ابو يوسف لتجارة البيض,"5 ش رفعت متفرع من ش ربيع الجيزى, الجيزة, الجيزة.",243087
محلات فراخ,ابو يوسف للطيور,"35 عمارات صقر قريش, مساكن شيراتون, مصر الجديدة, القاهرة.",679924
محلات فراخ,ابو يوسف للطيور,"14 ش سيدى جابر, الجيزة, الجيزة.",432983
محلات فراخ,احباب الله,"32 ش مصطفى نصار متفرع من ش ابو الفتوح عبد الله, عين شمس الشرقية, القاهرة.",477249
محلات فراخ,احباب المصطفى للدواجن,"42 بلوك 111 ش ابراهيم ابو النجا, حى السفارات, مدينة نصر, القاهرة.",686203
محلات فراخ,احلى فرخة للطيور,"6 ش محمد رضا, تقسيم الجمعية, حدائق المعادى, المعادى, القاهرة.",673873
محلات فراخ,احمد اللمبى,"48 ش الكردى, السيدة عائشة, القاهرة.",367327
محلات فراخ,احمد عبد الدايم للطيور,"ش المتيت, بسيون, الغربية.",348371
محلات فراخ,ارزاق الدواجن,"ش عبد الحميد مكى, حدائق المعادى, المعادى, القاهرة.",411037
محلات فراخ,ارنوب شو,"ش سوق الاثنين, منيا القمح, الشرقية.",324278
محلات فراخ,اسامة,"76 ش 34, امبابة, الجيزة.",263600
محلات فراخ,اسواق الدكتور للطيور,"1 ش حامد سليم, متفرع من ش عبد الحميد مكى, حدائق المعادى, المعادى, القاهرة.",681488
محلات فراخ,اشرف للطيور,"ش بسطا, دار السلام, القاهرة.",334673
محلات فراخ,اضواء المدينة,"62 ش بدر الونائى, السيدة عائشة, القاهرة.",327863
محلات فراخ,ال امبابى للطيور,"27 ش شمال سيناء 2, متفرع من ش الخمسين, زهراء المعادى, المعادى, القاهرة.",679088
محلات فراخ,آل امبابى للطيور,"41, تقسيم الرقابة الادارية, زهراء المعادى, المعادى, القاهرة.",680426
محلات فراخ,ال ياسر للطيور,"ش الناصر محمد, امبروزو, الاسكندرية.",257584
محلات فراخ,ال يحيى للطيور,"المجاورة الثانية, الحى 11, السادس من اكتوبر, الجيزة.",437832
محلات فراخ,الاخلاص,"ش حامد نافع, البساتين, القاهرة.",337239
محلات فراخ,الاخلاص,"ش شهداء التحرير, عزبة الهجانة, مدينة نصر, القاهرة.",309746
محلات فراخ,الاخلاص,"ش شهداء التحرير, عزبة الهجانة, مدينة نصر, القاهرة.",309783
