Category,Name,Address,ID
مستلزمات طبية,برفكت كيميكال,"قطعة 6175, المنطقة الصناعية السادسة, مدينة السادات, المنوفية.",689330
مستلزمات طبية,الصفوة للاجهزة والمستلزمات الطبية,"22 ش شامبليون, الازاريطة, الاسكندرية.",615250
مستلزمات طبية,ناس كير للتوريدات,"القطعة 2102 ش الارقم بن ابى الارقم, المعراج, المعادى الجديدة, المعادى, القاهرة.",692820
مستلزمات طبية,شركة الفؤاد للمستلزمات والاجهزة الطبية,"خلف 18 ش كلية الطب, محطة الرمل, الاسكندرية.",203936
مستلزمات طبية,فيلو فارم للتوريدات العمومية,"طريق كفر داوود, هناجر الجيش - منطقة المطورين, مدينة السادات, المنوفية.",690118
مستلزمات طبية,أجيال للمستلزمات الطبيه,"8 ش كليه الطب, الازاريطة, الاسكندرية.",688286
مستلزمات طبية,ميديكال ماركت للمستلزمات والاجهزة الطبية,"4 ش شامبليون, الازاريطة, الاسكندرية.",688425
مستلزمات طبية,ابن سينا للمستلزمات الطبية,"ش التكوين المهنى, متفرع من ش التليفزيون, الاقصر, الاقصر.",96331
مستلزمات طبية,ابو حسين للمستلزمات الطبية,"16 ش البستان الفاضل, قصر العينى, القاهرة.",207930
مستلزمات طبية,ابو شقة للمستلزمات الطبية,"51 ش قصر العينى, قصر العينى, القاهرة.",176385
مستلزمات طبية,اتش ايه ميديكال,"23 ش ترعة الخشاب, متفرع من كورنيش النيل, حدائق حلوان, القاهرة.",675495
مستلزمات طبية,اتش للمستلزمات الطبية,"1 ش ناجى عيسى الطماوى, الحى التاسع, مدينة نصر, القاهرة.",673829
مستلزمات طبية,ادفانسيد كير للمستلزمات الطبية,"2 خلف عمارات العبور, مدينة نصر, القاهرة.",594858
مستلزمات طبية,اسكو تكنولوجى للمستلزمات الطبية,"1 ش سعد اللبان, وراق الحضر, الوراق, الجيزة.",598539
مستلزمات طبية,اكتوبر للمستلزمات الطبية,"1071 كورنيش النيل, جاردن سيتى, القاهرة.",286827
مستلزمات طبية,اكما - الشركة العربية للمستلزمات الطبية,"القطعة الثامنة, المجاورة الثالثة, المنطقة الصناعية A1, العاشر من رمضان, الشرقية.",188515
