Category,Name,Address,ID
شبكات كمبيوتر,جا دبليو فريم للشبكات,"15 ش محمد مصطفى حمام, الشقة 8, الدور 3, مدينة نصر, القاهرة.",464543
شبكات كمبيوتر,فى اى بى لتكنولوجيا المعلومات وانظمة الامن,", مدينة السادات, المنوفية.",538293
شبكات كمبيوتر,اي نيتورك سوليوشنز,"196 ش سامح جادو, الحى السادس, السادس من اكتوبر, الجيزة.",484874
شبكات كمبيوتر,جولدن تكنولوجى - افايا,"ش الميثاق, برج الصفوة, زهراء مدينة نصر, مدينة نصر, القاهرة.",685996
شبكات كمبيوتر,باور للحلول الامنية - بى اس اس,"ش 14, القناطر الخيرية, القليوبية.",617257
شبكات كمبيوتر,تو ايه تكنولوجى للانظمة الامنية والتحكم الالى,"46 ش مسجد الهدايا, بولكلى, الاسكندرية.",687937
شبكات كمبيوتر,فيم للمقاولات وعموم التجارة,"6 ش المتحف الزراعى, الشقة 13, الدور 1, العجوزة, الجيزة.",69104
شبكات كمبيوتر,تكنولوجيا الشبكات الحديثة,"34 ش احمد يحيى, الدور 15, زيزينيا, الاسكندرية.",39977
شبكات كمبيوتر,اب لينك,"المحور المركزى, السادس من اكتوبر, الجيزة.",621137
شبكات كمبيوتر,اتس فور نت ورك سولوشينز,"15 ش نابلس متفرع من ش شهاب - الدور 6 شقة 12, المهندسين, الجيزة.",506169
شبكات كمبيوتر,اتش ام ار او,"223 ش الجمهورية متفرع من طريق كفر طهرمس, فيصل, الجيزة.",456377
شبكات كمبيوتر,اتش تى تكنولوجى,"ش ابو بكر الصديقالاردنية – مركز المدينة, العاشر من رمضان, الشرقية.",621718
شبكات كمبيوتر,اجيال للخدمات الهندسية,"19 ش على عامر متفرع من ش مكرم عبيد, مدينة نصر, القاهرة.",544063
شبكات كمبيوتر,اد تك,"28 ب عمارات نيركو -, زهراء المعادى, المعادى, القاهرة.",133432
شبكات كمبيوتر,ادفانسيد تكنولوجيز - ايه تى سى,"7 ش افريقيا امتداد ش مصطفى النحاس, مدينة نصر, القاهرة.",500555
شبكات كمبيوتر,ار تى اى,"5 ش الشهيد محمود قطب, ارض الجولف, مصر الجديدة, القاهرة.",62697
شبكات كمبيوتر,اربين تكنولوجى,"ش سعد زغلول, البر الشرقى, شبين الكوم, المنوفية.",666717
شبكات كمبيوتر,ارتقاء,"ش الجلاء, طنطا, الغربية.",294395
شبكات كمبيوتر,ارتك,"2 ش محمود حجازى متفرع من ش جميلة بوحريد - الدور 1, السيوف شماعة, الاسكندرية.",219295
شبكات كمبيوتر,اركان للحلول المتكاملة,"38 برج العلياء - كورنيش النيل - الدور 18, المعادى, القاهرة.",109226
شبكات كمبيوتر,اركس ايجيبت,"20 ش محور السادات - الحى الاول, مدينة العبور, القليوبية.",433888
شبكات كمبيوتر,اريبا,"بلوك 10 - فيلا 1, حى السفارات, مدينة نصر, القاهرة.",687408
شبكات كمبيوتر,اس ان اس - الشركة المصرية لخدمات الشبكات وتأمين المعلومات,"24 ش رفاعة متفرع من ميدان المساحة, الدقى, الجيزة.",283199
