Category,Name,Address,ID
مصنعون مشروبات,يونايتد مصر للاستثمارات التجارية والصناعية - شنايدر,"93 ش حسن رضوان, طنطا, الغربية.",121856
مصنعون مشروبات,الندى للصناعات الغذائية,"القطعة 15 - بلوك 15, المنطقة الصناعية الثانية, دمياط الجديدة, دمياط.",466734
مصنعون مشروبات,ميمكو للمشروبات والاغذية - سبيرو سباتس,"6 مربع 1183 - مربع الوزراء, مساكن شيراتون, مصر الجديدة, القاهرة.",670434
مصنعون مشروبات,الوفاء للصناعات الغذائية,"القطعة 17 - بلوك 20017, المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",366722
مصنعون مشروبات,ابو النجا للصناعات الغذائية الحديثة,"ش العروبة - المنطقة الصناعية B2, العاشر من رمضان, الشرقية.",768
مصنعون مشروبات,ابو زيد للاستيراد والتصدير,"17 ش مجلس الشعب, ميدان لاظوغلى, لاظوغلى, القاهرة.",629746
مصنعون مشروبات,احمد ابو هاشم,"ش التحرير, ابو كبير, الشرقية.",329525
مصنعون مشروبات,الابحر,"11 ش الترعة السلطوحية, المرج, القاهرة.",479698
مصنعون مشروبات,الاسكندرانى للتوريدات,"81 ابراج المريوطية -, المريوطية, الهرم, الجيزة.",262078
مصنعون مشروبات,الاهرام لتصنيع المولت,"المنطقة الصناعية الرابعة, السادس من اكتوبر, الجيزة.",142716
مصنعون مشروبات,الاهرام للمشروبات,"القطعة 11 - بلوك 12003 - - المنطقة الصناعية أ, مدينة العبور, القليوبية.",5093
مصنعون مشروبات,الباشا للصناعات الغذائية,"الطريق السريع, طنطا, الغربية.",212108
مصنعون مشروبات,التحرير للمشروبات,"52 ش التحرير - زنين, بولاق الدكرور, الجيزة.",589401
مصنعون مشروبات,الحاج عبد المنعم شرف,"7 ش ترعة الزمر - برطس, اوسيم, الجيزة.",592274
مصنعون مشروبات,الحاج عثمان,"5 ش محمد الامير, المطرية, القاهرة.",456538
مصنعون مشروبات,الحرافيش للمشروبات,"2 ش ترعة عبد العال 1 - صفط اللبن, بولاق الدكرور, الجيزة.",576556
مصنعون مشروبات,السعودى,"5 ش البصراوى - المنيرة الشرقية, امبابة, الجيزة.",578484
مصنعون مشروبات,الشرق الاوسط للخدمات,"16 ش اسماء فهمى, الشقة 1, كلية البنات, مصر الجديدة, القاهرة.",187848
مصنعون مشروبات,الشركة العربية الفرنسية للمشروبات,"المجاورة الثانية - المنطقة الصناعية, مدينة 15 مايو, القاهرة.",611585
