Category,Name,Address,ID
بلاط,البلتاجى للمقاولات والتجارة,"1 ش فاطمة الزهراء, متفرع من ش شكرى القوتلى, المحلة الكبرى, الغربية.",115592
بلاط,يونى كريت - حلمى عبد الرؤوف,"127 ش البساتين العمومى, البساتين, القاهرة.",250074
بلاط,رتاج للمنتجات الاسمنتية,"2 ابراج الشركة العالمية (ابراج عزيز ميخائيل), الدور 2, المحور المركزى, السادس من اكتوبر, الجيزة.",21862
بلاط,السيسى للبلاط الالى,"كورنيش النيل, رشيد(روسيتا), البحيرة.",246411
بلاط,الصوفى للبلاط الالى - احمد وياسين,"66 عمارات امتداد رمسيس 2, الشقة 2, الدور 1, مدينة نصر, القاهرة.",2617
بلاط,مصنع بلاط هرموش,"كم 17, امتداد ش جسر السويس - المنطقة الصناعية, طريق مصر الاسماعيلية الصحراوى, القاهرة.",4308
بلاط,تامكريت لانتاج الانترلوك والبلوك,"طريق الخلاطة - الكبرى القبلى, ابو رواش, الجيزة.",510741
بلاط,ابو المكارم,"18 ش منشية التحرير, عين شمس, القاهرة.",322526
بلاط,ابو بكر للبلاط,"ش عبد الله الشرقاوى - مركز القرين, الزقازيق, الشرقية.",120653
بلاط,ابو عضمة,"ش الجمهورية, اوسيم, الجيزة.",350819
بلاط,احمد جاد محمد,"72 ش جمال عبد الناصر, حدائق حلوان, القاهرة.",243893
بلاط,الاخلاص 2 للسيراميك,"مساكن العياط - بلوك 20 - ش شكرى القواتلى, العياط, الجيزة.",612597
بلاط,الامانة,"ش الشيخ عامر, المسلة, الفيوم.",338257
بلاط,الامل للبلاط,"7 ش كمال صدقى, الخصوص, القليوبية.",494470
بلاط,الجزار للسيراميك,"., بنها الجديدة, القليوبية.",447337
بلاط,الجمهورية,"34 ش ترعة السواحل, امبابة, الجيزة.",262610
بلاط,الحاج حسن عبد الباقى,"منشأة عبد الله, وسط البلد, الفيوم.",325710
بلاط,الحداد للسيراميك,"101 ش ترعة البطحة, منوف, المنوفية.",573560
بلاط,الحرم للتوريدات العمومية ومستلزمات ومواد البناء,"4 ش نشأت, متفرع من ش بسام الشريف, الهرم, الجيزة.",640024
بلاط,الحرية للبلاط,"135 ش الترعة البولاقية, شبرا, القاهرة.",232054
بلاط,الحسن,"ش الجيش, دمنهور, البحيرة.",361737
بلاط,الحمد للبلاط,"4 ش محمد ربيع - وراق العرب, الوراق, الجيزة.",594011
بلاط,الخليج للبلاط,"ش سماحة, سمنود, الغربية.",262659
بلاط,الدولية لصناعة مواد البناء,"طريق انشاص - المنطقة الصناعية, بلبيس, الشرقية.",232762
بلاط,الراعى,"3 ش الجنينة - حدائق شبرا, شبرا, القاهرة.",27074
بلاط,الرواد للسيراميك,"60 طريق الباجور - سنتريس, اشمون, المنوفية.",567380
بلاط,الروضة للمقاولات,"10 ش محمد ابراهيم, الزيتون, القاهرة.",534595
بلاط,الشرق للبلاط,"ش الجيش, النمسا, السويس.",298200
بلاط,الشركة الثلاثية للتجارة والمقاولات,"10 ش الجيش امتداد ش الجزائر - المنطقة الصناعية, البساتين, القاهرة.",182616
بلاط,الشركة المصرية الجديدة للبلاط,"قطعة 76 - - المنطقة الصناعية 6أ, العاشر من رمضان, الشرقية.",154725
بلاط,الشركة الهندسية للمنتجات الخرسانية - تكنو كريت,"22 ش هارون, الدقى, الجيزة.",18432
بلاط,الشنب لتكنولوجيا المنتجات الاسمنتية,"1 ش كامل عودة متفرع من ش عثمان محرم, الهرم, الجيزة.",471426
بلاط,الشهير للبلاط,"القطعة 99 - ش 80 - المنطقة الصناعية الاولى, السادس من اكتوبر, الجيزة.",189461
بلاط,الشورى للبلاط,"كم 24 طريق اسكندرية مطروح الصحراوى, ابو تلات, الساحل الشمالى.",410628
بلاط,الشيخ,"منشأة عبد الله, وسط البلد, الفيوم.",325712
بلاط,الصفرواى جروب للسيراميك,"27 طريق الباجور - سنتريس, اشمون, المنوفية.",567445
بلاط,الطوخى للسيراميك,"23 ش بورسعيد, الباجور, المنوفية.",559073
بلاط,العالمية بدر,"18 ش الشون ميدان المحطة, بلبيس, الشرقية.",576721
بلاط,العالمية للسيراميك والادوات الصحية,"., مدينة الشروق, القاهرة.",198648
