Category,Name,Address,ID
معارض سيارات جديدة,خالد عبود اوتوموتيف,"28 ش عبد الرازق السنهورى, الحى السادس, مدينة نصر, القاهرة.",688027
معارض سيارات جديدة,كريزى كار,"24 ش الزهور, مساكن شيراتون, مصر الجديدة, القاهرة.",676430
معارض سيارات جديدة,تاكى كار لتعليم قيادة السيارات,"56 ش النزهة, السبع عمارات, مصر الجديدة, القاهرة.",538555
معارض سيارات جديدة,عالم السيارات .نت,"3 برج بدر, مدينة زهور المعادى, المعادى الجديدة, المعادى, القاهرة.",143152
معارض سيارات جديدة,25 يناير,"5 ش المصنع - حى 47 عمارة, تقسيم 2, كفر الشيخ.",346141
معارض سيارات جديدة,3 ايه - الشركة العربية للتجارة والتوكيلات,"ش الجمهورية, حى الافرنج, الاسماعيلية.",176607
معارض سيارات جديدة,7 ناينتى تو لتجارة السيارات,"39 عمارات رابعة الاستثمارى - , مدينة نصر, القاهرة.",597686
معارض سيارات جديدة,اباظة اوتو تريد,"6 ش مختار اباظة, امتداد ش جسر السويس, المنطقة الصناعية الثانية, جسر السويس, القاهرة.",156888
معارض سيارات جديدة,اباظة نمبر 1 للسيارات,"43 ش الجاحظ, الحى السابع, مدينة نصر, القاهرة.",181890
معارض سيارات جديدة,ابن الغالى موتورز,"15 ش 15 مايو, شبرا الخيمة, القليوبية.",476191
معارض سيارات جديدة,ابناء السعيد شحاتة لتجارة السيارات,"54 ش بطرس, طنطا, الغربية.",112813
معارض سيارات جديدة,ابناء فلسطين,"1 ش فيليب حنا, عين شمس, القاهرة.",421046
معارض سيارات جديدة,ابو الذهب لتجارة السيارات,"55 ش مؤسسة الزكاة, المرج, القاهرة.",480060
معارض سيارات جديدة,ابو الطيب لتجارة السيارات,"151 ش مؤسسة الزكاة, المرج, القاهرة.",341396
معارض سيارات جديدة,ابو العباس موتورز,"ش النجار - حى القومية, الزقازيق, الشرقية.",287138
معارض سيارات جديدة,ابو العز اوتوموتيف,"71 ابراج عثمان ش مصطفى النحاس, الحى السادس, مدينة نصر, القاهرة.",121470
معارض سيارات جديدة,ابو العز موتورز,"المجاورة الثامنة - المنطقة الخدمية, الحى الرابع, السادس من اكتوبر, الجيزة.",484462
معارض سيارات جديدة,ابو النجا لتجارة السيارات,"17 ش اسماعيل القبانى, الحى السادس, مدينة نصر, القاهرة.",669172
معارض سيارات جديدة,ابو النجا للسيارات,"50 ش ترعة السواحل - قرية جزيرة محمد, الوراق, الجيزة.",598683
معارض سيارات جديدة,ابو اية لتجارة السيارات,"9 ش المهاجرين, المرج, القاهرة.",479856
معارض سيارات جديدة,ابو بكر الصديق للسيارات,"3 ش جمال عبد الناصر, الحوامدية, الجيزة.",647668
معارض سيارات جديدة,ابو حتة اوتوموتيف,"116 ش مصر والسودان, حدائق القبة, القاهرة.",133168
معارض سيارات جديدة,ابو حته للسيارات,"طريق النصر, الدهار, الغردقة.",141429
معارض سيارات جديدة,ابو حديدة لتجارة السيارات,"97 امتداد ش طلعت حرب, شبين الكوم, المنوفية.",535850
معارض سيارات جديدة,ابو خلف الله موتورز,"طريق الزقازيق الاسماعيلية, الزقازيق, الشرقية.",502849
معارض سيارات جديدة,ابو خميس لتجارة السيارات,"486 ش جمال عبد الناصر, العصافرة بحرى, الاسكندرية.",149978
معارض سيارات جديدة,ابو رامى لتجارة السيارات,"بلوك 14 - مساكن المطار - ش المطار - المنيرة الغربية, امبابة, الجيزة.",574644
معارض سيارات جديدة,ابو ربيع لتجارة السيارات,"3 ش سيد سعد, النزهة الجديدة, القاهرة.",442591
معارض سيارات جديدة,ابو رجيلة لتجارة السيارات,"1726 ش مدرسة البارون, الهضبة الوسطى - الحى الاول, المقطم, القاهرة.",641217
معارض سيارات جديدة,ابو رحاب لتجارة السيارات,"149 ش ترعة الزمر, المنيب, الجيزة.",659230
معارض سيارات جديدة,ابو رفاعى للتجارة,"ش المعاهدة, طلخا, الدقهلية.",109003
معارض سيارات جديدة,ابو ستة لتجارة السيارات,"23 ش محمد نجيب, المرج, القاهرة.",561989
معارض سيارات جديدة,ابو سمرة للسيارات,"46 ش سوريا, تقاطع ش دمشق, المهندسين, الجيزة.",52366
معارض سيارات جديدة,ابو سيف,"2 ش مؤسسة الزكاة, المرج, القاهرة.",306141
معارض سيارات جديدة,ابو سيف لتجارة السيارات,"305 ش ترعة الجبل, الزيتون, القاهرة.",511418
معارض سيارات جديدة,ابو سيف للسيارات,"32 ش حسن ابراهيم, جسر السويس, القاهرة.",322260
معارض سيارات جديدة,ابو شادى موتورز,"- البر الشرقى, شبين الكوم, المنوفية.",227956
معارض سيارات جديدة,ابو شروق,"ش محطة المياه - قرية الزيدية, اوسيم, الجيزة.",350694
معارض سيارات جديدة,ابو صبيحة لتجارة السيارات,"33 طريق بنها السادات, الباجور, المنوفية.",555871
معارض سيارات جديدة,ابو صقر كار,"36 مساكن السوايسة -, حدائق القبة, القاهرة.",401463
معارض سيارات جديدة,ابو على لتجارة السيارات,"46 ش كمال الشاذلى - ش الجيش سابقا, الباجور, المنوفية.",558446
معارض سيارات جديدة,ابو عمار لتجارة السيارات,"64 ش عمر بن الخطاب, مدينة قباء, القاهرة.",479428
معارض سيارات جديدة,ابو عمرو,"10 ش جامعة الدول العربية, المنصورة, الدقهلية.",279029
معارض سيارات جديدة,ابو غالى اوتوموتيف,"القطعة 1, المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",74027
معارض سيارات جديدة,ابو غالى موتورز,"كم 28 طريق مصر اسماعيلية الصحراوى, مدينة العبور, القليوبية.",10367
معارض سيارات جديدة,ابو كامل,"طريق المريوطية, المريوطية, فيصل, الجيزة.",162287
معارض سيارات جديدة,ابو نوفل لتجارة السيارات,"58 ش العاشر من رمضان, قليوب, القليوبية.",527282
معارض سيارات جديدة,ابو هيثم,"ش محمد عبده, الحادقة, الفيوم.",329578
معارض سيارات جديدة,اتوموبيل الحجاز,"331 طريق الحرية, سيدى جابر, الاسكندرية.",57251
معارض سيارات جديدة,اتوموبيل الحجاز,"ش د. طلبة عويضة, الزقازيق, الشرقية.",142275
معارض سيارات جديدة,اتون لتجارة السيارات,"196 ش شركات البترول, الزاوية الحمراء, القاهرة.",565869
معارض سيارات جديدة,اتيك - الشركة العربية للتجارة والتأمين,"37 ش الترولى, المطرية, القاهرة.",4244
معارض سيارات جديدة,احمد بهجت لتجارة السيارات,"26 أ عمارات الشركة الكويتية -, المعادى الجديدة, المعادى, القاهرة.",225882
معارض سيارات جديدة,احمد رضا مصيلحى,"72 ش باحثة البادية متفرع من كورنيش النيل, شبرا, القاهرة.",154018
معارض سيارات جديدة,احمد سليم,"99 - مشروع 103, الحى السادس, السادس من اكتوبر, الجيزة.",439047
معارض سيارات جديدة,احمد صلاح لتجارة السيارات,", الحى السويسرى أ - عمارة 7, الحى العاشر, مدينة نصر, القاهرة.",677196
معارض سيارات جديدة,احمد كار,"114 ش على مشرفة, دمياط, دمياط.",503975
معارض سيارات جديدة,احمد موتورز,"167 ش الهرم, الكوم الاخضر, الهرم, الجيزة.",146890
معارض سيارات جديدة,احمد موتورز,"ش الترعة - برج الرضا, المنصورة, الدقهلية.",149030
معارض سيارات جديدة,اخوان بودى,"7 ش ستوديو مصر, المريوطية, الهرم, الجيزة.",67136
معارض سيارات جديدة,اخوان زيتون لتجارة السيارات,"33 ابراج الياسمين ش فيصل, فيصل, الجيزة.",61950
معارض سيارات جديدة,اخوان مقار,"1 ش التحرير, الدقى, الجيزة.",62918
معارض سيارات جديدة,ادفانسد اميريكان اوتو,"50 ش محيى الدين ابو العز, المهندسين, الجيزة.",133033
معارض سيارات جديدة,ادهم كار لتجارة السيارات,"31 ش ترعة التل - اتريب, بنها الجديدة, القليوبية.",520638
معارض سيارات جديدة,ادهم موتورز,"19 ش قاسم - النعام, عين شمس, القاهرة.",478511
معارض سيارات جديدة,ار بى ام ارابيا,", ., السادس من اكتوبر, الجيزة.",634317
معارض سيارات جديدة,اريج موتورز,"88 ش حسن المأمون, المنطقة السادسة, مدينة نصر, القاهرة.",191071
معارض سيارات جديدة,اسامة محمد محمود يوسف للسيارات,"ش الشبان المسلمينسور جمعية الشبان المسلمين - محل 63, بنها الجديدة, القليوبية.",520547
معارض سيارات جديدة,اسامة موتورز,"4 ش ابن شجاع, الازاريطة, الاسكندرية.",210211
معارض سيارات جديدة,اسكندرية للتجارة والتوزيع,"426 ش جمال عبد الناصر, المندرة البحرية, الاسكندرية.",186169
معارض سيارات جديدة,اسلام للسيارات,"15 ش العراق متفرع من ش شهاب, المهندسين, الجيزة.",157864
معارض سيارات جديدة,اسلام موتورز,"المحور المركزى, الحى الثالث, السادس من اكتوبر, الجيزة.",436690
معارض سيارات جديدة,اسيوط للمبيعات,"102 ش مصطفى النحاس, المنطقة السادسة, مدينة نصر, القاهرة.",199201
معارض سيارات جديدة,اشرف الدهب,"401 ش السودان, المهندسين, الجيزة.",463778
معارض سيارات جديدة,اشرف عبد الظاهر لتجارة السيارات,"1 ش احمد عبد الظاهر, شبرا الخيمة, القليوبية.",478436
معارض سيارات جديدة,اشرف عزوز,"ش اشرف الخلق متفرع من ش السودان, المهندسين, الجيزة.",383669
معارض سيارات جديدة,اشرف للسيارات,"304 ش بورسعيد, سيدى جابر الشيخ, الاسكندرية.",234930
معارض سيارات جديدة,اصول موتورز,"الحى الثالث, السادس من اكتوبر, الجيزة.",152262
معارض سيارات جديدة,اف ار تى للسيارات,"ش عبد السلام عبيد, متفرع من ش اللبينى, فيصل, الجيزة.",693827
معارض سيارات جديدة,اكرامى موتورز,"7 ش المقريزى, منشية البكرى, مصر الجديدة, القاهرة.",11057
معارض سيارات جديدة,اكس موتورز لتجارة السيارات,"16 ش محمد فريد ابو حديد, مدينة نصر, القاهرة.",668328
معارض سيارات جديدة,اكس وان,"26 ش امين الشمس, مصر الجديدة, القاهرة.",422538
معارض سيارات جديدة,اكسبريس موتورز,"10 عمارات حدائق رامو - ش عمر بن الخطاب, مدينة نصر, القاهرة.",118052
معارض سيارات جديدة,ال امون لتجارة السيارات,"طريق المريوطية, الهرم, الجيزة.",156391
معارض سيارات جديدة,ال جودة لتجارة السيارات,"94 ش الوحدة, امبابة, الجيزة.",570214
معارض سيارات جديدة,ال حمام لتجارة السيارات,"10, 11, 12 ش بورسعيد, حى السويس, السويس.",147631
معارض سيارات جديدة,ال فايد موتورز,"2 ش على فايد - مدينة عامر, بولاق الدكرور, الجيزة.",589998
معارض سيارات جديدة,ال كامل للسيارات,"113 ش منشية الجمل, الزاوية الحمراء, القاهرة.",218270
معارض سيارات جديدة,ال نصر لتجارة السيارات,"99 ش جسر البحر, الساحل, القاهرة.",434025
معارض سيارات جديدة,الابرار للتجارة,"92 - تعاونيات سموحة, سموحة, الاسكندرية.",191045
معارض سيارات جديدة,الابونيه اوتوموتيف,"75 ش د. حسن الشريف امتداد ش حسن المأمون, مدينة نصر, القاهرة.",192133
معارض سيارات جديدة,الابيض اوتوموتيف,"446 ش فيصل - برج النصر, فيصل, الجيزة.",157674
معارض سيارات جديدة,الابيض لتجارة السيارات,"بلوك 15 - مساكن الزاوية الحمرا القديمة - ش شركات البترول, الزاوية الحمراء, القاهرة.",567131
معارض سيارات جديدة,الاحمد للسيارات,"33 ش علوبة متفرع من ش فيصل, فيصل, الجيزة.",198307
معارض سيارات جديدة,الاحمدى كار,"8 ش البلدية, حى الافرنج, الاسماعيلية.",150799
معارض سيارات جديدة,الاحمدى لتجارة السيارات,"24 ش على امين, مدينة نصر, القاهرة.",677897
معارض سيارات جديدة,الاحمدى للسيارات,"ش محمد داوود متفرع من ش عبد السلام عارف, المنصورة, الدقهلية.",463243
معارض سيارات جديدة,الاخلاص موتورز,"ش محمد يسرى متفرع من ش سعد امام, الطالبية, الهرم, الجيزة.",306400
معارض سيارات جديدة,الاخوة لتجارة السيارات,"83 ش النزهة - العزبة الشرقية, الحوامدية, الجيزة.",604421
معارض سيارات جديدة,الاخوة للاستيراد والتصدير وتجارة السيارات,"446 ش الهرم, نصر الدين, الهرم, الجيزة.",464693
معارض سيارات جديدة,الاخوين للتجارة,"18 ش جسر السويس, منشية البكرى, مصر الجديدة, القاهرة.",62345
معارض سيارات جديدة,الادكاوى لتجارة السيارات,"62 ش 18, سيدى بشر, الاسكندرية.",429206
معارض سيارات جديدة,الاستاذ,"343 ش جسر السويس , مصر الجديدة, القاهرة.",193557
معارض سيارات جديدة,الاستاذ موتورز,"1 ش محمد عبد الرحمن, المحلة الكبرى, الغربية.",109503
معارض سيارات جديدة,الاسراء للسيارات,"1 ش الياسمين, متفرع من ش المدرسة, المنيب, الجيزة.",344449
معارض سيارات جديدة,الاسطورة لتجارة السيارات,"41 ش 20 - مدينة التحرير, امبابة, الجيزة.",573899
معارض سيارات جديدة,الاسطي دكتور,"11 ش الصاغ عباس الشريف, عين شمس, القاهرة.",685707
معارض سيارات جديدة,الاسلام سنتر للسيارات,"16 ش انور المفتى, المنطقة الاولى, مدينة نصر, القاهرة.",139654
معارض سيارات جديدة,الاسلامية الدولية لتجارة السيارات,"300 ش الهرم, عمارات الاتحادية, الطالبية, الهرم, الجيزة.",470955
معارض سيارات جديدة,الاسلامية لتجارة السيارات,"132 ش سيف, سيدى بشر قبلى, الاسكندرية.",223634
معارض سيارات جديدة,الاسود,"58 ش صلاح سالم, حى الافرنج, الاسماعيلية.",209180
معارض سيارات جديدة,الاسيوطى لتجارة السيارات,"259 ش ترعة الزمر, ارض اللواء, الجيزة.",551916
معارض سيارات جديدة,الاشراف موتورز,"4 ش سليمان يسرى - عمارات الشرطة, كوم الدكة, الاسكندرية.",133122
معارض سيارات جديدة,الاشرف للسيارات,"6 ش حلمى بهجت بدوى, الابراهيمية, الاسكندرية.",182236
معارض سيارات جديدة,الاشقاء للسيارات,"ش المصنعالحى 47, تقسيم 2, كفر الشيخ.",346099
معارض سيارات جديدة,الاصدقاء,"ش كفر طهرمس, فيصل, الجيزة.",395388
معارض سيارات جديدة,الاصدقاء لتجارة السيارات,"124 عمارات امتداد رمسيس 2 - ش امتداد رمسيس, مدينة نصر, القاهرة.",461691
معارض سيارات جديدة,الاصدقاء لتجارة السيارات,"2 ش مصطفى الاسيوطى متفرع من ش جسر الكنيسة - مدينة الحرية, المنيب, الجيزة.",501373
معارض سيارات جديدة,الاصدقاء لتجارة السيارات,"2 ش نجيب زناتى, شبين الكوم, المنوفية.",533506
معارض سيارات جديدة,الاصدقاء للسيارات,"11 ش مصنع البودرة, المعادى الجديدة, المعادى, القاهرة.",225250
معارض سيارات جديدة,الاصدقاء للسيارات,"2 ش اخوان سالم, شبرا الخيمة, القليوبية.",410873
معارض سيارات جديدة,الاصدقاء موتورز,"22 ش الشريف الراضى, المنصورة, الدقهلية.",155941
معارض سيارات جديدة,الاغابى تريد,"ش الكهف, الدهار, الغردقة.",150247
معارض سيارات جديدة,الافضل للاستيراد والتصدير,"317 ش مصطفى النحاس, الحى العاشر, مدينة نصر, القاهرة.",600293
معارض سيارات جديدة,الاقصى,"18 ش عباس زعزوع, الحى السابع, مدينة نصر, القاهرة.",142763
معارض سيارات جديدة,الاقصى موتورز,"60 ش المراغى تقاطع ش ذو الفقار, حلوان, القاهرة.",194440
معارض سيارات جديدة,الالفى موتورز,"21 ش على عباس الحلوانى, سبورتنج, الاسكندرية.",237781
معارض سيارات جديدة,الالمانية للسيارات,"82 ش عبد العزيز فهمى متفرع من ش العروبة, سانت فاتيما, مصر الجديدة, القاهرة.",240834
معارض سيارات جديدة,الامام لتجارة السيارت,"ش ستوديو سامح, كفر الشرفا, القناطر الخيرية, القليوبية.",330230
