Category,Name,Address,ID
مطاعم على النيل,ازوريس,"26 ش كورنيش النيل, رأس البر, دمياط.",474003
مطاعم على النيل,ازيس,"26 ش كورنيش النيل, رأس البر, دمياط.",474008
مطاعم على النيل,اشيا بار,"9 أ ش سراى الجزيرة, الزمالك, القاهرة.",130504
مطاعم على النيل,ال ريتروفو,"9 أ ش سراى الجزيرة, الزمالك, القاهرة.",66277
مطاعم على النيل,الباشا 1901,"4 ش سراى الجزيرة, الزمالك, القاهرة.",17359
مطاعم على النيل,البرجولا,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",208725
مطاعم على النيل,الحلقة,"ش سراى الجزيرة, الزمالك, القاهرة.",94532
مطاعم على النيل,الخان,"ش سراى الجزيرة, الزمالك, القاهرة.",94531
مطاعم على النيل,الخديوى,"7 ش حوض النيل - ش منتزة الجزيرة سابقا, الزمالك, القاهرة.",259236
مطاعم على النيل,السرايا,"ش سراى الجزيرة, الزمالك, القاهرة.",134841
مطاعم على النيل,الفريدو,"ش سراى الجزيرة, الزمالك, القاهرة.",94530
مطاعم على النيل,المرسى,"7 ش حوض النيل - ش منتزة الجزيرة سابقا, الزمالك, القاهرة.",323372
مطاعم على النيل,المركب,"33 كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",527021
مطاعم على النيل,ام اس اسكارابيه,"كورنيش النيل, جاردن سيتى, القاهرة.",19689
مطاعم على النيل,امبريال بوت,"112 ش سراى الجزيرة, الزمالك, القاهرة.",64396
مطاعم على النيل,امريكانا بوت,"26 ش النيل, الجيزة, الجيزة.",449299
مطاعم على النيل,اون توب,"4 ش سراى الجزيرة, الزمالك, القاهرة.",270985
مطاعم على النيل,ايام زمان,"121 ش النيل, الجيزة, الجيزة.",315621
مطاعم على النيل,بلو سى,"9 أ ش سراى الجزيرة, الزمالك, القاهرة.",487749
مطاعم على النيل,بلو نايل,"9 أ ش سراى الجزيرة, الزمالك, القاهرة.",54138
مطاعم على النيل,بى بى تو - بيبيتو نايت سبيس,"23 ش النيل, الجيزة, الجيزة.",462323
مطاعم على النيل,بى تروت باى ذا ليمون ترى,"112 ش سراى الجزيرة, الزمالك, القاهرة.",435496
مطاعم على النيل,بيتزا يالا,"9 أ ش سراى الجزيرة, الزمالك, القاهرة.",246746
مطاعم على النيل,بيكلو مندو,"4 ش سراى الجزيرة, الزمالك, القاهرة.",60555
مطاعم على النيل,بيير 88,"112 ش سراى الجزيرة, الزمالك, القاهرة.",571460
مطاعم على النيل,تويا نايل,"., المعادى, القاهرة.",518843
مطاعم على النيل,تى جى اى - فرايدايز,"26 ش النيل, الجيزة, الجيزة.",74188
مطاعم على النيل,جراند كافيه,"26 ش النيل, الجيزة, الجيزة.",12493
مطاعم على النيل,جولدن بوت,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",420421
مطاعم على النيل,جونيز بوب,"4 ش سراى الجزيرة, الزمالك, القاهرة.",180431
مطاعم على النيل,دا ريكاردو بيتزيريا,"4 ش سراى الجزيرة, الزمالك, القاهرة.",506528
مطاعم على النيل,دون كاميلوز كافيه,"106 ش النيل, العجوزة, الجيزة.",433885
مطاعم على النيل,دونت بوت,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",688198
مطاعم على النيل,ذا تايكونز,"4 ش سراى الجزيرة, الزمالك, القاهرة.",144781
مطاعم على النيل,رويال جراند كافيه,"ش سراى الجزيرة, الزمالك, القاهرة.",112150
مطاعم على النيل,رويال لا مارى,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",571255
مطاعم على النيل,ريفر بوت,"4 ش سراى الجزيرة, الزمالك, القاهرة.",60548
مطاعم على النيل,ريفر كافيه,"ش سراى الجزيرة, الزمالك, القاهرة.",149575
مطاعم على النيل,ريل ساندوتش,", المحور المركزى - ميدان الحصرى, السادس من اكتوبر, الجيزة.",655275
مطاعم على النيل,سوبريم سكاى ديك,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",248794
مطاعم على النيل,سى ارمادا بوت,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",182361
مطاعم على النيل,سيخ مشوى,"106 ش النيل, العجوزة, الجيزة.",519775
مطاعم على النيل,شيكرز,"7 ش حوض النيل - ش منتزة الجزيرة سابقا, الزمالك, القاهرة.",17534
مطاعم على النيل,صن ست,"139 ش النيل, الجيزة, الجيزة.",66246
مطاعم على النيل,فرح بوت,"141 ش النيل, الجيزة, الجيزة.",12526
مطاعم على النيل,فيش ماركت,"26 ش النيل, الجيزة, الجيزة.",60490
مطاعم على النيل,فينيو,"112 ش سراى الجزيرة, الزمالك, القاهرة.",451176
مطاعم على النيل,قمر الشام نايل بوت,"7 ش حوض النيل - ش منتزة الجزيرة سابقا, الزمالك, القاهرة.",250366
مطاعم على النيل,كارلوس,"4 ش سراى الجزيرة, الزمالك, القاهرة.",103168
مطاعم على النيل,كافيه تريجر,"كورنيش النيل, حى شرق, سوهاج.",547180
مطاعم على النيل,كرمالك,"7 ش حوض النيل - ش منتزة الجزيرة سابقا, الزمالك, القاهرة.",337477
مطاعم على النيل,كوفى شوب استرو روف توب,"42 ش ابو المحاسن الشاذلى, المهندسين, الجيزة.",624495
مطاعم على النيل,لا زياتيك,"4 ش سراى الجزيرة, الزمالك, القاهرة.",60801
مطاعم على النيل,لسه فاكر,"9 أ ش سراى الجزيرة, الزمالك, القاهرة.",213727
مطاعم على النيل,لو ديك,"3 ش قيادة الثورة, الزمالك, القاهرة.",144463
مطاعم على النيل,لو ستيك,"4 ش سراى الجزيرة, الزمالك, القاهرة.",61078
مطاعم على النيل,لو طربوش,"4 ش سراى الجزيرة, الزمالك, القاهرة.",60554
مطاعم على النيل,ليالينا,"19 ش سراى الجزيرة, الزمالك, القاهرة.",118978
مطاعم على النيل,ليبرا,"89 ش النيل, العجوزة, الجيزة.",473885
مطاعم على النيل,مركب ليلة,"141 ش النيل, الجيزة, الجيزة.",61253
مطاعم على النيل,مطعم الديوان,"المشابة السفلية, المنصورة, الدقهلية.",504640
مطاعم على النيل,مطعم السلطان,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",325333
مطاعم على النيل,مطعم المعبد,"138 ش النيل, الجيزة, الجيزة.",109534
مطاعم على النيل,مطعم الموندو,"70 ش عبد العزيز ال سعود, المنيل, القاهرة.",207893
مطاعم على النيل,مطعم اندلسية,"70 ش عبد العزيز ال سعود, المنيل, القاهرة.",358265
مطاعم على النيل,مطعم اهلين,"70 ش عبد العزيز ال سعود, المنيل, القاهرة.",303964
مطاعم على النيل,مطعم اون ديك,"الممشى السياحى, خليج نعمة, شرم الشيخ.",105836
مطاعم على النيل,مطعم رويال,"112 ش سراى الجزيرة, الزمالك, القاهرة.",141252
مطاعم على النيل,مطعم سكاى لونج,"70 ش عبد العزيز ال سعود, المنيل, القاهرة.",207888
مطاعم على النيل,مطعم عبد الوهاب,"33 ش ابو الفدا, الزمالك, القاهرة.",319490
مطاعم على النيل,مطعم عبد الوهاب,"ش الموسيقار عبد الوهاب - ش سراى الجزيرة سابقا, الزمالك, القاهرة.",630938
مطاعم على النيل,مطعم لو معلم,"7 ش حوض النيل - ش منتزة الجزيرة سابقا, الزمالك, القاهرة.",323366
مطاعم على النيل,مطعم نايل,"كورنيش النيل, حى شرق, سوهاج.",547174
مطاعم على النيل,مطعم وكافيه اب سايد داون,"9 أ ش سراى الجزيرة, الزمالك, القاهرة.",583137
مطاعم على النيل,مطعم وكافيه سيبال,"49 ش محمد صقر خفاجة, متفرع من ش ابن الهيثم, مدينة نصر, القاهرة.",397369
مطاعم على النيل,مكانك كافيه,"1 ش ابو بكر الصديق متفرع من ش محيى الدين ابو العز, الدقى, الجيزة.",564262
مطاعم على النيل,مهرانى,"4 ش سراى الجزيرة, الزمالك, القاهرة.",143264
مطاعم على النيل,مون دك,"9 أ ش سراى الجزيرة, الزمالك, القاهرة.",60557
مطاعم على النيل,نايل 49,"كورنيش النيل ميدان الكيت كات, الكيت كات, الجيزة.",451607
مطاعم على النيل,نايل زون بوت,"121 ش النيل, الجيزة, الجيزة.",472463
مطاعم على النيل,نايل سيتى,"ش النهر, الزمالك, القاهرة.",44839
مطاعم على النيل,نايل فيو بوت,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",667919
مطاعم على النيل,نايل لى لى,"70 ش عبد العزيز ال سعود, المنيل, القاهرة.",62035
