Category,Name,Address,ID
معدات ثقيلة وقطع غيار,الدموكى لتأجير وصيانة المعدات الثقيلة,"كم 28, المنطقة الصناعية, ابو رواش, الجيزة.",685783
معدات ثقيلة وقطع غيار,نجاتى للاستيراد وتأجير الاوناش والمولدات الكهربائية,"كم 26, طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",534528
معدات ثقيلة وقطع غيار,الاسكندرية للمعدات وبيع وتأجير المولدات - م. محمد شاهين,"4 عمارات بيك اند جو شارع توت عنخ امون, الدور 3, سموحة, الاسكندرية.",687529
معدات ثقيلة وقطع غيار,المؤسسة المتحدة للاستيراد والتصدير,"2 ش ال يوسف, المريوطية, فيصل, الجيزة.",379246
معدات ثقيلة وقطع غيار,شركة المدير لتأجير المعدات الثقيلة,", الحى 12, السادس من اكتوبر, الجيزة.",691001
معدات ثقيلة وقطع غيار,كون ستار للتجارة والإستيراد والتصدير,"برج النخلة ش قناة السويس, المنصورة, الدقهلية.",669897
معدات ثقيلة وقطع غيار,الشناوى لاستيراد المعدات الثقيلة,"ك 26 طريق اسكندرية القاهرة الصحراوى, مرغم, الاسكندرية.",689931
معدات ثقيلة وقطع غيار,ابراهيم ابو العنين للمعدات الثقيلة,"كم 18 - طريق مصر اسماعيلية الصحراوى, جسر السويس, القاهرة.",67738
معدات ثقيلة وقطع غيار,ابو الفتح للاستيراد والتصدير,"كم 13 طريق المحلة طنطا, طنطا, الغربية.",674032
معدات ثقيلة وقطع غيار,ابو جون لقطع غيار المعدات الثقيلة,"216 ش الربيع تقسيم عمر بن الخطاب, جسر السويس, القاهرة.",473872
معدات ثقيلة وقطع غيار,اتش ان باور لصيانة المعدات الثقيلة,"41 ش مصطفى حافظ, عين شمس, القاهرة.",636853
معدات ثقيلة وقطع غيار,ادريخام والدبيكى للمعدات الثقيلة,"91 ش جسر السويس, الشقة 205, الدور 2, مصر الجديدة, القاهرة.",56720
معدات ثقيلة وقطع غيار,اراك للمعدات الثقيلة,"18 ش عماد الدين كامل, متفرع من ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",632987
معدات ثقيلة وقطع غيار,اس بى للتجارة والتوريدات,"5 عمارات الشرطة - - الدور 1, العطارين, الاسكندرية.",614719
معدات ثقيلة وقطع غيار,اشرف عبد العزيز لقطع غيار السيارات,"الاردنية, العاشر من رمضان, الشرقية.",634920
معدات ثقيلة وقطع غيار,ال كامل للمعدات الثقيلة,"الطريق البطئ, ابو سنة, قليوب, القليوبية.",297606
معدات ثقيلة وقطع غيار,الارزاق بالله لصيانة المعدات الثقيلة,"44 ش السلام - مدينة الاحلام, الزاوية الحمراء, القاهرة.",569957
معدات ثقيلة وقطع غيار,الاروبية للاستيراد و التكنولوجيا الهيدروليك - هيدروتك,"القطعة 182, امتداد المنطقة الصناعية السادسة, السادس من اكتوبر, الجيزة.",646275
معدات ثقيلة وقطع غيار,الاسطل لصيانة المعدات الثقيلة,", البراجيل, الجيزة.",311747
معدات ثقيلة وقطع غيار,الاقتصادية الاسلامية للتجارة والتوزيع,"11 ش جمال الدين ابو المحاسن متفرع من ش القصر العينى, جاردن سيتى, القاهرة.",20048
معدات ثقيلة وقطع غيار,الالمانية لخدمة الديزل,"ش الرشاح, مسطرد, القليوبية.",595022
معدات ثقيلة وقطع غيار,الامل للصيانة الميكانيكية والتوريدات,"2 ش الجمهورية, الحوامدية, الجيزة.",619185
معدات ثقيلة وقطع غيار,الاندلسية للتجارة والتنمية الاقتصادية,"9 عمارات العبور طريق صلاح سالم, الشقة 3, الدور 5, مدينة نصر, القاهرة.",9323
معدات ثقيلة وقطع غيار,الاهرامات للمعدات,"21 ش احمد الطحاوى متفرع من ش نبيل الوقاد, ارض الجولف, مصر الجديدة, القاهرة.",607332
معدات ثقيلة وقطع غيار,الاوروبية العربية للمعدات المستعملة,"4 ش منيب متفرع من ش المرور, بين السرايات, الجيزة.",304143
معدات ثقيلة وقطع غيار,الباسم لقطع غيار المعدات الثقيلة,"80 ش الصباغ, البساتين, القاهرة.",504170
معدات ثقيلة وقطع غيار,البدر كات لقطع غيار المعدات الثقيلة,"1 ب ش الجزائر الشطر العاشر, المعادى الجديدة, المعادى, القاهرة.",500738
معدات ثقيلة وقطع غيار,البروج لقطع غيار المعدات الثقيلة,"كم 27 -, طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",386089
معدات ثقيلة وقطع غيار,البطل الرومانى للمعدات الثقيلة,"2 ش اسماعيل هلال - بشتيل, اوسيم, الجيزة.",540227
معدات ثقيلة وقطع غيار,البوادى 2 لقطع غيار المعدات الثقيلة,"72 ش رشاح عبد اللاه, كرداسة, الجيزة.",558292
معدات ثقيلة وقطع غيار,التوكيلات للخدمات الفنية,"4 ش معروف متفرع من ش قصر النيل, وسط البلد, القاهرة.",13343
معدات ثقيلة وقطع غيار,الجذور العربية للاستيراد والتصدير,"9 عمارات اللوكس ش الخليفة المأمون, وسط البلد, كفر الشيخ.",635817
معدات ثقيلة وقطع غيار,الحافظ لتأجير المعدات الثقيلة,"30 ش البحرية, الجمرك, الاسكندرية.",658093
معدات ثقيلة وقطع غيار,الحماقى اليابانية,"3 ش سلامة حجازى, الحسينية, المنصورة, الدقهلية.",193431
معدات ثقيلة وقطع غيار,الحمد لتجارة قطع غيار اوناش الشوكة والتوريدات,"ش السنترال, الاردنية - مركز المدينة, العاشر من رمضان, الشرقية.",634294
معدات ثقيلة وقطع غيار,الخالد للمقاولات,"المحور المركزى - المجاورة الثانية, الحى الثالث, السادس من اكتوبر, الجيزة.",141974
معدات ثقيلة وقطع غيار,الدلتا لخدمات المعدات الثقيلة,"3 ش بدر, سيدى سالم, كفر الشيخ.",139158
معدات ثقيلة وقطع غيار,الرائد للمعدات الثقيلة,"القطعة 146 - - المنطقة الصناعية الثالثة, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",586680
معدات ثقيلة وقطع غيار,الرضوان لقطع غيار المعدات الثقيلة,"ش مصطفى حسن, قطعة 111, مدينة السلام, القاهرة.",657415
معدات ثقيلة وقطع غيار,السعدانى لقطع غيار المعدات الثقيلة,"76 ش رشاح عبد اللاه, كرداسة, الجيزة.",558290
