Category,Name,Address,ID
منسوجات,الشركة المصرية الايطالية للمفروشات والوبريات - مأمون النجار وشركاه,"كم 9 طريق المنصورة, سمنود, الغربية.",189894
منسوجات,الامير لشبك التظليل والحماية,", اول طريق زفتى, عزبة النادي, زفتى, الغربية.",241150
منسوجات,مصنع مسك للكابتونيه والتطريز وتجارة الاقمشة,"73 ش كفر ابو صير, بركة النصر, مدينة السلام, القاهرة.",693642
منسوجات,شركة اجياد للاستيراد والتصدير,", مدخل المنطقه الصناعية - متفرع من الطريق الدائرى, المحلة الكبرى, الغربية.",496936
منسوجات,القدس لبيع مستلزمات طباعة المنسوجات,"22 ش بحرى القراقول, شبرا, القاهرة.",157230
منسوجات,تريبل ارم للتعبئة,"97 ش الحسينى, تقسيم فريد زكى, حدائق حلوان, القاهرة.",133852
منسوجات,جاكاردينا للنسيج والوبريات ش.م.م,"القطعة 120-121, المنطقة الصناعية الثالثة A4, العاشر من رمضان, الشرقية.",20993
منسوجات,الشركة النظامية للصناعة والتجارة,"83 ش نعمان الاعصر, المحلة الكبرى, الغربية.",158186
منسوجات,خيوط مصرية,"29 ش يثرب, ناصية ش الحسين, المهندسين, الجيزة.",576196
منسوجات,شركة الفا تريكو تك,"ش ابراهيم داوود, متفرع من ش المستشفى الخيرى, المنطقة الصناعية الجديدة, المحلة الكبرى, الغربية.",126957
منسوجات,شركة بانوب للصناعة - بانوتكس,", منطقة الراهبين الصناعية, المحلة الكبرى, الغربية.",127670
منسوجات,فانتازيا بد,", بلوك 35 و 36 د - المرحلة الثانية - المنطقة الصناعية, جمصة, الدقهلية.",536723
منسوجات,مصنع نهضة سمنود,"ش السكة الحديد, ارض سماحة, المحلة الكبرى, الغربية.",119251
منسوجات,نبيل تكس,"2 ش ابراهيم الناظر, متفرع من طريق بيجام, شبرا الخيمة, القليوبية.",602127
منسوجات,2 ام,"2 ِش سوق الخيط , المنشية, الاسكندرية.",199031
منسوجات,6 اكتوبر,"34 ش خالد بن الوليد, سيدى بشر, الاسكندرية.",451947
