Category,Name,Address,ID
معدات مطارات وخدمات,تاسك افييشن,"61 ش ابو داوود الظاهرى, الشقة 9, الدور 5, متفرع من ش مكرم عبيد, مدينة نصر, القاهرة.",48705
معدات مطارات وخدمات,اسكا انترناشيونال,"4 ش الشهيد سيد زكريا, مساكن شيراتون, مصر الجديدة, القاهرة.",429748
معدات مطارات وخدمات,الحسن للاستيراد والتصدير,"195 ش 26 يوليو ميدان سفنكس - عمارة المحاربين القدماء, المهندسين, الجيزة.",55129
معدات مطارات وخدمات,الشركة المصرية للمطارات,"طريق المطار, منطقة المطار, مصر الجديدة, القاهرة.",356884
معدات مطارات وخدمات,الشركة المصرية مرسى علم,"القطعة 8 مربع الوزراء - مربع 1177, مساكن شيراتون, مصر الجديدة, القاهرة.",643708
معدات مطارات وخدمات,المجد - وارنر لويس مصر,"17 ش عطبرة متفرع من ش احمد عرابى, المهندسين, الجيزة.",68558
معدات مطارات وخدمات,المصرية للخدمات المتعددة - ايجيمكو,"5 عمارات العبور - طريق صلاح سالم - الدور 1 شقة 6, مدينة نصر, القاهرة.",2544
معدات مطارات وخدمات,المكتب العالمى للطيران - اى ايه بى,"12 ش سراى الجزيرة - الدور 2 شقة 6, الزمالك, القاهرة.",138443
معدات مطارات وخدمات,ايجيبت جيت افياشن,"طريق المطار, منطقة المطار, مصر الجديدة, القاهرة.",243164
معدات مطارات وخدمات,ايجيبشن سكايز سيرفيسز - اى اس اس,"66 ش عباس العقاد - الدور 3, مدينة نصر, القاهرة.",434391
معدات مطارات وخدمات,ايه اس اى جروب,"1229 ش الشيخ على جاد الحق, الدور 4, برج فلوريدا, مساكن شيراتون, مصر الجديدة, القاهرة.",126297
معدات مطارات وخدمات,توب للطيران,"بلوك 1153 - عمارة 9 - - الدور 5, مساكن شيراتون, مصر الجديدة, القاهرة.",59019
معدات مطارات وخدمات,جاك لخدمات الطيران الارضية,"3 مساكن المقاولون العرب - - المنطقة الرابعة, مساكن شيراتون, مصر الجديدة, القاهرة.",289242
معدات مطارات وخدمات,جلوبال لخدمات الطيران الاستشارية,"1 بلوك 53 - ش الزهار, الحى التاسع, مدينة نصر, القاهرة.",397794
معدات مطارات وخدمات,راك,"19 ش عبد الجليل, منشية البكرى, مصر الجديدة, القاهرة.",171739
معدات مطارات وخدمات,زد لخدمات الطيران - زاس,"17 بلوك 1138 - ش مصطفى رفعت - الدور 1, 2, 3, مساكن شيراتون, مصر الجديدة, القاهرة.",67984
معدات مطارات وخدمات,سوفرافيا,"11 ش صلاح الدين فاضل, مصر الجديدة, القاهرة.",1491
معدات مطارات وخدمات,سيتكو,"18 ش عبد المنعم رياض, المهندسين, الجيزة.",18495
معدات مطارات وخدمات,طيران وادى النيل,"., منطقة المطار, مصر الجديدة, القاهرة.",1916
معدات مطارات وخدمات,كاترين جروب,"6 ش البستان - الدور 1 شقة 102, مساكن شيراتون, مصر الجديدة, القاهرة.",266356
معدات مطارات وخدمات,كاريزما للتجارة والمقاولات,"11 عمارات العبور - - الدور 15 شقة 6, مدينة نصر, القاهرة.",144524
معدات مطارات وخدمات,كيميت توريدات معدات مطارات ومقاولات,"16 ش محمد غنيم - من ش محمد انيس - المرغني, مصر الجديدة, القاهرة.",46299
معدات مطارات وخدمات,لوجوس لاستشارات الطيران,"29 ش عبد الحكيم الرفاعى, الدور 3, الحى الثامن, مدينة نصر, القاهرة.",130544
معدات مطارات وخدمات,ماريكو للهندسة والتجارة,"10 ش ابو بكر الصديق, الدور 4, مصر الجديدة, القاهرة.",160151
معدات مطارات وخدمات,ماس - المصرية للانظمة المتقدمة,"مساكن هيئة التدريس ش حسن المأمون, متفرع من ش مصطفى النحاس, مدينة نصر, القاهرة.",60680
معدات مطارات وخدمات,مركز عامر الدولى,"قرية البضائع, منطقة المطار, مصر الجديدة, القاهرة.",65354
معدات مطارات وخدمات,مصر للطيران للصيانة والاعمال الفنية,"., منطقة المطار, مصر الجديدة, القاهرة.",139431
معدات مطارات وخدمات,ميكانيك,"7 ش حسن افلاطون, الدور 9, ارض الجولف, مصر الجديدة, القاهرة.",597106
معدات مطارات وخدمات,يونيون انترناشيونال للتجارة والتوريدات والخدمات والمقاولات,"481 ش فيصل, برج السلام, فيصل, الجيزة.",463772
