Category,Name,Address,ID
سوبر ماركت,مزارع بلدينا,"البنفسج 9 - مركز خدمات البنفسج 2, التجمع الاول, القاهرة الجديدة, القاهرة.",581325
سوبر ماركت,247 سوبر ماركت,"ش الخزان, هضبة ام السيد, شرم الشيخ.",107043
سوبر ماركت,25 يناير ماركت,"ش مار جرجس, مصر القديمة, القاهرة.",405265
سوبر ماركت,8 مارت,"39 ش اخناتون, التجمع الاول, القاهرة الجديدة, القاهرة.",679735
سوبر ماركت,ابا ماركت,"20 ب ش محمد عدلى كفافى, سانت فاتيما, مصر الجديدة, القاهرة.",68840
سوبر ماركت,اباظة ماركت,"4 ابراج شباب المنيب طريق مصر اسيوط, المنيب, الجيزة.",691275
سوبر ماركت,ابراهيم ابو العطا ماركت,"10 ش النصر, المعصرة, القاهرة.",441857
سوبر ماركت,ابراهيم الجمل ماركت,"4 ش ابو شادى متفرع من ش جمال عبد الناصر, المندرة البحرية, الاسكندرية.",253135
سوبر ماركت,ابراهيم الحلوانى ماركت,"ش عبد السلام عارف, القناطر الخيرية, القليوبية.",305518
سوبر ماركت,ابراهيم السنطى,"ش القلعة, السيدة زينب, القاهرة.",368663
سوبر ماركت,ابراهيم رفاعى ماركت,"42 ش قدرى, السيدة زينب, القاهرة.",224487
سوبر ماركت,ابراهيم عبد الباقى ماركت,"ش مصطفى فهمى, جليم, الاسكندرية.",239462
سوبر ماركت,ابراهيم عبد اللطيف ماركت,"10 ش سليم الاول, الزيتون, القاهرة.",257100
سوبر ماركت,ابراهيم عوض ماركت,"20 ش الامير عمر, محرم بك, الاسكندرية.",258149
سوبر ماركت,ابراهيم ناصف ماركت,"ش سعد زغلول, سمنود, الغربية.",345636
سوبر ماركت,ابراهيمية ماركت,"67 ش عمر لطفى, الابراهيمية, الاسكندرية.",194751
سوبر ماركت,ابن البلد,"ش منشية البكرى, فيصل, الجيزة.",381105
سوبر ماركت,ابن البلد ماركت,"1 ش احمد حلمى, شبرا, القاهرة.",242849
سوبر ماركت,ابن البلد ماركت,"ش مكة متفرع من ش سعد زغلول, حى الافرنج, الاسماعيلية.",289920
سوبر ماركت,ابن البلد ماركت,"ش البربرى, كفر الزيات, الغربية.",342122
سوبر ماركت,ابن البلد ماركت,"ش ابو قير, المعمورة البلد, الاسكندرية.",258384
سوبر ماركت,ابن حميدو ماركت,"ش الجيش, قطور, الغربية.",346877
سوبر ماركت,ابن سينا 2,"برج النور - ش الامام محمد عبده - توريل, المنصورة, الدقهلية.",151278
سوبر ماركت,ابن سينا وان,"6 ش ابن سينا، متفرع من ش الامام محمد عبده, المنصورة, الدقهلية.",151283
سوبر ماركت,ابن عز ماركت,"15 ش الرحمن, حدائق حلوان, القاهرة.",644717
سوبر ماركت,ابناء الشرقية,"ش شيرى, الدهار, الغردقة.",251552
سوبر ماركت,ابناء الشرقية ماركت,"35 ش سليم الاول, الزيتون, القاهرة.",257148
سوبر ماركت,ابناء الشعلة ماركت,"52 ش القدس الشريف متفرع من ش لبنان, المهندسين, الجيزة.",194734
سوبر ماركت,ابناء الشيخ,"3 ش حمادة عزو متفرع من ش العشرين, عين شمس, القاهرة.",204651
سوبر ماركت,ابناء العرب,"14 مساكن سابقة التجهيز -, القطامية, القاهرة.",333372
سوبر ماركت,ابناء النصيرى ماركت,"ش التحرير, ابو كبير, الشرقية.",332266
سوبر ماركت,ابناء ثروت ماركت,"23 ش رمسيس الثانى, الهرم, الجيزة.",252408
سوبر ماركت,ابناء دمياط ماركت,"7 سكة عبد الرازق, البساتين, القاهرة.",225738
سوبر ماركت,ابناء سوهاج,"14 ش هشام شمس, الهرم, الجيزة.",274009
سوبر ماركت,ابناء سوهاج,"ش محمد عبد الظاهر, فيصل, الجيزة.",394697
سوبر ماركت,ابناء سوهاج ماركت,"2 ش السيدة زينب, حدائق المعادى, المعادى, القاهرة.",676871
سوبر ماركت,ابناء سوهاج ماركت,"1 ش خالد بن الوليد, البساتين, القاهرة.",677853
