Category,Name,Address,ID
موانع تسرب,مصر ميكانيك - م. غريب صابر على,"قطعة 309, امتداد المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",603348
موانع تسرب,التوحيد للهيدروليك,"طريق بلقاس, طلخا, الدقهلية.",178981
موانع تسرب,السلام للهيدروليك,"ش الاستقلال, قنطرة غرب, الاسماعيلية.",229899
موانع تسرب,الشركة العربية لصناعة وتجارة منتجات الكاوتشوك والمطاط,"الاردنية, العاشر من رمضان, الشرقية.",545123
موانع تسرب,الفاطمية للتوريدات العمومية,"9,11 ش صلاح الدين, العطارين, الاسكندرية.",187202
موانع تسرب,المنى الهندسية,"ميدان ليلة القدر, السادس من اكتوبر, الجيزة.",392141
موانع تسرب,اليمكس للصناعة,"258 ش عبد السلام عارف, لوران, الاسكندرية.",148380
موانع تسرب,اويل سيل التحرير,"3 ش معروف, وسط البلد, القاهرة.",202310
موانع تسرب,توب سيل,"3 أ عمارات الفاروقية - ش جسر السويس, النزهة الجديدة, القاهرة.",441689
موانع تسرب,تيج للمقاولات والتجارة,"28, 30 سور نادى الزمالك - - الدور 1, المهندسين, الجيزة.",45113
موانع تسرب,خلفاء محمد رشاد محمود فاضل,"64 ش ابى الدرداء, اللبان, الاسكندرية.",34510
موانع تسرب,سرور اخوان,"13 ش صلاح الدين, العطارين, الاسكندرية.",24120
موانع تسرب,شركة اندستريال هاوس,"13 ش 199, سرايات الغربية, المعادى, القاهرة.",685445
موانع تسرب,نيو كايرو اويل سيل,"28 عمارة ابو رجيلة - ش معروف, وسط البلد, القاهرة.",202416
