Category,Name,Address,ID
مديريات التربية والتعليم,ادارة 6 اكتوبر التعليمية,"المجاورة التاسعة, الحى السادس, السادس من اكتوبر, الجيزة.",196380
مديريات التربية والتعليم,ادارة ابشواى التعليمية,"ش المركز, ابشواى, الفيوم.",240484
مديريات التربية والتعليم,ادارة ابنوب التعليمية,"ش التحرير, ابنوب, اسيوط.",242495
مديريات التربية والتعليم,ادارة ابو المطامير التعليمية,"ش الاسكندرية, ابو المطامير, البحيرة.",241478
مديريات التربية والتعليم,ادارة ابو النمرس التعليمية,"6 ش 6 اكتوبر, ابو النمرس, الجيزة.",196695
مديريات التربية والتعليم,ادارة ابو تيج التعليمية,"طريق اسيوط سوهاج, ابو تيج, اسيوط.",242491
مديريات التربية والتعليم,ادارة ابو حماد التعليمية,"ش التحرير, ابو حماد, الشرقية.",240908
مديريات التربية والتعليم,ادارة ابو حمص التعليمية,"ش المدارس, ابو حمص, البحيرة.",241733
مديريات التربية والتعليم,ادارة ابو رديس التعليمية,"., ابو زينما, جنوب سيناء.",241805
مديريات التربية والتعليم,ادارة ابو صوير التعليمية,"ش المطار, ابو سوير المحطة, ابو صوير المحطة, الاسماعيلية.",241423
مديريات التربية والتعليم,ادارة ابو طشت التعليمية,"ش السنترال القديم, ابو طشت, قنا.",242525
مديريات التربية والتعليم,ادارة ابو قرقاص التعليمية,"ش فكرى باشا, ابو قرقاص, المنيا.",242187
مديريات التربية والتعليم,ادارة ابو كبير التعليمية,"., ابو كبير, الشرقية.",240806
مديريات التربية والتعليم,ادارة اجا التعليمية,"ش السكة الجديدة, اجا, الدقهلية.",241222
مديريات التربية والتعليم,ادارة اخميم التعليمية,"ش ناصر الزراعى, اخميم, سوهاج.",242905
مديريات التربية والتعليم,ادارة ادفو التعليمية,"ش السادات, ادفو, اسوان.",242933
مديريات التربية والتعليم,ادارة ادكو التعليمية,"ش محمد عبده, ادكو, البحيرة.",241495
مديريات التربية والتعليم,ادارة ارمنت التعليمية,"ش البحر - ارمنت, الاقصر, الاقصر.",242444
مديريات التربية والتعليم,ادارة اسنا التعليمية,"ش احمد عرابى - الدويح, اسنا, الاقصر.",242816
مديريات التربية والتعليم,ادارة اسوان التعليمية,"مبنى المصالح الحكومية - ش كورنيش النيل - الدور 5, الكورنيش, اسوان.",242923
مديريات التربية والتعليم,ادارة اسيوط التعليمية,"ش المدارس, حى غرب, اسيوط.",242454
مديريات التربية والتعليم,ادارة اشمون التعليمية,"., اشمون, المنوفية.",241785
مديريات التربية والتعليم,ادارة اطسا التعليمية,"مساكن السودان -, اطسا, الفيوم.",240493
مديريات التربية والتعليم,ادارة اطفيح التعليمية,"طريق حلوان الكريمات, اطفيح, الجيزة.",196714
مديريات التربية والتعليم,ادارة الابراهيمية التعليمية,"., الابراهيمية, الشرقية.",240797
مديريات التربية والتعليم,ادارة الاسماعيلية التعليمية,"الشارع التجارى, الشيخ زايد, الاسماعيلية.",241413
مديريات التربية والتعليم,ادارة الاقصر التعليمية,"ش النيل, الاقصر, الاقصر.",242812
مديريات التربية والتعليم,ادارة الباجور التعليمية,"ش كمال الشاذلى - ش الجيش سابقا, الباجور, المنوفية.",241781
مديريات التربية والتعليم,ادارة البدارى التعليمية,"ش الحائط البحرى, البدارى, اسيوط.",242819
مديريات التربية والتعليم,ادارة البدرشين التعليمية,"ش الشهيد محمد عبد الكريم المتناوى, البدرشين, الجيزة.",196700
مديريات التربية والتعليم,ادارة البساتين ودار السلام التعليمية,"ش الجزائر الشطر السابع, المعادى الجديدة, المعادى, القاهرة.",196575
مديريات التربية والتعليم,ادارة البلينا التعليمية,"ش التحرير, البلينا, سوهاج.",242884
مديريات التربية والتعليم,ادارة البياضية التعليمية,"ش مصطفى كامل, البياضية, الاقصر.",242440
مديريات التربية والتعليم,ادارة التبين التعليمية,"ش الشيخ محفوظ, كفر العلو, القاهرة.",197497
مديريات التربية والتعليم,ادارة التل الكبير التعليمية,"ش احمد عرابى - الحمادة, التل الكبير, الاسماعيلية.",241430
مديريات التربية والتعليم,ادارة الجمالية التعليمية,"ش المدارس, الجمالية, الدقهلية.",241391
مديريات التربية والتعليم,ادارة الجمرك التعليمية,"ش السبع بنات, المنشية, الاسكندرية.",197637
مديريات التربية والتعليم,ادارة الجناين التعليمية,"طريق مصر اسماعيلية الصحراوى, الجناين, السويس.",241149
مديريات التربية والتعليم,ادارة الحامول التعليمية,"ش العاشر من رمضان, الحامول, كفر الشيخ.",240528
مديريات التربية والتعليم,ادارة الحسنة التعليمية,"., الحسنة, شمال سيناء.",240748
مديريات التربية والتعليم,ادارة الحسينية التعليمية,"ش المدارس, الحسينية, الشرقية.",240843
مديريات التربية والتعليم,ادارة الحمام التعليمية,"ش الاسكندرية, الحمام, الساحل الشمالى.",240550
مديريات التربية والتعليم,ادارة الحوامدية التعليمية,"طريق مصر اسيوط, الحوامدية, الجيزة.",196717
مديريات التربية والتعليم,ادارة الخارجة التعليمية,"ش انور البارودى, الخارجة, الوادى الجديد.",241160
مديريات التربية والتعليم,ادارة الخانكة التعليمية,"الايواء, الخانكة, القليوبية.",196587
مديريات التربية والتعليم,ادارة الخليفة والمقطم التعليمية,"2 ش الماس الحاجب, الحلمية الجديدة, القاهرة.",196547
مديريات التربية والتعليم,ادارة الداخلة التعليمية,"موط, الداخلة, الوادى الجديد.",241838
مديريات التربية والتعليم,ادارة الدقى التعليمية,"3 ش امين الرافعى, الدقى, الجيزة.",18278
مديريات التربية والتعليم,ادارة الدلنجات التعليمية,"ش السويقة, الدلنجات, البحيرة.",241748
مديريات التربية والتعليم,ادارة الرحمانية التعليمية,"ش الشط, الرحمانية, البحيرة.",241731
مديريات التربية والتعليم,ادارة الروضة التعليمية,"ميدان الكباس, الروضة, دمياط.",240809
مديريات التربية والتعليم,ادارة الرياض التعليمية,"ش مجلس المدينة, الرياض, كفر الشيخ.",240532
مديريات التربية والتعليم,ادارة الزاوية التعليمية,"ش الشركات,, الوايلى, القاهرة.",196392
مديريات التربية والتعليم,ادارة الزرقا التعليمية,"ش المركز, الزرقا, دمياط.",240811
مديريات التربية والتعليم,ادارة الزيتون التعليمية,"8 ش عبد المجيد سليم, حدائق القبة, القاهرة.",196553
مديريات التربية والتعليم,ادارة الساحل التعليمية,"52 ش شبرا, شبرا, القاهرة.",196652
مديريات التربية والتعليم,ادارة السادات التعليمية,"المنطقة الثانية, مدينة السادات, المنوفية.",241798
مديريات التربية والتعليم,ادارة السرو التعليمية,"ش المحطة, السرو, دمياط.",240812
مديريات التربية والتعليم,ادارة السلوم التعليمية,"ش السلوم - عزبة شعبان, السلوم, مرسى مطروح.",240545
مديريات التربية والتعليم,ادارة السنبلاوين التعليمية,"ش المعاهدة, السنبلاوين, الدقهلية.",241238
مديريات التربية والتعليم,ادارة السنطة التعليمية,"ش المركز, السنطة, الغربية.",241182
مديريات التربية والتعليم,ادارة السيدة زينب التعليمية,"3 ش خيرت, السيدة زينب, القاهرة.",197252
مديريات التربية والتعليم,ادارة الشرابية التعليمية,"8 ش عبد العاطى جاويش - ارض الشركة, الشرابية, القاهرة.",196671
مديريات التربية والتعليم,ادارة الشهداء التعليمية,"ش طلعت حرب, الشهداء, المنوفية.",241788
مديريات التربية والتعليم,ادارة الشيخ زويد التعليمية,"., الشيخ زويد, شمال سيناء.",240730
مديريات التربية والتعليم,ادارة الصف التعليمية,"ش 54, الصف, الجيزة.",196447
مديريات التربية والتعليم,ادارة الضبعة التعليمية,"طريق اسكندرية مطروح الصحراوى, الضبعة, الساحل الشمالى.",240552
مديريات التربية والتعليم,ادارة الطور التعليمية,"ش البيئة, الطور, جنوب سيناء.",241821
مديريات التربية والتعليم,ادارة العامرية التعليمية,"كم 36 - طريق القاهرة اسكندرية الصحراوى, العامرية, الاسكندرية.",197647
مديريات التربية والتعليم,ادارة العبور التعليمية,"الحى الاول, مدينة العبور, القليوبية.",271857
مديريات التربية والتعليم,ادارة العجوزة التعليمية,"ش عبد المنعم رياض, العجوزة, الجيزة.",196668
مديريات التربية والتعليم,ادارة العدوة التعليمية,"ش على بن ابى طالب, العدوة, المنيا.",242166
مديريات التربية والتعليم,ادارة العريش التعليمية,"ش 26 يوليو ضاحية السلام, العريش, شمال سيناء.",240720
مديريات التربية والتعليم,ادارة العمرانية التعليمية,"2 ش ترعة الزمر, العمرانية الشرقية, الهرم, الجيزة.",164961
مديريات التربية والتعليم,ادارة العياط التعليمية,"ش شكرى القواتلى, العياط, الجيزة.",196706
مديريات التربية والتعليم,ادارة الغردقة التعليمية,"ش المحكمة, الدهار, الغردقة.",348163
مديريات التربية والتعليم,ادارة الغنايم التعليمية,"ش مجلس المدينة, الغنايم, اسيوط.",242509
مديريات التربية والتعليم,ادارة الفرافرة التعليمية,"ش جمال عبد الناصر, الفرافرة, الوادى الجديد.",241162
مديريات التربية والتعليم,ادارة الفشن التعليمية,"ش الابراهيمية, الفشن, بنى سويف.",242131
مديريات التربية والتعليم,ادارة القاهرة الجديدة التعليمية,"429 أ ش 8 متفرع من ش 9, القاهرة الجديدة, القاهرة.",97120
مديريات التربية والتعليم,ادارة القرين التعليمية,"ش مصطفى زيدان, القرين, الشرقية.",240833
مديريات التربية والتعليم,ادارة القصاصين التعليمية,"ش المستشفى العسكرى, القصاصين الجديدة, الاسماعيلية.",241437
مديريات التربية والتعليم,ادارة القصير التعليمية,"ش الجمهورية, وسط البلد, القصير.",242092
مديريات التربية والتعليم,ادارة القناطر الخيرية التعليمية,"ش الجامع القديم, القناطر الخيرية, القليوبية.",196605
مديريات التربية والتعليم,ادارة القنايات التعليمية,"ش البحر, القنايات, الشرقية.",240791
مديريات التربية والتعليم,ادارة القنطرة شرق التعليمية,"., قنطرة شرق, الاسماعيلية.",241446
مديريات التربية والتعليم,ادارة القنطرة غرب التعليمية,"ش السويس, قنطرة غرب, الاسماعيلية.",241443
مديريات التربية والتعليم,ادارة القوصية التعليمية,"ش الترعة القديمة, القوصية, اسيوط.",242472
مديريات التربية والتعليم,ادارة المحمودية التعليمية,"ش الترعة المحمودية, المحمودية, البحيرة.",241463
مديريات التربية والتعليم,ادارة المراغة التعليمية,"ش المستشفى, المراغة, سوهاج.",242862
مديريات التربية والتعليم,ادارة المرج التعليمية,"ش المدارس, المرج, القاهرة.",197268
مديريات التربية والتعليم,ادارة المطرية التعليمية,"ش الكابلات, المطرية, القاهرة.",197282
مديريات التربية والتعليم,ادارة المطرية التعليمية,"ش سليمان, المطرية, الدقهلية.",241374
مديريات التربية والتعليم,ادارة المعادى التعليمية,"ش 9, حدائق المعادى, المعادى, القاهرة.",196582
مديريات التربية والتعليم,ادارة المنتزة التعليمية,"ش طوسون, ابو قير, الاسكندرية.",197608
مديريات التربية والتعليم,ادارة المنزلة التعليمية,"ش بورسعيد, المنزلة, الدقهلية.",241364
مديريات التربية والتعليم,ادارة المنشأة التعليمية,"ش سعد زغلول, المنشاه, سوهاج.",242899
مديريات التربية والتعليم,ادارة المنيا التعليمية,"ش طه حسين, وسط البلد, المنيا.",229193
مديريات التربية والتعليم,ادارة النجيلة التعليمية,"طريق السلوم الدولى, النجيلة, الساحل الشمالى.",240559
مديريات التربية والتعليم,ادارة النزهة التعليمية,"ش امتداد رمسيس, عباسية, القاهرة.",196329
مديريات التربية والتعليم,ادارة الهرم التعليمية,"338 ش فيصل, فيصل, الجيزة.",196368
مديريات التربية والتعليم,ادارة الواحات البحرية التعليمية,"الباويطى, الواحات البحرية, الواحات البحرية.",197173
مديريات التربية والتعليم,ادارة الواسطى التعليمية,"ش طراد النيل, الوسطى, بنى سويف.",242148
مديريات التربية والتعليم,ادارة الوراق التعليمية,"كورنيش النيل - الدور 5, الوراق, الجيزة.",196687
مديريات التربية والتعليم,ادارة الوقف التعليمية,"المداكير, الوقف, قنا.",242556
مديريات التربية والتعليم,ادارة اهناسيا التعليمية,"ش احمد عصمت, اهناسيا المدينة, بنى سويف.",242160
مديريات التربية والتعليم,ادارة اوسيم التعليمية,"ش الجمهورية, اوسيم, الجيزة.",196685
مديريات التربية والتعليم,ادارة اولاد صقر التعليمية,"المساكن الشعبية -, اولاد صقر, الشرقية.",240825
مديريات التربية والتعليم,ادارة ايتاى البارود التعليمية,"ش الشيخ شلتوت, ايتاى البارود, البحيرة.",241735
مديريات التربية والتعليم,ادارة بئر العبد التعليمية,"ش مجلس المدينة, بئر العبد, شمال سيناء.",240739
مديريات التربية والتعليم,ادارة باب الشعرية التعليمية,"ميدان التحرير, وسط البلد, القاهرة.",197309
مديريات التربية والتعليم,ادارة باريس التعليمية,"., باريس, الوادى الجديد.",241167
مديريات التربية والتعليم,ادارة ببا التعليمية,"ش الشباب, ببا, بنى سويف.",242156
مديريات التربية والتعليم,ادارة بدر التعليمية,"ش الحرية, مدينة بدر, البحيرة.",241727
مديريات التربية والتعليم,ادارة برج العرب التعليمية,"الحى الاول, برج العرب الجديدة, الاسكندرية.",101019
مديريات التربية والتعليم,ادارة بركة السبع التعليمية,"طريق شنتا, بركة السبع, المنوفية.",241791
مديريات التربية والتعليم,ادارة بسيون التعليمية,"ش 23 يوليو, بسيون, الغربية.",241194
مديريات التربية والتعليم,ادارة بلبيس التعليمية,"ش جمال عبد الناصر, بلبيس, الشرقية.",240902
مديريات التربية والتعليم,ادارة بلطيم التعليمية,"ش بورسعيد, بلطيم, كفر الشيخ.",240534
مديريات التربية والتعليم,ادارة بندر دمنهور التعليمية,"ش الجيش, دمنهور, البحيرة.",241460
مديريات التربية والتعليم,ادارة بندر كفر الدوار التعليمية,"ش اسماعيل شحاتة, كفر الدوار, البحيرة.",241741
مديريات التربية والتعليم,ادارة بنها التعليمية,"ش المحلج - المنشية, بنها, القليوبية.",97822
مديريات التربية والتعليم,ادارة بنى سويف التعليمية,"ش حافظ, بنى سويف, بنى سويف.",242136
مديريات التربية والتعليم,ادارة بنى مزار التعليمية,"ش الابراهيمية, بنى مزار, المنيا.",242809
