Category,Name,Address,ID
زجاج مطلى وتلوين خفيف,شركة كامل على كامل لتشكيل الزجاج وصناعة المرايات,"1 ش على عيد, متفرع من ش 100, جسر السويس, القاهرة.",694440
زجاج مطلى وتلوين خفيف,رويال جلاس هارد وير - مصطفى عبد العليم,"19 ش ابن سندر, سراى القبة, القاهرة.",453410
زجاج مطلى وتلوين خفيف,ال على للزجاج والبلور واعمال السيكوريت,"11535, المجاورة السادسة, الحى الرابع, السادس من اكتوبر, الجيزة.",612766
زجاج مطلى وتلوين خفيف,ال على للزجاج والبلور واعمال السيكوريت,"1372 محور الكفراوى, الحى الرابع, السادس من اكتوبر, الجيزة.",637244
زجاج مطلى وتلوين خفيف,الايمان للزجاج,"87 ش ابن ملاعب, الحضرة قبلى, الاسكندرية.",260210
زجاج مطلى وتلوين خفيف,البشارى للزجاج المعشق,"ش احمد طوسون, برج نور الفجر, جليم, الاسكندرية.",135079
زجاج مطلى وتلوين خفيف,الفن الحديث,"المنطقة الحرفية الاولى, مدينة بدر, القاهرة.",457724
زجاج مطلى وتلوين خفيف,الوفاء للزجاج,"11 ش احمد زكى, المعادى, القاهرة.",42689
زجاج مطلى وتلوين خفيف,اورجانتيف للزجاج السيكوريت وكبائين الشاور,"24 ش ابو بكر الصديق المنطقة الخامسة, مدينة العبور, القليوبية.",635091
زجاج مطلى وتلوين خفيف,اى جلاس لاعمال الزجاج السيكوريت,"6069, المعادى, القاهرة.",520549
زجاج مطلى وتلوين خفيف,حاتم فوزى زجاج المعشق و زجاج ملون,"63 ش الميرغنى, مصر الجديدة, القاهرة.",3759
زجاج مطلى وتلوين خفيف,راكو الاستثمارية,"القطعة 486 - ش حماده امام, السادس من اكتوبر, الجيزة.",452439
زجاج مطلى وتلوين خفيف,ستار جلاس,"4 ش احمد اسماعيل - الشوربجى, بولاق الدكرور, الجيزة.",591444
زجاج مطلى وتلوين خفيف,شركة ياقوت للزجاج,"108 ش جلال الدسوقى, وابور المياه, الاسكندرية.",404184
زجاج مطلى وتلوين خفيف,مركز احمد عبد الفتاح,"2 ش طاهر شريف, شبرا الخيمة, القليوبية.",418753
زجاج مطلى وتلوين خفيف,مصانع يوسف سلطان لتصنيع وزخرفة الزجاج,"قرية شمياطس, الشهداء, المنوفية.",552610
زجاج مطلى وتلوين خفيف,مصنع الجلاء للزجاج,"ش الجلاء, المنصورة, الدقهلية.",544890
زجاج مطلى وتلوين خفيف,مفكو للزجاج المعشق,"ش الداير الشرقى - حلوان البلد, حلوان, القاهرة.",359364
زجاج مطلى وتلوين خفيف,مينا جلاس,"3 ش محمد عبده, امبابة, الجيزة.",176327
